688193 仁度生物 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/03/30	68.00	72.00	64.00	64.76	5148103	346319104.00
2022/03/31	63.00	68.00	62.60	63.22	3386890	219746160.00
2022/04/01	62.00	62.00	59.58	59.97	2313843	140031440.00
2022/04/06	60.77	61.98	59.88	60.03	1232030	74871648.00
2022/04/07	59.68	61.09	58.69	59.15	1182117	70317472.00
2022/04/08	59.00	62.49	57.63	59.98	1606449	96528920.00
2022/04/11	60.02	62.14	59.21	60.40	835097	50782136.00
2022/04/12	60.88	62.00	57.63	58.61	1025609	60497528.00
2022/04/13	58.66	59.88	58.00	58.59	617035	36418512.00
2022/04/14	58.76	61.99	57.70	59.72	1013781	60902848.00
2022/04/15	59.07	59.07	56.50	56.71	904360	51911752.00
2022/04/18	56.51	58.29	56.00	56.81	453392	26028688.00
2022/04/19	56.60	57.43	56.19	56.54	356896	20245660.00
2022/04/20	56.18	56.75	55.52	55.59	293345	16444757.00
2022/04/21	55.50	55.74	52.80	52.98	459958	24979208.00
2022/04/22	52.99	53.80	52.53	53.25	238136	12704942.00
2022/04/25	53.49	53.80	49.28	49.86	441186	22682296.00
2022/04/26	49.97	50.18	47.53	47.55	300356	14664962.00
2022/04/27	47.59	48.31	46.00	48.18	320535	15147055.00
2022/04/28	47.80	47.98	46.20	46.52	270748	12729056.00
2022/04/29	47.00	49.80	46.50	49.10	312531	15136955.00
2022/05/05	48.80	52.78	48.22	51.45	491629	24964690.00
2022/05/06	50.00	52.30	49.70	51.25	247614	12712865.00
2022/05/09	50.50	54.97	50.30	54.20	617556	32846064.00
2022/05/10	54.45	56.66	53.00	55.20	434579	24038484.00
2022/05/11	58.49	58.90	56.01	56.20	706832	40757760.00
2022/05/12	56.11	57.78	54.70	56.15	442964	24921006.00
2022/05/13	56.70	57.38	55.40	57.38	359923	20257504.00
2022/05/16	58.50	59.45	56.52	57.03	376473	21838690.00
2022/05/17	57.80	57.80	55.02	55.80	266406	14933894.00
2022/05/18	55.99	56.40	55.55	55.62	167869	9371431.00
2022/05/19	55.70	55.70	54.40	54.73	236128	12930307.00
2022/05/20	54.93	55.43	54.45	55.12	164389	9042036.00
2022/05/23	55.60	56.47	55.35	55.97	186174	10416113.00
2022/05/24	59.50	60.79	56.21	56.69	726236	42395968.00
2022/05/25	56.01	57.01	54.00	55.14	475863	26079408.00
2022/05/26	55.00	55.00	53.11	53.15	331868	17786174.00
2022/05/27	54.80	55.86	53.85	53.89	390590	21408386.00
2022/05/30	54.78	54.78	52.48	52.77	301408	15973162.00
2022/05/31	52.76	53.96	51.53	53.50	271111	14308299.00
2022/06/01	53.59	55.90	53.36	55.00	335906	18405860.00
2022/06/02	54.60	57.46	54.60	57.13	491167	27793184.00
2022/06/06	58.40	60.43	57.51	59.57	786507	46702208.00
2022/06/07	59.00	59.97	57.52	58.57	432272	25419964.00
2022/06/08	59.87	59.96	56.65	56.95	426054	24653930.00
2022/06/09	57.00	57.78	54.98	55.00	330237	18481200.00
2022/06/10	55.08	55.84	54.80	55.66	253575	14073146.00
2022/06/13	55.41	55.97	54.60	54.91	248740	13694773.00
2022/06/14	54.40	54.73	52.56	54.09	286281	15276774.00
2022/06/15	54.10	54.52	53.81	54.00	226012	12239709.00
2022/06/16	54.00	54.96	54.00	54.40	148668	8112012.00
2022/06/17	54.00	54.15	52.90	53.77	227291	12175316.00
2022/06/20	53.77	54.82	53.50	54.70	177220	9616200.00
2022/06/21	54.72	54.72	53.91	54.05	171487	9295462.00
2022/06/22	54.30	54.67	53.84	53.86	143317	7759896.00
2022/06/23	54.00	54.39	53.26	54.35	174948	9419658.00
2022/06/24	54.35	56.34	53.79	55.95	347027	19311582.00
2022/06/27	55.74	56.58	55.15	55.45	296127	16477534.00
2022/06/28	55.33	55.34	54.17	55.09	301464	16478330.00
2022/06/29	54.60	55.30	54.00	54.13	249926	13614716.00
2022/06/30	54.04	55.29	53.77	54.10	208620	11307492.00
2022/07/01	54.27	54.27	53.30	53.58	212360	11392863.00
2022/07/04	53.61	56.20	53.58	56.00	490036	27018964.00
2022/07/05	55.55	56.00	53.76	54.00	386397	21047944.00
2022/07/06	54.01	54.90	53.71	54.13	266386	14438310.00
2022/07/07	53.88	54.44	52.80	52.87	343935	18281746.00
2022/07/08	53.09	53.31	52.80	53.07	230483	12231252.00
2022/07/11	53.30	56.50	53.09	55.75	813954	44848456.00
2022/07/12	54.58	55.00	51.99	52.50	645715	34568940.00
2022/07/13	52.05	52.51	51.17	51.90	378092	19545842.00
2022/07/14	51.88	52.68	51.20	52.27	282148	14730375.00
2022/07/15	52.27	52.38	51.31	51.90	213755	11076034.00
2022/07/18	52.00	52.50	51.72	52.40	171743	8956393.00
2022/07/19	52.99	53.29	52.28	53.01	234156	12370435.00
2022/07/20	52.78	53.41	52.78	53.35	234742	12466638.00
2022/07/21	54.00	54.00	52.91	53.21	159458	8488887.00
2022/07/22	53.30	53.49	51.70	52.25	265476	13904068.00
2022/07/25	53.33	57.57	53.08	55.74	1069229	58958052.00
2022/07/26	55.20	55.50	53.80	53.94	573405	31141048.00
2022/07/27	53.94	56.44	53.90	55.51	485009	26739412.00
2022/07/28	55.22	56.22	55.02	55.39	321034	17829160.00
2022/07/29	55.80	55.93	54.66	55.47	288793	15988879.00
2022/08/01	55.94	56.58	55.18	55.59	274480	15339166.00
2022/08/02	55.59	55.59	52.40	52.61	389006	20746236.00
2022/08/03	52.98	54.88	52.88	54.54	339747	18265968.00
2022/08/04	54.49	56.38	54.49	55.58	339695	18791216.00
2022/08/05	56.20	57.76	55.60	57.58	539714	30795158.00
2022/08/08	57.40	58.80	57.00	58.30	470154	27381780.00
2022/08/09	58.38	58.79	57.20	58.39	310358	17980870.00
2022/08/10	58.30	58.80	57.51	57.66	226667	13121174.00
2022/08/11	58.60	59.95	58.00	58.88	387487	22850124.00
2022/08/12	59.25	59.36	57.99	58.31	202551	11849641.00
2022/08/15	58.01	58.01	57.08	57.30	165424	9489426.00
2022/08/16	57.33	57.80	57.10	57.33	180887	10376769.00
2022/08/17	57.35	57.70	56.36	57.11	199647	11365772.00
2022/08/18	55.50	55.96	53.43	55.53	762363	41388204.00
2022/08/19	54.70	55.39	53.70	54.67	342366	18594500.00
2022/08/22	54.15	54.15	53.55	53.90	138892	7490773.00
2022/08/23	53.80	54.21	53.71	54.01	126576	6833430.00
2022/08/24	53.82	54.05	53.02	53.28	248752	13263165.00
2022/08/25	53.81	53.81	52.63	52.92	123133	6533906.00
2022/08/26	53.01	53.56	52.64	52.67	110396	5843505.00
2022/08/29	52.00	53.19	52.00	52.45	134133	7040983.00
2022/08/30	52.70	53.29	52.33	52.47	101054	5312893.00
2022/08/31	52.72	52.72	51.00	51.60	208749	10810926.00
2022/09/01	51.11	52.32	51.11	51.57	84055	4357835.00
2022/09/02	51.58	52.46	51.58	52.22	97530	5088626.00
2022/09/05	52.53	52.54	51.60	51.82	54251	2818092.00
2022/09/06	52.19	52.25	51.45	52.00	72810	3777267.00
2022/09/07	52.21	52.21	51.64	51.83	53339	2770253.00
2022/09/08	52.12	52.14	51.55	51.71	61835	3195003.00
2022/09/09	51.96	51.98	51.19	51.56	76880	3955702.00
2022/09/13	51.69	51.73	51.34	51.49	46087	2376627.00
2022/09/14	51.01	51.64	50.78	51.12	71656	3650337.00
2022/09/15	51.12	51.26	49.38	49.50	192439	9658508.00
2022/09/16	49.60	49.60	48.56	49.18	75816	3721517.00
2022/09/19	49.74	50.44	48.88	49.18	88744	4409758.00
2022/09/20	49.00	49.80	49.00	49.51	52028	2570039.00
2022/09/21	49.20	49.67	48.60	49.50	82115	4044516.00
2022/09/22	49.60	49.60	48.83	49.14	52308	2577974.00
2022/09/23	48.63	49.46	48.29	48.69	90668	4413231.00
2022/09/26	48.55	48.55	47.52	47.52	68848	3300200.00
2022/09/27	48.32	48.50	47.50	48.49	44963	2166393.00
2022/09/28	48.49	48.82	47.53	47.84	33144	1592159.00
2022/09/29	47.60	48.95	47.60	47.80	76936	3710657.00
2022/09/30	46.90	47.79	46.11	46.23	233352	10860956.00
2022/10/10	45.81	46.70	45.30	45.33	98561	4535662.00
2022/10/11	44.87	45.72	44.59	45.00	85369	3827699.00
2022/10/12	45.00	46.06	44.71	45.90	105896	4788120.00
2022/10/13	45.92	46.88	45.62	46.40	109770	5098102.00
2022/10/14	46.70	49.59	46.70	48.58	334755	16206671.00
2022/10/17	48.58	49.57	48.57	49.13	202786	9939631.00
2022/10/18	49.90	50.66	49.03	49.81	267629	13353778.00
2022/10/19	49.36	50.01	48.91	48.95	156240	7687693.00
2022/10/20	49.08	49.70	48.26	48.67	137489	6754825.00
2022/10/21	48.50	49.30	48.00	48.68	128820	6257549.00
2022/10/24	48.68	49.90	48.17	48.17	126406	6200397.00
2022/10/25	48.09	48.43	46.71	47.88	121893	5788575.00
2022/10/26	48.00	49.95	47.42	49.38	144849	7120055.00
2022/10/27	49.02	49.68	49.02	49.31	127604	6300754.00
2022/10/28	48.78	49.31	46.51	48.50	239375	11479748.00
2022/10/31	47.98	48.47	47.01	47.54	248559	11805674.00
2022/11/01	47.40	48.29	47.30	48.20	152670	7278672.00
2022/11/02	47.92	50.22	47.65	49.36	245371	12112996.00
2022/11/03	49.10	49.87	48.75	49.87	129232	6374193.00
2022/11/04	49.85	50.50	49.31	50.04	167293	8339915.00
2022/11/07	49.69	50.00	49.31	49.95	177950	8844235.00
2022/11/08	50.00	50.18	49.41	49.78	159238	7915923.00
2022/11/09	49.95	50.68	49.35	50.21	192110	9634037.00
2022/11/10	50.03	51.17	49.81	50.02	201317	10172716.00
2022/11/11	50.97	53.22	50.21	50.81	551068	28495944.00
2022/11/14	50.95	52.73	50.00	52.73	388364	20036740.00
2022/11/15	52.70	54.50	51.80	54.26	556441	29845114.00
2022/11/16	54.98	54.98	53.00	53.38	246801	13267980.00
2022/11/17	53.38	53.46	52.66	53.16	174384	9251008.00
2022/11/18	53.50	53.50	52.00	52.00	404844	21290608.00
2022/11/21	52.00	52.91	51.50	52.14	271671	14199765.00
2022/11/22	52.56	52.56	50.40	50.67	214255	10981593.00
2022/11/23	50.65	50.65	49.04	49.58	192685	9571022.00
2022/11/24	49.99	50.68	49.34	50.12	114931	5757720.00
2022/11/25	49.61	50.46	49.18	49.43	109864	5438919.00
2022/11/28	49.20	49.60	48.33	49.50	92324	4537367.00
2022/11/29	48.98	51.16	48.66	50.96	154312	7794490.00
2022/11/30	50.78	50.80	49.74	49.78	184462	9239614.00
2022/12/01	50.35	50.35	49.49	49.75	136918	6820533.00
2022/12/02	49.95	50.10	49.47	49.90	58631	2924145.00
2022/12/05	49.80	49.80	48.87	49.03	241756	11913572.00
2022/12/06	48.97	48.97	48.10	48.31	143535	6961498.00
2022/12/07	48.34	48.71	48.19	48.50	126250	6121039.00
2022/12/08	48.87	48.87	48.31	48.53	82868	4013421.00
2022/12/09	48.55	49.94	48.53	49.47	226219	11195742.00
2022/12/12	49.31	50.06	49.01	49.63	189121	9357636.00
2022/12/13	50.65	50.90	48.77	48.82	111953	5507383.00
2022/12/14	48.51	49.22	48.06	48.26	103913	5023322.00
2022/12/15	48.30	48.48	48.17	48.45	65208	3148155.00
2022/12/16	48.45	48.45	47.72	48.19	79988	3849553.00
2022/12/19	52.77	52.77	48.13	48.56	209439	10388456.00
2022/12/20	48.56	48.56	47.08	47.45	109662	5202859.00
2022/12/21	47.62	47.63	46.51	47.02	86728	4063886.00
2022/12/22	49.78	49.78	46.50	46.98	92047	4395493.00
2022/12/23	46.55	47.40	46.50	46.97	52952	2482550.00
2022/12/26	46.52	47.00	46.36	46.85	111328	5181724.00
2022/12/27	48.85	48.85	46.15	47.03	165480	7775579.00
2022/12/28	47.97	47.97	46.01	46.75	94176	4403595.00
2022/12/29	47.49	47.49	46.50	46.74	88172	4133095.00
2022/12/30	46.46	46.87	46.00	46.72	68419	3179018.00
2023/01/03	46.50	47.37	46.43	47.37	143134	6722463.00
2023/01/04	47.37	47.49	46.69	46.91	106493	5015152.00
2023/01/05	46.99	47.28	46.72	47.24	60522	2845392.00
2023/01/06	47.22	47.88	46.87	47.48	155338	7369077.00
2023/01/09	47.32	47.86	47.32	47.45	105433	5009461.00
2023/01/10	47.45	47.45	46.78	46.83	158494	7454989.00
