688199 久日新材 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/11/05	74.01	74.99	68.10	70.96	17875537	1279160448.00
2019/11/06	66.95	68.23	66.01	66.35	8803968	588840960.00
2019/11/07	65.80	70.84	64.36	67.52	8309126	558244608.00
2019/11/08	67.00	69.50	66.06	67.01	4712351	318799520.00
2019/11/11	67.00	67.00	62.56	62.85	4952516	317632320.00
2019/11/12	62.64	63.17	61.51	62.38	2486798	154942288.00
2019/11/13	62.50	63.48	62.02	62.74	2163181	135778656.00
2019/11/14	62.75	63.37	62.00	62.44	2457245	154038192.00
2019/11/15	62.11	62.15	60.50	60.52	2697720	164874384.00
2019/11/18	60.40	60.93	59.95	60.05	1659647	99899064.00
2019/11/19	60.36	61.37	60.07	61.28	1686975	102816960.00
2019/11/20	60.73	61.83	60.21	60.46	1905210	116127144.00
2019/11/21	60.00	60.88	59.62	60.50	1570524	94581336.00
2019/11/22	60.65	60.98	59.53	59.62	1546917	93025544.00
2019/11/25	59.65	59.87	58.00	58.45	1710593	100359192.00
2019/11/26	58.80	58.90	58.21	58.40	800912	46854688.00
2019/11/27	58.43	58.69	57.78	58.49	994694	57968580.00
2019/11/28	58.21	59.80	58.21	58.80	1310659	77649728.00
2019/11/29	58.74	58.98	58.16	58.92	904151	52898392.00
2019/12/02	59.00	59.68	58.60	58.72	918251	54362368.00
2019/12/03	58.55	58.55	56.78	57.20	1608010	92091144.00
2019/12/04	57.00	57.50	56.70	56.96	787950	44903520.00
2019/12/05	56.99	57.41	56.93	57.28	885286	50590460.00
2019/12/06	57.20	57.82	57.06	57.28	910533	52256664.00
2019/12/09	57.49	58.52	57.40	58.40	1492256	86615232.00
2019/12/10	58.40	61.88	57.80	60.26	3504582	211622864.00
2019/12/11	60.00	60.82	59.35	59.40	1396800	83558656.00
2019/12/12	59.40	60.49	58.92	59.05	1205981	71969944.00
2019/12/13	59.35	59.60	58.52	59.43	1083286	63946772.00
2019/12/16	59.85	60.30	59.61	60.15	1091729	65552376.00
2019/12/17	60.18	61.29	60.10	61.05	1712161	103713392.00
2019/12/18	60.85	62.50	60.85	61.97	2223234	137695312.00
2019/12/19	62.24	62.56	61.66	61.92	1487539	92261336.00
2019/12/20	61.93	62.18	61.23	61.23	1178842	72633864.00
2019/12/23	61.44	61.44	59.05	59.19	1384257	83067232.00
2019/12/24	59.21	60.22	59.21	60.19	956107	57235384.00
2019/12/25	60.18	61.50	59.90	60.66	1498657	91468616.00
2019/12/26	60.85	61.84	60.80	61.47	1432471	87971304.00
2019/12/27	61.49	61.97	60.63	60.72	1330033	81421368.00
2019/12/30	60.65	61.88	59.70	61.88	1343722	81829528.00
2019/12/31	61.97	62.18	61.50	61.90	908831	56182504.00
2020/01/02	61.93	62.92	61.93	62.87	1586660	99225624.00
2020/01/03	62.99	63.00	62.10	62.88	1492143	93375760.00
2020/01/06	62.50	63.97	62.35	62.97	1750326	110828632.00
2020/01/07	62.93	63.28	61.89	63.23	1792929	112524864.00
2020/01/08	62.81	64.29	62.50	62.85	2210123	139928432.00
2020/01/09	63.45	64.27	63.21	63.83	1603636	102222352.00
2020/01/10	63.56	65.14	63.56	64.82	2167732	139846048.00
2020/01/13	65.16	65.60	64.57	65.50	1507240	98107216.00
2020/01/14	65.50	66.22	64.66	65.40	1799442	117901232.00
2020/01/15	65.40	65.64	63.90	64.03	1679017	108297688.00
2020/01/16	64.11	65.97	64.07	65.60	2099418	136831648.00
2020/01/17	66.18	69.46	65.70	67.80	3754397	254879824.00
2020/01/20	68.10	71.60	67.11	70.18	3603972	250693968.00
2020/01/21	69.92	70.70	67.26	67.48	2529348	173715664.00
2020/01/22	67.38	69.67	65.90	68.99	2025288	137920208.00
2020/01/23	68.00	69.58	64.55	66.30	2388221	160356384.00
2020/02/03	55.18	57.88	53.60	53.84	3306042	183227568.00
2020/02/04	54.50	60.58	54.50	59.83	2818092	163138320.00
2020/02/05	60.00	63.94	59.91	61.01	2816171	173764512.00
2020/02/06	60.82	63.89	60.00	63.60	2592525	162962016.00
2020/02/07	62.99	65.55	62.97	65.51	2667512	172095904.00
2020/02/10	65.51	67.38	65.10	66.80	2335900	155338400.00
2020/02/11	67.00	67.00	63.79	63.99	2268305	147339008.00
2020/02/12	63.63	66.08	63.50	65.87	1800728	117518312.00
2020/02/13	65.79	68.69	65.53	66.50	2726522	183485200.00
2020/02/14	66.25	67.02	65.11	66.13	2121075	140206112.00
2020/02/17	66.16	68.23	66.16	67.88	2403011	161831920.00
2020/02/18	68.21	70.18	68.20	69.66	3181762	220419648.00
2020/02/19	69.98	71.72	68.16	68.45	3205983	224388016.00
2020/02/20	68.93	69.19	66.14	67.96	2427189	164372336.00
2020/02/21	67.23	67.97	66.58	66.82	2429760	162811360.00
2020/02/24	66.10	67.26	65.65	66.96	1940089	128740680.00
2020/02/25	64.51	66.39	64.20	65.60	2349365	153390928.00
2020/02/26	64.50	65.95	63.01	63.01	2162764	139484208.00
2020/02/27	63.58	63.95	62.55	62.99	1520749	96218736.00
2020/02/28	61.68	62.09	59.91	60.10	2003793	122182400.00
2020/03/02	60.00	64.70	60.00	64.26	2060992	128949760.00
2020/03/03	68.00	68.41	65.77	66.45	3856440	258753536.00
2020/03/04	67.00	67.96	65.60	66.70	2447001	163369760.00
2020/03/05	67.31	67.73	65.86	67.50	2117457	141612304.00
2020/03/06	66.86	67.19	65.88	65.90	1438500	95571088.00
2020/03/09	64.99	64.99	61.70	61.91	1822774	114763440.00
2020/03/10	60.87	63.89	60.68	63.33	1513735	94212072.00
2020/03/11	63.83	64.38	61.61	61.81	1286015	81078960.00
2020/03/12	60.98	61.55	60.13	60.51	1149589	69627264.00
2020/03/13	57.50	60.38	57.08	59.54	1281741	75265904.00
2020/03/16	60.05	60.60	57.20	57.46	1143343	67295992.00
2020/03/17	58.00	58.69	56.02	58.07	1072872	61755968.00
2020/03/18	58.44	59.99	57.32	57.33	1182932	69667352.00
2020/03/19	57.00	59.48	56.56	58.96	1093911	63569424.00
2020/03/20	59.28	59.65	58.33	59.22	765191	45191660.00
2020/03/23	58.39	58.39	56.53	56.66	1009912	57782264.00
2020/03/24	58.20	58.38	56.04	57.78	800039	45860044.00
2020/03/25	59.28	59.34	58.50	58.85	853060	50298268.00
2020/03/26	58.28	58.80	57.80	57.82	605609	35287184.00
2020/03/27	58.30	58.68	57.43	57.69	518200	30159900.00
2020/03/30	56.68	56.68	54.98	55.74	685506	38243692.00
2020/03/31	55.99	56.49	55.61	55.87	345837	19366948.00
2020/04/01	56.00	56.53	55.30	55.64	418715	23501252.00
2020/04/02	54.98	56.78	54.98	56.71	538095	30203202.00
2020/04/03	56.71	56.92	56.03	56.48	529677	29904336.00
2020/04/07	57.68	58.00	57.32	57.95	699321	40335548.00
2020/04/08	57.60	58.28	57.33	57.61	655107	37841072.00
2020/04/09	57.84	57.97	57.59	57.59	435930	25168774.00
2020/04/10	57.71	57.79	55.70	55.93	580444	32853862.00
2020/04/13	55.65	56.00	55.38	55.66	400256	22259844.00
2020/04/14	55.72	56.45	55.72	56.39	426080	23910860.00
