688280 精进电动-UW 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/10/27	14.99	19.28	14.99	17.70	78237051	1350665856.00
2021/10/28	16.50	16.50	13.88	13.88	49591820	740798400.00
2021/10/29	13.80	15.14	13.75	14.05	29515562	424283008.00
2021/11/01	13.68	16.47	13.22	15.43	36963758	549301760.00
2021/11/02	15.21	17.20	15.21	16.01	35826706	585035904.00
2021/11/03	16.02	17.50	15.72	16.71	26193088	437581792.00
2021/11/04	16.86	17.14	16.15	17.00	23960349	399687872.00
2021/11/05	17.08	17.74	16.52	17.20	23234772	395192288.00
2021/11/08	17.50	17.50	16.02	16.83	21015607	349869312.00
2021/11/09	16.65	18.97	16.65	17.73	30043477	539347840.00
2021/11/10	17.15	17.39	16.05	16.58	26821834	448248256.00
2021/11/11	16.46	17.60	16.34	16.77	22161059	376847424.00
2021/11/12	16.58	20.12	16.55	20.12	37140971	672937856.00
2021/11/15	20.24	21.28	19.66	20.53	38313890	782836096.00
2021/11/16	20.19	21.99	20.02	20.82	27591314	577400192.00
2021/11/17	20.83	21.80	20.56	21.72	22034580	466983584.00
2021/11/18	21.06	21.25	20.01	20.38	20879884	429461632.00
2021/11/19	20.41	21.65	20.18	20.60	18859517	395043136.00
2021/11/22	20.73	22.55	20.65	21.63	20109933	433264864.00
2021/11/23	22.26	23.35	21.50	21.50	22071245	492838304.00
2021/11/24	21.33	22.10	21.01	21.19	17368178	373304096.00
2021/11/25	21.30	21.45	20.18	20.81	15156212	313758560.00
2021/11/26	20.63	21.64	20.59	21.28	14233543	300387104.00
2021/11/29	20.90	22.21	20.30	22.03	19526320	416260192.00
2021/11/30	22.06	22.20	20.60	20.85	17741686	379468992.00
2021/12/01	20.88	21.14	20.28	20.39	12352576	254806192.00
2021/12/02	20.08	20.34	18.43	18.58	23734388	454950112.00
2021/12/03	18.50	18.80	18.05	18.23	13181775	242059408.00
2021/12/06	18.05	18.30	17.70	17.83	9975244	178889936.00
2021/12/07	17.99	18.35	17.72	17.80	9510195	170768064.00
2021/12/08	17.96	18.72	17.77	18.44	9815142	179532400.00
2021/12/09	18.40	18.47	17.27	17.98	12831865	229106176.00
2021/12/10	17.80	18.20	17.60	17.60	7507451	133990528.00
2021/12/13	17.52	17.78	17.31	17.55	7016874	122800472.00
2021/12/14	17.46	18.07	17.35	17.93	8703946	154170752.00
2021/12/15	17.84	17.84	16.80	16.83	13387585	231277696.00
2021/12/16	16.82	17.00	16.40	16.58	10161322	168928816.00
2021/12/17	16.50	16.66	16.10	16.22	7581595	123502944.00
2021/12/20	16.27	16.88	16.12	16.18	7432820	122005696.00
2021/12/21	16.23	16.68	16.16	16.44	5555383	91146080.00
2021/12/22	16.69	16.97	16.59	16.70	6317110	105966776.00
2021/12/23	16.80	17.15	16.06	16.75	8795691	146095936.00
2021/12/24	16.72	16.89	15.63	15.84	8660712	139644800.00
2021/12/27	15.71	16.05	15.30	15.38	7509550	117166080.00
2021/12/28	15.44	15.65	15.32	15.59	4124985	63956596.00
2021/12/29	15.55	15.62	15.20	15.27	4857238	74583472.00
2021/12/30	15.17	15.47	15.14	15.25	3711582	56900540.00
2021/12/31	15.50	15.90	15.25	15.25	5771109	89615448.00
2022/01/04	15.40	15.78	15.40	15.47	4884488	76061752.00
2022/01/05	15.53	15.54	14.56	14.70	7221364	107286104.00
2022/01/06	14.68	14.93	14.50	14.80	4266383	62816892.00
2022/01/07	14.87	15.38	14.76	14.76	5337454	80618336.00
2022/01/10	14.51	14.99	14.33	14.97	3899036	57437152.00
2022/01/11	14.96	15.01	14.66	14.80	3007891	44516912.00
2022/01/12	14.88	15.35	14.88	15.23	4247298	64304260.00
2022/01/13	15.08	15.30	14.93	14.95	3432114	51723856.00
2022/01/14	14.85	15.91	14.81	15.55	8050254	124991016.00
2022/01/17	15.31	15.93	15.31	15.72	4696627	73827800.00
2022/01/18	15.70	15.75	15.04	15.15	4653199	71338872.00
2022/01/19	15.10	15.24	14.70	14.85	3461641	51591548.00
2022/01/20	14.85	14.90	14.13	14.17	4992697	71969736.00
2022/01/21	14.19	14.55	14.01	14.26	3595855	51289744.00
2022/01/24	14.19	14.41	14.11	14.21	1973464	28132828.00
2022/01/25	14.25	14.28	13.52	13.52	3731849	51547040.00
2022/01/26	13.52	13.80	13.27	13.75	2378418	32285684.00
2022/01/27	13.66	13.81	13.25	13.29	2544544	34309740.00
2022/01/28	13.65	13.94	13.32	13.81	3815459	52191840.00
2022/02/07	13.98	14.18	13.26	13.30	4473203	60762936.00
2022/02/08	13.30	13.48	13.02	13.37	3092171	40980544.00
2022/02/09	13.20	13.59	13.15	13.59	2914596	39045640.00
2022/02/10	13.69	13.69	13.25	13.30	2878604	38554016.00
2022/02/11	13.30	13.39	12.41	12.50	5595200	71085440.00
2022/02/14	12.48	12.68	12.33	12.52	2002574	25106720.00
2022/02/15	12.53	12.86	12.44	12.70	2313813	29340810.00
2022/02/16	12.80	13.84	12.68	13.41	6899360	92243496.00
2022/02/17	13.28	13.46	13.19	13.29	3495871	46434512.00
2022/02/18	13.21	13.23	12.98	13.11	2143199	28052914.00
2022/02/21	13.00	13.21	12.98	13.02	1978155	25832020.00
2022/02/22	13.03	13.08	12.55	12.68	2822416	35789572.00
2022/02/23	12.60	13.46	12.60	13.20	4505194	59500300.00
2022/02/24	13.09	13.43	12.68	12.78	4155170	54302572.00
2022/02/25	13.00	13.30	12.94	13.10	2636416	34535792.00
2022/02/28	13.00	13.24	12.73	13.17	2220835	28986884.00
2022/03/01	13.35	13.54	13.10	13.28	2912504	38802356.00
2022/03/02	13.19	13.19	12.95	13.06	2023185	26398508.00
2022/03/03	13.23	13.23	12.77	12.79	2951757	38015648.00
2022/03/04	12.67	12.80	12.45	12.49	2699803	33977140.00
2022/03/07	12.42	12.59	12.06	12.12	2718339	33173076.00
2022/03/08	12.28	12.86	12.12	12.16	3649627	45084360.00
2022/03/09	12.23	12.23	11.18	11.59	4299839	50431244.00
2022/03/10	11.92	12.07	11.63	11.69	2363410	27995094.00
2022/03/11	11.57	11.69	11.20	11.64	2849639	32564624.00
2022/03/14	11.45	11.54	11.10	11.12	2676820	30097532.00
2022/03/15	11.11	11.18	10.48	10.48	3152137	34184252.00
2022/03/16	10.69	10.90	10.30	10.84	3210726	34304564.00
2022/03/17	10.97	11.32	10.97	11.17	3412927	38107120.00
2022/03/18	11.31	12.04	11.21	11.42	5748393	66771296.00
2022/03/21	11.22	11.54	11.18	11.29	2901927	32809188.00
2022/03/22	11.20	11.29	11.00	11.05	2243274	24839884.00
2022/03/23	11.11	11.32	11.04	11.10	1813324	20225484.00
2022/03/24	11.10	11.11	10.85	10.85	1769267	19321132.00
2022/03/25	10.87	11.15	10.81	10.85	1787592	19573848.00
2022/03/28	10.75	10.80	10.50	10.70	1519456	16170612.00
2022/03/29	10.84	10.85	10.24	10.29	2459713	25676034.00
2022/03/30	10.31	10.54	10.30	10.51	2014886	21028382.00
2022/03/31	10.43	10.54	10.21	10.29	1532811	15862585.00
2022/04/01	10.29	10.31	10.05	10.24	1636225	16705507.00
2022/04/06	10.24	10.42	10.14	10.35	1706215	17639312.00
2022/04/07	10.31	10.38	9.96	10.00	2664106	27049656.00
2022/04/08	10.07	10.08	9.65	9.72	2014291	19695768.00
2022/04/11	9.70	9.72	9.33	9.39	2247307	21273016.00
2022/04/12	9.39	9.60	9.35	9.56	1392366	13192310.00
2022/04/13	9.53	9.53	9.20	9.27	1438622	13426678.00
2022/04/14	9.38	9.64	9.27	9.38	1555673	14676403.00
2022/04/15	9.45	9.45	8.98	9.04	3039221	27645612.00
2022/04/18	9.17	9.52	8.95	9.49	3376932	31561762.00
2022/04/19	9.47	9.64	9.28	9.29	1974306	18567254.00
2022/04/20	9.34	9.72	9.26	9.58	4108209	39373608.00
2022/04/21	9.60	9.60	9.04	9.06	2656623	24677032.00
2022/04/22	9.03	9.06	8.79	8.88	1568712	13983440.00
2022/04/25	8.53	8.71	7.80	7.94	3398306	28179156.00
2022/04/26	8.05	8.11	7.47	7.56	2879504	22347036.00
2022/04/27	7.17	7.61	7.10	7.58	5347377	39275620.00
2022/04/28	7.49	7.53	7.17	7.23	3582052	26223504.00
2022/04/29	7.33	8.17	7.31	8.05	6191430	48358296.00
2022/05/05	8.01	8.24	7.80	8.05	3007407	24173900.00
2022/05/06	7.83	8.98	7.80	8.76	7395317	63075364.00
2022/05/09	8.53	9.36	8.53	9.34	7184284	64786788.00
2022/05/10	9.03	9.42	9.03	9.37	5562631	51381184.00
2022/05/11	9.41	9.66	9.25	9.45	5164590	48705992.00
2022/05/12	9.33	9.76	9.30	9.49	5646351	53512472.00
2022/05/13	9.45	9.70	9.44	9.60	3820096	36469392.00
2022/05/16	9.60	10.37	9.54	10.20	14361461	144259216.00
2022/05/17	10.16	10.21	9.94	10.20	6144900	61787520.00
2022/05/18	10.11	10.59	9.98	10.00	6544979	66959808.00
2022/05/19	9.88	10.18	9.72	10.10	3910388	39215184.00
2022/05/20	10.20	10.24	9.97	10.20	3212108	32465960.00
2022/05/23	10.30	10.30	10.03	10.20	2250724	22877452.00
2022/05/24	10.20	10.52	9.88	9.99	5668315	57363964.00
2022/05/25	9.90	10.11	9.74	9.89	2681556	26484246.00
2022/05/26	9.93	9.94	9.56	9.84	2554094	24988038.00
2022/05/27	9.90	9.96	9.65	9.88	2479656	24282136.00
2022/05/30	9.86	9.93	9.64	9.81	1997073	19568060.00
2022/05/31	9.90	10.32	9.65	10.15	6749974	67694944.00
2022/06/01	10.13	12.18	10.06	10.75	29501587	339147392.00
2022/06/02	10.75	12.90	10.52	12.90	29419112	340399872.00
2022/06/06	13.87	15.48	12.90	15.48	52412096	759097472.00
2022/06/07	14.90	15.19	12.70	13.00	44510855	612746240.00
2022/06/08	12.80	13.07	12.00	12.60	27323729	341376448.00
2022/06/09	12.47	12.47	11.67	11.82	16844834	200874960.00
2022/06/10	11.59	12.99	11.59	12.40	25650564	316491008.00
2022/06/13	12.21	13.00	12.18	12.31	17915710	225101216.00
2022/06/14	11.88	12.26	11.39	12.04	16369700	194485472.00
2022/06/15	11.98	12.25	11.68	11.70	11621268	138610608.00
2022/06/16	11.74	12.10	11.74	11.83	8277850	98490816.00
2022/06/17	12.02	13.14	11.84	12.63	19300407	243834704.00
2022/06/20	12.70	12.95	12.42	12.54	11285117	142253072.00
2022/06/21	12.40	12.48	12.06	12.20	8521585	104513528.00
2022/06/22	12.11	12.57	11.86	11.93	8624198	105636728.00
2022/06/23	12.00	13.08	11.99	12.82	15516188	197243504.00
2022/06/24	12.80	13.05	12.55	12.85	12499600	160481504.00
2022/06/27	13.00	13.63	12.73	12.80	13768097	179684992.00
2022/06/28	12.54	13.05	12.26	12.84	11670950	147826832.00
2022/06/29	12.63	12.70	11.98	11.99	11176272	137108960.00
2022/06/30	12.10	12.18	11.60	11.70	8868458	104715456.00
2022/07/01	11.58	11.77	11.30	11.52	6767465	77493400.00
2022/07/04	11.70	11.88	11.30	11.59	4497178	51904816.00
2022/07/05	11.53	11.76	11.20	11.31	4306432	49064164.00
2022/07/06	11.26	11.68	11.05	11.41	4176451	47666860.00
2022/07/07	11.40	11.85	11.21	11.79	5958332	69265400.00
2022/07/08	11.91	12.73	11.85	11.88	9523060	116900976.00
2022/07/11	11.90	12.11	11.11	11.20	7139404	81359896.00
2022/07/12	11.15	11.35	10.74	10.81	5227243	57409932.00
2022/07/13	10.89	10.95	10.69	10.78	2994052	32359250.00
2022/07/14	10.74	11.36	10.62	11.22	5487481	61259456.00
2022/07/15	11.20	11.72	11.08	11.30	5176855	59166884.00
2022/07/18	11.52	11.95	11.36	11.80	6614238	77376144.00
2022/07/19	11.65	12.50	11.64	12.09	8420928	102230992.00
2022/07/20	12.22	12.24	11.70	11.85	5329637	63116400.00
2022/07/21	11.90	12.02	11.65	11.80	4068118	48118144.00
2022/07/22	11.80	12.08	11.64	11.82	3583794	42417592.00
2022/07/25	11.80	11.80	11.36	11.47	3320547	38242184.00
2022/07/26	11.43	11.50	11.11	11.38	2405082	27266608.00
2022/07/27	11.37	12.30	11.28	12.24	8469360	101533160.00
2022/07/28	12.24	12.48	12.13	12.33	6466519	79780712.00
2022/07/29	12.36	13.10	12.10	12.99	10974285	138517168.00
2022/08/01	12.87	13.04	12.44	12.73	8153899	103485616.00
2022/08/02	12.44	12.94	12.00	12.14	7167523	88539480.00
2022/08/03	12.21	12.85	12.00	12.28	7643660	94910624.00
2022/08/04	12.58	12.65	11.85	12.17	6332082	76603168.00
2022/08/05	12.25	12.55	11.90	12.21	6254676	76018112.00
2022/08/08	12.01	13.12	11.80	12.88	10476457	131974128.00
2022/08/09	12.85	13.40	12.67	12.72	7947863	103529824.00
2022/08/10	12.80	13.20	12.52	12.90	8034197	103259448.00
2022/08/11	12.86	13.15	12.77	13.00	5826634	75343504.00
2022/08/12	13.20	13.20	12.33	12.38	7838030	99228896.00
2022/08/15	12.39	12.50	12.20	12.38	3441394	42497688.00
2022/08/16	12.39	12.99	12.32	12.54	6075336	77280096.00
2022/08/17	12.56	12.68	12.23	12.30	4364362	54105784.00
2022/08/18	12.30	13.12	12.21	12.85	10862292	139449104.00
2022/08/19	12.76	12.96	11.93	11.95	10157609	125065264.00
2022/08/22	11.99	12.04	11.64	12.00	4067357	48122128.00
2022/08/23	11.93	12.58	11.89	12.15	4629087	56594216.00
2022/08/24	12.15	12.23	11.23	11.25	6404962	74076800.00
2022/08/25	11.16	11.39	10.54	10.63	5353017	57844944.00
2022/08/26	10.70	10.85	10.55	10.61	2759614	29455972.00
2022/08/29	10.37	10.70	10.37	10.63	1514106	16053700.00
2022/08/30	10.63	10.72	10.43	10.47	1717343	18085804.00
2022/08/31	10.47	10.58	9.81	9.89	4423795	44305072.00
2022/09/01	9.81	10.06	9.74	9.80	1725054	16974680.00
2022/09/02	9.88	10.11	9.83	10.01	1832666	18301852.00
2022/09/05	10.03	10.10	9.67	9.76	2730745	26822130.00
2022/09/06	9.75	9.86	9.62	9.84	2012530	19687856.00
2022/09/07	9.81	10.16	9.75	9.98	2737431	27395562.00
2022/09/08	9.95	10.15	9.70	9.74	2555696	25254488.00
2022/09/09	9.73	9.79	9.55	9.78	1898574	18368408.00
2022/09/13	9.82	10.02	9.79	9.99	1842311	18253528.00
2022/09/14	9.93	9.97	9.73	9.94	1485669	14615240.00
2022/09/15	9.89	9.92	9.21	9.33	3277179	31183962.00
2022/09/16	9.33	9.40	9.15	9.20	1542285	14265418.00
2022/09/19	9.20	9.30	8.88	8.93	1688593	15243486.00
2022/09/20	9.25	9.35	9.04	9.23	1824349	16832712.00
2022/09/21	9.29	9.30	9.04	9.22	1210449	11092220.00
2022/09/22	9.11	9.30	9.02	9.06	1352950	12387747.00
2022/09/23	9.12	9.16	8.72	8.83	1694271	14993374.00
2022/09/26	8.83	9.05	8.54	8.78	1843430	16294013.00
2022/09/27	8.86	9.05	8.84	9.03	1972006	17629444.00
2022/09/28	8.98	9.03	8.80	8.80	1677802	14910784.00
2022/09/29	8.95	8.95	8.55	8.60	1541838	13460152.00
2022/09/30	8.58	8.64	8.34	8.34	1638411	13824076.00
2022/10/10	8.38	8.43	8.05	8.08	2114249	17264878.00
2022/10/11	8.09	8.25	8.00	8.17	1390193	11282017.00
2022/10/12	8.22	8.53	8.05	8.47	2497429	20712234.00
2022/10/13	8.50	8.74	8.42	8.51	1702442	14632389.00
2022/10/14	8.62	8.77	8.50	8.70	1645303	14289495.00
2022/10/17	8.72	9.27	8.72	9.01	2743553	24841714.00
2022/10/18	9.20	9.24	8.97	9.00	1541040	13953336.00
2022/10/19	9.00	9.12	8.90	8.92	1270311	11414585.00
2022/10/20	8.86	8.98	8.70	8.79	1715385	15189470.00
