688311 盟升电子 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/07/31	150.00	185.20	135.88	136.76	19668717	3001204224.00
2020/08/03	142.00	153.89	136.66	144.16	12688836	1839564800.00
2020/08/04	146.51	153.65	137.00	138.39	9759541	1416304256.00
2020/08/05	139.00	146.60	126.51	143.62	9450991	1308475648.00
2020/08/06	142.90	155.21	140.15	150.80	9495566	1420910080.00
2020/08/07	155.04	173.38	155.04	165.60	9875038	1621931392.00
2020/08/10	170.89	182.50	152.00	157.10	9569343	1623102208.00
2020/08/11	177.00	180.00	167.05	172.00	7268802	1263571840.00
2020/08/12	166.00	169.58	153.15	168.00	6485947	1049100352.00
2020/08/13	164.50	171.95	161.28	163.80	4522620	754464960.00
2020/08/14	162.15	170.70	158.03	163.58	3538325	586178368.00
2020/08/17	163.58	168.88	158.00	165.50	3612604	589667264.00
2020/08/18	162.23	165.50	153.18	153.90	4135993	656638208.00
2020/08/19	152.45	156.66	141.00	141.00	4028942	599070720.00
2020/08/20	140.02	143.22	137.00	140.50	1785743	250258272.00
2020/08/21	141.70	142.80	135.00	135.01	1768891	245003920.00
2020/08/24	134.00	139.55	133.00	135.04	1688709	228440624.00
2020/08/25	134.60	134.60	123.01	124.09	3298730	421187392.00
2020/08/26	123.04	125.09	114.20	116.18	2912574	347588384.00
2020/08/27	117.02	123.14	108.08	122.99	3247200	377465376.00
2020/08/28	120.15	122.34	115.08	120.30	1558388	185633392.00
2020/08/31	120.53	129.97	119.99	126.01	2362500	298874912.00
2020/09/01	126.80	129.80	122.70	125.80	1335041	169206912.00
2020/09/02	124.20	129.28	123.62	128.13	1259145	159223664.00
2020/09/03	127.81	136.55	127.18	131.65	2595266	346923744.00
2020/09/04	126.00	131.69	126.00	130.30	934468	120864800.00
2020/09/07	129.89	131.99	118.30	118.45	1581978	196878576.00
2020/09/08	119.75	121.13	110.00	113.50	1909733	216505632.00
2020/09/09	112.40	112.40	105.61	106.00	1606761	174010384.00
2020/09/10	106.71	111.85	104.51	106.56	1293358	139672064.00
2020/09/11	106.56	110.75	106.00	109.99	666559	72544088.00
2020/09/14	113.00	118.16	111.41	113.05	1026098	117503784.00
2020/09/15	114.00	114.43	110.02	110.20	685826	76972472.00
2020/09/16	110.44	111.95	104.92	107.69	956006	103091584.00
2020/09/17	107.58	116.89	105.89	114.96	1476054	166257808.00
2020/09/18	114.47	117.28	112.20	114.19	1071006	122075224.00
2020/09/21	113.45	119.80	113.00	114.88	1452919	168807024.00
2020/09/22	114.32	115.67	109.20	109.73	1031270	115506832.00
2020/09/23	109.60	111.50	108.61	109.67	936071	102904248.00
2020/09/24	108.64	110.10	103.51	104.00	1266623	134025528.00
2020/09/25	104.21	106.79	102.00	106.00	966867	101509544.00
2020/09/28	105.98	107.00	100.72	100.88	776432	79830888.00
2020/09/29	101.15	105.95	101.15	104.95	750634	77982176.00
2020/09/30	105.01	105.98	101.10	101.55	831570	85493072.00
2020/10/09	102.86	105.33	102.56	105.11	1051154	109087184.00
2020/10/12	105.98	108.88	104.20	107.50	1395442	149269072.00
2020/10/13	106.65	108.39	104.81	105.81	1375921	145861840.00
2020/10/14	106.80	113.30	106.29	106.68	2512933	275376544.00
2020/10/15	105.00	106.50	101.68	101.70	1538153	159285312.00
2020/10/16	102.78	104.50	101.00	103.10	722775	74332952.00
2020/10/19	104.27	104.27	98.10	98.20	1391306	140332288.00
2020/10/20	98.20	98.90	94.00	96.65	1345249	129181072.00
2020/10/21	96.03	97.48	93.30	93.51	867797	82366384.00
2020/10/22	94.16	95.15	92.22	94.50	668150	62993388.00
2020/10/23	95.49	96.80	93.45	94.20	875734	83418824.00
2020/10/26	93.32	95.89	91.20	92.99	784825	72963920.00
2020/10/27	92.50	95.57	92.35	95.00	716608	67803408.00
2020/10/28	95.80	95.80	92.69	93.60	788986	74204520.00
2020/10/29	92.61	93.45	90.64	91.08	941782	86432480.00
2020/10/30	91.08	93.60	90.11	90.13	927704	85299120.00
2020/11/02	90.01	91.43	85.70	87.18	1296536	113771968.00
2020/11/03	87.49	95.70	87.24	95.00	2048608	190790688.00
2020/11/04	95.58	96.39	92.76	94.90	1010478	95322280.00
2020/11/05	96.91	96.91	92.30	93.27	1858309	173521088.00
2020/11/06	93.14	95.00	91.21	94.04	1216953	113222512.00
2020/11/09	94.35	103.38	94.35	102.62	2720887	273380832.00
2020/11/10	102.40	104.76	100.28	101.81	1351230	137707568.00
2020/11/11	102.00	105.20	99.68	100.71	1306448	132864656.00
2020/11/12	101.99	103.57	100.52	102.40	789421	80529800.00
2020/11/13	102.68	102.68	97.71	102.19	1158613	115985744.00
2020/11/16	101.80	102.95	100.02	102.35	837084	85269080.00
2020/11/17	102.37	103.78	95.50	96.37	1201705	118269072.00
2020/11/18	96.22	97.98	93.40	96.46	946374	90299672.00
2020/11/19	95.58	99.82	94.65	99.04	872482	85560040.00
2020/11/20	99.31	102.96	98.47	101.72	1151237	116633120.00
2020/11/23	101.72	101.72	98.00	99.00	871048	86638896.00
2020/11/24	98.90	107.70	98.69	104.00	2212448	230293888.00
2020/11/25	105.00	105.30	99.90	100.41	1216468	124032992.00
2020/11/26	101.00	103.43	99.99	100.80	854698	86840288.00
2020/11/27	101.10	101.59	97.26	99.47	1142597	112808352.00
2020/11/30	99.47	100.50	96.46	96.50	862288	84903432.00
2020/12/01	96.01	98.40	95.10	96.00	861907	82723888.00
2020/12/02	95.89	97.30	95.60	96.88	489527	47241916.00
2020/12/03	96.27	99.00	92.20	92.50	1355055	127461168.00
2020/12/04	93.29	94.00	91.51	92.03	857314	79212832.00
2020/12/07	91.99	96.68	91.90	91.99	1638269	154613824.00
2020/12/08	92.09	92.60	89.88	89.91	1020306	92775544.00
2020/12/09	90.88	93.48	89.51	90.77	1138059	104206016.00
2020/12/10	90.31	93.56	90.01	93.01	1385650	127755600.00
2020/12/11	93.70	95.94	92.32	93.00	1049634	98721552.00
2020/12/14	93.00	99.70	92.02	98.50	1839542	178382128.00
2020/12/15	98.00	106.36	97.10	102.38	2186518	224159232.00
2020/12/16	101.52	102.84	99.60	100.29	755188	76126552.00
2020/12/17	100.95	101.60	96.60	97.81	1069531	105235976.00
2020/12/18	97.90	104.80	97.22	104.00	1845121	188394128.00
2020/12/21	103.78	108.70	103.23	105.65	1546162	163586304.00
2020/12/22	105.01	105.65	99.60	101.00	1170362	120299816.00
2020/12/23	101.00	110.00	100.00	110.00	2021067	214134400.00
2020/12/24	111.11	121.50	110.00	111.71	3243580	373052704.00
2020/12/25	111.71	114.98	107.60	114.96	2190520	243316000.00
2020/12/28	117.50	123.02	114.53	115.30	2492882	295784928.00
2020/12/29	115.30	116.99	108.62	109.55	1768224	196346672.00
2020/12/30	109.76	114.84	108.01	110.99	1361928	151742864.00
2020/12/31	110.86	122.30	110.44	119.90	2391743	281964448.00
2021/01/04	121.80	128.58	121.80	127.54	2510545	317173120.00
2021/01/05	126.01	126.80	121.00	121.16	2034749	250942720.00
2021/01/06	122.30	122.47	109.01	111.00	3640982	419477184.00
2021/01/07	111.00	111.97	101.01	102.41	3221379	339413216.00
2021/01/08	103.26	103.80	87.01	89.99	4170782	387759456.00
2021/01/11	90.00	98.50	88.53	98.00	3533159	333720736.00
2021/01/12	96.38	107.80	94.80	102.17	2893644	297235008.00
2021/01/13	103.49	107.19	95.00	100.81	1978826	198166448.00
2021/01/14	99.68	100.21	93.13	93.99	1643333	157885856.00
2021/01/15	96.81	96.81	93.21	94.79	1011627	96112208.00
2021/01/18	94.24	98.92	94.18	96.50	1394371	134059928.00
2021/01/19	97.96	103.52	96.60	98.60	1607868	161598176.00
2021/01/20	98.06	101.81	97.01	99.50	1110542	110804352.00
2021/01/21	99.90	105.50	99.15	103.51	1516878	156106992.00
2021/01/22	104.54	104.54	98.12	99.51	970981	97056864.00
2021/01/25	99.00	107.50	98.51	105.55	1332267	140001920.00
2021/01/26	105.29	108.86	99.62	100.39	1097514	113811760.00
2021/01/27	100.30	101.36	94.92	96.31	988311	96386952.00
2021/01/28	97.04	99.30	95.51	96.00	668069	65069216.00
2021/01/29	97.05	98.00	92.50	93.26	678550	63836604.00
2021/02/01	93.40	93.88	89.00	93.03	1227362	112310584.00
2021/02/02	93.60	94.03	90.99	91.71	674580	61958276.00
2021/02/03	91.80	92.94	88.21	88.69	1276398	114948008.00
2021/02/04	88.79	89.40	80.82	82.12	1458693	122621480.00
2021/02/05	85.38	85.38	75.55	76.00	1434848	114063672.00
2021/02/08	76.90	79.85	75.60	78.89	777661	60797424.00
2021/02/09	79.05	82.41	79.00	81.51	505352	40943528.00
2021/02/10	81.60	81.80	79.75	81.28	433872	35200884.00
2021/02/18	83.23	84.80	81.29	84.19	495252	41417792.00
2021/02/19	84.01	89.77	83.72	87.00	786859	68419536.00
2021/02/22	87.00	88.00	84.40	85.01	483296	41710724.00
2021/02/23	84.03	84.87	81.00	82.22	623454	51533488.00
2021/02/24	82.22	83.84	80.83	81.75	393985	32281934.00
2021/02/25	82.46	82.75	78.33	78.76	653759	52020072.00
2021/02/26	78.00	83.78	78.00	81.80	877298	71935240.00
2021/03/01	83.71	83.71	80.69	83.33	530403	43668200.00
2021/03/02	83.88	84.64	79.87	80.00	731778	59460804.00
2021/03/03	80.30	81.60	79.08	80.83	452016	36363952.00
2021/03/04	80.11	81.68	78.19	78.99	518549	41571200.00
2021/03/05	78.48	79.48	77.34	79.20	447489	35189856.00
2021/03/08	79.91	79.91	76.00	76.07	518871	40335552.00
2021/03/09	76.07	76.20	71.60	71.60	593598	43557008.00
2021/03/10	72.02	73.13	71.20	71.52	292286	21019022.00
2021/03/11	71.52	73.33	70.66	72.45	504121	36261060.00
2021/03/12	72.47	72.79	70.09	70.51	432515	30586552.00
2021/03/15	70.80	71.01	67.00	67.90	563579	38622528.00
2021/03/16	67.82	68.90	66.46	67.70	321542	21720656.00
2021/03/17	67.79	68.80	67.11	68.80	290293	19801894.00
2021/03/18	68.98	70.39	68.31	69.77	321603	22339426.00
2021/03/19	69.00	72.47	68.40	71.26	625302	44451532.00
2021/03/22	71.26	71.78	70.51	71.07	329483	23417864.00
2021/03/23	71.00	71.70	69.10	69.78	276154	19544904.00
