688381 帝奥微 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/08/23	53.66	55.50	48.00	48.27	38376235	1918133248.00
2022/08/24	50.90	51.86	49.00	49.05	27431371	1386340864.00
2022/08/25	48.10	48.62	44.28	46.27	18692228	868297600.00
2022/08/26	46.70	47.18	43.21	43.30	13031468	586892864.00
2022/08/29	42.45	45.70	41.91	43.29	9859822	434163584.00
2022/08/30	43.59	45.23	43.31	44.45	6849598	303418784.00
2022/08/31	43.99	44.86	42.01	42.14	6734652	289607200.00
2022/09/01	42.65	43.70	41.66	41.88	4813243	205347984.00
2022/09/02	42.39	43.68	41.20	42.34	5608001	240083424.00
2022/09/05	42.40	42.40	39.50	39.80	7573600	307247296.00
2022/09/06	40.10	41.96	39.33	41.73	7228932	295499168.00
2022/09/07	41.27	43.67	41.21	42.84	7207145	308572224.00
2022/09/08	42.83	43.46	42.41	42.94	4937544	212544704.00
2022/09/09	42.60	44.38	42.41	43.60	6445247	279341024.00
2022/09/13	43.60	43.66	41.12	41.47	5067422	212731632.00
2022/09/14	40.49	42.45	40.44	41.95	4024707	168230064.00
2022/09/15	42.11	42.48	39.78	40.34	5271878	214137744.00
2022/09/16	40.41	42.06	40.00	41.45	4615316	190971312.00
2022/09/19	41.42	42.87	41.16	41.49	3821171	160043776.00
2022/09/20	41.11	42.76	40.88	41.69	3724893	156077216.00
2022/09/21	41.35	42.54	41.06	41.82	2952258	123457328.00
2022/09/22	41.52	43.05	41.19	42.92	3992224	169678688.00
2022/09/23	42.89	43.10	39.88	40.30	5290644	217123312.00
2022/09/26	39.81	40.28	37.88	38.00	4085712	158389760.00
2022/09/27	37.98	38.76	37.41	38.50	2823565	107550912.00
2022/09/28	38.28	38.87	35.44	35.55	4090731	149719696.00
2022/09/29	36.11	36.48	34.81	35.02	2595962	91833488.00
2022/09/30	34.75	35.08	32.35	32.48	3532597	118301936.00
2022/10/10	32.40	33.30	31.55	32.62	3810138	122967720.00
2022/10/11	32.36	33.15	31.61	32.88	2936898	95760232.00
2022/10/12	32.57	35.47	32.38	35.43	4259451	144559616.00
2022/10/13	34.79	35.80	34.70	35.21	2411061	85253664.00
2022/10/14	35.38	36.15	35.01	35.80	2151281	76754432.00
2022/10/17	35.79	36.81	35.32	36.24	2052715	74468040.00
2022/10/18	36.25	36.58	35.42	35.56	1986879	71334640.00
2022/10/19	35.57	36.11	34.96	35.21	1461147	51722384.00
2022/10/20	35.21	36.93	34.16	36.20	4745480	169685024.00
2022/10/21	36.00	36.28	34.52	35.91	3662267	129946560.00
2022/10/24	35.91	36.75	35.70	35.97	2941160	106800656.00
2022/10/25	35.87	36.34	35.00	35.30	2082405	74381688.00
2022/10/26	35.68	36.98	34.91	36.77	2531934	91932544.00
2022/10/27	36.74	37.17	35.20	35.21	3020922	108478208.00
2022/10/28	35.25	36.14	33.96	34.22	2537313	88590400.00
2022/10/31	33.80	36.83	33.58	36.64	3778340	136677760.00
2022/11/01	36.88	37.64	36.06	37.20	2787131	102724552.00
2022/11/02	37.35	38.80	37.35	38.20	4341369	165697632.00
2022/11/03	38.21	40.88	37.86	40.64	4577733	181197856.00
2022/11/04	40.69	42.80	40.69	42.66	7242249	304598144.00
2022/11/07	42.90	43.10	41.25	41.99	5222063	220762832.00
2022/11/08	41.50	42.37	40.32	41.00	3262383	133581176.00
2022/11/09	40.71	41.19	39.92	39.94	2620302	106138320.00
2022/11/10	39.88	41.29	39.39	39.70	2692743	108478104.00
2022/11/11	41.10	45.45	41.06	41.79	6965680	301049952.00
2022/11/14	41.23	43.43	40.80	41.30	4312538	181322928.00
2022/11/15	42.00	45.20	41.15	44.29	7656659	336161536.00
