688513 苑东生物 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/09/02	78.00	88.00	74.60	74.72	17928815	1428405248.00
2020/09/03	71.10	79.44	70.12	73.30	10138729	765733440.00
2020/09/04	72.00	72.00	65.28	65.37	8494163	577098688.00
2020/09/07	64.51	65.99	59.58	59.73	6034315	376869664.00
2020/09/08	59.70	61.10	55.38	56.50	5131143	297213696.00
2020/09/09	56.00	56.89	52.20	52.20	4115266	223853264.00
2020/09/10	52.50	52.84	49.61	50.18	3063283	156614320.00
2020/09/11	49.74	52.47	49.51	51.27	2775367	142314544.00
2020/09/14	52.10	52.51	51.28	51.73	1893534	98248288.00
2020/09/15	51.11	54.24	51.11	53.10	2750837	145768208.00
2020/09/16	52.99	54.77	52.50	54.31	2261922	121604712.00
2020/09/17	53.93	59.30	53.60	57.15	4760626	271099616.00
2020/09/18	56.16	57.00	55.42	56.19	2154346	120781816.00
2020/09/21	55.92	56.49	54.55	55.00	1633346	89969776.00
2020/09/22	54.58	57.68	54.58	55.47	1936578	108517504.00
2020/09/23	55.30	57.20	55.30	56.70	2126516	120317136.00
2020/09/24	56.50	56.50	54.63	55.07	1520559	83994840.00
2020/09/25	55.40	56.36	54.22	54.48	1174853	64842392.00
2020/09/28	54.39	54.43	51.00	51.20	1702625	88586480.00
2020/09/29	52.00	52.18	50.86	51.62	849472	43853272.00
2020/09/30	52.00	52.16	51.33	51.60	930665	48078824.00
2020/10/09	52.60	53.17	52.19	53.00	1182149	62348420.00
2020/10/12	53.00	55.12	52.90	55.03	1534035	83225744.00
2020/10/13	55.14	55.98	54.49	55.68	1339979	74191352.00
2020/10/14	55.50	58.66	55.06	56.58	2467044	140081472.00
2020/10/15	56.34	56.34	54.58	54.72	1474380	81203176.00
2020/10/16	54.83	55.72	54.28	55.56	1153712	63268944.00
2020/10/19	55.57	57.00	55.05	55.34	1191106	66709368.00
2020/10/20	55.55	56.88	55.00	56.22	1275918	71633024.00
2020/10/21	56.52	57.14	55.42	56.36	1336051	75130256.00
2020/10/22	55.98	56.23	54.30	54.80	1379462	75717056.00
2020/10/23	54.80	55.47	52.50	52.84	1338186	71935664.00
2020/10/26	52.84	53.95	52.51	53.80	732259	39118648.00
2020/10/27	54.14	55.28	54.14	54.47	1082721	59288884.00
2020/10/28	54.61	54.80	53.80	54.50	767954	41772240.00
2020/10/29	54.39	54.39	53.50	53.73	907573	48828784.00
2020/10/30	54.25	54.27	52.11	52.16	1021937	54330788.00
