688598 金博股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/05/18	110.00	111.90	90.88	90.93	13216979	1268909440.00
2020/05/19	90.30	97.50	86.00	96.15	9523864	889619968.00
2020/05/20	95.70	104.00	89.90	92.15	7999661	773436608.00
2020/05/21	90.30	91.98	86.50	87.00	5074852	451369792.00
2020/05/22	87.88	92.38	86.52	88.00	4315261	385361632.00
2020/05/25	88.67	88.67	76.72	78.30	5374410	432318720.00
2020/05/26	78.47	81.50	77.51	79.58	3531236	280279200.00
2020/05/27	82.04	93.15	82.04	90.30	7511256	659744128.00
2020/05/28	93.06	94.97	86.38	92.36	6932776	632359040.00
2020/05/29	88.00	91.33	87.00	88.10	4533022	403455520.00
2020/06/01	89.10	96.59	86.00	95.00	5929622	551817408.00
2020/06/02	97.50	102.69	94.76	94.90	6276296	617406592.00
2020/06/03	93.02	98.08	90.09	97.98	5746711	535569376.00
2020/06/04	96.00	97.48	92.28	92.78	3906238	370155968.00
2020/06/05	92.63	94.48	91.16	91.90	2528243	233528656.00
2020/06/08	91.60	93.36	88.66	88.83	2730101	249332992.00
2020/06/09	88.83	90.29	86.21	88.78	2233909	196560592.00
2020/06/10	88.23	90.39	87.10	88.80	1688925	150052832.00
2020/06/11	87.99	90.69	85.70	86.11	2611134	229447568.00
2020/06/12	82.66	84.86	82.37	83.99	2070925	173418752.00
2020/06/15	83.08	84.77	81.30	81.32	2074720	171373024.00
2020/06/16	82.39	84.78	81.73	84.74	1859013	154326848.00
2020/06/17	84.11	86.45	82.05	86.10	2304075	195254096.00
2020/06/18	85.88	86.87	85.00	85.65	1455225	124840192.00
2020/06/19	85.05	85.81	84.00	84.82	1325105	112534928.00
2020/06/22	85.33	87.85	85.00	86.63	1958041	169929200.00
2020/06/23	86.21	86.63	83.33	84.25	1864518	156966704.00
2020/06/24	85.00	88.59	84.57	87.62	2505565	218317232.00
2020/06/29	87.50	91.45	87.35	88.89	2258329	202740608.00
2020/06/30	90.01	94.32	90.01	92.35	3171529	291929440.00
