688618 三旺通信 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/12/30	54.00	86.40	50.05	61.17	8241055	459894336.00
2020/12/31	54.95	56.80	53.27	53.66	5277164	288640896.00
2021/01/04	53.22	56.49	52.66	55.29	3231027	176305744.00
2021/01/05	54.15	65.96	53.20	63.79	5229358	312624416.00
2021/01/06	61.98	67.58	60.08	64.50	4298984	276737920.00
2021/01/07	63.55	67.56	60.86	66.70	4025623	259088208.00
2021/01/08	66.80	68.80	64.64	66.00	2688604	180100224.00
2021/01/11	65.85	66.49	56.00	56.10	3302217	198977344.00
2021/01/12	56.00	56.00	52.71	53.18	1849544	100255120.00
2021/01/13	53.38	55.78	52.03	53.68	1470048	79234184.00
2021/01/14	53.69	56.56	51.88	55.21	1753757	96051496.00
2021/01/15	55.00	58.11	53.62	56.00	1624745	91232520.00
2021/01/18	54.70	56.76	54.70	55.55	1435409	79521296.00
2021/01/19	55.49	58.08	55.08	56.33	1149894	65235068.00
2021/01/20	56.40	57.51	54.42	54.80	1222634	67890472.00
2021/01/21	54.00	55.50	53.70	54.50	1156687	62992748.00
2021/01/22	54.00	55.00	51.98	52.50	1316906	69786152.00
2021/01/25	52.31	53.38	51.10	51.56	832278	43160372.00
2021/01/26	51.19	53.36	51.19	52.90	847364	44658684.00
2021/01/27	52.33	52.80	51.46	51.67	668079	34590880.00
2021/01/28	51.10	52.50	50.65	50.65	598275	30806678.00
2021/01/29	50.60	51.45	46.00	47.62	1156674	55600984.00
2021/02/01	46.60	49.88	46.60	49.76	967195	47207888.00
2021/02/02	49.40	50.30	47.63	47.88	661705	32014032.00
2021/02/03	47.48	48.28	45.84	45.90	673514	31433264.00
2021/02/04	45.73	46.22	43.58	44.56	585101	26073448.00
2021/02/05	44.20	45.34	42.53	42.53	653090	28466536.00
2021/02/08	42.53	43.13	40.70	40.85	587849	24549082.00
2021/02/09	40.92	41.60	40.77	41.37	506867	20917624.00
2021/02/10	41.59	42.55	41.20	42.36	508934	21331232.00
2021/02/18	42.88	43.65	42.43	42.80	555535	23899662.00
2021/02/19	43.01	45.37	42.57	45.20	701686	30818566.00
2021/02/22	45.29	46.12	44.28	44.30	741130	33487660.00
2021/02/23	44.35	44.67	43.50	44.18	297740	13097577.00
2021/02/24	44.20	45.38	43.99	44.47	387312	17295040.00
2021/02/25	45.47	45.47	43.67	43.75	380527	16820258.00
2021/02/26	43.50	44.02	42.83	43.79	371182	16164558.00
2021/03/01	43.10	45.23	43.10	45.06	569234	25174468.00
2021/03/02	45.11	45.30	44.00	44.26	433011	19238932.00
2021/03/03	44.16	46.00	44.16	45.95	699005	31678392.00
2021/03/04	45.92	45.92	45.01	45.51	494189	22460218.00
2021/03/05	44.58	46.94	44.50	46.00	546040	25214450.00
2021/03/08	46.34	46.45	44.82	44.89	588059	26785630.00
2021/03/09	45.60	45.60	42.80	42.82	458309	19956752.00
2021/03/10	43.33	43.65	41.67	41.81	338606	14337734.00
2021/03/11	41.88	42.70	41.18	42.45	267576	11288290.00
2021/03/12	42.60	42.66	41.70	41.96	379270	15898657.00
2021/03/15	41.72	42.56	41.10	42.49	441223	18414554.00
2021/03/16	42.56	43.44	42.48	42.68	324137	13885649.00
2021/03/17	42.74	45.29	42.74	45.01	871302	38525468.00
2021/03/18	44.85	45.78	44.51	45.20	695962	31481354.00
2021/03/19	44.80	47.50	44.71	46.55	889440	41392412.00
2021/03/22	46.58	47.50	45.61	47.39	665870	31085048.00
2021/03/23	47.00	47.50	46.00	46.10	457507	21345980.00
2021/03/24	45.86	46.65	45.52	46.23	390819	17986422.00
2021/03/25	46.59	46.75	45.57	45.90	326862	15126588.00
2021/03/26	46.15	46.15	44.88	45.50	434469	19690260.00
2021/03/29	45.20	45.70	44.45	44.99	518412	23240522.00
2021/03/30	45.19	45.30	43.75	44.13	312696	13825719.00
2021/03/31	44.13	44.75	43.69	44.33	242127	10753176.00
2021/04/01	44.71	44.71	43.12	43.98	339887	14865293.00
2021/04/02	44.33	46.30	43.78	45.43	625643	28264088.00
2021/04/06	46.01	46.44	45.30	46.21	505056	23135038.00
2021/04/07	45.94	46.77	45.41	46.42	374461	17289094.00
2021/04/08	46.42	47.10	45.81	45.91	389610	18101838.00
2021/04/09	45.91	46.91	45.50	46.12	335412	15546651.00
2021/04/12	46.30	46.30	44.36	44.53	455107	20518480.00
2021/04/13	44.56	44.78	43.53	43.59	357509	15756505.00
2021/04/14	44.33	44.78	43.13	44.60	292123	12904598.00
2021/04/15	43.89	44.20	43.57	43.90	198442	8693082.00
2021/04/16	43.90	45.00	43.68	44.90	274484	12229043.00
2021/04/19	45.20	47.28	44.52	47.00	716134	33213974.00
2021/04/20	47.00	47.31	46.00	46.18	484503	22600814.00
2021/04/21	46.01	46.88	45.81	46.35	286030	13244746.00
2021/04/22	46.37	47.21	46.21	46.82	406812	18986124.00
2021/04/23	45.69	45.77	43.55	43.60	1174664	52186944.00
2021/04/26	43.60	44.24	42.89	43.56	500730	21807192.00
2021/04/27	44.05	44.18	41.86	42.36	492815	20906600.00
2021/04/28	42.35	43.36	42.35	42.75	350589	15041888.00
2021/04/29	40.50	40.50	37.31	37.31	1595444	61075740.00
2021/04/30	37.30	37.30	35.90	35.96	624390	22728322.00
2021/05/06	36.28	36.28	35.76	36.03	348509	12526176.00
2021/05/07	36.04	36.71	35.70	36.12	381172	13838459.00
2021/05/10	36.16	36.38	35.80	36.24	273545	9863166.00
2021/05/11	36.08	36.63	35.62	36.56	295715	10719320.00
2021/05/12	36.56	36.66	36.03	36.58	278379	10150421.00
2021/05/13	36.55	36.78	36.11	36.46	238139	8695644.00
2021/05/14	36.28	36.75	36.28	36.68	227612	8341975.00
2021/05/17	36.68	36.69	36.22	36.55	296894	10820577.00
2021/05/18	36.70	37.18	36.27	37.10	375847	13792323.00
2021/05/19	37.08	37.08	36.46	36.63	296372	10862737.00
2021/05/20	36.45	36.59	36.16	36.27	231563	8403734.00
2021/05/21	36.88	36.88	36.00	36.03	189103	6856466.00
2021/05/24	36.06	36.32	35.90	36.17	274035	9888386.00
2021/05/25	36.20	36.63	36.05	36.50	297462	10821059.00
2021/05/26	36.48	37.39	36.46	37.28	461799	17092974.00
