688676 金盘科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/03/09	28.00	29.80	23.51	24.35	26092326	682618368.00
2021/03/10	23.68	26.03	19.80	20.22	18213688	406997632.00
2021/03/11	19.08	21.00	18.49	19.44	12772159	247838928.00
2021/03/12	19.00	19.26	17.91	18.05	10828334	199744240.00
2021/03/15	18.24	18.80	17.66	18.01	7203189	131541112.00
2021/03/16	18.10	18.11	17.37	17.48	7145254	126067160.00
2021/03/17	17.79	18.15	17.49	17.59	5346678	94863128.00
2021/03/18	17.58	17.58	16.85	16.85	6022716	102801896.00
2021/03/19	16.65	17.24	16.62	16.87	4342124	73681504.00
2021/03/22	16.93	17.99	16.93	17.70	6945372	122431592.00
2021/03/23	17.60	18.46	17.30	17.50	6610591	117690192.00
2021/03/24	17.45	17.45	16.67	16.82	4420521	75117880.00
2021/03/25	16.83	17.26	16.61	17.10	2951697	50041956.00
2021/03/26	17.30	17.44	16.92	17.08	2798642	47917692.00
2021/03/29	17.02	17.15	16.73	16.81	2412991	40883244.00
2021/03/30	16.82	16.89	16.30	16.36	3055014	50363840.00
2021/03/31	16.58	16.83	16.30	16.71	2356897	39318648.00
2021/04/01	16.83	17.54	16.58	17.26	4357812	74781992.00
2021/04/02	17.40	17.66	17.06	17.38	3763019	65294756.00
2021/04/06	17.50	17.51	17.13	17.20	2350865	40538432.00
2021/04/07	17.28	17.94	16.80	17.88	5129488	89087656.00
2021/04/08	17.78	18.29	17.51	17.52	5559427	99437856.00
2021/04/09	17.55	18.90	17.23	18.65	8566898	155852960.00
2021/04/12	19.28	22.30	19.28	20.48	14923726	308863264.00
2021/04/13	19.80	19.99	18.55	18.70	9065390	174162064.00
2021/04/14	18.92	19.49	18.20	18.95	6723110	127607600.00
2021/04/15	18.62	19.17	18.38	18.60	4104679	76189240.00
2021/04/16	18.50	19.31	17.94	19.05	5550400	103780288.00
2021/04/19	19.08	20.68	18.77	20.01	7358401	145538656.00
2021/04/20	19.60	20.50	18.92	19.06	5894543	115397656.00
2021/04/21	18.68	19.13	18.25	18.44	3620633	67230656.00
2021/04/22	18.37	18.61	18.20	18.51	2228643	41018316.00
2021/04/23	18.62	18.62	17.72	17.72	2945011	53195300.00
2021/04/26	17.61	17.98	17.18	17.30	2396820	42009468.00
2021/04/27	17.43	17.87	17.10	17.58	1917920	33370410.00
2021/04/28	17.59	17.59	17.11	17.25	1593580	27603124.00
2021/04/29	17.20	17.32	16.85	16.88	1749602	29814308.00
2021/04/30	16.88	16.98	16.25	16.31	1993563	32871794.00
2021/05/06	16.54	16.89	16.39	16.57	1594214	26542510.00
2021/05/07	16.67	16.95	16.50	16.67	1675053	28015108.00
2021/05/10	16.77	16.88	16.30	16.42	1326016	21772166.00
2021/05/11	16.40	16.56	16.20	16.56	1473556	24120402.00
2021/05/12	16.50	17.10	16.30	16.96	1735909	29114604.00
2021/05/13	16.79	17.04	16.40	16.42	1531594	25546934.00
2021/05/14	16.68	16.86	16.40	16.73	1341165	22366462.00
2021/05/17	16.70	16.98	16.46	16.82	1958542	32829360.00
2021/05/18	16.81	17.17	16.68	16.99	1943149	33024212.00
2021/05/19	17.00	17.07	16.68	16.86	1430285	24100196.00
2021/05/20	16.76	16.87	16.41	16.83	1618850	26901836.00
2021/05/21	16.83	16.83	16.38	16.61	1691818	27998990.00
2021/05/24	16.57	16.57	16.32	16.47	963456	15839394.00
2021/05/25	16.47	16.67	16.37	16.55	1288244	21252932.00
