000037 深南电A 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	3.19	3.31	3.19	3.29	1351000	4389279.00
2009/01/06	3.29	3.45	3.25	3.44	2695300	9018045.00
2009/01/07	3.38	3.44	3.36	3.40	2026400	6884858.00
2009/01/08	3.37	3.37	3.21	3.24	1848700	6049695.50
2009/01/09	3.27	3.45	3.27	3.35	2438900	8237000.50
2009/01/12	3.25	3.41	3.25	3.34	1886400	6353110.50
2009/01/13	3.34	3.39	3.28	3.39	1772300	5913544.50
2009/01/14	3.39	3.52	3.38	3.51	3207400	11110831.00
2009/01/15	3.44	3.56	3.44	3.49	2986800	10484559.00
2009/01/16	3.51	3.63	3.49	3.58	2711200	9653396.00
2009/01/19	3.64	3.69	3.53	3.59	2125700	7657192.50
2009/01/20	3.59	3.62	3.47	3.55	1441400	5085774.50
2009/01/22	3.55	3.56	3.47	3.54	2027500	7152531.00
2009/01/23	3.57	3.60	3.44	3.45	1984800	6924378.50
2009/02/02	3.45	3.56	3.45	3.54	1357600	4775478.50
2009/02/03	3.54	3.76	3.54	3.73	4040900	14780456.00
2009/02/04	3.78	3.85	3.74	3.80	3892200	14818630.00
2009/02/05	3.82	3.89	3.61	3.69	3342000	12655474.00
2009/02/06	3.75	3.95	3.70	3.95	5041900	19435148.00
2009/02/09	3.99	4.09	3.95	4.03	4744000	19081002.00
2009/02/10	4.04	4.36	3.95	4.36	6188100	25373618.00
2009/02/11	4.39	4.70	4.39	4.60	11789000	54203148.00
2009/02/12	4.61	4.65	4.27	4.55	5576600	24889056.00
2009/02/13	4.50	4.67	4.41	4.66	7069300	32293012.00
2009/02/16	4.60	4.76	4.56	4.70	5778200	27009730.00
2009/02/17	4.75	4.92	4.52	4.54	6194800	29481520.00
2009/02/18	4.43	4.48	4.16	4.17	4421300	18994592.00
2009/02/19	4.27	4.27	4.15	4.23	2227800	9379346.00
2009/02/20	4.21	4.38	4.17	4.38	2390100	10249991.00
2009/02/23	4.38	4.60	4.30	4.58	3167200	14248731.00
2009/02/24	4.56	4.70	4.29	4.29	4341700	19289658.00
2009/02/25	4.26	4.36	4.08	4.23	3169500	13373483.00
2009/02/26	4.24	4.35	3.88	3.99	2737500	11557279.00
2009/02/27	3.92	4.05	3.63	3.66	2446700	9197917.00
2009/03/02	3.65	3.78	3.60	3.77	1575600	5878323.50
2009/03/03	3.71	3.86	3.62	3.85	1962700	7379218.00
2009/03/04	3.85	4.09	3.85	4.08	2146900	8559727.00
2009/03/05	4.11	4.17	4.01	4.14	3503000	14353309.00
2009/03/06	4.07	4.13	4.01	4.06	1925400	7831372.50
2009/03/09	4.03	4.16	3.90	3.93	2127100	8612366.00
2009/03/10	3.88	4.05	3.84	4.05	1383800	5421666.00
2009/03/11	4.10	4.13	4.00	4.03	1459900	5915126.50
2009/03/12	4.00	4.04	3.86	4.00	1276800	5032876.00
2009/03/13	4.03	4.05	3.93	3.97	1288500	5151814.00
2009/03/16	3.97	4.14	3.91	4.14	1979800	8016569.50
2009/03/17	4.32	4.55	4.32	4.55	10721500	48230676.00
2009/03/18	4.65	4.65	4.48	4.51	9568000	43586972.00
2009/03/19	4.50	4.58	4.37	4.55	5727100	25642216.00
2009/03/20	4.50	4.58	4.38	4.45	3769900	16791786.00
2009/03/23	4.46	4.51	4.38	4.49	4013500	17904834.00
2009/03/24	4.51	4.55	4.42	4.51	4446100	19973344.00
2009/03/25	4.51	4.88	4.45	4.60	11164900	53110084.00
2009/03/26	4.55	4.80	4.47	4.74	5462800	25265256.00
2009/03/27	4.80	4.84	4.60	4.68	4005300	18735430.00
2009/03/30	4.68	4.73	4.58	4.70	3124000	14574453.00
2009/03/31	4.62	4.62	4.47	4.58	3698600	16782848.00
2009/04/01	4.60	4.75	4.55	4.71	4230000	19723600.00
2009/04/02	4.67	4.71	4.62	4.63	3793100	17671352.00
2009/04/03	4.65	4.67	4.50	4.54	2679900	12271297.00
2009/04/08	4.54	4.61	4.47	4.49	2340600	10618221.00
2009/04/09	4.40	4.50	4.32	4.46	2339700	10295363.00
2009/04/10	4.48	4.57	4.41	4.55	2461300	11125729.00
2009/04/13	4.56	4.67	4.56	4.65	3378400	15557907.00
2009/04/14	4.65	4.71	4.60	4.71	4628200	21580566.00
2009/04/15	4.70	4.70	4.54	4.68	3261200	15063462.00
2009/04/16	4.66	4.85	4.56	4.77	6257400	29463916.00
2009/04/17	4.79	4.79	4.55	4.68	4218900	19738258.00
2009/04/20	4.65	4.94	4.64	4.90	6500300	31436540.00
2009/04/21	4.88	4.93	4.80	4.92	5090900	24748974.00
2009/04/22	4.99	5.10	4.56	4.60	5449800	26465746.00
2009/04/23	4.59	4.64	4.41	4.57	2881100	13033390.00
2009/04/24	4.57	4.69	4.55	4.62	2818200	13030291.00
2009/04/27	4.63	4.63	4.25	4.28	2644100	11649058.00
2009/04/28	4.28	4.40	4.22	4.30	1463600	6287519.50
2009/04/30	4.43	4.55	4.43	4.48	3040100	13644269.00
2009/05/04	4.48	4.60	4.39	4.60	3060000	13882669.00
2009/05/05	4.62	4.84	4.61	4.77	6076900	28682038.00
2009/05/06	4.75	4.91	4.68	4.88	6320300	30545398.00
2009/05/07	4.90	5.03	4.80	4.92	12679800	62568856.00
2009/05/08	4.99	4.99	4.85	4.95	7377500	36449688.00
2009/05/11	4.95	4.99	4.66	4.70	4754800	23126422.00
2009/05/12	4.65	4.76	4.58	4.74	3853600	17995014.00
2009/05/13	4.74	4.83	4.71	4.80	3045400	14590386.00
2009/05/14	4.78	4.83	4.66	4.83	2869600	13656188.00
2009/05/15	4.86	4.93	4.81	4.89	3653100	17797190.00
2009/05/18	4.86	5.02	4.84	5.00	5589300	27655242.00
2009/05/19	5.04	5.08	4.93	4.94	4496200	22403992.00
2009/05/20	4.95	5.06	4.89	4.96	6632300	33008844.00
2009/05/21	4.94	5.46	4.88	5.38	18272900	94609544.00
2009/05/22	5.20	5.32	5.11	5.13	8986449	46664112.00
2009/05/25	5.01	5.03	4.81	4.98	5846275	28779926.00
2009/05/26	4.94	5.08	4.85	4.98	4954380	24752802.00
2009/05/27	5.03	5.10	4.92	4.95	3973578	19957332.00
2009/06/01	4.97	5.04	4.90	4.95	4858726	24167048.00
2009/06/02	4.99	5.23	4.97	5.11	7191720	36799704.00
2009/06/03	5.10	5.13	5.05	5.08	4734117	24044908.00
2009/06/04	5.09	5.11	4.84	5.03	5556507	27678112.00
2009/06/05	5.00	5.06	4.95	4.98	3094510	15443499.00
2009/06/08	4.95	5.03	4.94	5.00	4147714	20709040.00
2009/06/09	4.99	5.06	4.88	5.05	6342950	31533078.00
2009/06/10	5.05	5.18	5.03	5.12	8009152	40960788.00
