000408 藏格矿业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	4.04	4.08	3.94	4.08	2960600	11929271.00
2009/01/06	4.07	4.28	4.00	4.23	3027600	12622178.00
2009/01/07	4.23	4.42	4.17	4.29	3456600	14870674.00
2009/01/08	4.21	4.36	4.20	4.26	3199100	13668326.00
2009/01/09	4.33	4.34	4.20	4.28	2627700	11205490.00
2009/01/12	4.30	4.30	4.20	4.22	2736100	11592786.00
2009/01/13	4.16	4.21	4.01	4.01	3842500	15478572.00
2009/01/14	3.83	4.15	3.83	4.15	5040600	20007338.00
2009/01/15	4.05	4.10	3.94	3.94	4617100	18494200.00
2009/01/16	3.95	4.03	3.91	3.96	2998700	11960323.00
2009/01/19	4.00	4.16	3.91	4.16	6930300	28144668.00
2009/01/20	4.12	4.37	4.09	4.36	7659300	32751330.00
2009/01/21	4.29	4.46	4.29	4.37	3648600	15956068.00
2009/01/22	4.36	4.57	4.35	4.52	4136500	18521564.00
2009/01/23	4.45	4.57	4.30	4.30	3046500	13537952.00
2009/02/02	4.45	4.46	4.32	4.42	3152700	13886619.00
2009/02/03	4.42	4.64	4.38	4.64	8927100	41127096.00
2009/02/04	4.75	4.87	4.75	4.87	1052800	5109074.50
2009/02/05	5.11	5.11	5.11	5.11	1820400	9302689.00
2009/02/06	5.37	5.37	5.37	5.37	503700	2705277.00
2009/02/09	5.64	5.64	5.31	5.64	33946300	188505328.00
2009/02/10	5.68	5.92	5.55	5.90	24445200	143009344.00
2009/02/11	5.79	6.06	5.61	5.62	19558300	113365160.00
2009/02/12	5.61	5.90	5.61	5.90	12284100	71235040.00
2009/02/13	6.20	6.20	5.91	5.97	16242700	98994048.00
2009/02/16	6.01	6.27	5.83	6.27	14173900	86374384.00
2009/02/17	6.56	6.58	6.22	6.58	16547100	107163112.00
2009/02/18	6.41	6.87	6.36	6.68	12174800	81647200.00
2009/02/19	6.70	6.89	6.35	6.35	15540200	100870688.00
2009/02/20	6.22	6.29	6.03	6.15	10542700	64248812.00
2009/02/23	6.16	6.34	6.01	6.24	8257500	51146612.00
2009/02/24	6.24	6.48	5.93	5.93	11198300	68744728.00
