000516 国际医学 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	7.07	7.30	6.91	7.28	2162800	15464863.00
2009/01/06	7.23	7.46	7.15	7.45	2773700	20311664.00
2009/01/07	7.50	7.50	7.28	7.35	1603700	11799510.00
2009/01/08	7.22	7.30	7.02	7.10	1402300	10003568.00
2009/01/09	7.04	7.38	7.02	7.36	1567000	11367770.00
2009/01/12	7.36	7.58	7.21	7.40	1676600	12389795.00
2009/01/13	7.28	7.42	7.14	7.20	1025200	7472050.50
2009/01/14	7.30	7.38	7.18	7.38	1156200	8421708.00
2009/01/15	7.22	7.45	7.21	7.32	1257000	9215445.00
2009/01/16	7.36	7.48	7.20	7.25	2344400	17210286.00
2009/01/19	7.24	7.34	6.89	6.95	2371000	16709430.00
2009/01/20	6.95	7.04	6.86	6.98	1139600	7918052.50
2009/01/21	6.96	7.16	6.90	7.11	3596900	25307658.00
2009/01/22	7.10	7.14	6.94	7.02	2005900	14079800.00
2009/01/23	7.02	7.08	6.92	6.97	1120800	7798791.00
2009/02/02	7.00	7.18	6.93	7.13	1554300	10997966.00
2009/02/03	7.12	7.50	7.12	7.48	3114700	22769330.00
2009/02/04	7.68	7.68	7.27	7.41	3680300	27186994.00
2009/02/05	7.43	7.65	7.33	7.65	4487700	33622984.00
2009/02/06	7.63	8.40	7.61	8.35	9021000	72995736.00
2009/02/09	8.37	8.37	8.06	8.28	8407800	69222464.00
2009/02/10	8.25	8.31	8.12	8.30	4069000	33410340.00
2009/02/11	8.29	8.57	8.16	8.22	5494000	46047916.00
2009/02/12	8.18	8.28	7.88	8.13	3138200	25332040.00
2009/02/13	8.24	8.47	8.21	8.43	4995100	41890888.00
2009/02/16	8.49	8.78	8.25	8.70	4343800	36828724.00
2009/02/17	8.61	8.61	8.13	8.15	2833500	23641244.00
2009/02/18	8.00	8.15	7.77	7.79	2307700	18336616.00
2009/02/19	7.88	8.00	7.80	7.95	1181800	9320542.00
2009/02/20	7.94	8.10	7.87	8.04	1767700	14159006.00
2009/02/23	8.06	8.32	7.98	8.29	1945100	15955055.00
2009/02/24	8.21	8.37	7.81	7.81	3127800	25240880.00
2009/02/25	7.82	7.96	7.43	7.72	2693800	20720632.00
2009/02/26	7.68	7.79	6.95	7.06	4014800	29921104.00
2009/02/27	7.08	7.65	6.92	7.50	6749700	49041884.00
2009/03/02	7.40	8.00	7.30	8.00	7792800	59861592.00
2009/03/03	7.75	7.96	7.60	7.76	5208600	40635044.00
2009/03/04	7.85	8.22	7.71	8.18	5976800	48321656.00
2009/03/05	8.22	8.34	7.89	8.15	8956600	72454640.00
2009/03/06	7.91	7.98	7.72	7.77	3860600	30185356.00
2009/03/09	7.78	7.91	7.20	7.21	3605500	27138144.00
2009/03/10	7.24	7.44	7.20	7.42	1830100	13356781.00
2009/03/11	7.58	7.59	7.31	7.34	2145700	15892979.00
2009/03/12	7.23	7.36	7.07	7.25	1888300	13590215.00
2009/03/16	7.20	7.33	7.06	7.28	1190900	8581868.00
2009/03/17	7.31	7.58	7.28	7.51	2194700	16356866.00
2009/03/18	7.55	7.77	7.55	7.63	2975000	22777300.00
2009/03/19	7.63	7.90	7.61	7.90	3340200	25922374.00
2009/03/20	7.96	8.10	7.78	7.89	4785900	38010956.00
2009/03/23	7.88	7.96	7.72	7.92	3227400	25384848.00
2009/03/24	8.00	8.04	7.85	7.90	2946500	23379466.00
2009/03/25	7.85	8.69	7.85	8.66	14816500	125988256.00
2009/03/26	8.38	8.75	8.36	8.64	7802400	66761888.00
2009/03/27	8.64	9.22	8.38	9.10	10632200	91863960.00
2009/03/30	8.95	9.12	8.76	8.80	5572400	49732152.00
2009/03/31	8.60	8.97	8.45	8.90	4159000	36263896.00
2009/04/01	8.90	9.07	8.72	8.85	4869700	43359124.00
2009/04/02	8.89	9.34	8.86	9.10	5898900	53959220.00
2009/04/03	9.13	9.24	8.91	8.97	3700400	33462918.00
2009/04/07	8.98	9.26	8.90	9.00	3591300	32484384.00
2009/04/08	9.04	9.38	8.90	9.10	6306300	57743000.00
2009/04/09	9.04	9.20	8.75	9.13	3860500	34772388.00
2009/04/10	9.19	10.04	9.10	9.87	5896400	57314712.00
2009/04/13	9.89	10.30	9.70	9.96	4080700	40866696.00
2009/04/14	9.94	10.08	9.67	9.95	3293900	32407592.00
2009/04/15	9.90	10.45	9.80	10.30	7722400	78606792.00
2009/04/16	10.35	11.00	10.21	10.74	6318900	66747508.00
2009/04/17	10.74	11.80	10.74	11.29	10238200	115580192.00
2009/04/20	11.32	12.42	11.32	12.42	10758400	130636552.00
2009/04/27	12.51	12.86	11.75	11.75	7962400	97011360.00
2009/04/28	11.75	12.64	11.73	12.56	5064900	61578184.00
2009/04/29	12.41	12.79	12.14	12.52	4715500	58395860.00
2009/04/30	12.58	13.70	12.56	13.55	6542600	87403112.00
2009/05/04	13.54	14.06	13.50	14.04	5847400	80277592.00
2009/05/05	13.90	14.38	13.71	14.12	5403500	75442280.00
2009/05/06	14.00	14.38	13.85	13.95	4490600	63357428.00
2009/05/07	14.00	14.19	13.40	14.08	5664500	77885176.00
2009/05/08	13.90	14.02	13.61	13.76	2634700	36448620.00
2009/05/11	13.65	13.99	13.40	13.40	2671700	36540952.00
2009/05/12	13.49	13.97	13.40	13.97	3397400	46852292.00
2009/05/13	13.90	14.08	13.60	13.98	3423100	47636452.00
2009/05/14	13.81	13.96	13.70	13.92	2117900	29262948.00
