000529 广弘控股 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/09/11	7.83	9.97	7.83	8.15	82016257	686618688.00
2009/09/14	8.65	8.97	8.65	8.97	36500274	326512544.00
2009/09/15	9.40	9.61	9.01	9.22	75404101	699724608.00
2009/09/16	9.40	9.47	8.80	9.07	38648505	350221344.00
2009/09/17	9.25	9.42	8.90	9.17	41331312	380965760.00
2009/09/18	9.09	9.16	8.25	8.30	41216815	357306496.00
2009/09/21	8.09	8.09	7.47	7.83	26473364	204463136.00
2009/09/22	7.79	8.05	7.60	7.63	15107341	118328080.00
2009/09/23	7.71	8.02	7.65	7.73	16192764	126363888.00
2009/09/24	7.73	7.73	7.10	7.30	15955477	116886808.00
2009/09/25	7.21	7.83	7.04	7.80	19896072	147869632.00
2009/09/28	7.80	7.94	7.09	7.15	18266768	137672288.00
2009/09/29	7.11	7.19	6.58	6.68	14682684	100286312.00
2009/09/30	6.80	6.97	6.70	6.73	9672989	65868448.00
2009/10/09	6.82	7.17	6.76	7.09	11293038	78780600.00
2009/10/12	7.02	7.05	6.86	6.95	9451751	65698304.00
2009/10/13	6.93	7.35	6.89	7.34	15219368	108885824.00
2009/10/14	7.27	7.54	7.16	7.26	15958531	117133280.00
2009/10/15	7.23	7.42	7.19	7.27	8917664	64969616.00
2009/10/16	7.32	7.36	7.12	7.23	7840411	56529540.00
2009/10/19	7.18	7.36	7.14	7.33	10333936	75362392.00
2009/10/20	7.36	7.49	7.31	7.43	12163164	90112384.00
2009/10/21	7.45	7.48	7.29	7.39	10389315	76231736.00
2009/10/22	7.38	8.13	7.32	7.90	29560926	230776256.00
2009/10/23	7.84	7.85	7.67	7.76	20143737	156075488.00
2009/10/26	7.71	7.76	7.39	7.47	14052242	105488040.00
2009/10/27	7.30	7.39	7.13	7.18	10954405	79448688.00
2009/10/28	7.19	7.27	7.04	7.12	8733569	62327548.00
2009/10/29	7.03	7.08	6.90	6.96	6735801	46947988.00
2009/10/30	7.05	7.14	6.98	7.01	6292575	44410232.00
2009/11/02	6.85	7.16	6.78	7.13	8086803	56301240.00
2009/11/03	7.12	7.32	7.08	7.32	10429563	75189840.00
2009/11/04	7.28	7.39	7.22	7.25	7510597	54742640.00
2009/11/05	7.23	7.43	7.21	7.35	7873141	57744384.00
2009/11/06	7.42	7.46	7.31	7.41	10685977	78908080.00
2009/11/09	7.40	7.43	7.25	7.38	7751495	56979564.00
2009/11/10	7.45	7.62	7.40	7.42	10993159	82478464.00
2009/11/11	7.36	7.37	7.18	7.28	8584560	62462344.00
2009/11/12	7.29	7.46	7.28	7.34	9508237	70182904.00
2009/11/13	7.34	7.37	7.19	7.34	7857021	57133492.00
2009/11/17	7.51	7.99	7.45	7.89	34460309	268525760.00
2009/11/18	7.84	7.84	7.65	7.74	17837528	137944272.00
2009/11/19	7.72	8.51	7.58	8.51	43746905	361954592.00
2009/11/20	8.69	9.13	8.51	8.80	50769255	449449408.00
2009/11/23	8.80	9.30	8.69	9.18	29242451	266562896.00
2009/11/24	9.23	9.30	8.29	8.32	33673280	296951840.00
2009/11/25	8.25	8.81	8.24	8.79	22985103	197746016.00
2009/11/26	8.77	8.77	8.00	8.12	26250460	220958320.00
2009/11/27	8.01	8.06	7.70	7.72	13696899	108088272.00
2009/11/30	7.76	8.04	7.76	8.04	10414183	82735040.00
2009/12/01	8.01	8.33	7.88	8.28	10604127	86333560.00
2009/12/02	8.39	8.39	8.20	8.26	11257418	93215144.00
2009/12/03	8.28	8.34	8.17	8.29	9698375	79884672.00
2009/12/04	8.29	8.57	7.97	8.18	15734308	130694464.00
2009/12/07	8.18	8.32	8.13	8.31	8926034	73279240.00
2009/12/08	8.30	8.48	8.24	8.40	11792601	98693744.00
2009/12/09	8.35	8.38	8.08	8.13	7669165	62962380.00
2009/12/10	8.09	8.22	8.09	8.20	6454943	52516808.00
2009/12/11	8.20	8.29	8.11	8.13	5585617	45755804.00
2009/12/14	8.11	8.17	7.76	7.93	7265256	57411140.00
2009/12/15	7.95	8.21	7.83	8.07	6931909	55996048.00
2009/12/16	8.09	8.10	7.87	7.92	6482720	51507644.00
2009/12/17	7.94	7.94	7.44	7.49	7429256	56693564.00
2009/12/18	7.48	7.48	7.16	7.22	5888719	42803396.00
2009/12/21	7.22	7.33	7.21	7.29	2938971	21387728.00
2009/12/22	7.32	7.34	6.98	7.00	4539724	32294482.00
