000548 湖南投资 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	3.50	3.61	3.50	3.61	1863700	6665859.50
2009/01/06	3.60	3.72	3.56	3.70	2948000	10769082.00
2009/01/07	3.72	3.75	3.64	3.70	4172000	15487527.00
2009/01/08	3.69	3.72	3.60	3.69	3228600	11772103.00
2009/01/09	3.71	3.79	3.66	3.78	4719200	17710356.00
2009/01/12	3.78	3.90	3.72	3.88	8886600	33791572.00
2009/01/13	3.83	3.83	3.66	3.67	3255100	12211609.00
2009/01/14	3.67	3.78	3.67	3.78	2377800	8904493.00
2009/01/15	3.76	3.85	3.73	3.78	4023000	15260643.00
2009/01/16	3.78	3.88	3.78	3.79	5039300	19359010.00
2009/01/19	3.81	3.89	3.72	3.76	2862400	10910474.00
2009/01/20	3.76	3.76	3.63	3.73	2881600	10603204.00
2009/01/21	3.68	3.74	3.65	3.70	2201700	8146422.00
2009/01/22	3.74	3.80	3.71	3.78	3166200	11899591.00
2009/01/23	3.76	3.84	3.76	3.79	3141200	11963199.00
2009/02/02	3.84	3.96	3.79	3.96	5449900	21132182.00
2009/02/03	3.96	4.36	3.91	4.36	22895400	97121744.00
2009/02/04	4.55	4.76	4.37	4.66	32297500	146948320.00
2009/02/05	4.60	4.87	4.56	4.84	25494300	119132176.00
2009/02/06	4.85	5.31	4.79	5.14	23947900	121758544.00
2009/02/09	5.19	5.49	5.09	5.21	25140100	132313832.00
2009/02/10	5.21	5.38	5.03	5.31	16149500	84188392.00
2009/02/11	5.20	5.65	5.12	5.26	20008000	106974144.00
2009/02/12	5.30	5.58	5.06	5.51	19301400	102513120.00
2009/02/13	5.49	6.06	5.43	6.06	35141000	205338016.00
2009/02/16	6.18	6.32	5.85	6.05	29980500	182028400.00
2009/02/17	6.00	6.05	5.48	5.50	23776200	136349040.00
2009/02/18	5.37	5.83	5.31	5.56	22581000	127431328.00
2009/02/19	5.69	5.88	5.58	5.66	12525600	71758040.00
2009/02/20	5.69	5.80	5.39	5.74	13439200	75442128.00
2009/02/23	5.70	6.31	5.66	6.31	24622300	150611504.00
2009/02/24	6.27	6.58	6.11	6.36	26449800	166895456.00
2009/02/25	6.38	6.54	6.13	6.36	19412100	122468968.00
2009/02/26	6.36	6.68	5.85	6.08	25751200	163250000.00
2009/02/27	5.86	5.97	5.47	5.47	16350100	91510768.00
2009/03/02	5.30	5.68	5.29	5.62	10919200	61069164.00
2009/03/03	5.36	5.67	5.29	5.58	6889300	38311880.00
2009/03/04	5.58	6.10	5.56	6.00	14251800	84187800.00
2009/03/05	6.03	6.24	5.71	5.89	19024900	114295744.00
2009/03/06	5.79	5.89	5.66	5.72	8705500	50062500.00
2009/03/09	5.78	5.90	5.38	5.40	9959200	56011096.00
2009/03/10	5.41	5.58	5.40	5.54	5996400	32994566.00
2009/03/11	5.64	5.91	5.48	5.79	9481600	53957156.00
2009/03/12	5.69	5.95	5.58	5.82	9227700	53501396.00
2009/03/13	5.86	5.92	5.60	5.65	5998900	34559400.00
2009/03/16	5.65	5.81	5.52	5.67	5615200	31867680.00
2009/03/17	5.69	6.00	5.62	5.88	11841900	69329760.00
2009/03/18	5.89	6.26	5.87	6.14	21553900	130608120.00
2009/03/19	6.12	6.23	6.00	6.16	12458900	76383512.00
2009/03/20	6.12	6.16	5.88	6.02	10973200	65960936.00
2009/03/23	5.98	6.35	5.90	6.28	19122600	118302992.00
2009/03/24	6.33	6.40	6.19	6.22	13076200	82114056.00
2009/03/25	6.20	6.28	5.95	5.96	10598500	64761764.00
2009/03/26	5.95	6.14	5.85	6.08	10265100	61457704.00
2009/03/27	6.09	6.33	5.97	6.19	19718200	121067232.00
2009/03/30	6.21	6.23	6.01	6.11	8302900	50742752.00
2009/03/31	5.98	6.12	5.89	6.06	7753800	46462752.00
2009/04/01	6.05	6.40	6.02	6.23	17121500	106727088.00
2009/04/02	6.26	6.65	6.26	6.43	25163100	163041536.00
2009/04/03	6.48	6.87	6.35	6.73	24054500	159260064.00
2009/04/07	6.78	6.86	6.49	6.60	13603000	90302904.00
2009/04/08	6.58	6.71	6.10	6.15	15413200	98308048.00
2009/04/09	6.14	6.28	6.06	6.27	8760900	54082160.00
2009/04/10	6.31	6.44	6.16	6.37	11998100	75826160.00
2009/04/13	6.44	6.47	6.20	6.29	15897400	100139720.00
2009/04/14	6.30	6.34	6.22	6.31	13999300	87900832.00
2009/04/15	6.31	6.66	6.31	6.56	19802800	128732576.00
2009/04/16	6.56	6.79	6.41	6.70	20038200	132598128.00
2009/04/17	6.71	6.71	6.37	6.55	14241500	93118496.00
2009/04/20	6.50	6.88	6.45	6.79	17167900	115738168.00
2009/04/21	6.56	6.82	6.51	6.63	12507200	83213800.00
2009/04/22	6.66	7.09	6.50	6.55	22550500	153180048.00
2009/04/23	6.48	6.68	6.25	6.52	10212500	65971436.00
2009/04/24	6.58	6.65	6.41	6.50	8169200	53460320.00
2009/04/27	6.51	6.58	6.00	6.00	10454700	64703272.00
2009/04/28	5.96	6.32	5.94	6.24	8731300	53748760.00
2009/04/29	6.24	6.46	6.19	6.38	6268700	39758348.00
2009/04/30	6.45	6.47	6.26	6.33	6801200	43269264.00
2009/05/04	6.40	6.70	6.33	6.61	10542300	69223360.00
2009/05/05	6.66	6.78	6.58	6.68	11581800	77318688.00
2009/05/06	6.70	7.35	6.61	7.30	33709700	240669168.00
2009/05/07	7.27	7.38	6.96	7.11	19795900	141528352.00
2009/05/08	7.15	7.58	7.06	7.41	20110300	148257328.00
2009/05/12	7.00	7.37	6.93	7.36	15335100	109472568.00
2009/05/13	7.37	7.65	7.17	7.50	15606500	116386744.00
2009/05/14	7.40	7.50	7.16	7.25	11149900	81414744.00
2009/05/15	7.27	7.55	7.20	7.28	7208900	53001200.00
2009/05/18	7.30	7.65	7.00	7.57	16475700	121676760.00
2009/05/19	7.57	7.98	7.56	7.86	19051100	148161504.00
2009/05/20	7.86	8.20	7.77	7.97	16802400	135238880.00
2009/05/21	7.85	8.10	7.71	7.78	12524000	98377912.00
2009/05/22	7.71	8.01	7.70	7.90	8243561	64934336.00
2009/05/25	7.70	7.75	7.40	7.70	11500636	87203504.00
2009/05/26	7.60	7.79	7.47	7.58	11677725	88795752.00
2009/05/27	7.65	7.75	7.57	7.68	6212510	47645548.00
2009/06/01	7.61	7.78	7.58	7.69	8571710	65878464.00
2009/06/02	7.72	7.98	7.60	7.70	8015421	62186872.00
2009/06/03	7.70	7.76	7.61	7.72	8834196	67773824.00
2009/06/04	7.70	7.72	7.42	7.51	9891021	74514776.00
2009/06/05	7.48	7.58	7.30	7.34	11138810	82169760.00
2009/06/08	7.39	7.60	7.32	7.41	5539469	41224268.00
2009/06/09	7.40	7.48	7.25	7.40	5735565	41982792.00
2009/06/10	7.41	7.86	7.40	7.85	14131201	108544184.00
2009/06/11	7.80	7.90	7.65	7.72	6863886	53263464.00
2009/06/12	7.71	7.74	7.37	7.42	8136536	60920488.00
2009/06/15	7.45	7.57	7.33	7.53	4606170	34232128.00
2009/06/16	7.45	7.48	7.30	7.39	4918106	36343968.00
2009/06/17	7.31	7.45	7.26	7.41	5419475	39898112.00
