000676 智度股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	2.94	2.95	2.85	2.88	2531600	7366481.00
2009/01/13	2.88	3.13	2.88	3.00	8045300	24298612.00
2009/01/14	2.93	3.07	2.85	3.04	7015700	20867284.00
2009/01/15	3.00	3.34	2.98	3.34	22891100	74836960.00
2009/01/16	3.36	3.37	3.23	3.25	14018800	45962524.00
2009/01/19	3.23	3.32	3.18	3.26	6208300	20176086.00
2009/01/20	3.25	3.27	3.13	3.20	5298800	16843746.00
2009/01/21	3.20	3.27	3.15	3.21	5076700	16336827.00
2009/01/22	3.22	3.30	3.20	3.24	5851100	19027380.00
2009/01/23	3.24	3.25	3.14	3.14	3979700	12662479.00
2009/02/02	3.15	3.27	3.14	3.24	3474200	11137933.00
2009/02/03	3.24	3.46	3.21	3.42	10172100	33894416.00
2009/02/04	3.43	3.48	3.33	3.43	8774800	29833196.00
2009/02/05	3.43	3.58	3.38	3.48	13040700	45362356.00
2009/02/06	3.50	3.66	3.48	3.58	10074000	35900596.00
2009/02/09	3.62	3.78	3.52	3.71	11767300	42577932.00
2009/02/10	3.65	3.85	3.60	3.85	19187600	70328616.00
2009/02/11	3.85	4.07	3.78	3.88	22746200	89644048.00
2009/02/12	3.91	3.99	3.73	3.94	12644500	48759776.00
2009/02/13	3.91	4.33	3.88	4.33	25061500	104963104.00
2009/02/16	4.36	4.47	4.20	4.30	14970100	64479928.00
2009/02/17	4.22	4.29	3.95	3.96	15803000	64317216.00
2009/02/18	3.84	3.99	3.82	3.83	8025600	31206358.00
2009/02/19	3.92	3.96	3.82	3.89	6286800	24434092.00
2009/02/20	3.88	4.09	3.83	4.04	6565300	25870484.00
2009/02/23	4.03	4.33	3.95	4.24	12950400	54192428.00
2009/02/24	4.13	4.38	4.06	4.09	14089000	59451348.00
2009/02/25	4.12	4.29	4.01	4.23	10261600	42609892.00
2009/02/26	4.23	4.26	3.81	3.81	9170200	36864420.00
2009/02/27	3.70	3.79	3.43	3.43	7459500	26302254.00
2009/03/02	3.39	3.53	3.33	3.49	3541700	12293083.00
2009/03/03	3.40	3.54	3.34	3.52	3992300	13848793.00
2009/03/04	3.55	3.73	3.52	3.70	6198100	22616948.00
