000682 东方电子 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	2.80	2.84	2.71	2.73	10029800	27768042.00
2009/01/09	2.71	2.80	2.71	2.78	6972500	19322936.00
2009/01/12	2.75	2.83	2.73	2.79	6822000	19035338.00
2009/01/13	2.76	2.79	2.70	2.71	5979000	16375007.00
2009/01/14	2.71	2.79	2.70	2.79	6579400	18160962.00
2009/01/15	2.77	2.85	2.74	2.82	11366200	31977870.00
2009/01/16	2.81	2.89	2.81	2.82	11416100	32546782.00
2009/01/19	2.82	2.86	2.76	2.78	6960100	19580212.00
2009/01/20	2.80	2.82	2.75	2.81	4699200	13097188.00
2009/01/21	2.78	2.83	2.75	2.79	5009800	14023503.00
2009/01/22	2.79	2.84	2.79	2.83	7957200	22482824.00
2009/01/23	2.83	2.91	2.80	2.86	12934500	37181360.00
2009/02/02	2.89	3.09	2.87	3.06	25628600	76434496.00
2009/02/03	3.05	3.07	2.97	3.07	23053900	69753072.00
2009/02/04	3.08	3.24	3.01	3.23	40672900	128059584.00
2009/02/05	3.38	3.41	3.14	3.19	53803400	177095216.00
2009/02/06	3.14	3.32	3.14	3.30	28781500	93884904.00
2009/02/09	3.33	3.38	3.25	3.33	32296900	107076288.00
2009/02/10	3.32	3.35	3.23	3.35	27137900	89501080.00
2009/02/11	3.36	3.55	3.34	3.42	36585400	126701176.00
2009/02/12	3.42	3.58	3.37	3.53	29159400	101148000.00
2009/02/13	3.53	3.64	3.48	3.61	29730400	106489432.00
2009/02/16	3.68	3.68	3.55	3.64	29096900	105335312.00
2009/02/17	3.63	3.67	3.42	3.44	24398700	86507056.00
2009/02/18	3.39	3.43	3.21	3.23	21135600	70305464.00
2009/02/19	3.35	3.55	3.35	3.55	31546000	110344056.00
2009/02/20	3.65	3.88	3.60	3.70	61642300	230055472.00
2009/02/23	3.62	3.75	3.55	3.72	32112900	117962896.00
2009/02/24	3.67	3.72	3.45	3.51	25604200	92036352.00
2009/02/25	3.54	3.59	3.36	3.48	19577500	67866800.00
2009/02/26	3.47	3.52	3.14	3.21	17280500	58439200.00
2009/02/27	3.20	3.23	2.98	3.02	18936200	58043728.00
2009/03/02	3.01	3.14	2.93	3.10	10184400	31214896.00
2009/03/03	3.06	3.13	3.01	3.11	9954500	30702216.00
2009/03/04	3.12	3.33	3.11	3.30	14650600	47446192.00
2009/03/05	3.35	3.39	3.21	3.32	16428400	54573560.00
2009/03/06	3.32	3.32	3.23	3.28	9099200	29762158.00
2009/03/09	3.26	3.32	3.09	3.11	10836700	34674420.00
2009/03/10	3.10	3.20	3.05	3.20	6379600	20064054.00
2009/03/11	3.26	3.29	3.15	3.18	6756900	21727306.00
2009/03/12	3.15	3.19	3.07	3.18	6639700	20765492.00
2009/03/13	3.20	3.27	3.15	3.19	9017000	28908586.00
2009/03/16	3.18	3.21	3.11	3.19	5041200	15964959.00
2009/03/17	3.19	3.30	3.18	3.28	10197700	33189422.00
2009/03/18	3.30	3.39	3.27	3.32	14537900	48450084.00
2009/03/19	3.32	3.38	3.28	3.38	13956900	46742112.00
2009/03/20	3.38	3.52	3.27	3.48	23189300	78480640.00
2009/03/23	3.49	3.60	3.49	3.52	35408100	125247992.00
2009/03/24	3.56	3.56	3.46	3.48	15612200	54415740.00
2009/03/25	3.48	3.49	3.34	3.34	13258600	45188324.00
2009/03/26	3.34	3.42	3.31	3.41	11156600	37678916.00
2009/03/27	3.42	3.60	3.40	3.54	27724500	96831896.00
2009/03/30	3.50	3.54	3.46	3.48	15879700	55497020.00
2009/03/31	3.43	3.54	3.38	3.52	13677200	47271480.00
2009/04/01	3.55	3.65	3.50	3.58	27027500	96327120.00
2009/04/02	3.58	3.62	3.54	3.56	17722900	63336304.00
2009/04/03	3.58	3.64	3.54	3.58	26607200	95651504.00
2009/04/07	3.61	3.75	3.61	3.72	38634100	142947872.00
2009/04/08	3.74	3.74	3.56	3.56	23828400	86810576.00
2009/04/09	3.55	3.60	3.48	3.58	15908000	56544240.00
2009/04/10	3.60	3.74	3.56	3.70	28299300	104283680.00
2009/04/13	3.72	3.75	3.67	3.70	23838700	88093856.00
2009/04/14	3.69	3.89	3.62	3.83	44537600	167294128.00
2009/04/15	3.77	4.15	3.72	4.04	57458400	223359152.00
2009/04/16	4.00	4.25	3.86	4.16	64504800	263695280.00
2009/04/17	4.25	4.58	4.24	4.36	93058200	411712576.00
2009/04/20	4.27	4.58	4.20	4.40	53796600	236703264.00
2009/04/21	4.32	4.45	4.18	4.25	34810200	149897376.00
2009/04/23	3.98	4.10	3.93	4.05	25798600	103281576.00
2009/04/24	4.07	4.11	3.91	3.91	15611300	62205804.00
2009/04/27	3.83	3.95	3.62	3.67	19348100	72940488.00
2009/04/28	3.61	3.75	3.61	3.74	13193200	48820336.00
2009/04/29	3.74	3.88	3.72	3.86	14418600	54961728.00
2009/04/30	3.87	3.94	3.81	3.90	19292300	74627272.00
2009/05/04	3.90	4.04	3.86	4.02	18592400	73982088.00
2009/05/05	4.03	4.09	4.02	4.05	17895600	72513312.00
2009/05/06	4.07	4.26	4.01	4.22	30258200	124767456.00
2009/05/07	4.18	4.24	4.00	4.08	24426700	100402312.00
2009/05/08	4.03	4.14	4.03	4.10	19083100	78129816.00
2009/05/11	4.10	4.16	3.88	3.88	19199200	77670728.00
2009/05/12	3.81	4.01	3.76	4.01	12693000	49667260.00
2009/05/13	4.01	4.06	3.96	4.02	12668600	50938596.00
2009/05/14	4.02	4.07	3.95	4.05	14093100	56463700.00
2009/05/15	4.06	4.19	4.04	4.16	27483700	113347424.00
2009/05/18	4.16	4.25	4.14	4.24	29302700	122963616.00
2009/05/19	4.28	4.29	4.17	4.20	23346000	98203304.00
2009/05/20	4.20	4.23	4.13	4.14	15783000	65850124.00
2009/05/21	4.10	4.23	4.00	4.16	25708800	106098872.00
2009/05/22	4.14	4.29	4.12	4.28	38146972	161611440.00
2009/05/25	4.20	4.56	4.11	4.55	64142525	280959392.00
2009/05/26	4.85	5.01	4.85	5.01	112324396	560590464.00
2009/05/27	5.26	5.27	4.85	4.90	102943356	517268800.00
2009/06/01	4.96	5.06	4.78	4.95	69238422	342354656.00
2009/06/02	4.88	4.99	4.80	4.82	45097500	219550480.00
2009/06/03	4.80	4.92	4.78	4.84	33777389	163590944.00
2009/06/04	4.81	5.24	4.76	5.12	79424970	399298464.00
2009/06/05	5.08	5.11	4.93	4.94	41755954	209097008.00
2009/06/08	4.90	4.95	4.80	4.85	27082787	131328560.00
2009/06/09	4.82	4.92	4.70	4.85	26817903	129013760.00
2009/06/10	4.85	4.90	4.80	4.87	19072853	92524936.00
2009/06/11	4.87	4.97	4.78	4.80	23855790	116135736.00
2009/06/12	4.75	4.81	4.60	4.61	26050417	122275616.00
2009/06/15	4.62	4.78	4.62	4.76	13843272	65166416.00
2009/06/16	4.70	4.84	4.68	4.77	14406411	68775552.00
2009/06/17	4.78	4.83	4.73	4.80	13530063	64814812.00
2009/06/18	4.80	4.84	4.74	4.79	15446150	73794848.00
2009/06/19	4.80	4.95	4.76	4.86	24794499	120373040.00
2009/06/22	4.87	4.90	4.76	4.77	16805089	80980880.00
2009/06/23	4.71	4.79	4.65	4.71	13257082	62329448.00
2009/06/24	4.70	4.74	4.67	4.72	10589783	49771096.00
2009/06/25	4.72	4.82	4.67	4.76	15483832	73534512.00
2009/06/26	4.76	4.78	4.66	4.71	15126454	71234464.00
2009/06/29	4.71	4.72	4.64	4.69	14191422	66395948.00
2009/06/30	4.70	4.73	4.62	4.63	11876810	55435364.00
2009/07/01	4.63	4.74	4.63	4.72	13503909	63132924.00
2009/07/02	4.71	4.73	4.66	4.72	15637333	73258528.00
2009/07/03	4.72	4.95	4.67	4.88	39543356	192846736.00
2009/07/06	4.89	4.91	4.75	4.79	20418670	97805216.00
2009/07/07	4.79	4.88	4.75	4.80	17775232	85845616.00
2009/07/08	4.79	4.84	4.71	4.79	14508807	69262040.00
2009/07/09	4.80	4.88	4.76	4.86	20549026	99038752.00
