000712 锦龙股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	6.23	6.45	6.09	6.40	6940700	43485000.00
2009/01/09	6.34	6.49	6.23	6.36	3636000	23020000.00
2009/01/12	6.34	6.42	6.29	6.37	3628500	23122000.00
2009/01/13	6.30	6.34	5.98	6.00	3772500	23090000.00
2009/01/14	5.95	6.45	5.85	6.34	5093600	31542000.00
2009/01/15	6.25	6.44	6.14	6.26	6577000	41274000.00
2009/01/16	6.28	6.75	6.26	6.54	9117800	59553000.00
2009/01/19	6.50	6.65	6.35	6.45	3908600	25433000.00
2009/01/20	6.52	6.52	6.15	6.37	3912100	24647000.00
2009/01/21	6.29	6.67	6.21	6.62	6167100	40252000.00
2009/01/22	6.59	6.83	6.53	6.83	6413200	43284000.00
2009/01/23	6.77	6.95	6.62	6.92	5051700	34564000.00
2009/02/02	7.00	7.01	6.80	6.96	4008700	27714000.00
2009/02/03	6.90	7.22	6.85	7.18	4693100	33420000.00
2009/02/04	7.17	7.36	7.10	7.22	4527900	32639000.00
2009/02/05	7.24	7.89	7.12	7.65	11572100	87797000.00
2009/02/09	8.25	8.42	8.11	8.42	21478900	179696000.00
2009/02/10	8.25	8.86	8.10	8.70	11832300	100524000.00
2009/02/11	8.50	9.15	8.32	8.79	12078800	105443000.00
2009/02/12	8.80	9.28	8.68	9.27	9771600	87696000.00
2009/02/13	9.28	10.00	9.28	9.94	10130100	97498000.00
2009/02/16	10.19	10.20	9.39	9.65	16478700	161268000.00
2009/02/17	9.52	9.86	9.02	9.58	11765600	110445000.00
2009/02/18	9.40	9.74	9.21	9.44	8361200	79827000.00
2009/02/19	9.46	9.96	9.45	9.83	8402300	81505000.00
2009/02/20	9.85	10.81	9.65	10.71	9388600	96758000.00
2009/02/23	10.66	11.37	10.66	11.16	10750400	118705000.00
2009/02/24	11.03	11.70	10.95	11.07	10428200	118136000.00
2009/02/25	11.03	11.30	10.15	10.70	8559900	92245000.00
2009/02/26	10.65	10.89	9.63	9.68	8779400	88549000.00
2009/02/27	9.73	9.73	8.71	8.90	10613700	97948000.00
2009/03/02	8.80	9.28	8.61	9.20	5694400	51612000.00
2009/03/03	9.00	9.48	8.81	9.45	5032900	46265000.00
2009/03/04	9.48	10.25	9.48	10.24	5957800	59361000.00
2009/03/05	10.26	10.55	9.91	10.25	6678800	67955000.00
2009/03/06	10.16	10.39	9.87	10.24	4418900	44809000.00
2009/03/09	10.25	10.43	9.22	9.22	5379500	52342000.00
2009/03/10	9.22	9.33	9.04	9.30	4224300	38829000.00
2009/03/11	9.55	9.65	9.12	9.20	4533500	42578000.00
2009/03/12	9.28	9.64	8.98	9.63	4594100	42989000.00
2009/03/13	9.75	9.75	9.40	9.45	2975700	28493000.00
2009/03/16	9.40	9.72	9.40	9.60	1977600	18895000.00
2009/03/17	9.60	10.18	9.60	10.12	4594800	46049000.00
2009/03/18	10.35	10.55	10.21	10.36	6593500	68513000.00
2009/03/19	10.44	11.40	10.38	11.37	11614000	128708000.00
2009/03/20	11.33	11.68	11.03	11.37	7376400	83784000.00
2009/03/23	11.50	12.25	11.50	11.81	7097000	85036000.00
2009/03/24	11.99	11.99	11.12	11.19	10513000	119681000.00
2009/03/25	10.96	11.32	10.80	10.94	5057000	56081000.00
2009/03/26	10.70	11.18	10.40	11.05	5629300	61329000.00
2009/03/30	11.02	11.45	10.89	11.30	8743000	97618000.00
2009/03/31	11.10	11.31	10.90	11.25	5162200	57303000.00
2009/04/01	11.28	12.00	11.18	12.00	10416000	120564000.00
2009/04/02	12.00	12.60	11.90	12.37	13803000	171272000.00
2009/04/03	12.40	12.57	12.00	12.16	6911900	84870000.00
2009/04/07	12.16	12.60	12.13	12.20	4302400	52982000.00
2009/04/08	12.19	12.44	11.69	11.78	6290800	75329000.00
2009/04/09	11.80	11.97	11.50	11.96	3925000	46183000.00
2009/04/10	11.92	12.63	11.92	12.50	7750800	96218000.00
2009/04/13	12.85	13.32	12.52	13.29	9007400	117770000.00
2009/04/14	13.29	13.33	12.80	13.14	6892600	90022000.00
