000721 西安饮食 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	4.00	4.02	3.78	3.85	4352700	16966346.00
2009/01/09	3.87	3.92	3.82	3.92	2560900	9921525.00
2009/01/12	3.90	4.02	3.88	3.99	2822000	11134385.00
2009/01/13	3.94	3.97	3.80	3.81	2023100	7846173.50
2009/01/14	3.81	3.93	3.80	3.93	2094200	8112543.50
2009/01/15	3.88	4.04	3.85	3.98	3638900	14378250.00
2009/01/16	4.04	4.28	4.03	4.09	7511200	31303964.00
2009/01/19	4.08	4.13	4.00	4.04	3458600	14037260.00
2009/01/20	4.05	4.07	3.95	4.05	1813500	7277855.00
2009/01/21	4.00	4.11	3.98	4.05	2268000	9185509.00
2009/01/22	4.09	4.10	4.02	4.09	2476800	10088761.00
2009/01/23	4.10	4.12	4.00	4.00	2181600	8823526.00
2009/02/02	4.05	4.14	4.01	4.12	3926300	16060633.00
2009/02/03	4.13	4.26	4.10	4.25	5848600	24532850.00
2009/02/04	4.21	4.32	4.17	4.30	5887400	25032122.00
2009/02/05	4.29	4.34	4.12	4.18	5673600	24089326.00
2009/02/06	4.20	4.54	4.20	4.45	9277200	40967232.00
2009/02/09	4.53	4.71	4.47	4.60	12261600	55987312.00
2009/02/10	4.56	4.84	4.50	4.78	7536700	35010496.00
2009/02/11	4.65	4.87	4.61	4.71	7899200	37513360.00
2009/02/12	4.71	4.74	4.45	4.71	5169900	23896638.00
2009/02/13	4.69	5.15	4.66	5.00	9101000	44430384.00
2009/02/16	5.11	5.27	4.90	5.23	11662300	59326400.00
2009/02/17	5.18	5.46	5.02	5.06	9207100	48639112.00
2009/02/18	4.90	4.97	4.66	4.70	5919700	28821060.00
2009/02/19	4.72	4.83	4.68	4.77	2778800	13188628.00
2009/02/20	4.75	4.89	4.73	4.89	2855900	13842702.00
2009/02/23	4.80	5.09	4.80	5.04	3599800	17927142.00
2009/02/24	4.97	5.14	4.83	4.87	5277100	26285756.00
2009/02/25	4.90	5.00	4.66	4.86	3433500	16618736.00
2009/02/26	4.86	5.00	4.38	4.47	3600400	17179362.00
2009/02/27	4.35	4.46	4.07	4.08	2925800	12365320.00
2009/03/02	4.02	4.24	4.02	4.18	1830500	7578436.50
2009/03/03	4.08	4.60	4.05	4.60	9318300	42011092.00
2009/03/04	4.76	4.92	4.65	4.83	13051700	62364984.00
2009/03/05	4.75	5.10	4.70	5.00	9315200	45129904.00
2009/03/06	4.85	5.00	4.68	4.88	5355500	26158900.00
2009/03/09	4.90	4.93	4.48	4.50	4716500	22379562.00
2009/03/10	4.45	4.73	4.42	4.71	2387400	10976125.00
2009/03/11	4.76	4.84	4.68	4.83	3468800	16517115.00
2009/03/12	4.79	4.80	4.46	4.71	3526800	16427428.00
2009/03/13	4.67	4.77	4.56	4.56	2230200	10380298.00
2009/03/16	4.56	4.65	4.50	4.62	1259000	5779385.50
