000818 航锦科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.79	3.79	3.62	3.66	2987500	11073618.00
2009/01/09	3.66	3.92	3.64	3.85	4233500	16196383.00
2009/01/12	3.80	4.06	3.74	4.03	7315800	28860086.00
2009/01/13	4.05	4.11	3.84	3.87	9366700	37559312.00
2009/01/14	3.85	3.98	3.80	3.98	3816700	14913312.00
2009/01/15	3.95	4.06	3.90	4.00	5812100	23272880.00
2009/01/16	4.01	4.18	4.01	4.11	5681700	23396312.00
2009/01/19	3.97	4.09	3.90	3.96	11567100	45832608.00
2009/01/20	3.91	4.16	3.81	4.10	6889600	27051332.00
2009/01/21	4.02	4.09	3.95	4.04	7801000	31403218.00
2009/01/22	4.12	4.12	3.91	4.04	7586000	30445616.00
2009/01/23	4.02	4.10	3.90	3.92	4624500	18275684.00
2009/02/02	3.95	4.01	3.86	3.99	4597900	18162950.00
2009/02/03	4.01	4.35	3.98	4.33	12021600	49898812.00
2009/02/04	4.29	4.45	4.23	4.40	12607300	54566696.00
2009/02/06	4.33	4.68	4.33	4.67	15859500	71664568.00
2009/02/09	4.68	4.93	4.60	4.88	16279700	77170712.00
2009/02/10	4.90	5.17	4.76	5.13	18945200	92528624.00
2009/02/11	4.98	5.25	4.88	5.02	17014800	86703136.00
2009/02/12	5.03	5.06	4.70	4.95	11889200	57960104.00
2009/02/13	4.92	5.15	4.88	5.10	12485500	62726616.00
2009/02/16	5.10	5.48	5.07	5.39	20539200	107881584.00
2009/02/17	5.30	5.34	4.97	5.01	14084400	72585808.00
2009/02/18	4.90	4.99	4.62	4.63	8563300	41326216.00
2009/02/19	4.69	4.80	4.64	4.74	5377200	25343020.00
2009/02/20	4.77	5.21	4.74	5.21	22702600	115811336.00
2009/02/23	5.24	5.48	5.11	5.33	23030700	122376880.00
2009/02/24	5.32	5.78	5.18	5.60	25313400	137519520.00
2009/02/25	5.56	5.67	5.31	5.46	15553800	84934248.00
2009/02/26	5.48	5.64	4.91	4.96	15200700	80538576.00
2009/02/27	4.80	4.90	4.46	4.46	8742900	39878312.00
2009/03/02	4.34	4.56	4.18	4.46	6453800	28381578.00
2009/03/03	4.30	4.59	4.21	4.50	6873800	30428178.00
2009/03/04	4.42	4.81	4.42	4.74	9576200	44810488.00
2009/03/05	4.74	4.86	4.60	4.78	9684600	45964936.00
2009/03/06	4.68	4.76	4.63	4.69	5194700	24376766.00
2009/03/09	4.72	4.90	4.65	4.84	11790800	56725152.00
2009/03/10	4.70	4.84	4.45	4.82	6636400	31096194.00
2009/03/11	4.89	5.15	4.80	4.99	14365000	71895456.00
2009/03/12	4.90	5.27	4.83	5.19	14761900	75036424.00
2009/03/13	5.21	5.33	5.05	5.17	13574300	70197472.00
2009/03/16	5.23	5.27	4.77	4.95	11944300	59641000.00
2009/03/17	4.89	5.08	4.79	5.03	10463800	51849668.00
2009/03/18	5.01	5.35	4.99	5.21	13141400	67442280.00
2009/03/19	5.21	5.30	5.13	5.25	10960400	57267700.00
2009/03/20	5.25	5.29	5.01	5.04	9457100	48273544.00
2009/03/23	5.08	5.18	5.01	5.15	8718600	44612832.00
2009/03/24	5.19	5.23	5.06	5.13	9450000	48388500.00
2009/03/25	5.09	5.35	5.06	5.15	13689600	71629312.00
2009/03/26	5.14	5.21	4.96	5.21	9102600	46572972.00
2009/03/27	5.24	5.44	5.16	5.39	15642800	82801904.00
2009/03/30	5.37	5.45	5.26	5.29	9058800	48306612.00
2009/03/31	5.22	5.26	5.08	5.26	7089600	36609564.00
2009/04/01	5.26	5.54	5.24	5.42	14314500	77306632.00
2009/04/02	5.42	5.58	5.31	5.31	11502900	62705972.00
2009/04/03	5.34	5.70	5.16	5.65	21704800	119545432.00
2009/04/07	5.66	5.98	5.57	5.91	17514500	101264936.00
2009/04/08	5.96	6.24	5.78	5.83	24651300	148572896.00
2009/04/09	5.72	6.15	5.65	6.06	16325100	96325368.00
2009/04/10	6.07	6.58	5.89	6.41	24057200	150908832.00
2009/04/13	6.48	6.54	6.16	6.20	28635400	182092208.00
2009/04/14	6.21	6.27	6.00	6.14	11333000	69146728.00
2009/04/15	6.04	6.32	5.96	6.21	13720600	84830024.00
2009/04/16	6.22	6.50	6.20	6.28	19726300	125367880.00
2009/04/17	6.24	6.45	6.08	6.08	10589900	65842180.00
2009/04/20	6.02	6.45	5.83	6.38	15658400	95817432.00
2009/04/21	6.23	6.50	6.20	6.43	17232300	109581736.00
2009/04/22	6.43	6.54	5.95	5.95	11852000	74417632.00
2009/04/23	5.96	6.14	5.68	6.01	7552500	44508852.00
2009/04/24	6.04	6.35	5.94	6.24	9311900	57484744.00
2009/04/27	6.39	6.41	5.95	5.95	13048500	81223752.00
2009/04/28	5.79	5.95	5.60	5.95	8375400	48027332.00
2009/04/29	5.90	6.29	5.75	6.18	9463200	57363076.00
2009/04/30	6.15	6.34	6.06	6.19	12920500	80449952.00
2009/05/04	6.23	6.42	6.16	6.32	11704500	73857144.00
2009/05/05	6.36	6.80	6.25	6.69	21722200	141387120.00
2009/05/06	6.60	7.34	6.48	7.16	25135600	174024896.00
2009/05/07	7.02	7.30	6.83	6.90	17818300	124758352.00
2009/05/08	6.83	6.98	6.46	6.66	14088600	95238928.00
2009/05/11	6.71	6.78	6.16	6.20	13426900	86936824.00
2009/05/12	6.19	6.49	6.16	6.49	5510200	34971748.00
2009/05/13	6.43	6.58	6.30	6.49	6054700	39152892.00
2009/05/14	6.44	6.44	6.23	6.30	7905800	49939016.00
2009/05/15	6.35	6.45	6.20	6.39	9346800	59241544.00
2009/05/18	6.28	6.54	6.26	6.49	7168600	45930904.00
2009/05/19	6.50	6.70	6.30	6.68	14432700	94256576.00
2009/05/21	6.63	6.65	6.36	6.37	8618200	56014640.00
2009/05/22	6.37	6.45	6.26	6.29	4763908	30053158.00
2009/05/25	6.10	6.16	5.90	6.06	6185068	37235388.00
2009/05/26	6.02	6.24	6.02	6.07	5817717	35609068.00
2009/05/27	6.07	6.19	6.04	6.07	3579476	21844180.00
2009/06/01	6.11	6.20	6.08	6.17	3843474	23656716.00
2009/06/02	6.17	6.26	6.15	6.21	5807555	36022160.00
2009/06/03	6.18	6.24	6.12	6.17	4749738	29278442.00
2009/06/04	6.18	6.18	5.94	6.09	6935390	42007392.00
2009/06/05	6.09	6.17	6.02	6.12	4702764	28654110.00
2009/06/08	6.12	6.30	6.11	6.29	9378601	58647016.00
2009/06/09	6.35	6.92	6.35	6.80	29137712	195462224.00
2009/06/10	6.90	7.48	6.90	7.48	30963580	226323984.00
2009/06/11	7.49	7.50	6.97	7.05	22039687	158173280.00
2009/06/12	7.00	7.00	6.59	6.77	11958447	81359120.00
2009/06/15	6.71	6.87	6.65	6.79	5623451	38033048.00
2009/06/16	6.75	7.44	6.71	7.22	11764576	83304608.00
2009/06/17	7.23	7.34	6.93	7.05	8979110	64143744.00
2009/06/18	7.05	7.21	7.01	7.06	8337756	59077036.00
2009/06/19	7.09	7.24	7.02	7.13	6965597	49865508.00
2009/06/22	7.13	7.13	6.58	6.85	10057010	69071456.00
2009/06/23	6.76	7.46	6.60	7.32	13848985	99988400.00
2009/06/24	7.20	7.81	7.18	7.56	13493726	102487088.00
2009/06/25	7.62	7.70	7.36	7.53	7801558	58520012.00
2009/06/26	7.60	8.28	7.54	8.28	24829996	201736416.00
2009/06/29	8.28	8.98	8.10	8.61	23836152	206785456.00
2009/06/30	8.58	8.92	7.99	8.70	19659604	164201584.00
2009/07/01	8.50	9.55	8.40	9.55	20087433	183214640.00
2009/07/02	9.41	9.66	9.00	9.14	23441397	218435648.00
2009/07/22	9.32	9.98	8.33	8.94	25191723	228479952.00
2009/07/23	8.72	8.99	8.65	8.92	13423221	117707400.00
2009/07/24	8.96	9.09	8.40	8.50	12647171	110279496.00
2009/07/27	8.37	8.63	8.08	8.49	12436441	104223904.00
2009/07/28	8.41	8.46	8.23	8.46	10942567	91167992.00
2009/07/29	8.44	8.95	8.13	8.78	21104822	181598320.00
2009/07/30	8.60	8.74	8.16	8.50	12413588	105187872.00
2009/07/31	8.47	8.89	8.42	8.87	15728647	137316032.00
2009/08/03	8.90	9.37	8.61	9.19	19553963	177626928.00
2009/08/04	9.06	9.71	8.99	9.17	21821493	202331904.00
2009/08/05	9.15	9.39	8.85	9.27	15534762	141454208.00
2009/08/06	9.27	9.49	8.91	9.32	15234306	141364080.00
2009/08/07	9.23	9.61	8.66	9.08	15543045	144505936.00
2009/08/10	9.03	9.50	8.95	9.50	16989545	156863776.00
2009/08/11	9.41	9.68	9.30	9.34	13494336	127708592.00
2009/08/12	9.25	9.55	9.10	9.38	18189384	169408384.00
2009/08/13	9.43	10.32	9.43	9.50	30329365	294430048.00
2009/08/14	9.41	9.41	8.55	8.55	19447377	170328576.00
2009/08/17	7.99	7.99	7.70	7.70	8669340	67200384.00
2009/08/18	7.10	7.48	6.93	7.35	11191376	80753496.00
2009/08/19	7.29	7.57	6.66	6.75	10522495	75633816.00
2009/08/20	6.69	7.00	6.44	6.93	9877109	67012980.00
2009/08/21	6.83	7.27	6.74	7.19	10311111	73343128.00
2009/08/24	7.19	7.54	7.10	7.37	10624621	77445592.00
2009/08/25	7.25	7.34	6.80	7.10	9718066	68474808.00
2009/08/26	7.01	7.50	6.94	7.37	9181105	67241656.00
2009/08/27	7.38	7.78	7.31	7.67	11267944	85736744.00
2009/08/28	7.66	8.20	7.59	7.94	17762722	141514656.00
2009/08/31	7.97	8.41	7.52	7.72	14473419	115568760.00
2009/09/01	7.72	8.13	7.62	8.12	11268064	89404032.00
2009/09/02	8.09	8.09	7.31	7.72	9818818	75784512.00
2009/09/03	7.55	8.15	7.42	8.03	11587691	90623144.00
2009/09/04	7.98	8.28	7.76	8.14	12950095	104305912.00
2009/09/07	8.15	8.38	7.96	8.02	11724881	95676024.00
2009/09/08	7.91	7.92	7.50	7.86	10238845	79468864.00
2009/09/09	7.80	8.26	7.77	8.21	13024862	105811392.00
2009/09/10	8.10	8.57	8.03	8.03	15733456	130757256.00
2009/09/11	7.95	8.25	7.80	8.13	9693896	78445336.00
2009/09/14	8.12	8.35	8.08	8.28	11783347	96711248.00
2009/09/15	8.30	8.98	8.18	8.80	22118203	191688496.00
2009/09/16	8.65	8.93	8.56	8.66	12389071	108033208.00
2009/09/17	8.60	8.90	8.51	8.69	11215272	97928856.00
2009/09/18	8.69	8.87	8.20	8.36	9093769	78336168.00
2009/09/21	8.23	8.34	7.80	8.14	7328627	58979512.00
2009/09/22	8.14	8.14	7.70	7.70	6347727	50609780.00
2009/09/23	7.65	7.77	7.33	7.36	5819147	44003380.00
2009/09/24	7.30	7.55	7.19	7.39	4756186	35136212.00
2009/09/25	7.35	7.57	7.26	7.30	3545695	26318468.00
2009/09/28	7.30	7.39	6.70	6.93	4047763	28861908.00
2009/09/29	6.98	7.07	6.38	6.62	4386308	29152016.00
2009/09/30	6.63	6.79	6.55	6.59	3216584	21504040.00
2009/10/09	6.75	7.10	6.71	7.10	4437978	30842224.00
2009/10/12	7.18	7.25	7.08	7.15	3960033	28367212.00
2009/10/13	7.15	7.29	7.08	7.25	4233261	30453108.00
2009/10/14	7.25	7.57	7.20	7.25	4503047	33131776.00
2009/10/15	7.25	7.34	7.15	7.17	4183373	30218442.00
2009/10/16	7.19	7.20	6.87	7.09	4675165	32774208.00
2009/10/19	7.09	7.30	6.90	7.29	6787301	48502292.00
2009/10/20	7.30	7.57	7.25	7.56	7776004	57763268.00
2009/10/21	7.58	7.58	7.35	7.45	5802374	43172940.00
2009/10/22	7.49	7.49	7.28	7.37	3946856	29047056.00
2009/10/23	7.35	7.47	7.35	7.45	4893193	36333936.00
2009/10/26	7.43	7.47	7.18	7.30	4409953	32183028.00
2009/10/27	7.22	7.22	6.91	6.94	5657012	39858320.00
2009/10/28	6.90	7.03	6.80	6.95	4079461	28089978.00
2009/10/29	6.90	6.90	6.68	6.70	3874810	26232124.00
2009/10/30	6.74	6.88	6.74	6.78	3008690	20475094.00
2009/11/02	6.56	7.05	6.32	7.03	9104594	61040656.00
2009/11/03	6.88	7.34	6.80	7.19	8427999	60290556.00
2009/11/04	7.11	7.31	7.05	7.20	7360145	53011148.00
2009/11/05	7.19	7.19	7.01	7.17	6784991	48253968.00
2009/11/06	7.16	7.68	7.14	7.56	15343439	113411776.00
2009/11/09	7.41	7.59	7.35	7.47	8563527	63814244.00
2009/11/10	7.52	7.56	7.33	7.34	6444721	47715048.00
2009/11/11	7.28	7.48	7.16	7.44	7903182	57793064.00
2009/11/12	7.40	7.65	7.40	7.45	9988607	75219584.00
2009/11/13	7.46	7.69	7.41	7.66	11662098	88332760.00
2009/11/16	7.70	7.80	7.62	7.75	10414093	80536552.00
2009/11/17	7.77	7.98	7.70	7.91	9595711	75450872.00
2009/11/18	7.89	8.02	7.80	7.98	9610600	76107000.00
2009/11/19	7.98	8.32	7.80	8.15	14689698	118188200.00
2009/11/20	8.11	8.18	7.98	8.02	9207816	74382808.00
2009/11/23	8.16	8.38	8.07	8.15	9752626	79917672.00
2009/11/24	8.10	8.38	7.79	7.87	16943407	138125872.00
2009/11/25	7.89	8.34	7.78	8.29	12610533	101942080.00
2009/11/26	8.31	8.46	7.80	7.81	12189872	99429320.00
2009/11/27	7.60	7.78	7.25	7.26	7234787	54557608.00
2009/11/30	7.33	7.56	7.32	7.52	5276962	39376112.00
2009/12/02	7.31	7.90	7.31	7.90	20065937	154443984.00
2009/12/03	7.66	8.07	7.66	7.89	10553219	83264368.00
2009/12/04	7.85	7.93	7.50	7.50	10595367	80668848.00
2009/12/07	7.48	7.48	7.26	7.46	7345887	54118732.00
2009/12/08	7.37	7.59	7.37	7.53	5620121	42009124.00
2009/12/10	7.48	7.50	7.33	7.36	5155231	38091236.00
2009/12/11	7.40	7.48	7.31	7.34	4039842	29904614.00
2009/12/14	7.34	7.40	6.97	7.14	5368789	38028180.00
2009/12/15	7.14	7.32	7.07	7.22	3323380	23954480.00
2009/12/16	7.20	7.29	7.04	7.12	3313030	23743906.00
2009/12/17	7.11	7.21	6.90	6.91	2900585	20294086.00
2009/12/18	6.86	7.02	6.57	7.00	4914783	33433192.00
2009/12/21	6.93	7.35	6.92	7.33	5410148	38950608.00
2009/12/22	7.35	7.39	7.08	7.08	2421098	17450526.00
2009/12/23	7.07	7.27	7.01	7.20	1658536	11818036.00
2009/12/24	7.20	7.55	7.10	7.45	6308515	46546284.00
2009/12/25	7.82	7.82	7.82	7.82	4501942	35205188.00
2009/12/30	8.21	8.21	8.21	8.21	2255521	18517828.00
2009/12/31	8.48	8.48	7.82	7.95	17236561	139006480.00
2010/01/04	7.85	8.30	7.85	8.22	9659189	78902144.00
2010/01/05	8.20	8.32	8.06	8.13	6510025	53130492.00
2010/01/06	8.18	8.20	7.86	8.04	6249871	50374932.00
2010/01/07	8.02	8.15	7.92	8.02	4036207	32467630.00
2010/01/08	7.99	8.42	7.88	8.34	8901687	73709368.00
2010/01/11	8.32	8.32	7.95	8.05	7207633	58488724.00
2010/01/12	8.08	8.08	7.85	8.04	6429786	51228524.00
2010/01/13	7.89	8.00	7.84	7.84	2998302	23687804.00
2010/01/14	7.86	8.00	7.81	7.93	4030476	31945054.00
2010/01/15	7.93	8.14	7.88	8.08	5860067	47203312.00
2010/01/18	8.09	8.16	7.99	8.08	4579838	36952660.00
2010/01/19	8.08	8.24	7.91	8.18	6614889	53511956.00
2010/01/20	8.18	8.18	7.86	7.90	5222805	41728256.00
2010/01/21	7.89	8.04	7.75	7.97	3094008	24432600.00
2010/01/22	7.90	7.95	7.57	7.58	4585885	35332876.00
2010/01/25	7.51	7.51	7.20	7.20	4462764	32450802.00
2010/01/26	7.16	7.32	7.00	7.27	3210300	22979296.00
2010/01/27	7.20	7.28	7.01	7.20	1908626	13690086.00
2010/01/28	7.12	7.24	7.08	7.18	1403979	10062724.00
2010/01/29	7.07	7.26	7.07	7.14	1932599	13852965.00
2010/02/01	7.14	7.15	6.78	6.78	5106275	34871724.00
2010/02/02	6.79	6.97	6.79	6.85	2894329	19943532.00
2010/02/03	6.89	7.03	6.70	6.94	2655078	18286654.00
2010/02/04	6.97	7.05	6.85	6.94	2092895	14599234.00
2010/02/05	6.84	6.91	6.79	6.85	1613719	11030954.00
2010/02/08	6.85	7.19	6.81	7.15	2774464	19535486.00
2010/02/09	7.17	7.25	7.02	7.15	2689447	19218788.00
2010/02/10	7.22	7.25	7.14	7.16	2020998	14562270.00
2010/02/11	7.17	7.48	7.17	7.34	2611649	19259890.00
2010/02/12	7.38	7.47	7.32	7.35	1126270	8308382.50
2010/02/22	7.31	7.34	7.20	7.21	1342736	9739752.00
2010/02/23	7.16	7.21	7.08	7.20	1302754	9302364.00
2010/02/24	7.20	7.56	7.15	7.56	4041360	29954234.00
2010/02/25	7.54	7.82	7.45	7.80	3568924	27310888.00
2010/02/26	7.87	7.87	7.69	7.78	2664237	20723544.00
2010/03/01	7.80	7.85	7.71	7.78	2295707	17862962.00
2010/03/02	7.76	7.88	7.74	7.77	1536733	11984005.00
2010/03/03	7.78	7.85	7.63	7.80	2454280	19019122.00
2010/03/04	7.75	7.83	7.51	7.56	2988033	22933840.00
2010/03/05	7.53	7.94	7.53	7.94	6875806	54248164.00
2010/03/08	8.03	8.33	7.96	8.07	5266853	42790248.00
2010/03/09	8.02	8.13	7.87	7.90	5047920	40212092.00
2010/03/10	7.87	8.10	7.87	7.97	2794985	22361660.00
2010/03/11	7.98	8.27	7.92	8.13	5908191	48047884.00
2010/03/12	8.10	8.35	7.95	8.22	7947547	65346728.00
2010/03/16	8.16	8.47	8.00	8.41	7106443	58909736.00
2010/03/17	8.47	8.83	8.22	8.66	17203324	150017472.00
2010/03/18	8.63	8.88	8.51	8.88	10606835	92192528.00
2010/03/19	8.88	9.08	8.72	8.95	10036323	89515744.00
2010/03/23	8.55	8.85	8.50	8.50	11239137	96020920.00
2010/03/24	8.17	8.30	8.08	8.09	19587625	159144224.00
2010/03/25	8.01	8.17	7.90	8.14	7727519	62462080.00
2010/03/26	8.11	8.27	8.04	8.27	7347899	60130172.00
2010/03/29	8.35	8.36	7.86	7.88	12484110	100597048.00
2010/03/30	7.80	7.96	7.77	7.90	7347504	57994408.00
2010/03/31	7.93	8.03	7.86	7.87	5685773	45042540.00
2010/04/01	7.88	8.26	7.87	8.26	14972334	121830752.00
2010/04/02	8.24	8.35	8.10	8.17	9403459	77405152.00
2010/04/06	8.19	8.25	8.05	8.18	9386234	76180872.00
2010/04/07	8.19	8.33	8.14	8.28	10414280	86068152.00
2010/04/08	8.29	8.32	8.10	8.15	7184612	58871076.00
2010/04/09	8.11	8.19	7.95	7.99	9242971	74633912.00
2010/04/12	7.95	8.05	7.85	7.95	6785413	53922488.00
2010/04/13	7.91	8.02	7.57	7.84	6405197	50129116.00
2010/04/14	7.85	7.99	7.76	7.90	4943823	39072608.00
2010/04/15	7.98	8.30	7.90	8.30	11762189	96741616.00
2010/04/16	8.51	8.59	8.21	8.30	10729424	90171456.00
2010/04/19	8.38	8.58	8.10	8.19	13642654	114081248.00
2010/04/20	8.27	8.52	7.80	7.93	28357563	234264224.00
2011/03/11	5.94	5.94	5.94	5.94	183331	1088986.13
2011/03/14	6.24	6.24	6.24	6.24	87678	547110.75
2011/03/15	6.55	6.55	6.55	6.55	12051367	78936456.00
2011/03/16	6.88	6.88	6.71	6.88	31049893	213575776.00
2011/03/17	7.22	7.22	7.07	7.22	31485892	227212528.00
2011/03/18	7.54	7.54	7.10	7.28	48444693	354806528.00
2011/03/21	7.36	7.46	6.92	7.02	23881337	169192320.00
2011/03/22	7.01	7.01	6.68	6.71	28163522	191498528.00
2011/03/23	6.72	6.83	6.67	6.74	22784687	153961264.00
2011/03/24	6.75	7.08	6.53	7.08	23137838	159065744.00
2011/03/25	7.10	7.41	7.01	7.18	24121848	174732208.00
2011/03/29	7.27	7.54	7.26	7.54	33458533	251597824.00
2011/03/30	7.56	7.90	7.35	7.45	32648643	250067520.00
2011/03/31	7.40	7.54	7.08	7.10	18589239	134179976.00
2011/04/01	7.22	7.46	7.13	7.46	19625326	144938896.00
2011/04/06	7.56	7.72	7.46	7.64	19181508	145871584.00
2011/04/07	7.62	7.85	7.48	7.63	18609633	143509760.00
2011/04/08	7.60	7.60	7.48	7.54	20542434	154897248.00
2011/04/11	7.58	7.72	7.39	7.54	16582740	124808416.00
2011/04/12	7.50	7.62	7.35	7.38	16773530	124869536.00
2011/04/13	7.33	7.38	7.17	7.21	22881221	165414768.00
2011/04/14	7.21	7.45	7.19	7.24	16854958	123325096.00
2011/04/15	7.44	7.60	7.40	7.60	62961117	476435936.00
2011/04/18	7.70	7.98	7.60	7.86	47438012	373893600.00
2011/04/19	7.75	8.12	7.69	7.90	41429126	329795296.00
2011/04/20	7.94	8.05	7.65	7.81	23106972	179955152.00
2011/04/21	7.82	7.93	7.63	7.85	19777862	153403408.00
2011/04/22	7.86	8.16	7.80	7.96	19489223	155613168.00
2011/04/26	7.72	7.84	7.56	7.56	23769572	181675664.00
2011/04/27	7.69	7.74	7.18	7.33	17509934	130242136.00
2011/04/28	7.32	7.33	6.96	6.96	17820646	125419896.00
2011/04/29	6.81	7.02	6.62	7.02	13207895	90460200.00
2011/05/03	7.00	7.26	6.77	7.20	13407023	94709288.00
2011/05/04	7.11	7.22	6.91	6.95	9732085	68610552.00
2011/05/05	6.88	7.05	6.83	6.99	6279173	43536152.00
2011/05/06	6.93	7.15	6.86	7.07	7495895	52757320.00
2011/05/09	7.10	7.15	6.97	7.03	8347216	58632868.00
2011/05/10	7.02	7.23	6.92	7.15	11677830	82889648.00
2011/05/11	7.12	7.15	6.93	7.03	11175704	78612568.00
2011/05/12	6.98	6.98	6.85	6.87	10296374	71144960.00
2011/05/13	6.82	6.94	6.78	6.93	5515694	37838340.00
2011/05/16	6.92	7.11	6.82	6.97	10328914	72452112.00
2011/05/17	6.99	7.05	6.80	6.85	7487540	51557384.00
2011/05/19	6.90	7.02	6.80	6.85	9175673	63421264.00
2011/05/20	6.85	6.95	6.80	6.88	4671908	32078700.00
2011/05/23	6.88	6.93	6.54	6.54	9118615	60222992.00
2011/05/24	6.45	6.45	6.21	6.29	8936207	56209324.00
2011/05/25	6.30	6.38	6.23	6.24	4665810	29334940.00
2011/05/26	6.28	6.33	6.06	6.14	6813132	42182232.00
2011/05/27	6.13	6.20	5.98	6.05	5824050	35314668.00
2011/05/30	6.04	6.05	5.88	5.90	4612506	27475190.00
2011/05/31	5.88	5.99	5.83	5.97	3386640	20094922.00
2011/06/01	5.96	6.16	5.95	6.08	4530265	27602768.00
2011/06/02	6.01	6.05	5.87	5.94	3762239	22431280.00
2011/06/03	5.94	6.11	5.92	6.05	3513156	21189352.00
2011/06/07	6.06	6.09	5.91	6.06	7127335	42644328.00
2011/06/08	6.04	6.11	5.96	6.06	4438063	26793130.00
2011/06/09	6.04	6.04	5.90	5.90	4974407	29719982.00
2011/06/10	5.89	5.95	5.61	5.67	12020591	68655432.00
2011/06/13	5.63	5.63	5.41	5.55	6925635	38097652.00
2011/06/14	5.55	5.83	5.52	5.83	7029110	40612748.00
2011/06/15	5.89	6.05	5.82	5.83	13800412	81895608.00
2011/06/16	5.75	5.75	5.57	5.61	6387151	35982484.00
2011/06/17	5.65	5.78	5.58	5.64	4278953	24330292.00
2011/06/20	5.60	5.77	5.60	5.63	4369698	24715560.00
2011/06/21	5.64	5.77	5.61	5.72	5762648	32700394.00
2011/06/22	5.73	5.75	5.63	5.65	3506882	19882540.00
2011/06/23	5.88	5.93	5.85	5.93	4193274	24823572.00
2011/06/24	6.18	6.18	5.94	6.02	15791347	95584256.00
2011/06/27	6.03	6.14	5.96	6.06	9405810	56972904.00
2011/06/28	6.05	6.15	6.02	6.08	6436350	39127568.00
2011/06/29	6.09	6.38	6.08	6.27	16371066	103067576.00
2011/06/30	6.29	6.35	6.22	6.28	8869519	55688892.00
2011/07/01	6.31	6.42	6.30	6.31	8448680	53741664.00
2011/07/04	6.32	6.39	6.28	6.38	10496080	66576028.00
