000821 京山轻机 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	2.79	2.79	2.70	2.71	2502800	6850744.50
2009/01/09	2.70	2.90	2.68	2.88	6062700	17103958.00
2009/01/12	2.85	3.00	2.83	2.90	8171900	23851188.00
2009/01/13	2.89	2.89	2.79	2.80	3565800	10126731.00
2009/01/14	2.80	2.89	2.78	2.89	3108400	8850478.00
2009/01/15	2.85	3.05	2.85	3.00	9794900	29108088.00
2009/01/16	3.00	3.08	2.95	2.97	6238900	18757770.00
2009/01/19	3.00	3.02	2.95	3.00	3731000	11167920.00
2009/01/20	3.00	3.04	2.93	3.02	5588300	16809158.00
2009/01/21	3.01	3.05	2.97	2.99	3864900	11620570.00
2009/01/22	3.01	3.07	3.00	3.04	5905800	17920844.00
2009/01/23	3.05	3.07	2.98	2.99	4318500	13000822.00
2009/02/02	3.01	3.09	2.96	3.08	5688000	17340120.00
2009/02/03	3.08	3.19	3.05	3.18	9337900	29308892.00
2009/02/04	3.18	3.24	3.15	3.22	10434400	33291614.00
2009/02/05	3.21	3.27	3.13	3.16	9793100	31502414.00
2009/02/06	3.17	3.32	3.17	3.30	9751000	31863132.00
2009/02/09	3.34	3.42	3.30	3.42	9870200	33109974.00
2009/02/10	3.40	3.49	3.35	3.49	10029200	34305104.00
2009/02/11	3.42	3.67	3.39	3.56	13484500	48129096.00
2009/02/12	3.56	3.59	3.37	3.55	9193600	32121140.00
2009/02/13	3.56	3.91	3.54	3.84	16883700	62916324.00
2009/02/16	3.82	3.98	3.81	3.92	12953900	50251792.00
2009/02/17	3.90	3.95	3.67	3.72	12649600	48230048.00
2009/02/19	3.56	3.69	3.50	3.62	9487100	34105000.00
2009/02/20	3.63	3.70	3.55	3.70	6974900	25389678.00
2009/02/23	3.66	3.88	3.61	3.85	9758300	36740332.00
2009/02/24	3.79	3.87	3.59	3.60	8649100	32116546.00
2009/02/25	3.63	3.67	3.45	3.61	7792700	27892174.00
2009/02/26	3.62	3.67	3.30	3.36	5557400	19661342.00
2009/02/27	3.36	3.38	3.14	3.18	5168100	16672046.00
2009/03/02	3.14	3.26	3.12	3.23	2941800	9436109.00
2009/03/03	3.18	3.27	3.13	3.23	3846300	12340548.00
2009/03/04	3.24	3.45	3.23	3.42	5498900	18413590.00
2009/03/05	3.44	3.51	3.35	3.46	5944800	20460586.00
2009/03/06	3.40	3.49	3.37	3.46	4392900	15175979.00
2009/03/09	3.48	3.54	3.26	3.28	4358700	14810173.00
2009/03/10	3.23	3.38	3.23	3.37	2896000	9641848.00
2009/03/11	3.43	3.49	3.38	3.40	3969100	13614160.00
2009/03/12	3.40	3.42	3.28	3.42	2798100	9396227.00
2009/03/13	3.45	3.45	3.37	3.37	2679900	9138053.00
2009/03/16	3.38	3.43	3.31	3.42	2223700	7523731.50
2009/03/17	3.41	3.60	3.39	3.55	7886200	27622622.00
2009/03/18	3.54	3.61	3.53	3.54	7706300	27480494.00
2009/03/19	3.54	3.61	3.49	3.60	7332900	26094952.00
2009/03/20	3.60	3.60	3.49	3.56	6869900	24406284.00
2009/03/23	3.54	3.81	3.54	3.73	14908800	54760940.00
2009/03/24	3.70	3.74	3.65	3.67	9315700	34342556.00
2009/03/25	3.67	3.68	3.55	3.56	6139900	22232200.00
