000876 新 希 望 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	6.90	7.08	6.82	6.86	7107300	49236824.00
2009/01/09	6.86	7.12	6.86	7.07	5839100	40999088.00
2009/01/12	7.08	7.25	6.96	7.12	7752300	55085196.00
2009/01/13	7.02	7.03	6.83	6.84	5135200	35551356.00
2009/01/14	6.81	7.08	6.72	7.07	7186000	50106264.00
2009/01/15	7.00	7.20	6.93	7.11	10611300	75218648.00
2009/01/16	7.18	7.44	7.16	7.23	15893000	116567392.00
2009/01/19	7.30	7.47	7.13	7.21	11541600	84482000.00
2009/01/20	7.16	7.25	7.01	7.20	6088800	43421816.00
2009/01/21	7.10	7.29	7.02	7.18	7131400	51140840.00
2009/01/22	7.27	7.40	7.21	7.39	13306500	97660048.00
2009/01/23	7.42	7.58	7.27	7.47	16580800	123776704.00
2009/02/02	7.73	7.81	7.52	7.64	19871600	152549232.00
2009/02/03	7.64	8.37	7.53	8.18	27561900	220011584.00
2009/02/04	8.15	8.41	8.12	8.31	23225000	191695088.00
2009/02/05	8.20	8.40	8.06	8.08	21698000	178625104.00
2009/02/06	8.10	8.76	8.10	8.65	27478800	233387968.00
2009/02/09	8.79	9.06	8.65	8.98	24246800	215053824.00
2009/02/10	8.88	9.23	8.73	8.99	20430800	183366544.00
2009/02/11	8.86	9.07	8.65	8.74	22045400	194616368.00
2009/02/12	8.76	8.88	8.35	8.83	15916900	137035840.00
2009/02/13	8.84	9.14	8.84	9.11	22093300	199591376.00
2009/02/16	9.26	9.45	9.10	9.30	20664400	191912048.00
2009/02/17	9.30	9.30	8.68	8.69	23958400	213364928.00
2009/02/18	8.57	8.81	8.48	8.65	15947800	137738112.00
2009/02/19	8.70	8.84	8.42	8.68	11852500	102399616.00
2009/02/20	8.64	8.80	8.52	8.80	13136500	114324832.00
2009/02/23	8.71	9.39	8.69	9.29	24559900	224513024.00
2009/02/24	9.13	9.55	9.07	9.22	31256400	290682720.00
2009/02/25	9.38	9.66	9.14	9.65	33131400	313653344.00
2009/02/26	9.70	9.98	8.69	9.00	29602100	280201952.00
2009/02/27	8.80	9.02	8.12	8.25	17672900	149568976.00
2009/03/02	8.15	8.72	8.12	8.68	12503100	106410904.00
2009/03/03	8.35	8.97	8.34	8.81	12886900	112613768.00
2009/03/04	8.80	9.37	8.80	9.30	19497200	177877632.00
