000937 冀中能源 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	16.49	17.94	16.40	17.56	27275800	472952160.00
2009/01/09	17.51	18.27	17.37	17.47	19460600	347227904.00
2009/01/12	17.45	18.08	17.22	17.50	14130800	250180672.00
2009/01/13	17.05	17.25	16.52	16.57	10751700	181635600.00
2009/01/14	16.46	18.23	16.46	18.19	17146200	299319936.00
2009/01/15	17.85	19.00	17.66	18.27	17584200	319099360.00
2009/01/16	18.32	19.05	18.32	18.60	13622600	256284048.00
2009/01/19	18.75	19.14	17.55	18.00	13024400	238940288.00
2009/01/20	18.00	18.16	17.61	17.99	7963600	142353504.00
2009/01/21	18.22	18.63	17.85	18.04	17411800	318189664.00
2009/01/22	18.36	19.49	18.01	19.30	19208000	362877056.00
2009/01/23	19.16	19.80	18.90	19.79	16158300	311545088.00
2009/02/02	19.90	20.00	19.39	19.51	13206000	259209008.00
2009/02/03	19.45	20.00	19.34	19.68	17091400	335190304.00
2009/02/04	19.83	20.04	19.38	19.71	22711100	447122560.00
2009/02/05	19.66	20.71	19.45	20.10	38310900	768157824.00
2009/02/06	20.18	21.00	20.10	20.80	22844400	468369632.00
2009/02/09	20.98	22.47	20.98	21.80	26267000	573183424.00
2009/02/10	21.80	22.87	21.46	22.70	22044500	490884000.00
2009/02/11	22.30	22.60	21.60	21.94	28185100	620208000.00
2009/02/12	21.88	22.21	20.00	20.76	42086300	869566912.00
2009/02/13	20.69	21.57	20.00	21.48	42405800	878351936.00
2009/02/16	21.73	22.56	21.73	22.56	43622200	966586688.00
2009/02/17	22.78	23.46	22.15	22.19	43218900	991708352.00
2009/02/18	21.45	21.96	20.60	20.64	29235300	618716032.00
2009/02/19	20.92	21.60	20.34	21.45	22400400	467728160.00
2009/02/20	21.45	22.17	21.00	22.13	19682000	427743936.00
2009/02/23	22.84	23.25	22.40	23.00	30119700	689334848.00
2009/02/24	22.65	23.10	21.50	21.76	29218600	651336768.00
2009/02/25	22.02	22.18	20.66	21.21	21607400	464713984.00
2009/02/26	21.27	22.17	19.09	19.69	20361800	428194048.00
2009/02/27	19.65	19.99	18.07	18.65	22001400	414445824.00
2009/03/02	18.55	18.92	18.30	18.88	18893200	351707200.00
2009/03/03	17.70	18.40	17.03	17.96	26202600	466067776.00
2009/03/04	17.99	19.50	17.89	19.44	28158100	531141568.00
2009/03/05	19.71	20.19	18.91	19.38	27607500	541557440.00
2009/03/06	18.92	19.77	18.48	19.07	18589200	355836960.00
2009/03/09	19.20	19.65	18.05	18.23	16853600	317899040.00
2009/03/10	18.15	18.68	17.88	18.62	10629700	194407712.00
2009/03/11	19.10	19.20	18.33	18.38	11323500	212490224.00
2009/03/12	18.40	18.70	17.98	18.49	9232000	169370704.00
2009/03/13	18.77	19.03	18.41	18.52	10892200	203946400.00
2009/03/16	18.22	18.60	18.00	18.51	8936900	163132832.00
2009/03/17	18.57	19.40	18.35	19.29	27395200	519368192.00
2009/03/18	19.51	20.35	19.35	19.77	35232900	705694272.00
2009/03/19	19.77	21.47	19.77	21.32	34679600	720103424.00
2009/03/20	21.60	22.54	21.00	21.98	40785000	889203584.00
2009/03/24	22.85	22.96	21.62	21.98	33102500	734130112.00
2009/03/25	21.90	22.68	21.50	21.50	25403200	562404800.00
2009/03/26	21.31	22.06	20.13	22.00	39408800	827336832.00
2009/03/27	21.95	22.10	21.10	21.34	24422300	528166912.00
2009/03/30	21.15	21.28	20.60	20.69	17026300	355608512.00
2009/03/31	20.00	21.16	19.90	21.06	21211100	436171360.00
2009/04/01	21.16	23.12	21.16	22.65	42354200	942501696.00
2009/04/02	22.79	23.91	22.19	23.28	52930100	1219216384.00
2009/04/03	23.64	24.15	22.82	23.09	40959900	967796736.00
2009/04/07	23.01	24.80	22.99	24.80	36533900	873324864.00
2009/04/08	24.94	25.61	24.01	24.44	41866400	1035515264.00
2009/04/09	24.60	24.95	23.25	24.15	30466900	736379136.00
2009/04/13	25.80	26.57	25.45	26.57	47881800	1260209664.00
2009/04/14	26.69	27.70	26.26	27.28	37155200	1002184896.00
2009/04/15	26.72	28.57	26.50	27.49	30107500	830792576.00
2009/04/16	27.50	27.70	26.20	26.51	26659500	711764928.00
2009/04/17	26.29	26.29	24.50	25.41	23612100	601512704.00
2009/04/20	25.05	26.49	25.01	25.95	17481200	452919488.00
2009/04/21	25.28	25.60	24.61	25.08	19260300	482628832.00
2009/04/22	25.31	25.50	23.20	23.26	20854600	507781344.00
2009/04/23	23.28	24.45	23.28	24.30	20158200	481436480.00
2009/04/24	24.58	24.63	23.70	23.95	12094400	291542080.00
2009/04/27	23.88	24.05	23.16	23.79	11282600	265726112.00
2009/04/28	23.41	24.46	23.35	24.16	14453900	347831968.00
2009/04/29	24.20	25.07	24.09	25.00	21749500	540654144.00
2009/04/30	25.27	25.40	24.56	24.75	13582200	338197280.00
2009/05/04	25.10	26.95	24.95	26.80	23147600	602932416.00
2009/05/05	27.01	27.60	26.47	26.93	25198100	682674560.00
2009/05/06	26.98	29.15	26.98	28.19	31073700	878097280.00
2009/05/07	28.50	29.60	27.88	29.58	36325800	1042405504.00
2009/05/08	29.00	31.94	28.62	30.16	40078600	1218506880.00
2009/05/11	30.40	31.40	29.61	29.71	38398000	1174071808.00
2009/05/12	29.03	32.68	29.02	32.68	32981300	1037488576.00
2009/05/13	33.00	35.42	32.98	35.42	28638700	989322496.00
2009/05/14	34.40	36.40	34.18	35.77	19762200	703262528.00
2009/05/15	35.77	36.30	34.41	35.80	15374500	541972224.00
2009/05/18	35.16	38.85	34.10	38.08	14488700	524550240.00
