000962 东方钽业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	5.95	6.06	5.81	5.86	3210800	19065032.00
2009/01/09	5.90	6.19	5.90	6.16	4508000	27488038.00
2009/01/12	6.20	6.78	6.16	6.61	13293300	86883424.00
2009/01/13	6.44	6.50	6.20	6.22	5260000	33432766.00
2009/01/14	6.19	6.82	6.19	6.81	10756900	71059192.00
2009/01/15	6.78	7.49	6.69	7.18	19634000	138783680.00
2009/01/16	7.20	7.56	7.08	7.20	14930000	108476376.00
2009/01/19	7.20	7.36	6.94	7.00	7500100	53187924.00
2009/01/20	7.03	7.25	6.89	7.21	6031100	42723004.00
2009/01/21	7.04	7.34	7.04	7.09	4877300	35016612.00
2009/01/22	7.16	7.42	7.07	7.42	8839200	64495136.00
2009/01/23	7.44	7.47	7.12	7.22	5797900	42153960.00
2009/02/02	7.22	7.47	7.14	7.35	5720300	41969448.00
2009/02/03	7.37	7.71	7.37	7.58	7486100	56669696.00
2009/02/04	7.72	7.75	7.53	7.73	7573100	57849744.00
2009/02/05	7.72	7.85	7.35	7.46	8105100	62262280.00
2009/02/06	7.52	8.14	7.52	8.04	11082300	87110512.00
2009/02/09	8.39	8.65	8.12	8.46	14162000	118380672.00
2009/02/10	8.30	8.78	8.20	8.70	11543900	98687448.00
2009/02/11	8.45	9.48	8.40	8.88	15003600	135077344.00
2009/02/12	8.90	9.14	8.43	8.88	11182100	97534032.00
2009/02/13	8.80	9.26	8.50	9.20	11151300	101345632.00
2009/02/16	9.30	9.39	9.01	9.22	8904100	81556520.00
2009/02/17	9.18	9.60	8.70	9.01	11154800	101976712.00
2009/02/18	8.84	9.00	8.23	8.24	8289800	72052544.00
2009/02/19	8.40	8.56	8.24	8.42	4450000	37320860.00
2009/02/20	8.42	8.89	8.29	8.87	5436600	46937684.00
2009/02/23	8.86	9.76	8.70	9.76	14646800	138497328.00
2009/02/24	9.90	10.50	9.78	10.00	24414000	248101968.00
2009/02/25	10.30	10.40	9.80	10.08	13909000	140191680.00
2009/02/26	10.16	10.58	9.16	9.50	15997300	162628080.00
2009/02/27	9.20	9.30	8.55	8.55	8831100	78200152.00
2009/03/02	8.34	8.65	7.98	8.40	10837400	90206752.00
2009/03/03	8.15	8.37	7.81	8.14	7810900	63266492.00
2009/03/04	8.21	8.95	8.21	8.95	11278700	98685112.00
2009/03/05	9.15	9.60	8.92	9.18	12570500	116584384.00
2009/03/06	8.98	9.80	8.88	9.58	13694000	129786600.00
2009/03/09	9.58	10.15	9.05	9.39	12602600	121619088.00
2009/03/10	9.20	10.10	9.05	9.89	12477400	121281928.00
2009/03/11	10.03	10.13	9.51	9.65	11779200	115271800.00
2009/03/12	9.50	9.95	9.12	9.78	8115000	77295720.00
2009/03/13	9.80	9.87	9.31	9.33	6465100	61737740.00
2009/03/16	9.27	9.59	9.05	9.48	5853900	54786972.00
2009/03/17	9.45	10.06	9.36	9.87	15830100	155763360.00
2009/03/18	9.95	10.48	9.80	10.13	21231400	213966128.00
2009/03/19	10.14	10.41	9.93	10.16	15023700	152601104.00
2009/03/20	10.25	11.18	10.25	11.18	29481100	317218624.00
