002142 宁波银行 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	6.93	6.96	6.80	6.82	12892600	88354968.00
2009/01/09	6.82	6.94	6.81	6.91	7018800	48274404.00
2009/01/12	6.91	7.15	6.87	7.07	14830300	104557872.00
2009/01/13	6.98	6.99	6.88	6.89	7510300	51983332.00
2009/01/14	6.86	7.13	6.85	7.12	13668300	96490016.00
2009/01/15	7.05	7.25	7.03	7.14	24032200	172434736.00
2009/01/16	7.15	7.49	7.15	7.32	32655500	241402800.00
2009/01/19	7.39	7.64	7.32	7.36	28380100	212875312.00
2009/01/20	7.36	7.44	7.29	7.40	10669600	78446984.00
2009/01/21	7.34	7.54	7.26	7.44	18510400	137582560.00
2009/01/22	7.51	7.55	7.33	7.41	10427400	77370288.00
2009/01/23	7.42	7.51	7.35	7.42	13703200	102027384.00
2009/02/02	7.48	7.50	7.36	7.45	9809700	72932944.00
2009/02/03	7.43	7.64	7.40	7.64	26911900	203965040.00
2009/02/04	7.66	7.95	7.66	7.90	42082800	328922688.00
2009/02/05	7.87	7.97	7.64	7.71	31092900	243605344.00
2009/02/06	7.71	7.99	7.70	7.98	27592300	218107664.00
2009/02/09	8.11	8.38	8.11	8.28	40483200	333586880.00
2009/02/10	8.20	8.37	8.13	8.36	23469200	193774512.00
2009/02/11	8.20	9.20	8.15	8.98	67049800	591185856.00
2009/02/12	8.90	8.98	8.55	8.78	43552900	381893856.00
2009/02/13	8.73	9.30	8.72	9.26	41091600	374973888.00
2009/02/16	9.36	9.60	9.17	9.46	40599200	382605440.00
2009/02/17	9.40	9.54	9.06	9.06	32862000	304177920.00
2009/02/18	8.80	9.02	8.50	8.52	27753100	242885344.00
2009/02/19	8.56	8.80	8.44	8.61	19743600	170026848.00
2009/02/20	8.58	8.76	8.42	8.73	16946000	145599392.00
2009/02/23	8.71	9.36	8.51	9.18	33295500	300957376.00
2009/02/24	8.99	9.16	8.62	8.62	29774100	263956832.00
2009/02/25	8.75	9.19	8.38	8.96	36819200	322378400.00
2009/02/26	8.96	9.39	8.52	8.75	59556300	544039104.00
