002193 如意集团 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	4.88	4.88	4.62	4.69	3466400	16411794.00
2009/01/09	4.67	5.14	4.64	5.14	5538100	27542434.00
2009/01/12	5.13	5.34	5.08	5.11	6062000	31634740.00
2009/01/13	5.05	5.20	4.95	4.98	3617600	18347280.00
2009/01/14	4.93	5.22	4.93	5.21	3257500	16686610.00
2009/01/15	5.15	5.28	5.05	5.21	3799100	19639778.00
2009/01/16	5.26	5.29	5.12	5.13	4138700	21538644.00
2009/01/19	5.18	5.19	5.03	5.09	2769000	14069691.00
2009/01/20	5.06	5.14	5.04	5.14	1440200	7332455.00
2009/01/21	5.11	5.36	5.10	5.23	4923400	25907682.00
2009/01/22	5.25	5.26	5.16	5.25	2483100	12940588.00
2009/01/23	5.26	5.28	5.10	5.16	2449400	12662149.00
2009/02/02	5.18	5.25	5.10	5.25	2260600	11751339.00
2009/02/03	5.32	5.74	5.31	5.56	6842000	37909584.00
2009/02/04	5.59	5.65	5.43	5.65	5281600	29172792.00
2009/02/05	5.75	5.90	5.46	5.51	7933500	45217328.00
2009/02/06	5.49	5.77	5.45	5.72	5518800	31259754.00
2009/02/09	5.82	5.95	5.64	5.90	6609400	38480208.00
2009/02/10	5.87	6.27	5.73	6.22	6343400	37724808.00
2009/02/11	6.10	6.39	5.96	6.14	6302300	38954304.00
2009/02/12	6.14	6.25	5.96	6.22	4980600	30569998.00
2009/02/13	6.28	6.40	6.22	6.39	5585300	35333684.00
2009/02/16	6.45	6.58	6.25	6.50	5292700	33798204.00
2009/02/17	6.49	6.50	6.15	6.19	4909300	31145372.00
2009/02/18	6.10	6.15	5.68	5.70	4217800	25068704.00
2009/02/19	5.82	5.97	5.73	5.91	3457100	20211452.00
2009/02/20	5.93	6.23	5.88	6.14	3380500	20540002.00
2009/02/23	6.18	6.49	6.14	6.38	4441300	28110578.00
2009/02/24	6.35	6.54	6.18	6.22	5172700	32817306.00
2009/02/25	6.25	6.67	6.06	6.67	4797800	30426980.00
2009/02/26	6.74	7.06	6.31	6.64	10744700	73339160.00
2009/02/27	6.70	7.30	6.53	7.15	17941500	126335736.00
2009/03/02	7.13	7.87	6.99	7.87	15383400	115873080.00
2009/03/03	7.90	8.66	7.60	8.41	15928200	132576016.00
2009/03/04	8.30	8.93	8.13	8.68	16137100	136954304.00
2009/03/05	8.56	8.73	8.20	8.53	13068200	111056256.00
2009/03/06	8.41	8.47	7.95	8.00	8898100	72484376.00
2009/03/09	8.09	8.32	7.80	8.30	9366400	75707112.00
2009/03/10	8.13	8.25	7.86	8.13	5117500	41277784.00
2009/03/11	8.34	8.52	8.08	8.26	8026700	66710276.00
2009/03/12	8.10	8.12	7.44	7.73	8615500	66140820.00
