002250 联化科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	10.88	11.58	10.73	11.47	3577400	40191088.00
2009/01/09	11.39	12.18	11.38	12.05	4577400	54433032.00
2009/01/12	12.20	12.64	11.84	11.85	5362200	65538132.00
2009/01/13	11.57	12.18	11.36	11.55	4343900	50782280.00
2009/01/14	11.47	12.61	11.47	12.52	4177200	50661648.00
2009/01/15	12.39	12.65	12.16	12.38	3599100	44643896.00
2009/01/16	12.50	12.76	12.00	12.28	3763300	46117896.00
2009/01/19	12.20	12.30	11.78	12.03	2341500	27976800.00
2009/01/20	11.93	12.20	11.92	12.13	1423200	17195834.00
2009/01/21	12.00	12.35	11.71	11.79	2333600	28089180.00
2009/01/22	11.95	12.35	11.80	12.28	2488800	30021284.00
2009/01/23	12.25	12.37	11.95	12.00	2563600	31266694.00
2009/02/02	12.00	12.19	11.88	12.15	1636600	19752934.00
2009/02/03	12.15	12.33	12.02	12.31	2561000	31315350.00
2009/02/04	12.35	13.09	12.18	12.84	4485600	56707452.00
2009/02/05	13.01	13.42	12.71	12.95	4842100	63297100.00
2009/02/06	13.01	13.45	13.00	13.36	3211900	42738696.00
2009/02/09	13.55	13.58	13.13	13.38	3807800	50581072.00
2009/02/10	13.30	13.50	13.00	13.48	2913000	38676796.00
2009/02/11	13.25	13.85	13.08	13.47	3497000	47336588.00
2009/02/12	13.30	13.40	12.85	13.32	2849700	37406308.00
2009/02/13	13.29	13.79	13.22	13.69	3312700	44832972.00
2009/02/16	13.82	13.94	13.40	13.75	2919600	39892540.00
2009/02/17	13.74	13.74	13.03	13.19	2452500	32826822.00
2009/02/18	12.90	13.38	12.88	13.12	2930200	38404624.00
2009/02/19	13.22	14.29	13.17	14.18	4707100	64907340.00
2009/02/20	14.05	15.36	14.00	14.98	5445700	80998256.00
2009/02/23	14.93	15.57	14.78	15.16	4069400	61986604.00
2009/02/24	15.00	15.80	14.95	15.52	4587400	70670816.00
2009/02/25	15.82	15.89	14.71	15.46	4235800	64940268.00
2009/02/26	15.46	16.25	13.91	14.16	5430400	82753368.00
2009/02/27	13.86	14.30	12.76	12.92	4059800	53867036.00
2009/03/02	12.63	13.58	12.63	13.50	2637300	34736932.00
2009/03/03	13.19	14.14	13.01	14.10	3303300	45151232.00
2009/03/04	14.10	15.51	14.10	15.49	4980500	75838480.00
2009/03/05	15.41	16.39	14.91	15.73	5302800	83367664.00
2009/03/06	15.40	16.62	15.35	16.37	5383900	87290168.00
2009/03/09	16.36	16.70	15.61	15.70	4571700	73837104.00
2009/03/10	15.53	17.27	15.50	17.27	6206800	103011512.00
2009/03/11	17.45	17.94	16.93	17.20	5250700	91376592.00
2009/03/12	17.14	17.48	15.51	16.52	5884800	95074000.00
2009/03/13	16.28	16.49	15.70	15.96	3516000	56448924.00
2009/03/16	15.92	16.30	15.18	16.06	2860200	45311812.00
2009/03/17	16.08	16.46	15.52	16.20	4770500	76549208.00
2009/03/18	16.21	16.56	15.88	15.96	5609000	90560240.00
2009/03/19	15.53	16.27	15.53	16.25	7477000	118579728.00
2009/03/20	16.33	16.34	15.71	15.78	4717500	75120368.00
2009/03/23	15.72	16.70	15.62	16.46	5547400	90427032.00
2009/03/24	16.50	16.95	16.20	16.86	5006400	82948440.00
2009/03/25	16.80	16.80	15.79	15.80	3720200	60918444.00
2009/03/26	15.88	16.08	15.32	15.81	2913600	45777576.00
2009/03/27	15.82	16.08	15.58	15.83	3773300	59542576.00
2009/03/30	15.83	16.07	15.70	16.07	2237000	35540292.00
2009/03/31	15.80	16.65	15.71	16.58	3979200	64692780.00
2009/04/01	16.46	16.96	16.36	16.45	3583800	59547936.00
2009/04/02	16.50	16.76	16.28	16.35	3899300	64372976.00
2009/04/03	16.36	16.60	15.90	16.45	3280100	53643632.00
2009/04/07	16.45	17.48	16.39	17.40	5321900	91182392.00
2009/04/08	17.38	17.48	16.30	16.31	4442400	75176520.00
2009/04/09	16.31	16.36	15.92	16.30	2542700	40974436.00
2009/04/10	16.45	17.10	16.23	16.85	3456400	58179872.00
2009/04/14	17.11	18.50	17.11	17.94	6392800	112442272.00
2009/04/15	17.89	18.35	17.25	17.65	4910300	87440560.00
2009/04/16	17.91	18.78	17.59	18.78	5104600	93203352.00
2009/04/17	18.60	18.64	17.10	17.32	4206600	74569296.00
2009/04/20	18.00	19.03	18.00	18.96	6374800	118677240.00
2009/04/21	18.73	19.03	18.23	19.02	4437400	82617976.00
2009/04/22	18.80	18.90	17.01	17.40	4502100	80794632.00
2009/04/23	17.25	18.49	17.15	18.15	2991400	53105100.00
2009/04/24	18.00	19.96	18.00	18.94	6466400	123734624.00
2009/04/27	18.78	19.76	18.10	19.47	5273600	100771336.00
2009/04/28	19.16	19.98	18.78	19.33	4021200	77696776.00
2009/04/29	19.15	19.80	18.85	19.60	3948100	76257880.00
2009/04/30	19.48	21.27	19.48	20.84	6169200	127365360.00
2009/05/04	20.90	21.79	20.50	21.65	4709300	98942584.00
2009/05/05	21.61	23.24	21.05	22.79	5279400	116620624.00
2009/05/06	22.51	24.79	22.50	23.69	5937400	140867728.00
2009/05/07	23.60	24.13	22.63	23.92	5381600	125473328.00
2009/05/08	23.70	23.70	21.87	22.13	5977800	134652016.00
2009/05/11	21.90	22.50	20.41	20.70	4605000	99229400.00
2009/05/12	20.50	22.10	20.41	21.93	3039300	64745080.00
2009/05/13	21.75	22.45	21.48	22.00	3270800	71836936.00
2009/05/14	21.75	21.75	21.00	21.43	2229800	47778420.00
2009/05/15	21.59	22.10	21.46	21.65	1605000	34930616.00
2009/05/18	21.63	22.65	21.02	22.55	2531800	55448908.00
2009/05/19	22.66	23.57	22.51	22.88	3057800	70629360.00
2009/05/20	22.90	23.29	22.20	22.26	2072500	47196660.00
2009/05/21	22.10	22.20	21.08	21.26	3233800	69136400.00
2009/05/22	21.08	21.68	21.03	21.30	1293303	27538452.00
2009/05/25	20.30	21.18	20.28	20.91	1584665	32915124.00
2009/05/26	21.15	21.50	20.86	20.90	1229099	26003554.00
2009/05/27	21.00	21.12	20.44	20.93	1336752	27749838.00
2009/06/01	20.95	21.46	20.68	21.20	1547044	32647564.00
2009/06/02	21.22	21.55	20.92	21.36	1700322	36233908.00
2009/06/03	21.23	21.52	21.15	21.49	1756632	37491516.00
2009/06/04	21.40	22.19	21.33	22.04	2441591	53378484.00
2009/06/05	22.08	22.22	20.80	20.90	3084456	65537624.00
2009/06/08	20.74	20.90	19.70	19.85	2946201	59279600.00
2009/06/09	19.80	20.28	19.48	20.12	1591592	31586278.00
2009/06/10	20.10	20.18	19.87	20.06	1181104	23619356.00
2009/06/11	19.92	20.26	19.80	19.91	1248616	25018434.00
2009/06/12	19.87	20.03	19.45	19.52	1377540	27211068.00
2009/06/15	19.58	19.79	19.46	19.78	878655	17249924.00
2009/06/16	19.65	20.65	19.51	20.65	2081196	41936324.00
2009/06/17	20.43	20.90	20.41	20.60	2089112	43226872.00
2009/06/18	20.60	20.89	20.42	20.48	1995903	41142256.00
2009/06/19	20.67	21.84	20.67	21.62	4542910	96930880.00
2009/06/22	21.78	22.49	21.05	21.17	3748358	81834712.00
2009/06/23	20.79	21.87	20.56	21.61	3051098	65777724.00
2009/06/24	21.60	21.88	21.10	21.61	2233363	48078784.00
2009/06/25	21.73	21.76	21.20	21.27	1409645	30186056.00
2009/06/26	21.37	21.91	21.27	21.62	2003062	43385456.00
2009/06/29	21.50	21.68	20.93	20.96	2396274	50592120.00
2009/06/30	20.95	21.15	20.36	20.44	1944571	40043540.00
2009/07/01	20.44	20.77	20.44	20.61	1141532	23506300.00
2009/07/02	20.62	20.87	20.40	20.84	1487582	30768404.00
2009/07/03	20.62	21.86	20.50	21.70	2949665	62746688.00
2009/07/06	21.67	22.33	21.50	21.79	2611949	57220680.00
2009/07/07	21.76	23.90	21.41	23.33	6019371	136966256.00
2009/07/08	23.05	23.33	22.38	23.02	3540330	80813200.00
2009/07/09	22.90	23.99	22.90	23.48	2976766	70308120.00
2009/07/10	23.40	24.97	23.26	24.19	4217634	102560584.00
2009/07/13	24.00	24.80	23.70	23.73	3441884	83331848.00
2009/07/14	23.66	24.27	23.66	23.86	2458999	58854236.00
2009/07/15	24.00	24.88	23.87	24.36	2929185	71614408.00
2009/07/16	24.45	25.40	24.20	25.13	3304503	82737312.00
2009/07/17	25.13	25.30	24.00	24.41	3316342	81772992.00
2009/07/20	24.53	24.55	24.03	24.23	2605998	63218228.00
2009/07/21	24.53	25.64	24.21	25.08	4525212	112968952.00
2009/07/22	25.14	27.27	24.80	26.20	5430627	142018480.00
2009/07/23	26.28	27.79	26.01	26.70	4254567	114462552.00
2009/07/24	26.77	27.30	25.75	26.41	3239767	85529328.00
2009/07/27	26.85	29.05	26.78	29.04	5167622	143730224.00
2009/07/28	28.45	30.20	28.43	29.73	4619937	135369264.00
2009/07/29	29.55	29.78	26.76	26.76	5839662	162285808.00
2009/07/30	26.76	27.30	24.71	26.10	5519423	143118608.00
2009/07/31	25.35	26.09	24.40	25.99	8695078	219368416.00
2009/08/03	25.60	25.96	25.20	25.69	4714332	120682272.00
2009/08/04	25.72	26.70	25.60	25.97	5038553	131827768.00
2009/08/05	26.05	26.22	25.10	25.31	3692611	94271016.00
2009/08/06	25.30	25.69	24.40	25.27	3413733	85021600.00
2009/08/07	25.15	25.60	24.73	24.90	2580713	65179144.00
2009/08/10	25.00	25.45	24.70	25.02	1783648	44616608.00
2009/08/11	25.25	25.76	25.06	25.70	2485190	63203580.00
2009/08/12	25.78	26.00	24.42	24.52	2576210	65159688.00
2009/08/13	24.45	24.80	23.80	23.82	1975413	47507528.00
2009/08/14	23.99	24.18	22.78	22.79	1863317	43624260.00
2009/08/17	22.39	22.39	20.68	20.71	1993699	42933448.00
2009/08/18	20.63	21.87	20.40	21.53	2244093	47425344.00
2009/08/19	21.52	21.53	20.39	20.50	1556525	32706594.00
2009/08/20	20.58	21.70	20.58	21.60	1999913	42244432.00
2009/08/21	21.40	22.15	21.26	22.10	2219177	48276316.00
2009/08/24	21.95	22.68	21.75	22.38	2470612	54925828.00
2009/08/25	22.01	23.80	21.82	23.03	4254395	96873872.00
2009/08/26	22.90	23.76	22.62	23.45	2965729	69394864.00
2009/08/27	23.40	23.98	23.15	23.19	1999494	46944052.00
2009/08/28	23.19	23.55	22.11	22.30	1911740	43195604.00
2009/08/31	21.96	21.96	20.50	20.50	1569315	33369524.00
2009/09/01	20.38	21.15	20.30	20.60	1178298	24474310.00
