002439 启明星辰 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/06/23	34.88	35.00	31.30	32.08	15904409	522337376.00
2010/06/24	34.03	35.29	33.81	35.29	7015555	243401056.00
2010/06/25	34.60	34.95	32.00	32.70	10378329	345457760.00
2010/06/28	33.00	35.97	32.82	35.97	10549196	371881728.00
2010/06/29	35.32	38.41	34.80	37.88	10685084	386222656.00
2010/06/30	37.48	37.48	35.00	36.41	6390135	232551008.00
2010/07/01	36.35	38.20	35.54	35.60	6267027	231601280.00
2010/07/02	34.50	34.50	32.04	32.25	6207194	203519584.00
2010/07/05	30.80	31.66	30.01	30.99	3478527	106828952.00
2010/07/06	30.61	31.88	30.60	31.45	3574687	111936064.00
2010/07/07	31.25	32.27	30.00	31.71	3974236	123618312.00
2010/07/08	31.00	32.68	30.50	32.28	4212821	134306544.00
2010/07/09	32.00	33.10	31.08	32.36	3710296	119033880.00
2010/07/12	32.05	32.54	31.86	32.10	2230834	71816216.00
2010/07/13	31.85	31.85	30.81	30.90	1944259	60765576.00
2010/07/14	30.70	33.90	30.70	32.40	3233341	105163424.00
2010/07/15	32.16	33.32	31.75	31.89	2408276	78463920.00
2010/07/16	31.50	32.50	31.21	32.16	1467894	46944464.00
2010/07/19	31.78	32.95	31.72	32.75	1486361	48535820.00
2010/07/20	32.60	33.45	32.43	33.03	2359597	77618848.00
2010/07/21	33.00	33.68	32.82	33.07	1759990	58429508.00
2010/07/22	32.90	33.30	32.31	33.21	1651774	54310488.00
2010/07/23	32.98	33.28	32.29	32.70	1597101	52257964.00
2010/07/26	32.75	32.97	32.43	32.86	1225974	40110540.00
2010/07/27	32.92	32.92	32.18	32.19	1258492	40903916.00
2010/07/29	32.84	33.85	32.80	33.26	3470441	115614880.00
2010/07/30	33.00	33.05	32.30	32.55	1930984	62863928.00
2010/08/02	32.60	33.30	32.54	33.13	1670878	55128480.00
2010/08/03	33.23	33.72	33.00	33.05	1877297	62565636.00
2010/08/04	33.05	35.00	33.05	34.60	3191474	109379336.00
2010/08/05	34.45	34.70	33.72	34.08	1799741	61592872.00
2010/08/06	33.94	35.00	33.84	34.68	1668876	57443292.00
2010/08/09	34.68	35.40	34.33	34.79	1900027	65825348.00
2010/08/10	34.78	34.81	33.31	33.35	1940242	65824572.00
2010/08/11	33.20	33.59	32.60	33.00	1419949	46976464.00
2010/08/12	32.60	33.29	32.45	32.53	1024760	33665388.00
2010/08/13	33.00	33.69	32.66	33.21	1014175	33679084.00
2010/08/16	33.29	33.73	33.12	33.55	1279730	42798388.00
2010/08/17	33.54	34.37	33.50	33.76	1384178	46963344.00
2010/08/18	33.76	33.80	32.85	33.03	1333358	44256708.00
2010/08/19	33.03	34.09	33.03	33.78	2157963	72654048.00
2010/08/20	33.61	35.99	33.51	35.20	4198700	146932256.00
2010/08/23	35.18	36.08	35.03	35.50	2625727	93380984.00
2010/08/24	35.21	35.50	34.58	35.42	1447778	50777716.00
2010/08/25	35.09	36.84	34.88	35.08	2562571	91643464.00
2010/08/26	34.98	35.52	34.63	35.19	1551412	54355620.00
2010/08/27	35.00	35.60	34.60	35.35	948987	33416210.00
2010/08/30	35.37	36.48	35.20	36.25	1597083	57428896.00
2010/08/31	36.05	36.90	35.60	36.65	1529831	55262048.00
2010/09/01	36.50	37.38	35.00	35.48	1597153	57591812.00
2010/09/02	35.62	37.00	35.42	36.78	1373418	49851396.00
2010/09/03	37.42	40.45	37.42	38.33	3149019	122534624.00
2010/09/06	38.60	38.60	36.30	36.92	1796962	67064404.00
2010/09/07	37.00	38.16	36.45	37.90	863450	32240430.00
2010/09/08	37.60	37.98	37.30	37.66	908109	34136880.00
2010/09/09	37.30	38.88	37.06	37.20	1152865	43764464.00
2010/09/10	37.05	38.25	37.03	37.95	1091419	41126968.00
2010/09/13	37.50	38.44	37.50	38.30	660128	25078984.00
2010/09/14	38.50	40.10	38.13	39.83	1544554	60529840.00
2010/09/15	39.43	43.20	39.43	40.91	2565009	105944680.00
2010/09/16	40.45	41.18	39.11	39.60	1120974	44788040.00
2010/09/17	39.55	41.50	39.30	39.75	914231	37027276.00
2010/09/20	39.39	39.55	37.41	38.06	980292	37393208.00
2010/09/21	38.25	39.35	37.70	37.70	668287	25730576.00
2010/09/27	37.70	37.70	35.20	36.65	3233162	116542560.00
2010/09/28	36.60	38.00	36.40	37.22	1673998	62469396.00
2010/09/29	37.00	37.50	35.89	36.21	1394677	51263020.00
2010/09/30	36.31	37.78	36.30	37.61	948210	35309300.00
2010/10/08	37.40	38.40	37.15	37.90	1039090	39345476.00
2010/10/11	37.63	38.26	36.00	36.10	1557083	57089696.00
2010/10/12	36.46	36.91	35.27	35.69	1616873	58188380.00
2010/10/13	35.77	35.77	34.78	35.58	1505724	52925356.00
2010/10/14	35.75	36.97	35.75	35.77	1376353	49934900.00
2010/10/15	36.68	36.70	35.30	35.90	1161663	41739324.00
2010/10/18	35.86	35.98	34.03	35.00	813491	28220730.00
2010/10/19	35.25	36.63	34.75	36.26	784273	28293010.00
2010/10/20	35.50	37.20	35.43	36.32	999858	36697676.00
2010/10/21	36.33	36.60	35.68	36.12	536093	19308288.00
2010/10/22	36.80	37.08	36.12	36.62	849183	31174852.00
2010/10/25	37.29	38.35	37.09	38.10	1525368	57792608.00
2010/10/26	38.00	40.23	38.00	38.36	1703070	66353132.00
2010/10/27	38.00	38.35	37.60	37.94	829124	31462400.00
2010/10/28	37.99	39.59	37.98	38.83	1016228	39524280.00
2010/10/29	38.60	39.45	38.60	39.19	773173	30175136.00
2010/11/01	39.34	40.05	39.00	39.65	1137272	45101880.00
2010/11/02	39.95	39.95	38.15	38.15	1281924	49886088.00
2010/11/04	38.40	39.00	37.66	38.50	840143	32147030.00
2010/11/05	38.58	38.93	37.85	38.20	728254	27844982.00
2010/11/08	38.88	40.61	38.40	40.20	1468084	58363520.00
2010/11/09	40.20	41.36	39.86	40.42	1275909	51771588.00
2010/11/10	41.00	42.70	40.42	41.51	1392520	58080296.00
2010/11/11	41.15	41.90	40.50	40.80	1054350	43603804.00
2010/11/12	40.78	40.78	37.72	38.35	1668330	64824900.00
2010/11/15	38.30	40.15	38.30	40.10	1226531	48048940.00
2010/11/16	40.11	40.47	38.30	38.92	1502267	59572840.00
2010/11/17	38.68	39.92	38.68	39.20	1385966	54206548.00
2010/11/18	39.51	39.90	38.51	39.60	518457	20269474.00
2010/11/19	39.65	43.56	39.35	43.56	2583578	109030440.00
2010/11/22	44.20	45.89	43.56	44.55	2115204	94615144.00
2010/11/23	45.00	46.60	44.01	45.60	1787000	81326688.00
2010/11/24	45.50	46.00	44.80	46.00	1279153	57821268.00
2010/11/25	46.44	46.89	45.37	45.48	1338226	61807008.00
2010/11/26	45.20	45.95	44.43	45.59	1382843	62076500.00
2010/11/29	45.40	50.15	44.70	49.97	1845273	88561392.00
2010/11/30	48.96	50.35	46.51	48.11	1685393	81383504.00
2010/12/01	47.90	48.50	47.23	48.35	691617	33105800.00
2010/12/02	48.68	49.48	46.81	47.60	847726	40525860.00
2010/12/03	47.30	47.30	45.50	46.50	782110	36155212.00
2010/12/06	46.09	46.48	43.26	43.50	1300297	57965436.00
2010/12/07	43.39	44.90	42.80	44.70	1048537	45839984.00
2010/12/08	44.38	46.00	43.76	44.00	984283	44246720.00
2010/12/09	44.00	47.98	43.50	45.75	1836530	84680824.00
2010/12/10	45.80	46.50	45.00	46.50	938325	43121840.00
2010/12/13	46.89	49.28	46.38	47.85	1965193	94756432.00
2010/12/14	47.62	49.41	47.61	48.28	1240423	60089892.00
2010/12/15	48.19	48.76	47.36	48.09	538153	25786786.00
2010/12/16	48.09	48.59	47.80	47.85	836666	40225112.00
2010/12/17	47.60	47.79	46.56	46.83	877627	41140228.00
2010/12/20	47.11	48.48	44.44	48.00	1406498	66137548.00
2010/12/21	48.17	48.17	46.83	47.20	588610	27954210.00
2010/12/22	47.00	47.58	46.25	46.25	503381	23427420.00
2010/12/23	46.19	46.23	45.05	45.19	677820	30919708.00
2010/12/24	44.50	45.18	42.70	42.82	727124	31606128.00
2010/12/27	43.10	44.44	42.40	42.40	883948	38470084.00
2010/12/28	42.00	43.43	41.71	42.55	684564	29298350.00
2011/05/12	46.60	46.60	40.50	41.27	4834816	210983728.00
2011/05/13	39.95	39.95	38.01	38.80	2185437	84962944.00
2011/05/16	38.34	39.08	37.55	38.53	823123	31624424.00
2011/05/17	38.03	38.78	37.81	38.50	647468	24755996.00
2011/05/18	38.10	38.50	37.66	37.95	475585	18059830.00
2011/05/19	37.60	38.21	35.81	37.00	814318	30062544.00
2011/05/20	36.78	37.95	36.03	37.95	636955	23665240.00
2011/05/23	37.61	37.66	36.34	36.98	438042	16283592.00
2011/05/24	37.36	38.46	36.40	38.27	537872	20199820.00
2011/05/25	38.01	38.65	37.79	38.00	332631	12665033.00
2011/05/26	38.00	38.58	36.52	36.52	314950	11708974.00
2011/05/27	36.52	36.52	34.18	34.41	601539	21122900.00
2011/05/30	34.20	34.20	32.50	32.51	589331	19652264.00
2011/05/31	32.70	33.75	32.70	33.04	427523	14174789.00
2011/06/01	33.09	34.00	32.83	33.76	283306	9446904.00
2011/06/02	33.29	33.65	32.00	32.66	250853	8206006.00
2011/06/03	32.73	33.53	32.61	33.38	287510	9562088.00
2011/06/07	33.38	36.20	33.10	34.70	743644	25796910.00
2011/06/08	34.05	34.73	33.38	34.68	442651	15106209.00
2011/06/09	34.42	34.70	33.58	33.58	304201	10307180.00
2011/06/10	33.68	33.80	32.47	33.80	335280	11048081.00
2011/06/13	33.50	34.19	32.80	33.89	220763	7425855.50
2011/06/14	33.95	35.01	33.95	34.59	327290	11318119.00
2011/06/15	35.10	36.49	34.70	35.03	400280	14221154.00
2011/06/16	34.58	34.58	33.38	34.00	212292	7217529.00
2011/06/17	33.56	34.45	33.55	33.75	118741	4035365.50
2011/06/20	33.60	33.80	32.00	32.00	340642	11155804.00
2011/06/21	32.05	32.50	30.80	31.14	364260	11369778.00
2011/06/22	31.34	31.60	31.08	31.28	159584	4988415.50
2011/06/23	31.13	32.20	30.63	31.92	283867	9033028.00
2011/06/24	31.80	33.15	31.62	32.98	640190	20852012.00
2011/06/27	32.98	34.10	32.88	33.80	671076	22683880.00
2011/06/28	33.55	34.00	33.55	33.74	278538	9407884.00
2011/06/30	33.83	34.40	33.35	34.25	533683	18213032.00
2011/07/01	34.28	34.85	34.21	34.36	251622	8681378.00
2011/07/04	34.50	34.93	34.43	34.72	360307	12478483.00
2011/07/05	34.72	34.93	34.50	34.74	276315	9567973.00
2011/07/06	35.50	35.68	34.23	34.47	184939	6379816.00
2011/07/07	34.33	37.38	34.33	36.60	788034	28524454.00
2011/07/08	36.50	37.25	35.70	36.78	442260	16224983.00
2011/07/11	36.52	37.78	36.31	37.35	296557	11061436.00
2011/07/12	37.16	37.35	36.50	36.73	274567	10083173.00
2011/07/13	36.70	37.79	36.70	37.16	315208	11741816.00
2011/07/14	37.66	37.66	37.05	37.36	347941	12946553.00
2011/07/15	37.11	37.11	35.70	36.55	581511	21189092.00
2011/07/18	36.93	37.37	36.47	37.30	369437	13672999.00
2011/07/19	37.14	37.86	36.80	37.28	353040	13209839.00
2011/07/20	37.37	39.90	37.16	39.03	730087	27900228.00
2011/07/21	38.77	38.77	38.21	38.43	227857	8767081.00
2011/07/22	38.43	39.19	38.08	38.70	246355	9546431.00
2011/07/25	38.70	38.81	37.00	37.00	433099	16346251.00
2011/07/27	37.30	39.97	37.02	39.60	612442	23952922.00
2011/07/28	39.29	39.70	39.02	39.50	289685	11388944.00
2011/07/29	39.66	39.66	38.40	38.54	346210	13455408.00
2011/08/01	38.54	38.89	38.40	38.58	161020	6217195.50
2011/08/02	37.88	38.55	37.37	38.20	191689	7281085.50
2011/08/03	38.01	39.94	37.10	39.09	315429	12272656.00
2011/08/04	39.09	39.98	38.85	39.61	408579	16137759.00
2011/08/05	38.45	39.00	37.80	38.50	834682	32139806.00
2011/08/08	37.60	37.78	35.57	35.61	704645	25745564.00
2011/08/09	34.53	35.88	34.13	34.90	437590	15391859.00
2011/08/10	35.40	36.06	35.14	35.40	321650	11415256.00
2011/08/11	34.48	35.80	34.48	35.62	266873	9416869.00
2011/08/12	35.96	38.55	35.96	37.90	369596	13796315.00
2011/08/15	39.05	39.48	38.00	38.70	715013	27788310.00
2011/08/16	38.50	39.45	38.30	38.80	285582	11076832.00
2011/08/17	38.81	39.00	38.50	38.80	153760	5963008.50
2011/08/18	38.66	39.68	38.53	38.99	417052	16377730.00
2011/08/19	38.20	38.57	37.79	38.44	242669	9259891.00
2011/08/22	38.20	38.56	38.00	38.10	186707	7149270.00
2011/08/23	38.40	40.00	38.02	39.44	321880	12554046.00
2011/08/24	39.60	40.46	39.20	40.09	317601	12733858.00
2011/08/25	40.50	40.54	39.75	40.16	333803	13427272.00
2011/08/26	40.10	40.39	40.00	40.01	153493	6151547.00
2011/08/29	40.03	40.29	39.72	39.90	157032	6284351.50
2011/08/30	40.38	40.38	38.59	38.75	220431	8746720.00
2011/09/01	38.90	39.63	38.86	39.30	188748	7425925.00
2011/09/02	38.98	39.44	38.31	38.32	159665	6161940.00
2011/09/05	38.23	39.00	37.21	38.55	163687	6202964.00
