002538 司尔特 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/01/18	23.50	25.35	22.56	23.94	6579751	158534400.00
2011/01/19	23.94	25.77	23.94	25.30	4549260	113962664.00
2011/01/20	24.87	24.87	23.96	24.42	2842414	69237320.00
2011/01/21	24.04	24.66	23.60	23.80	1994895	48041840.00
2011/01/24	23.65	23.91	23.00	23.08	1427794	33290442.00
2011/01/25	22.99	23.42	22.63	23.38	955022	21945826.00
2011/01/26	23.15	23.89	23.15	23.72	963942	22787588.00
2011/01/27	23.39	24.13	23.35	24.07	939350	22378148.00
2011/01/28	23.80	24.16	23.66	23.88	671250	16020446.00
2011/01/31	23.86	24.10	23.65	24.05	807842	19311624.00
2011/02/01	24.05	24.09	23.73	23.86	507355	12105191.00
2011/02/09	23.99	24.30	23.74	23.93	807686	19417086.00
2011/02/10	23.93	24.78	23.82	24.75	1836339	44986764.00
2011/02/11	24.75	24.95	24.51	24.80	1388274	34400564.00
2011/02/14	24.62	25.07	24.60	25.02	1565372	38915532.00
2011/02/15	25.03	25.12	24.75	24.75	1357482	33850376.00
2011/02/16	24.75	25.25	24.59	25.25	1521189	38032160.00
2011/02/17	25.26	25.33	24.72	24.98	1238668	30891082.00
2011/02/18	24.82	24.97	24.60	24.66	827303	20456724.00
2011/02/21	24.56	24.98	24.55	24.97	851445	21161990.00
2011/02/22	25.25	26.16	25.25	25.30	4021591	103468640.00
2011/02/23	25.36	25.67	24.88	25.49	1766469	44491284.00
2011/02/24	25.45	25.81	25.20	25.55	1446952	36998876.00
2011/02/25	25.49	25.69	24.96	25.27	1101928	27780480.00
2011/02/28	25.35	25.48	25.05	25.40	884911	22372172.00
2011/03/01	25.48	26.09	25.41	26.00	2685031	69533728.00
2011/03/02	25.85	25.99	25.21	25.47	1321146	33766516.00
2011/03/03	25.47	25.65	24.91	24.97	1200367	30278618.00
2011/03/04	24.95	25.26	24.91	25.24	569240	14265169.00
2011/03/07	25.24	25.38	25.08	25.29	768193	19374908.00
2011/03/08	25.18	25.30	25.10	25.18	630653	15881033.00
2011/03/09	25.28	25.28	25.00	25.17	799753	20084962.00
2011/03/10	25.14	25.30	25.08	25.19	607112	15315234.00
2011/03/11	25.12	25.34	25.06	25.11	638116	16089947.00
2011/03/14	25.29	25.29	24.98	25.16	790930	19860972.00
2011/03/15	25.10	25.20	24.41	24.71	1099222	27204660.00
2011/03/16	24.80	25.31	24.80	25.26	1306453	32784222.00
2011/03/17	25.18	25.37	24.94	25.02	937841	23566728.00
2011/03/18	24.79	25.09	24.50	24.80	1331474	32930452.00
2011/03/21	24.81	24.89	24.58	24.63	429971	10612651.00
2011/03/22	24.78	24.89	24.42	24.65	361353	8889615.00
2011/03/23	24.52	24.82	24.49	24.71	538561	13264492.00
2011/03/24	24.71	25.08	24.60	25.03	780359	19340510.00
2011/03/25	24.92	25.10	24.80	24.88	644499	16062852.00
2011/03/28	25.07	25.07	24.72	24.84	896649	22336092.00
2011/03/29	24.72	24.97	24.37	24.37	833798	20473264.00
2011/03/30	24.37	24.68	24.05	24.18	413295	10028029.00
2011/03/31	24.22	24.39	23.97	23.99	344845	8309131.00
2011/04/01	24.11	24.18	23.80	24.06	267370	6408816.00
2011/04/06	24.06	24.11	23.86	23.99	244810	5862826.00
2011/04/08	24.10	24.41	24.09	24.33	325147	7910392.50
2011/04/11	24.22	24.32	24.06	24.06	281373	6796304.50
2011/04/12	24.08	24.15	23.99	24.01	201324	4838991.50
2011/04/13	24.01	24.26	23.95	24.26	254306	6128993.50
2011/04/14	24.26	24.26	24.03	24.20	212992	5143366.50
2011/04/15	24.50	24.70	24.30	24.46	611970	15016921.00
2011/04/18	24.44	25.28	24.44	25.28	2446522	61282628.00
2011/04/19	25.00	25.52	25.00	25.35	2546316	64388560.00
2011/04/20	25.15	25.44	25.00	25.44	1219841	30822728.00
2011/04/21	25.44	25.48	25.14	25.24	1383825	34920680.00
2011/04/22	25.40	25.40	24.48	24.60	1413926	35110860.00
2011/04/25	24.60	25.20	24.18	25.00	1532315	38018536.00
2011/04/26	25.03	25.47	24.87	25.24	4047583	101862368.00
2011/04/27	25.29	25.47	25.01	25.40	2690971	68036688.00
2011/04/28	25.44	25.48	24.71	24.77	1852395	46394624.00
2011/04/29	24.73	24.93	24.26	24.55	1124652	27664106.00
2011/05/03	24.50	24.64	23.95	24.57	927997	22507522.00
2011/05/04	24.31	24.48	23.97	23.98	905048	21803626.00
2011/05/05	23.91	24.15	23.83	23.99	669088	16046903.00
2011/05/06	23.80	23.86	23.52	23.68	760116	17986084.00
2011/05/09	23.71	23.95	23.61	23.81	620653	14765126.00
2011/05/10	23.78	24.00	23.65	23.99	639546	15262944.00
2011/05/11	23.96	24.05	23.63	23.81	749889	17872618.00
2011/05/12	23.70	23.99	23.49	23.49	825881	19638400.00
2011/05/13	23.65	24.20	23.60	24.17	1763787	42320252.00
2011/05/16	24.02	24.58	23.99	24.09	1255864	30376756.00
