002614 奥佳华 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/09/09	48.50	49.51	45.71	45.80	10842168	513630496.00
2011/09/13	46.10	46.97	42.80	43.80	4986800	221428144.00
2011/09/14	43.50	44.40	43.07	44.20	3142902	137526912.00
2011/09/15	43.91	44.92	43.30	43.85	3154980	139430448.00
2011/09/16	43.98	43.98	42.86	42.91	2488363	107924472.00
2011/09/19	42.45	42.45	40.57	40.57	2078362	85624016.00
2011/09/20	40.09	41.28	40.09	40.90	1149442	46777460.00
2011/09/21	40.97	42.38	40.78	42.07	1907983	79664832.00
2011/09/22	42.00	42.54	40.50	40.55	1662034	69115688.00
2011/09/23	39.70	40.38	39.40	40.30	1275717	50774672.00
2011/09/26	39.85	40.74	39.85	40.00	957850	38526504.00
2011/09/27	40.35	40.49	39.56	39.86	621896	24852484.00
2011/09/28	40.30	40.36	38.84	38.85	854468	33625164.00
2011/09/29	38.86	38.98	37.01	37.10	894938	34003848.00
2011/09/30	37.13	37.42	36.50	36.56	541147	19911302.00
2011/10/10	36.91	37.10	36.18	36.20	435306	15907553.00
2011/10/11	37.01	37.29	36.00	36.31	610464	22420940.00
2011/10/12	35.99	37.36	35.90	37.21	912556	33780972.00
2011/10/14	37.41	38.88	37.35	38.07	1636963	62453320.00
2011/10/17	38.07	39.78	37.50	39.22	2507196	97319312.00
2011/10/18	38.80	39.20	37.84	37.90	1252578	48402476.00
2011/10/19	37.98	38.23	37.22	37.31	678206	25532586.00
2011/10/20	37.10	37.40	36.00	36.19	633934	23099558.00
2011/10/21	36.35	36.59	35.66	35.80	438719	15792197.00
2011/10/24	35.78	36.10	34.43	35.88	750364	26485470.00
2011/10/25	35.62	37.32	35.62	37.20	803775	29421854.00
2011/10/26	37.10	37.80	36.71	36.95	1038661	38733172.00
2011/10/27	36.86	37.65	36.78	37.43	1021598	38124592.00
2011/10/28	37.71	38.16	37.22	38.16	1180581	44527084.00
2011/10/31	38.02	38.47	37.65	37.95	886662	33615372.00
2011/11/01	37.68	38.28	37.15	38.18	1230496	46433740.00
2011/11/02	37.49	39.78	37.30	39.57	2183109	84785720.00
2011/11/03	39.17	40.13	39.01	39.09	1884723	74578592.00
