002638 勤上股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/11/25	24.05	25.66	24.05	24.56	28020821	692315520.00
2011/11/28	24.56	26.09	24.31	25.72	18638542	467203008.00
2011/11/29	25.97	26.08	25.33	25.85	13744499	352987968.00
2011/11/30	25.76	26.25	24.70	25.79	13363357	342526976.00
2011/12/01	27.06	28.20	26.45	27.01	16615019	454505440.00
2011/12/02	26.90	27.50	26.29	26.85	8543913	229945168.00
2011/12/05	26.36	28.10	26.30	27.40	10266086	281511744.00
2011/12/06	27.46	28.58	27.00	27.08	9001417	249765040.00
2011/12/07	26.70	28.23	26.31	28.08	7353329	202055856.00
2011/12/08	27.71	28.47	27.30	27.45	6349156	176484080.00
2011/12/09	27.04	27.70	26.39	27.15	5555380	150080640.00
2011/12/12	26.89	28.06	26.85	27.40	4001094	110484472.00
2011/12/13	27.00	27.25	26.41	26.88	2929055	78420488.00
2011/12/14	26.63	27.27	26.58	26.79	2568900	69060648.00
2011/12/15	26.10	27.14	26.10	26.35	2843402	75851056.00
2011/12/16	26.51	27.65	26.15	27.60	2774900	74342336.00
2011/12/19	27.23	28.98	27.11	28.78	5903951	166162624.00
2011/12/20	28.52	28.90	27.97	28.08	3390274	96459448.00
2011/12/22	29.65	30.68	28.50	28.59	8055872	236805120.00
2011/12/23	28.00	29.20	27.51	28.09	4178221	117957352.00
2011/12/26	27.68	27.97	26.59	26.69	3220806	87714664.00
2011/12/27	26.30	27.76	26.30	26.53	3304141	89244552.00
2011/12/28	25.88	25.99	24.50	25.67	3021475	75983632.00
2011/12/29	25.21	26.00	25.21	25.60	1752483	44889396.00
2011/12/30	25.70	26.96	25.50	26.96	1882811	48974968.00
2012/01/04	26.70	26.98	25.71	25.71	1732370	45840648.00
2012/01/05	25.26	25.60	23.14	23.14	2382710	57760172.00
2012/01/06	22.15	24.03	22.04	23.99	1908503	43613716.00
2012/01/09	24.20	24.96	23.79	24.70	1549956	37848808.00
2012/01/10	24.71	25.60	23.86	25.24	1850134	46109144.00
2012/01/11	24.80	27.09	24.80	26.66	3376147	88947872.00
2012/01/12	26.35	27.05	26.05	26.07	1612604	42763624.00
2012/01/13	26.08	26.87	25.24	25.72	1629124	42551968.00
2012/01/16	25.52	26.26	24.86	25.01	704310	18015794.00
2012/01/17	24.90	26.74	24.03	26.70	1954251	49794512.00
2012/01/18	26.40	27.10	25.11	25.19	1493703	39337984.00
2012/01/19	25.19	25.64	23.88	24.50	2156463	53137460.00
2012/01/20	24.75	24.95	24.41	24.61	1185760	29199374.00
2012/01/30	24.71	25.40	24.35	24.70	775579	19407978.00
2012/01/31	24.75	25.07	24.28	24.79	740454	18211136.00
2012/02/01	24.50	25.31	24.50	25.09	966828	24205578.00
2012/02/02	25.21	25.44	24.91	25.38	658745	16620384.00
2012/02/03	25.58	26.28	24.70	26.14	1571070	40095632.00
2012/02/06	26.05	26.35	25.65	26.10	1488055	38671564.00
2012/02/07	25.95	26.28	25.70	25.89	894929	23228970.00
2012/02/08	25.89	26.73	25.58	26.69	1319134	34731828.00
2012/02/09	26.69	26.93	26.20	26.30	1493110	39716044.00
2012/02/10	26.40	26.89	25.93	26.17	2405645	63387668.00
2012/02/13	25.98	27.00	25.58	26.94	4554699	119998480.00
2012/02/14	26.91	27.75	26.62	27.75	6921332	189448384.00
2012/02/15	28.00	28.28	27.07	27.40	9421985	259887152.00
2012/02/16	27.43	27.55	26.68	26.97	5077550	137140720.00
2012/02/17	26.86	27.14	26.62	26.75	2094022	56244092.00
2012/02/20	27.06	27.06	26.60	26.73	2825788	75819528.00
2012/02/21	26.80	27.19	26.60	27.15	3212043	86633592.00
2012/02/22	27.18	28.46	26.88	28.00	7018321	195002208.00
2012/02/23	27.78	28.08	27.50	27.55	4517996	125218712.00
2012/02/24	27.50	27.80	27.12	27.55	4851618	132892480.00
2012/02/27	27.55	28.96	27.54	28.16	11214364	317171264.00
2012/02/28	27.96	28.87	27.82	28.60	6784425	192822416.00
2012/02/29	28.70	28.70	27.25	27.52	5192528	144408736.00
2012/03/01	27.36	28.84	27.36	28.35	4852186	136937008.00
2012/03/02	28.29	29.25	28.00	29.10	4674434	133562992.00
