002640 跨境通 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/12/08	28.00	30.00	28.00	29.00	11805035	339874752.00
2011/12/09	28.50	29.24	27.75	28.19	5755612	163556304.00
2011/12/12	27.80	28.08	27.22	27.88	3727350	102706400.00
2011/12/13	27.66	27.85	26.30	26.51	3353348	90026976.00
2011/12/14	26.23	26.43	25.06	25.10	2984871	76666688.00
2011/12/15	24.56	25.58	24.56	24.83	2291966	57330192.00
2011/12/16	24.91	25.17	23.66	24.85	2733965	66954616.00
2011/12/19	24.30	24.58	23.30	24.36	2128289	50778164.00
2011/12/20	24.04	24.70	24.03	24.58	2247661	54832060.00
2011/12/21	24.62	25.13	24.33	24.83	3233048	80081072.00
2011/12/22	24.51	24.92	23.10	24.62	3320256	79662032.00
2011/12/23	24.33	24.58	23.57	23.83	2584045	62232860.00
2011/12/26	23.60	24.17	23.10	23.10	1471796	34820408.00
2011/12/27	22.84	22.86	20.79	20.79	2502704	54222636.00
2011/12/28	20.21	20.76	20.02	20.64	1477345	30140878.00
2011/12/29	20.38	20.86	20.29	20.50	852301	17566708.00
2011/12/30	20.60	21.14	20.60	20.77	930769	19401656.00
2012/01/04	21.02	21.08	19.21	19.22	1512274	30457268.00
2012/01/05	19.38	19.41	18.30	18.41	1307986	24702726.00
2012/01/06	19.15	19.70	18.99	19.53	2369457	45840300.00
2012/01/09	19.22	20.15	18.91	19.96	2225922	43694160.00
2012/01/10	19.70	20.64	19.58	20.55	2197895	44497248.00
2012/01/11	20.45	20.74	20.20	20.41	1602561	32743420.00
2012/01/12	20.32	20.64	19.88	19.91	1408903	28507406.00
2012/01/16	18.60	18.74	17.92	18.03	1683743	30921158.00
2012/01/17	17.94	19.20	17.85	19.05	1409316	26127708.00
2012/01/18	18.95	19.25	17.89	17.94	1338291	24928358.00
2012/01/19	17.93	18.59	17.80	18.42	1023740	18739802.00
2012/01/20	18.48	19.18	18.40	19.12	1195086	22625136.00
2012/01/30	19.14	19.77	18.89	19.39	981186	19019414.00
2012/01/31	19.35	19.45	19.06	19.40	749263	14440874.00
2012/02/01	19.38	19.78	19.23	19.44	861494	16843724.00
2012/02/02	19.55	19.98	19.37	19.90	668151	13101559.00
2012/02/03	19.88	20.25	19.73	20.16	789491	15833245.00
2012/02/06	20.20	20.35	19.82	20.29	987180	19857352.00
2012/02/07	20.10	20.64	19.94	20.10	1183329	23983134.00
2012/02/08	20.18	20.66	19.87	20.66	831909	16900848.00
2012/02/09	20.55	21.59	20.50	21.39	1597674	33777504.00
2012/02/10	21.39	22.33	21.29	21.81	1045501	22750874.00
2012/02/13	21.57	22.75	21.30	22.25	1424375	31433664.00
2012/02/14	22.20	22.22	21.77	21.99	633866	13927866.00
2012/02/15	21.99	22.29	21.69	22.15	647560	14271628.00
2012/02/16	22.02	22.39	21.71	21.83	679035	14963301.00
2012/02/17	21.81	22.18	21.68	21.98	479451	10489186.00
2012/02/20	22.24	22.26	21.73	21.97	618293	13593305.00
2012/02/21	21.90	23.16	21.81	23.11	1426313	32199686.00
2012/02/22	23.00	23.38	22.84	23.25	917535	21246392.00
2012/02/23	23.38	23.38	22.70	23.00	697740	16082966.00
2012/02/24	22.96	23.37	22.95	23.30	804204	18638354.00
2012/02/27	23.26	23.85	23.15	23.32	1071628	25179026.00
2012/02/28	23.25	24.23	23.20	23.93	1120361	26540638.00
2012/02/29	24.48	25.15	24.10	24.33	2214670	54602436.00
2012/03/01	24.33	24.68	23.62	24.68	921540	22138008.00
2012/03/02	24.58	24.90	24.36	24.78	950944	23438992.00
2012/03/05	24.78	25.18	24.52	25.05	1131049	28063654.00
2012/03/06	24.88	24.94	24.35	24.59	614822	15149008.00
2012/03/07	24.20	24.62	24.03	24.19	888947	21607524.00
2012/03/08	24.39	24.57	24.21	24.40	743040	18146134.00
2012/03/09	24.50	25.35	24.30	25.24	1278658	31762360.00
2012/03/12	25.20	25.70	25.04	25.50	665865	16958868.00
2012/03/13	25.31	25.78	25.13	25.60	666923	16970836.00
2012/03/14	25.62	26.26	24.49	25.04	1915181	48739496.00
2012/03/15	24.83	25.25	24.30	24.71	1232635	30538732.00
2012/03/16	24.59	25.15	24.50	25.10	813289	20229086.00
2012/03/19	25.10	25.66	24.91	25.64	686800	17427230.00
2012/03/20	25.59	25.60	24.29	24.49	1097043	27103854.00
2012/03/21	24.58	24.60	23.62	24.06	1055175	25290778.00
2012/03/22	23.99	24.18	23.73	24.06	357535	8580160.00
2012/03/23	24.00	24.10	23.65	23.88	373890	8915907.00
2012/03/26	23.89	23.96	23.00	23.90	342878	8103066.50
2012/03/27	23.95	24.28	23.85	24.10	474377	11433725.00
2012/03/28	23.68	24.01	22.51	22.71	759077	17573544.00
2012/03/29	22.46	23.23	22.36	23.00	733192	16711865.00
2012/03/30	22.99	23.10	22.55	22.98	362099	8268529.00
2012/04/05	22.85	23.67	22.67	23.45	379768	8853104.00
2012/04/06	23.46	24.29	23.44	24.00	667736	15984631.00
2012/04/09	24.00	24.53	23.91	24.19	485190	11789830.00
2012/04/10	24.11	24.11	23.15	23.97	757348	17940166.00
