003000 劲仔食品 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/09/14	6.02	7.23	6.02	7.23	237575	1713288.25
2020/09/15	7.95	7.95	7.95	7.95	50100	398295.00
2020/09/16	8.75	8.75	8.75	8.75	47154	412597.50
2020/09/17	9.63	9.63	9.63	9.63	107726	1037401.38
2020/09/18	10.59	10.59	10.59	10.59	213391	2259810.75
2020/09/21	11.65	11.65	11.65	11.65	184051	2144194.25
2020/09/22	12.82	12.82	12.82	12.82	154011	1974421.00
2020/09/23	14.10	14.10	14.10	14.10	71984	1014974.38
2020/09/24	15.51	15.51	15.51	15.51	123133	1909792.88
2020/09/25	17.06	17.06	17.06	17.06	4306978	73477048.00
2020/09/28	18.77	18.77	17.00	17.15	26359647	476488800.00
2020/09/29	16.50	18.87	16.15	18.87	28449275	522181408.00
2020/09/30	17.15	17.51	16.98	17.11	20834501	354838304.00
2020/10/09	17.11	17.77	16.31	17.35	19452593	330052832.00
2020/10/12	17.11	18.22	16.90	17.90	18230264	317580064.00
2020/10/13	17.73	18.69	17.32	17.95	16352191	291509760.00
2020/10/14	18.10	19.48	17.64	18.05	18184293	335516256.00
2020/10/15	17.60	18.19	16.25	16.61	15389131	260028560.00
2020/10/16	16.27	16.55	15.80	16.08	9781030	157594016.00
2020/10/19	16.08	16.24	15.45	15.65	6915437	109222120.00
2020/10/20	15.66	16.21	15.52	16.18	7926278	126882728.00
2020/10/21	16.08	16.87	15.16	16.43	8709477	142204336.00
2020/10/22	16.34	17.99	16.34	17.27	13616861	236452768.00
2020/10/23	17.28	17.52	16.25	16.55	11049221	185649600.00
2020/10/26	16.56	16.68	16.05	16.22	4561505	74242800.00
2020/10/27	16.16	17.06	16.10	16.26	5468507	90032480.00
2020/10/28	16.26	16.62	15.51	16.12	4904862	78768984.00
2020/10/29	15.70	16.17	15.57	15.95	4009218	63660288.00
2020/10/30	15.92	16.15	15.21	15.38	4852453	76242768.00
2020/11/02	15.46	15.59	14.77	15.09	3486423	52424836.00
2020/11/03	15.09	15.59	15.01	15.43	3119069	47770040.00
2020/11/04	15.58	15.66	15.10	15.41	2976077	45689316.00
2020/11/05	15.53	15.98	15.40	15.88	4221675	66269704.00
2020/11/06	15.84	15.98	15.60	15.84	2681727	42317600.00
2020/11/09	15.94	16.64	15.94	16.45	6216533	101798616.00
2020/11/10	16.27	16.85	15.90	16.60	6052557	99464560.00
2020/11/11	16.30	17.80	16.27	17.07	8681270	148050960.00
