003033 征和工业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/01/11	27.94	33.52	27.94	33.52	210128	7030285.50
2021/01/12	36.87	36.87	33.78	35.40	9333878	331121696.00
2021/01/13	32.87	34.75	31.86	31.86	6707178	218004064.00
2021/01/14	30.60	30.60	29.32	29.45	5123639	152690144.00
2021/01/15	29.16	31.50	28.90	30.19	4440934	133864472.00
2021/01/18	29.86	29.96	29.30	29.54	3228092	95411976.00
2021/01/19	29.25	29.72	29.22	29.31	2562801	75463072.00
2021/01/20	29.25	29.77	28.82	29.51	2720807	79853112.00
2021/01/21	29.28	30.55	29.15	29.88	3174050	94921360.00
2021/01/22	29.40	30.49	29.40	30.30	3301717	99501152.00
2021/01/25	30.30	30.30	28.82	29.60	3136832	91922648.00
2021/01/26	29.36	30.20	29.36	30.09	3101693	92767592.00
2021/01/27	29.70	29.99	29.05	29.48	2155880	63497976.00
2021/01/28	29.00	29.45	28.50	28.51	1963852	56903548.00
2021/01/29	28.51	28.74	27.23	27.82	2382710	66596180.00
2021/02/01	27.80	30.30	27.56	29.39	3341272	97333568.00
2021/02/02	28.81	30.55	28.80	30.11	3285454	97909272.00
2021/02/03	30.00	30.00	28.80	28.80	2297235	67273552.00
2021/02/04	28.61	31.68	28.61	31.68	4287195	133041664.00
2021/02/05	32.00	34.85	30.68	30.84	7996086	265551776.00
2021/02/08	28.66	31.31	28.66	30.31	5074547	151683008.00
2021/02/09	30.31	30.78	29.01	29.50	3102998	92192648.00
2021/02/10	29.55	29.89	28.51	28.59	2675802	77470704.00
2021/02/18	28.85	29.77	28.57	29.44	2181998	63839836.00
2021/02/19	29.21	30.49	29.03	30.46	2312611	69355496.00
2021/02/22	30.71	31.58	29.85	30.00	2951945	90533200.00
2021/02/23	29.86	30.45	29.33	30.29	2094220	62553928.00
2021/02/24	30.03	31.28	29.75	30.98	2840374	87083304.00
2021/02/25	30.87	31.35	30.12	31.17	2226450	68211224.00
2021/02/26	30.85	33.18	30.62	31.98	4092897	131422392.00
2021/03/01	31.90	32.73	31.32	32.60	2838234	90730688.00
