300032 金龙机电 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/12/25	30.90	32.88	28.08	28.10	21393065	644002688.00
2009/12/28	29.50	30.45	28.85	30.03	10001994	297461536.00
2009/12/29	29.48	31.49	28.75	31.07	9834755	297719392.00
2009/12/30	30.69	31.20	29.75	30.03	6857432	207949552.00
2009/12/31	30.03	30.37	29.30	29.80	3560520	105505248.00
2010/01/04	30.06	30.30	29.46	29.84	3143948	94243256.00
2010/01/05	29.90	30.00	28.65	29.07	3734099	108728296.00
2010/01/06	28.92	29.25	28.67	28.70	3183729	91892176.00
2010/01/07	28.80	29.79	28.68	29.06	3442973	100674504.00
2010/01/08	28.19	28.48	26.79	27.50	4488250	123574888.00
2010/01/11	27.19	27.48	26.50	26.90	2497529	67282992.00
2010/01/12	27.00	27.47	26.90	27.36	2342384	63934984.00
2010/01/13	26.70	27.39	26.51	27.00	2151363	58038192.00
2010/01/14	27.13	28.39	27.10	28.08	3459836	96760144.00
2010/01/15	28.14	28.17	27.56	27.82	2034187	56500876.00
2010/01/18	27.83	28.29	27.63	28.00	2118838	59319452.00
2010/01/19	28.53	28.68	27.90	27.91	2799391	79029304.00
2010/01/20	27.40	27.80	26.63	26.70	2775238	74779904.00
2010/01/21	26.77	27.21	26.70	26.90	1396156	37584392.00
2010/01/22	26.49	26.50	25.10	25.40	2462489	63105204.00
2010/01/25	25.39	25.51	24.68	24.89	1544006	38622872.00
2010/01/26	25.33	25.50	24.26	24.38	1356300	33742500.00
2010/01/27	24.70	25.18	24.08	24.56	1330734	32848962.00
2010/01/28	24.60	24.62	23.55	23.89	1578463	37867332.00
2010/01/29	23.70	24.20	23.20	23.56	1258108	29977382.00
2010/02/01	22.88	22.98	22.23	22.54	2038948	46020240.00
2010/02/02	22.69	23.27	22.50	22.64	1261097	28797442.00
2010/02/03	22.68	23.00	21.37	22.60	1741490	38649324.00
2010/02/04	22.58	22.98	22.05	22.61	1273550	28865108.00
2010/02/05	22.31	22.95	21.72	22.51	1293314	28999560.00
2010/02/08	22.64	22.93	22.50	22.90	1186714	27024446.00
2010/02/09	22.81	22.93	22.35	22.50	867568	19661668.00
2010/02/10	22.79	23.47	22.61	23.34	1708266	39526840.00
2010/02/11	23.40	23.70	23.00	23.43	1668594	38899084.00
2010/02/12	23.40	23.76	23.24	23.67	1201887	28284160.00
2010/02/22	23.75	23.75	23.19	23.20	1057117	24769304.00
2010/02/23	23.22	23.30	22.60	23.30	1176247	27046810.00
2010/02/24	23.20	24.60	23.04	24.56	2590270	62420808.00
2010/02/25	25.02	25.98	24.88	24.92	3438206	87253472.00
2010/02/26	24.70	25.30	24.63	24.80	1559322	38972164.00
2010/03/01	24.92	25.77	24.90	25.37	1703347	43320336.00
2010/03/02	25.40	25.48	25.02	25.29	1334107	33702812.00
2010/03/03	25.09	25.35	24.81	24.92	1403231	35007300.00
2010/03/04	24.92	25.20	23.51	23.63	1700098	41322532.00
2010/03/05	23.64	24.18	23.63	24.00	1029553	24648316.00
2010/03/08	24.00	24.98	23.83	24.76	1140029	27970568.00
2010/03/09	24.76	24.95	24.37	24.92	916959	22685946.00
2010/03/10	24.91	25.18	24.31	24.60	1068994	26492366.00
2010/03/11	24.50	25.17	24.16	25.03	1317875	32616876.00
2010/03/12	25.29	26.39	25.20	25.50	4121377	106574504.00
2010/03/15	25.60	25.76	24.91	25.28	1754318	44261060.00
2010/03/16	25.31	25.55	24.60	24.92	1331089	33350898.00
2010/03/17	24.86	25.70	24.86	25.69	1837094	46601844.00
2010/03/18	25.77	25.85	25.45	25.59	1081174	27686542.00
2010/03/19	25.59	25.80	25.16	25.48	970508	24652206.00
2010/03/22	25.50	25.66	25.20	25.60	1082844	27509390.00
2010/03/23	25.47	25.68	25.10	25.60	1396751	35520880.00
2010/03/24	25.59	26.49	25.35	26.13	3506706	91836880.00
2010/03/25	25.80	27.30	25.60	26.85	7512105	199867376.00
2010/03/26	26.48	26.48	25.66	26.18	3146874	81982080.00
2010/03/29	26.18	26.59	25.60	26.28	2665189	69236400.00
2010/03/30	26.15	26.85	25.96	26.70	2439161	64813956.00
2010/03/31	26.50	27.73	26.50	27.13	3750674	102169344.00
2010/04/01	27.38	29.08	27.02	28.18	6246475	176158736.00
2010/04/02	27.82	28.39	27.68	27.90	2783819	77849672.00
2010/04/06	27.99	29.18	27.99	28.91	2614302	75229048.00
2010/04/07	28.88	29.15	28.45	29.09	2715635	78414080.00
2010/04/08	29.01	29.79	27.86	27.93	3471803	99865408.00
2010/04/09	27.97	28.94	27.90	28.70	3027842	85954632.00
2010/04/13	28.10	28.29	25.83	25.98	7468142	200559952.00
2010/04/14	25.91	26.15	25.40	25.90	2210784	57019436.00
2010/04/15	25.90	25.99	24.32	24.58	3264672	81228944.00
2010/04/16	24.51	25.24	24.32	24.89	1672114	41652600.00
2010/04/19	24.60	25.25	23.91	24.00	1733251	42733548.00
2010/04/20	24.03	24.48	23.10	24.44	1985612	47253764.00
2010/04/21	24.20	25.23	24.20	25.22	2146217	53445760.00
2010/04/22	25.22	25.86	25.01	25.48	2089557	53192944.00
2010/04/23	25.31	25.68	24.53	24.68	1675191	42010692.00
2010/04/26	24.63	24.68	23.88	24.08	1372806	33185088.00
2010/04/27	23.91	24.00	22.60	23.29	1741148	40398868.00
2010/04/28	22.40	23.09	22.02	22.69	1966612	44408100.00
2010/04/29	22.83	23.07	22.12	22.12	1272136	28829410.00
2010/04/30	22.63	22.90	21.42	21.82	1330514	29369472.00
2010/05/04	21.40	22.25	21.00	21.89	1022467	22315606.00
2010/05/05	21.66	22.65	21.66	22.65	1492336	33284384.00
2010/05/07	21.00	22.15	21.00	21.72	1451652	31499506.00
2010/05/10	21.45	21.94	20.40	20.80	1409978	29906254.00
2010/05/11	21.34	21.40	20.40	20.44	910608	19024800.00
2010/05/12	20.40	20.40	19.20	19.54	1214563	24007944.00
2010/05/13	19.51	20.00	19.16	20.00	906138	17792714.00
2010/05/14	19.90	20.15	19.57	19.77	824042	16335118.00
2010/05/17	19.49	19.50	18.10	18.12	968837	18455276.00
2010/05/18	18.00	18.43	17.38	18.36	970702	17459026.00
2010/05/19	18.36	18.87	17.69	18.62	1882659	34455860.00
2010/05/20	18.30	18.66	17.90	17.91	1118572	20412824.00
2010/05/21	17.48	18.66	17.20	18.65	1548001	27868532.00
2010/05/24	18.75	19.68	18.53	19.54	2024291	39104640.00
2010/05/25	19.37	19.88	19.07	19.28	1689757	32817270.00
2010/05/26	19.35	19.77	19.18	19.41	888173	17270488.00
2010/05/27	19.45	19.90	19.01	19.78	1432519	28008782.00
2010/05/28	19.92	20.16	19.70	19.71	1286667	25599244.00
2010/05/31	19.67	19.75	18.36	18.70	1113085	21542184.00
2010/06/01	18.60	18.75	17.84	18.17	1027578	18709094.00
2010/06/02	17.95	18.60	17.84	18.60	874203	15943148.00
2010/06/03	18.68	19.49	18.68	18.87	1493638	28614034.00
2010/06/04	18.53	19.66	18.53	19.47	1059419	20308182.00
2010/06/07	19.11	20.99	18.90	20.75	3543629	71802712.00
2010/06/08	20.70	20.89	20.20	20.60	2266018	46301060.00
2010/06/09	20.60	21.38	20.38	20.84	2619747	54562844.00
2010/06/10	20.90	21.17	20.70	21.08	1944478	40802644.00
2010/06/11	21.11	21.20	20.70	20.92	1567084	32760548.00
2010/06/17	21.06	21.17	19.98	19.98	1475975	30217218.00
2010/06/18	19.97	19.97	19.10	19.53	1785916	34839980.00
2010/06/21	19.30	20.71	19.16	20.68	1281830	25847892.00
2010/06/22	20.61	21.40	20.50	20.78	1838252	38728856.00
2010/06/23	20.79	21.25	20.54	21.18	1905150	40050480.00
2010/06/24	21.07	21.35	20.85	20.91	2114245	44463488.00
2010/06/25	20.88	21.90	20.21	21.46	2980836	62853800.00
2010/06/28	21.45	21.95	21.32	21.75	2450448	52895336.00
2010/06/29	21.71	22.08	20.80	21.36	4159710	89336728.00
2010/06/30	21.18	22.99	20.21	22.69	5125351	111776056.00
2010/07/01	22.80	23.80	22.65	23.29	5070967	117060536.00
2010/07/02	22.88	23.59	21.96	22.93	4127408	95030288.00
2010/07/05	22.78	22.99	20.92	21.50	2970135	64686312.00
2010/07/06	21.33	22.56	21.33	22.26	2784262	61576500.00
2010/07/07	22.28	22.28	21.53	22.05	1767970	38687668.00
2010/07/08	22.13	23.15	21.45	22.87	3028977	67534584.00
2010/07/09	22.70	23.27	22.47	22.86	2906734	66356336.00
2010/07/12	22.86	22.86	22.28	22.36	2032474	45750248.00
2010/07/13	22.17	23.14	21.70	22.99	2356512	53096440.00
2010/07/14	23.05	23.50	22.20	22.77	2554666	58911908.00
2010/07/15	22.70	22.80	21.25	21.30	1878793	41375200.00
2010/07/16	21.02	21.02	19.98	20.27	1997331	40778808.00
2010/07/19	20.14	20.70	20.02	20.56	1127453	23058464.00
2010/07/20	20.55	21.10	20.55	21.07	1402984	29387068.00
2010/07/21	20.74	21.79	20.74	21.18	1444330	30898974.00
2010/07/22	21.07	21.48	20.94	21.36	1011945	21505492.00
2010/07/23	21.49	22.25	21.25	21.97	2016529	43828636.00
2010/07/26	22.18	22.20	21.71	22.08	1455980	31970290.00
2010/07/27	21.99	22.01	21.58	21.59	1242308	27035228.00
2010/07/28	21.50	21.88	21.30	21.88	1167658	25323086.00
2010/07/29	22.44	22.70	21.90	22.00	2800278	62348288.00
2010/07/30	22.00	22.09	21.18	21.41	1639061	35360132.00
2010/08/02	21.40	21.90	21.40	21.85	1270013	27573712.00
2010/08/03	21.89	22.19	21.60	21.60	1548211	33898632.00
2010/08/05	21.56	21.56	21.02	21.08	2344268	49858048.00
2010/08/06	21.07	21.43	20.81	21.41	1581580	33497050.00
2010/08/09	21.41	21.97	21.41	21.97	2025180	43983124.00
2010/08/10	22.00	22.10	20.90	20.90	1739386	37615196.00
2010/08/11	20.90	21.19	20.62	20.98	1053033	22022688.00
2010/08/12	20.88	20.91	20.38	20.40	1104604	22796650.00
2010/08/13	20.33	20.70	20.27	20.65	896716	18351674.00
2010/08/16	20.65	21.17	20.51	21.16	1202196	25233140.00
2010/08/17	21.15	21.24	20.90	21.15	1134266	23929962.00
2010/08/18	21.05	21.25	20.93	21.24	1158554	24468294.00
2010/08/19	21.18	21.85	21.18	21.66	2139014	46196304.00
2010/08/20	21.66	21.88	21.19	21.22	1654417	35595312.00
2010/08/23	21.23	21.95	21.17	21.89	1699932	36736196.00
2010/08/24	21.90	22.04	21.62	21.78	1624038	35492340.00
2010/08/25	21.68	21.97	20.53	20.59	1547332	32982468.00
2010/08/26	20.68	20.83	20.31	20.45	1031736	21189678.00
2010/08/27	20.45	20.83	20.33	20.80	551051	11387963.00
2010/08/30	20.81	21.37	20.81	21.29	953947	20136762.00
2010/08/31	21.20	21.22	20.77	21.00	995665	20862596.00
2010/09/01	21.09	21.18	20.09	20.20	1529647	31405100.00
2010/09/02	20.36	20.60	20.18	20.47	1721237	35034796.00
2010/09/03	20.48	20.96	20.32	20.80	1354919	28058628.00
2010/09/06	20.82	20.95	20.22	20.40	1433237	29343376.00
2010/09/07	20.48	20.78	20.38	20.70	810319	16708795.00
2010/09/08	20.61	20.98	20.61	20.80	1241250	25860534.00
2010/09/09	20.86	21.22	20.74	20.94	1894362	39789360.00
2010/09/10	20.98	21.89	20.88	21.59	3190572	68346968.00
2010/09/13	21.69	22.08	21.50	21.60	2488410	54216040.00
2010/09/14	21.60	21.88	21.10	21.21	2185280	46707640.00
2010/09/15	21.13	21.21	20.23	20.38	1697082	35036932.00
2010/09/16	20.50	20.63	19.32	19.71	2027972	40062892.00
2010/09/17	19.80	20.02	19.40	19.71	654751	12980938.00
2010/09/20	19.60	19.70	19.00	19.22	874253	16869348.00
2010/09/21	19.24	19.32	18.89	19.05	505820	9646444.00
2010/09/27	19.12	19.38	19.10	19.38	390986	7542107.50
2010/09/28	19.45	19.47	19.08	19.11	550395	10590248.00
2010/09/29	19.16	19.27	18.00	18.25	1891993	34957896.00
2010/09/30	18.35	18.38	18.10	18.27	1455100	26486632.00
2010/10/08	18.47	18.70	18.30	18.59	1947289	36087620.00
2010/10/11	18.59	18.64	18.01	18.01	3047066	56055396.00
2010/10/12	18.30	19.22	18.21	19.18	3417356	64256612.00
2010/10/13	19.19	19.24	18.80	19.17	1861389	35331452.00
2010/10/14	19.20	19.49	18.71	18.73	2053919	39159312.00
