300073 当升科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/04/27	73.58	74.00	62.01	62.58	11844173	797268544.00
2010/04/28	60.00	68.20	60.00	66.57	6134343	390068416.00
2010/04/29	65.00	68.60	60.00	60.49	4971162	324146080.00
2010/04/30	60.68	62.78	55.88	58.34	3432421	204772528.00
2010/05/04	56.68	60.05	55.02	58.36	1896333	108659272.00
2010/05/05	57.00	60.59	56.78	60.44	2090417	124331232.00
2010/05/06	60.00	64.60	59.00	61.50	3425084	211539600.00
2010/05/07	61.35	66.00	60.23	63.30	3577212	226925856.00
2010/05/10	61.90	62.31	56.97	56.97	2041275	118013936.00
2010/05/11	56.60	57.12	51.27	51.27	2860027	154411808.00
2010/05/12	48.61	50.80	47.01	48.60	2587353	127234048.00
2010/05/13	49.02	50.68	47.61	50.43	1534777	76169920.00
2010/05/14	49.43	51.55	47.63	51.30	1825518	91004416.00
2010/05/17	49.51	50.90	46.17	46.41	1729911	83833568.00
2010/05/18	45.73	47.55	44.51	46.83	1396511	64477136.00
2010/05/19	46.77	51.51	46.28	50.60	2609452	130139576.00
2010/05/20	49.13	51.43	48.20	50.05	2264586	112669288.00
2010/05/21	48.45	55.06	47.80	55.06	2156720	112750496.00
2010/05/24	56.89	59.63	56.80	57.89	3057811	177906176.00
2010/05/25	57.00	62.05	56.80	59.10	3002321	179244496.00
2010/05/26	58.90	59.80	57.00	58.20	1640936	95606176.00
2010/05/27	58.15	64.02	57.78	64.02	2744733	170287024.00
2010/05/28	65.43	65.48	62.02	64.06	2349465	149748912.00
2010/05/31	63.10	65.97	59.90	60.08	2643677	167911200.00
2010/06/01	59.05	64.20	57.80	64.00	2881695	174846432.00
2010/06/02	63.00	65.30	59.28	63.89	2774526	174483872.00
2010/06/03	63.55	68.27	63.01	64.00	3089782	203007248.00
2010/06/04	63.10	65.49	62.50	64.90	1698370	109001352.00
2010/06/07	63.51	68.49	63.31	67.30	2486988	165482560.00
2010/06/08	67.30	69.29	66.06	67.70	1886780	128213016.00
2010/06/09	68.00	70.19	66.11	67.35	2564657	175733360.00
2010/06/10	67.49	69.40	66.35	68.50	1947177	132383088.00
2010/06/11	68.81	69.00	66.18	66.48	1745184	117742824.00
2010/06/17	65.80	66.48	61.36	61.36	1947588	124470608.00
2010/06/18	61.36	62.60	59.00	59.70	1613763	97788352.00
2010/06/21	59.11	65.23	58.58	64.95	1702967	106570352.00
2010/06/22	64.30	66.60	63.40	65.50	1626008	105841192.00
2010/06/23	64.30	66.90	63.71	65.49	1160148	75716224.00
2010/06/24	66.18	69.78	66.18	68.50	2119322	144558544.00
2010/06/25	67.79	69.42	65.36	66.98	1497674	100331808.00
2010/06/28	66.77	66.77	63.52	64.20	1178974	76626240.00
2010/06/29	63.63	64.39	57.90	58.75	1552396	94617224.00
2010/07/01	59.10	60.48	55.21	55.35	1849182	106586856.00
2010/07/02	55.00	57.80	53.50	55.02	1772037	97836872.00
2010/07/05	53.81	54.54	51.00	53.10	1101974	58185272.00
2010/07/06	52.73	55.25	52.73	54.40	1314011	71373760.00
2010/07/07	55.08	57.48	54.50	56.42	1416257	79820976.00
2010/07/08	56.50	58.30	55.37	57.07	1201991	68222208.00
2010/07/09	56.52	58.57	55.60	58.25	1775422	101944832.00
2010/07/12	57.81	58.67	56.00	56.13	1609945	91763216.00
2010/07/13	55.84	58.98	55.06	58.71	1915175	109717448.00
2010/07/14	58.40	58.80	56.52	56.85	1399077	80611336.00
2010/07/15	56.58	57.35	54.52	54.59	821769	45804352.00
2010/07/16	53.90	55.96	53.60	55.23	748392	41046648.00
2010/07/19	54.30	56.18	54.12	55.80	842392	46537684.00
2010/07/20	55.86	58.60	55.00	57.46	1513208	86507392.00
2010/07/21	57.68	60.10	57.20	57.68	1497433	88027832.00
2010/07/22	57.68	58.90	56.30	58.90	1392272	80333144.00
2010/07/23	58.89	59.09	57.75	58.65	1160061	67829024.00
2010/07/26	58.68	59.49	58.11	58.95	896250	52710804.00
2010/07/27	59.59	61.48	57.85	57.91	3381476	202017664.00
2010/07/28	57.01	59.50	56.80	59.27	1855295	107717376.00
2010/07/29	59.50	59.77	58.24	58.86	1188615	69850136.00
2010/07/30	58.25	58.80	57.10	57.79	1478042	85424352.00
2010/08/02	57.91	59.25	57.55	59.24	1307074	76271088.00
2010/08/03	59.03	59.39	57.70	57.77	1243782	72755632.00
2010/08/04	57.50	59.33	57.50	59.13	1504904	88325944.00
2010/08/05	59.31	61.13	59.01	59.89	2063520	124324984.00
2010/08/06	60.00	61.54	60.00	61.36	1632557	99463112.00
2010/08/09	61.86	62.81	61.15	62.01	1495567	92587120.00
2010/08/10	61.50	61.98	57.05	57.90	1635699	98439728.00
2010/08/11	57.98	59.16	57.38	57.99	1378402	80172216.00
2010/08/12	57.00	57.98	56.02	56.53	1056957	60178608.00
2010/08/13	56.41	57.90	56.06	57.65	794278	45344040.00
2010/08/16	57.66	59.19	57.12	59.08	968136	56725144.00
2010/08/17	59.12	62.30	58.71	61.13	1929572	117273232.00
2010/08/18	61.00	61.65	59.55	60.15	1486871	89818024.00
2010/08/19	59.99	61.80	59.99	60.12	1170454	71301992.00
2010/08/20	60.00	62.70	59.20	61.00	1974771	120667536.00
2010/08/23	61.20	61.98	59.90	61.45	1487567	90535880.00
2010/08/24	61.50	64.15	60.92	62.41	2213049	139202608.00
2010/08/25	62.35	62.36	59.73	59.74	1605669	97163856.00
2010/08/26	59.00	59.68	54.10	56.80	2975934	169246144.00
2010/08/27	55.88	57.83	55.00	56.96	1558318	87612544.00
2010/08/30	57.50	58.18	56.20	57.91	1519890	87060568.00
2010/08/31	57.27	57.75	56.50	56.89	1441454	82160880.00
2010/09/01	56.93	57.48	54.60	55.17	2076267	115459888.00
2010/09/02	55.53	56.21	54.99	56.15	1328660	73813312.00
2010/09/03	56.30	61.66	56.01	59.23	3267365	193556128.00
2010/09/06	60.01	60.01	56.71	57.50	1819982	105176232.00
2010/09/07	57.49	58.48	57.01	57.80	834299	48108196.00
2010/09/08	57.41	57.70	56.58	56.85	1138947	64922152.00
2010/09/09	56.97	57.73	56.08	56.14	1186406	67503632.00
2010/09/10	56.01	56.80	55.60	56.42	1035882	58185836.00
2010/09/13	56.15	57.00	55.80	56.77	812248	45826088.00
2010/09/14	57.25	57.27	56.15	56.15	729055	41250088.00
2010/09/15	55.50	56.00	51.50	51.79	1649615	87806312.00
2010/09/16	51.81	52.27	49.11	49.65	1167796	58808580.00
2010/09/17	49.70	50.15	49.21	49.41	548394	27253964.00
2010/09/20	49.88	49.88	48.18	48.22	574803	28029996.00
2010/09/21	48.58	48.80	46.83	48.00	606794	28845648.00
2010/09/27	48.00	49.67	47.85	49.30	726121	35587212.00
2010/09/28	49.01	50.00	48.68	48.89	442671	21860964.00
2010/09/29	49.20	49.95	47.60	48.03	669380	32644580.00
2010/09/30	47.53	49.05	47.00	48.42	452355	21908136.00
2010/10/08	49.89	51.47	48.46	50.28	749654	37503348.00
2010/10/11	49.75	51.85	49.66	50.96	1064528	54101736.00
2010/10/12	51.80	53.87	51.74	51.99	1599159	84138288.00
2010/10/13	52.00	52.55	50.35	52.40	1144306	58777364.00
2010/10/14	52.00	52.50	50.30	50.31	776997	40060040.00
2010/10/15	50.33	52.30	50.33	50.95	940008	48227732.00
2010/10/18	51.29	51.29	48.50	48.61	985145	48209532.00
2010/10/19	48.80	53.00	48.70	51.50	1340164	68683032.00
2010/10/20	50.51	52.88	50.00	52.46	1406527	73464472.00
2010/10/21	52.15	52.39	51.32	52.23	647472	33599500.00
2010/10/22	52.18	53.60	52.18	53.22	919164	48901392.00
2010/10/25	55.10	55.72	54.05	54.61	1465650	80809296.00
2010/10/26	54.62	55.56	53.77	54.95	914975	50114476.00
2010/10/27	54.75	55.20	53.62	53.80	813360	44160720.00
2010/10/28	51.90	52.99	50.70	50.90	1678573	86290976.00
2010/10/29	50.99	52.20	50.99	51.20	1046199	53927612.00
2010/11/01	51.70	53.87	51.21	52.90	1630071	85900880.00
2010/11/02	53.29	53.80	52.48	52.71	1382125	73448928.00
2010/11/03	51.51	52.52	49.90	50.08	996946	50946724.00
2010/11/04	50.08	50.98	49.10	49.70	1243816	61828176.00
2010/11/05	50.40	50.73	49.75	50.54	838756	42172008.00
2010/11/08	50.65	51.60	50.65	51.45	860863	44175952.00
2010/11/09	51.00	51.89	50.74	51.18	1041567	53236320.00
2010/11/10	51.60	53.20	51.19	52.77	1616503	84680448.00
2010/11/11	52.96	53.60	51.95	51.95	1507137	79627224.00
2010/11/15	49.30	52.81	49.27	52.72	1371847	69464904.00
2010/11/16	52.73	54.08	50.81	51.27	1902142	100783392.00
2010/11/17	51.00	51.05	48.33	48.80	850567	42385756.00
2010/11/18	49.55	49.57	48.00	49.20	581434	28311406.00
2010/11/19	49.48	50.42	49.01	50.35	757964	37712540.00
2010/11/22	50.34	52.49	50.00	51.50	1125627	58028708.00
2010/11/23	51.08	51.40	49.31	50.70	855383	42979328.00
2010/11/24	50.40	51.73	50.02	51.73	943346	48251040.00
2010/11/25	52.05	52.25	51.00	51.28	951309	49005568.00
2010/11/26	51.20	51.55	50.88	51.27	708062	36255552.00
2010/11/29	51.19	52.54	51.02	52.23	1220946	63703032.00
2010/11/30	51.90	52.33	48.90	49.39	1377611	68793088.00
2010/12/01	49.50	49.60	48.67	49.11	604904	29629672.00
2010/12/02	49.70	49.85	49.19	49.40	500409	24773588.00
2010/12/03	49.44	49.50	48.10	48.57	584041	28429572.00
2010/12/06	48.90	48.93	47.66	48.10	512380	24678038.00
2010/12/07	48.10	48.59	47.55	48.40	420609	20241912.00
2010/12/08	48.35	48.50	48.10	48.17	319428	15420310.00
2010/12/09	48.20	48.85	47.90	47.91	348165	16821172.00
2010/12/10	47.81	48.30	47.36	48.20	348489	16673677.00
2010/12/13	48.06	49.53	48.06	49.29	605438	29663896.00
2010/12/14	49.48	49.48	49.01	49.29	514355	25342980.00
2010/12/15	49.32	50.80	49.09	49.83	1014462	50742880.00
2010/12/16	49.90	50.20	49.51	49.58	414862	20673154.00
2010/12/17	49.50	49.50	48.80	49.00	648872	31839064.00
2010/12/20	49.40	49.48	47.40	48.18	632001	30553240.00
2010/12/21	48.22	48.78	48.02	48.78	405533	19658042.00
2010/12/22	48.78	49.30	48.64	48.80	400033	19611248.00
2010/12/23	48.80	49.27	47.67	47.74	361473	17509486.00
2010/12/24	47.68	48.16	46.83	46.89	426035	20105986.00
2010/12/27	46.69	47.40	45.10	45.57	420065	19583524.00
2010/12/28	45.51	45.86	45.11	45.56	264535	12047522.00
2010/12/29	45.65	46.98	45.36	46.92	283387	13063035.00
2010/12/30	46.25	46.99	45.90	45.90	257272	11968406.00
2010/12/31	45.94	46.98	45.93	46.33	244071	11313135.00
2011/01/04	46.50	46.88	46.31	46.68	348562	16220818.00
2011/01/05	46.60	46.78	46.02	46.46	432052	20028390.00
2011/01/06	46.50	46.69	45.58	46.26	370325	17041834.00
2011/01/07	46.20	48.16	45.58	46.91	959561	45429376.00
2011/01/10	46.80	46.80	45.05	45.06	488463	22398606.00
2011/01/11	44.99	46.00	44.61	45.07	563390	25462682.00
2011/01/12	45.17	45.43	44.63	44.98	259156	11663443.00
2011/01/13	45.32	45.35	44.79	44.88	215815	9713796.00
2011/01/14	44.68	44.85	41.80	42.00	655441	27967050.00
2011/01/17	41.61	42.00	39.60	39.84	536665	21739144.00
2011/01/18	39.61	39.98	39.51	39.87	203470	8091815.50
2011/01/19	40.20	40.60	39.71	40.35	260861	10464841.00
2011/01/20	40.05	40.49	38.01	38.01	414107	16040277.00
2011/01/21	38.01	38.41	37.03	38.10	420128	15921312.00
2011/01/24	37.80	38.00	37.03	37.20	329276	12318999.00
2011/01/25	37.20	37.48	36.51	36.71	232127	8554941.00
2011/01/26	36.70	37.97	36.70	37.38	228581	8531197.00
2011/01/27	37.38	38.40	37.08	38.21	297577	11281660.00
2011/01/28	38.30	38.48	37.80	38.31	174794	6667067.50
2011/01/31	38.47	38.79	38.02	38.75	182165	7006357.50
2011/02/01	38.70	39.15	38.60	39.12	224089	8714458.00
2011/02/09	38.77	39.15	38.10	38.10	229929	8885399.00
2011/02/10	37.95	39.28	37.95	39.15	251852	9803099.00
2011/02/11	38.78	39.95	38.78	39.69	324617	12875359.00
2011/02/14	39.55	40.61	39.55	40.48	396439	15939570.00
2011/02/15	40.71	41.40	40.40	40.50	394261	16052971.00
2011/02/16	40.21	41.00	40.03	40.90	304156	12354399.00
2011/02/17	40.80	43.70	40.48	43.56	1053187	44711372.00
2011/02/18	43.56	44.33	42.52	43.92	1037063	45357552.00
2011/02/21	43.60	44.10	43.06	44.03	594802	26030970.00
2011/02/22	43.75	44.10	41.51	41.63	457508	19527944.00
2011/02/23	41.51	42.29	41.19	41.93	215871	8995682.00
2011/02/24	41.88	42.15	41.20	41.51	238102	9912736.00
2011/02/25	41.52	41.72	40.80	41.20	385840	15873420.00
2011/02/28	41.26	42.00	41.00	41.56	362000	15014788.00
2011/03/01	41.00	43.00	41.00	42.02	447651	18938630.00
2011/03/02	42.00	42.00	41.17	41.60	252053	10478129.00
2011/03/03	41.33	42.67	41.33	41.50	336656	14124805.00
2011/03/07	42.00	43.20	41.60	42.61	314782	13370799.00
2011/03/08	42.70	44.17	42.22	44.02	593524	25796352.00
2011/03/09	43.73	44.28	43.67	43.76	253807	11141306.00
2011/03/10	43.70	43.73	43.22	43.25	287599	12476686.00
