300082 奥克股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/05/20	84.60	84.66	76.08	76.58	6834342	538764992.00
2010/05/21	71.50	76.18	71.12	75.80	3687715	270382752.00
2010/05/24	75.58	79.98	74.30	78.00	3653418	284403680.00
2010/05/25	76.00	77.38	73.75	74.10	2334004	175084304.00
2010/05/26	73.87	75.30	73.01	73.15	1197697	88435592.00
2010/05/27	73.37	75.89	73.05	75.24	1371414	102483640.00
2010/05/28	76.49	76.50	73.80	74.20	1359694	102094248.00
2010/05/31	73.77	74.48	72.31	72.31	1082970	79396024.00
2010/06/01	71.21	71.86	67.06	68.00	1710844	118503384.00
2010/06/02	67.32	68.56	66.83	68.21	801007	54160124.00
2010/06/03	68.41	70.35	68.10	68.59	1178750	81723664.00
2010/06/04	68.53	69.64	68.10	69.50	523329	36154416.00
2010/06/07	68.01	71.18	67.51	70.39	778930	54498104.00
2010/06/08	70.45	70.97	69.60	70.12	483857	33915948.00
2010/06/09	70.31	71.50	70.13	70.65	744639	52716220.00
2010/06/10	70.70	72.80	70.65	72.38	972442	70179392.00
2010/06/11	72.69	74.57	72.69	73.72	994262	73293496.00
2010/06/17	73.98	74.20	72.30	72.90	742727	54442168.00
2010/06/18	72.40	72.88	67.61	67.90	842396	58730560.00
2010/06/21	68.10	69.97	68.00	69.80	525858	36512348.00
2010/06/22	69.78	71.00	69.40	69.90	475993	33518184.00
2010/06/23	69.90	70.85	69.20	70.60	383863	26909704.00
2010/06/24	70.72	72.58	70.22	71.97	580407	41434528.00
2010/06/25	71.25	71.84	69.50	70.58	435985	30763070.00
2010/06/28	70.89	72.89	70.21	71.65	757599	54571108.00
2010/06/29	71.30	72.36	68.00	68.60	1101957	76935792.00
2010/06/30	67.80	68.34	66.50	67.55	556651	37367296.00
2010/07/01	67.55	68.18	66.66	66.89	378011	25410416.00
2010/07/02	67.70	67.88	63.68	65.96	595029	39069904.00
2010/07/05	64.61	64.91	63.71	64.03	478414	30737312.00
2010/07/06	64.33	65.78	64.33	65.47	360911	23541334.00
2010/07/07	66.00	66.18	65.20	65.76	369574	24238102.00
2010/07/08	65.80	66.59	65.01	66.35	418166	27516310.00
2010/07/09	66.30	67.82	65.40	67.45	538858	36097004.00
2010/07/12	67.02	68.80	67.02	67.75	395859	26953124.00
2010/07/13	67.60	68.46	66.00	68.03	553774	37109648.00
2010/07/14	68.32	68.90	66.67	67.67	454084	30916984.00
2010/07/15	67.02	68.02	66.29	66.30	375741	25218820.00
2010/07/16	66.30	67.86	66.00	67.39	372054	24872912.00
2010/07/20	68.08	71.82	68.08	71.17	1262958	88134376.00
2010/07/21	71.18	74.09	71.08	73.83	1763027	128958232.00
2010/07/22	73.20	75.75	73.00	74.29	1342183	100307664.00
2010/07/23	74.90	77.50	74.30	77.37	1864225	141023600.00
2010/07/26	77.77	79.33	76.38	78.00	1660773	129534464.00
2010/07/27	77.60	78.58	76.59	77.65	1371463	106187928.00
2010/07/28	77.07	78.88	74.25	75.21	2746090	208582800.00
2010/07/29	74.39	75.72	73.62	75.06	2358775	176200256.00
2010/07/30	74.39	75.30	73.00	74.30	1306357	96628360.00
2010/08/02	74.38	75.20	73.40	75.17	1228472	91553952.00
2010/08/03	75.00	75.00	73.61	73.72	1112115	82699544.00
2010/08/04	74.10	75.16	73.75	75.03	717017	53465068.00
2010/08/05	74.71	75.80	74.70	75.42	1073687	80886760.00
2010/08/06	75.40	75.98	74.10	75.90	1005672	75620040.00
2010/08/09	75.98	76.27	75.38	76.09	784853	59554236.00
2010/08/10	76.09	77.29	75.20	75.20	1186426	90754088.00
2010/08/11	75.10	76.50	74.30	76.50	658243	49547972.00
2010/08/12	75.50	77.79	75.50	76.20	833116	64204984.00
2010/08/13	76.02	77.76	75.63	77.68	639834	49309008.00
2010/08/16	77.76	78.00	77.20	77.66	783441	60893688.00
2010/08/17	77.65	78.64	76.81	77.90	794404	61679056.00
2010/08/18	77.89	78.20	76.40	77.00	589220	45362552.00
2010/08/19	76.52	77.90	76.52	77.09	611265	47333344.00
2010/08/20	76.58	76.58	73.51	73.58	2133843	159256272.00
2010/08/24	73.63	73.81	72.27	73.09	1778049	129577520.00
2010/08/25	73.03	74.50	72.44	73.47	1088406	79885792.00
2010/08/26	73.50	74.50	73.42	73.84	897672	66383360.00
2010/08/27	73.79	75.50	73.51	75.23	779553	58318112.00
2010/08/30	75.88	79.12	75.32	78.90	1684817	131269752.00
2010/08/31	78.77	81.40	78.30	79.90	1420911	113237024.00
2010/09/01	79.90	80.45	74.81	76.79	1935620	149612048.00
2010/09/02	77.20	79.98	76.90	78.18	1338858	104980272.00
2010/09/03	51.92	52.55	49.90	50.55	1881509	95943896.00
2010/09/06	50.55	50.95	48.30	48.53	2430904	118956736.00
2010/09/07	48.60	49.29	48.45	48.96	1114126	54404344.00
2010/09/08	48.98	49.16	48.56	49.04	1314526	64262624.00
2010/09/09	49.05	50.18	48.91	49.06	1556410	77016576.00
2010/09/10	49.10	50.07	48.80	49.67	1091013	54173768.00
2010/09/13	50.00	50.30	49.31	49.61	1606657	80010272.00
2010/09/14	50.00	50.10	49.32	49.70	1177174	58568584.00
2010/09/15	51.00	52.38	49.85	50.10	2723100	139798096.00
2010/09/16	50.29	52.18	50.10	51.55	2930469	150001504.00
2010/09/17	51.53	51.90	50.50	51.12	1539582	78642400.00
2010/09/20	51.25	51.50	48.80	48.96	1148538	56680160.00
2010/09/21	53.85	53.85	50.01	50.09	2172721	112115680.00
2010/09/27	49.70	50.88	48.81	49.47	1313267	64696400.00
2010/09/28	49.30	49.30	47.48	47.48	1438993	68933088.00
2010/09/29	47.20	47.95	46.60	46.71	967706	45864904.00
