300124 汇川技术 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/09/28	89.00	93.80	87.00	91.99	18773632	1704527232.00
2010/09/29	91.10	92.16	87.78	90.15	4917781	444138368.00
2010/09/30	92.00	96.20	90.50	94.01	3720229	346557760.00
2010/10/08	94.01	103.41	94.01	103.41	3623297	357932192.00
2010/10/11	101.88	107.80	100.66	107.50	3534970	370544800.00
2010/10/12	106.03	109.88	105.51	108.50	1806068	194469504.00
2010/10/13	106.22	114.99	103.88	114.99	1993573	217271312.00
2010/10/14	113.90	115.85	108.88	110.31	2307495	259114496.00
2010/10/15	111.50	115.00	106.21	109.49	1422946	156987696.00
2010/10/18	107.00	111.10	102.37	111.00	1562725	165765344.00
2010/10/19	109.80	117.45	108.69	110.98	1776960	200095184.00
2010/10/20	108.49	113.04	106.51	113.04	859623	94899928.00
2010/10/21	115.49	123.95	112.00	119.95	947102	111230232.00
2010/10/22	119.01	128.40	119.00	123.80	643791	79350016.00
2010/10/25	124.50	136.18	124.50	133.88	995891	133045216.00
2010/10/26	132.00	136.87	131.02	134.60	548705	73608264.00
2010/10/27	136.00	142.54	134.60	139.13	613615	85463624.00
2010/10/28	140.00	144.99	135.06	138.29	797452	110346792.00
2010/10/29	136.05	141.80	136.05	139.82	528008	74012160.00
2010/11/01	140.88	150.01	140.88	149.50	881274	130593640.00
2010/11/02	149.59	149.90	144.56	148.98	676042	98979336.00
2010/11/03	147.19	149.50	138.02	139.15	802751	115161840.00
2010/11/04	138.50	144.45	137.52	142.08	581810	82304736.00
2010/11/05	142.58	146.00	138.81	142.30	598526	85015096.00
2010/11/08	141.88	152.58	141.59	152.00	726889	107762976.00
2010/11/09	152.58	153.84	150.08	153.70	444774	67542880.00
2010/11/10	152.00	162.24	151.01	160.18	513663	81256360.00
2010/11/11	160.20	163.00	157.00	157.00	526366	84319984.00
2010/11/12	158.00	160.00	146.00	151.80	654263	100103168.00
2010/11/15	153.00	162.08	151.00	161.99	592319	92019256.00
2010/11/16	162.00	166.88	152.88	156.00	604213	96342712.00
2010/11/17	152.22	155.46	146.68	147.65	594344	89451448.00
2010/11/18	147.99	156.50	146.98	154.03	444197	67698096.00
2010/11/19	154.54	161.00	152.53	159.99	416990	65256688.00
2010/11/22	160.00	165.00	156.11	160.36	585813	94089128.00
2010/11/23	160.05	161.60	156.32	159.80	334779	53131620.00
2010/11/24	159.65	164.00	157.59	163.61	383512	62193236.00
2010/11/25	161.21	168.00	160.50	165.50	702861	115651128.00
2010/11/26	164.24	164.99	159.61	159.88	438382	70704688.00
2010/11/29	160.39	160.90	157.00	159.70	479873	76244528.00
2010/11/30	160.89	161.24	150.00	156.90	549380	85390584.00
2010/12/01	157.06	159.98	152.00	154.00	355126	54966712.00
2010/12/02	156.00	157.00	153.11	153.25	310838	47946368.00
2010/12/06	151.00	153.98	150.30	150.30	394672	59972456.00
2010/12/07	150.10	156.00	149.83	155.56	547893	84469312.00
2010/12/08	155.00	155.98	151.60	154.00	864369	133004640.00
2010/12/09	152.10	153.88	151.17	153.30	306214	46808040.00
2010/12/10	153.50	159.71	153.00	157.55	581967	91514824.00
2010/12/13	158.39	161.00	157.25	159.99	538014	85996672.00
2010/12/14	159.50	160.88	155.02	156.50	567733	89357816.00
2010/12/15	155.49	156.30	151.88	153.50	531364	81580128.00
2010/12/16	152.06	154.91	151.00	152.00	467149	71280240.00
2010/12/17	152.00	153.70	148.50	149.00	606412	91307848.00
2010/12/20	148.80	150.00	144.00	145.30	1057386	155203728.00
2010/12/21	145.35	147.43	143.03	147.04	635127	92042576.00
2010/12/22	146.49	147.80	144.20	144.80	387340	56206192.00
2010/12/23	144.31	149.97	144.31	147.91	1030042	152350336.00
2010/12/24	147.21	147.88	138.08	139.01	740884	105205928.00
2010/12/27	138.94	140.84	131.00	132.59	480175	65646704.00
2010/12/28	130.50	132.40	126.04	129.41	2350930	302639168.00
2010/12/29	129.57	133.00	126.98	132.21	1651806	214521728.00
2010/12/30	131.68	136.30	131.00	134.57	897250	120726600.00
2010/12/31	135.38	139.95	134.00	139.88	737546	101069704.00
2011/01/04	140.87	144.44	139.95	143.99	809180	115841712.00
2011/01/05	144.00	149.40	141.39	147.20	819907	119169920.00
2011/01/06	150.70	156.50	150.60	151.85	1425608	219712976.00
2011/01/07	150.01	152.88	148.00	151.95	748705	112772792.00
2011/01/10	151.93	151.94	138.08	139.52	758781	109423880.00
2011/01/11	138.33	139.51	133.38	135.47	764742	103847224.00
2011/01/12	135.46	137.00	132.00	134.97	461180	62066696.00
2011/01/13	136.99	144.99	135.61	142.10	713464	100674904.00
2011/01/14	141.00	144.57	138.88	141.58	425788	60320284.00
2011/01/17	144.00	144.80	135.00	138.79	597353	82966792.00
2011/01/19	139.49	144.49	136.50	143.82	493294	69542272.00
2011/01/20	143.69	144.00	136.64	137.01	580342	81799024.00
2011/01/21	135.30	139.50	133.00	136.10	412257	56063848.00
2011/01/24	135.99	137.90	127.70	128.70	797804	104033960.00
2011/01/25	127.70	128.70	123.00	128.10	665774	83357896.00
2011/01/26	127.79	130.70	126.00	129.53	261878	33790740.00
2011/01/27	129.00	135.80	127.53	134.58	434360	57781416.00
2011/01/28	133.10	137.50	133.10	137.18	236978	32134824.00
2011/01/31	135.71	144.10	135.00	142.80	440174	62574088.00
2011/02/01	142.00	144.50	140.12	143.08	233589	33364804.00
2011/02/09	141.07	142.95	133.80	133.99	299650	41489764.00
2011/02/10	132.88	141.00	132.88	140.80	352747	48310900.00
2011/02/11	140.88	142.50	138.99	141.98	277438	38955212.00
2011/02/14	141.98	143.46	139.68	142.00	366410	51943712.00
2011/02/15	141.20	146.20	139.70	139.80	423147	60463324.00
2011/02/16	138.91	144.98	138.58	144.80	352288	50257200.00
2011/02/17	144.50	147.74	142.60	143.42	399224	57839840.00
2011/02/18	144.00	146.70	142.50	146.00	376758	54545108.00
2011/02/21	145.00	150.80	144.20	148.67	423701	63004032.00
2011/02/22	148.60	150.00	138.88	139.00	561841	79830160.00
2011/02/23	138.90	142.00	138.90	141.30	296356	41623868.00
2011/02/24	141.49	141.95	132.78	136.70	693966	94743288.00
2011/02/25	135.70	138.00	135.12	137.00	269653	36874288.00
2011/02/28	135.00	140.83	131.50	137.75	543756	73803584.00
2011/03/01	138.19	138.22	132.82	135.00	733123	98663272.00
2011/03/02	134.10	135.00	131.50	132.68	439032	58201256.00
2011/03/03	132.00	135.70	131.99	132.95	262632	35279456.00
2011/03/04	132.40	135.00	130.99	134.29	159868	21229414.00
2011/03/07	134.39	136.44	134.00	135.27	410234	55454536.00
2011/03/08	135.25	135.25	132.63	133.60	214100	28601976.00
2011/03/09	133.63	134.75	132.50	133.80	244721	32656192.00
2011/03/10	133.68	136.49	133.60	135.11	353231	47938916.00
2011/03/11	134.69	142.80	134.31	141.18	624669	87315224.00
2011/03/14	141.30	143.27	139.10	141.20	301990	42523996.00
2011/03/15	141.10	142.68	136.80	138.44	383084	53125604.00
2011/03/16	138.44	141.18	136.10	140.50	414787	57689132.00
2011/03/17	140.38	143.70	138.50	138.80	503270	70959064.00
2011/03/18	139.05	142.00	138.60	139.70	278241	38906536.00
2011/03/21	139.20	142.20	139.20	140.92	366565	51640112.00
2011/03/22	141.48	141.50	134.01	138.45	579409	79069728.00
2011/03/23	137.40	141.80	135.07	140.40	768988	106685024.00
2011/03/24	140.95	142.40	137.30	139.00	342789	47844404.00
2011/03/25	139.80	140.87	138.55	140.30	352303	49076244.00
2011/03/28	140.50	141.28	137.50	137.50	467012	64729116.00
2011/03/29	136.00	138.45	134.12	135.00	416369	56530836.00
2011/03/30	134.98	134.98	129.53	129.80	400763	52832208.00
2011/03/31	129.72	131.98	129.72	131.47	687401	89700080.00
2011/04/01	130.94	131.28	129.00	131.00	197368	25705134.00
2011/04/06	130.97	132.08	129.03	132.00	226598	29538368.00
2011/04/07	130.40	132.68	130.40	131.02	326921	43032396.00
2011/04/08	130.90	135.42	130.58	134.60	183908	24639750.00
2011/04/11	134.60	135.48	130.82	132.00	254204	33501208.00
2011/04/12	131.90	131.90	129.80	130.01	219557	28575290.00
2011/04/13	129.80	133.03	128.88	131.69	141250	18511034.00
2011/04/14	131.75	133.25	131.35	132.51	140220	18585850.00
2011/04/18	132.88	133.83	127.60	129.47	345097	44732508.00
2011/04/19	129.34	132.08	127.80	130.00	259380	33544786.00
2011/04/20	129.65	134.50	129.00	134.09	392068	51971348.00
2011/04/21	134.00	135.71	132.80	135.49	293882	39602188.00
2011/04/22	134.77	136.99	133.81	134.48	258870	34993516.00
2011/04/25	135.00	140.50	133.71	138.45	291317	40089548.00
2011/04/26	138.50	138.50	130.00	135.00	339668	45651860.00
2011/04/27	139.35	147.23	137.31	142.87	1000543	142277392.00
2011/04/28	140.00	142.00	138.01	138.70	393463	55039244.00
2011/04/29	139.00	140.89	137.08	139.88	494733	68824392.00
2011/05/03	69.36	71.97	68.51	69.49	734861	51464824.00
2011/05/04	68.05	68.67	67.20	67.75	406233	27564810.00
2011/05/05	67.25	69.30	67.23	68.03	376015	25749086.00
2011/05/06	67.51	67.55	64.88	65.52	1135460	74422280.00
2011/05/09	65.50	67.00	65.31	66.46	582913	38743892.00
2011/05/10	66.46	66.85	65.71	66.60	166599	11041902.00
2011/05/11	66.62	68.98	66.00	68.65	381174	25989784.00
2011/05/12	67.98	71.48	67.21	70.33	764450	53629644.00
2011/05/13	70.35	70.80	68.99	70.38	565527	39626164.00
2011/05/16	71.38	74.90	70.21	72.27	805154	58847148.00
2011/05/17	72.00	73.22	69.92	70.00	535857	37907620.00
2011/05/18	69.89	72.66	68.10	70.77	356605	25188544.00
2011/05/19	70.10	72.38	69.50	70.40	454844	32230442.00
2011/05/20	70.50	72.30	69.94	71.84	415198	29560128.00
2011/05/23	72.09	72.35	70.00	70.10	587347	41499000.00
2011/05/24	69.01	73.30	68.10	73.13	957897	68184360.00
2011/05/25	73.10	74.79	72.26	72.79	861670	63301008.00
2011/05/26	72.75	73.50	70.50	71.50	961649	68685664.00
2011/05/27	71.47	71.68	70.00	70.49	718054	50695220.00
2011/05/30	70.10	71.02	68.50	70.00	530151	37014968.00
2011/05/31	69.88	70.19	67.05	69.99	752354	51591540.00
2011/06/01	69.16	70.38	69.06	69.80	298728	20841316.00
2011/06/02	68.98	69.88	67.91	69.32	382136	26358684.00
2011/06/03	69.50	70.19	69.16	69.99	286485	20017908.00
2011/06/07	69.99	70.34	69.52	70.20	138140	9670620.00
2011/06/08	70.27	72.01	69.91	70.60	434848	30851798.00
2011/06/09	70.30	70.78	69.20	69.66	247437	17259718.00
2011/06/10	69.50	70.49	69.01	70.18	238915	16648347.00
2011/06/13	69.80	70.50	69.10	69.96	112096	7828074.50
2011/06/14	69.96	71.90	69.50	71.04	208951	14826775.00
2011/06/15	71.00	71.25	69.00	69.53	345195	24104326.00
2011/06/16	69.50	69.97	69.12	69.23	149947	10395536.00
2011/06/20	68.99	68.99	66.13	68.00	1370112	91784568.00
2011/06/21	67.47	67.70	65.88	66.11	524537	34926160.00
2011/06/22	66.07	67.40	66.00	66.23	313219	20966368.00
2011/06/23	66.10	67.75	65.70	67.73	418029	27928790.00
2011/06/24	67.58	69.25	67.02	68.27	435599	29846284.00
2011/06/27	68.50	69.58	68.27	68.84	250464	17230194.00
2011/06/28	68.37	69.00	67.50	68.90	208405	14274045.00
2011/06/29	68.15	69.69	68.01	68.99	228896	15769118.00
2011/06/30	68.28	69.01	67.10	68.90	679819	46279336.00
2011/07/01	68.10	69.58	68.10	69.38	328402	22611746.00
2011/07/04	69.44	72.30	69.44	71.00	612683	43713796.00
2011/07/05	71.00	71.85	70.40	70.80	356769	25391548.00
2011/07/06	70.93	74.50	69.88	74.18	1334956	97358200.00
2011/07/07	74.18	76.90	73.60	75.01	876544	66092664.00
2011/07/08	74.95	75.78	73.80	74.66	363438	27164638.00
2011/07/11	74.30	75.50	73.00	74.66	353902	26420914.00
2011/07/12	74.66	76.50	74.12	76.19	745680	56244116.00
2011/07/13	76.18	78.19	75.56	78.07	640944	49391424.00
2011/07/14	78.00	78.52	76.50	77.88	437520	33964376.00
2011/07/15	78.00	81.52	77.88	79.85	728015	58394596.00
2011/07/18	79.84	80.88	78.99	80.33	359278	28670484.00
2011/07/19	80.33	80.92	77.55	78.40	360600	28537410.00
2011/07/20	78.65	80.08	76.93	77.02	514935	40283352.00
2011/07/21	77.09	78.78	76.52	77.70	467297	36282416.00
2011/07/22	77.71	79.46	77.55	78.80	314724	24701902.00
2011/07/25	79.39	79.39	75.11	76.33	679990	52165320.00
2011/07/26	76.80	77.21	75.12	76.89	212099	16229298.00
2011/07/27	76.89	80.95	75.75	80.80	675760	53749292.00
2011/07/28	80.58	87.00	79.90	86.19	1718223	145661072.00
2011/07/29	85.65	86.50	83.35	84.99	865195	73233792.00
2011/08/01	85.85	89.59	84.01	85.00	719645	62233588.00
2011/08/02	85.00	87.99	82.51	86.79	675114	57762548.00
2011/08/03	86.00	87.00	84.90	84.90	377403	32301952.00
2011/08/04	84.21	86.76	83.85	86.70	437669	37313804.00
2011/08/05	84.00	91.67	83.13	88.20	1499818	133262920.00
2011/08/08	87.31	90.50	83.81	87.50	834179	72740384.00
2011/08/09	81.50	88.88	81.50	86.56	1035564	88789768.00
