300133 华策影视 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/10/26	101.00	110.13	100.00	107.80	9466438	995446336.00
2010/10/27	105.00	105.28	97.02	97.02	4659326	469081856.00
2010/10/28	97.53	104.98	97.50	102.63	2948094	300774560.00
2010/10/29	103.80	112.89	101.50	112.89	2132794	230031600.00
2010/11/01	116.50	123.96	116.00	117.85	3335369	397442336.00
2010/11/02	116.00	120.49	111.00	111.70	2497270	287711744.00
2010/11/03	109.10	109.80	101.50	102.79	2434996	253887360.00
2010/11/04	103.70	104.79	100.58	103.81	1509270	155292432.00
2010/11/05	104.00	106.10	102.00	104.00	1174145	122041264.00
2010/11/08	103.51	108.59	102.52	106.99	1336996	141968848.00
2010/11/09	106.00	106.30	104.50	105.40	997109	104789696.00
2010/11/10	105.39	113.00	104.55	111.40	1227191	134143048.00
2010/11/11	110.55	120.00	110.20	113.45	1539106	177008064.00
2010/11/12	114.10	120.99	110.21	116.68	2178750	253277504.00
2010/11/15	118.99	122.98	117.17	120.45	1412858	170395232.00
2010/11/16	119.60	122.39	115.50	116.15	1247035	147996272.00
2010/11/17	115.50	124.50	114.01	119.50	1371636	165772992.00
2010/11/18	120.20	122.00	115.00	119.50	953711	112569872.00
2010/11/19	119.60	124.50	119.60	123.35	877380	107387592.00
2010/11/22	122.62	127.50	119.18	121.51	1036721	128194128.00
2010/11/23	119.49	122.48	118.51	121.00	617035	74032296.00
2010/11/24	119.50	123.60	119.50	123.56	622857	76149472.00
2010/11/25	125.50	125.50	118.01	119.32	982439	118776896.00
2010/11/26	118.70	120.98	118.00	120.11	473906	56751008.00
2010/11/29	120.00	123.45	119.40	122.40	561014	68570056.00
2010/11/30	123.80	123.90	115.18	116.88	1173933	139339760.00
2010/12/01	116.01	117.00	114.77	114.94	569865	65779488.00
2010/12/02	116.10	118.60	115.00	115.02	576274	67093508.00
2010/12/03	115.30	117.14	115.16	116.70	388570	45131940.00
2010/12/06	117.18	117.38	110.30	111.12	721978	81173608.00
2010/12/07	110.30	112.94	108.01	112.20	399067	44411292.00
2010/12/08	112.10	113.39	109.20	109.68	359133	39939008.00
2010/12/09	108.90	111.40	108.30	109.30	296522	32564772.00
2010/12/10	108.50	111.65	108.41	111.59	272666	30120926.00
2010/12/13	112.33	115.60	112.33	114.91	437178	49934500.00
2010/12/14	115.02	115.68	114.25	115.50	318410	36651300.00
2010/12/15	115.50	119.97	114.38	115.98	691586	80789832.00
2010/12/16	115.81	118.00	115.25	117.25	368929	43065872.00
2010/12/17	117.20	119.90	116.60	118.50	458293	54475524.00
2010/12/20	120.21	122.86	116.12	121.35	903537	108863320.00
2010/12/21	121.00	121.77	119.60	120.49	302368	36480156.00
2010/12/22	120.32	121.88	117.59	118.18	420735	50171168.00
2010/12/23	117.51	118.42	113.60	113.60	566221	65817912.00
2010/12/24	113.60	114.18	108.51	109.76	395026	43827644.00
2010/12/27	109.99	113.89	107.51	107.99	418051	46457968.00
2010/12/28	106.80	112.15	106.80	110.78	387899	42495812.00
2010/12/29	110.69	115.20	110.21	114.71	423317	48242624.00
2010/12/30	114.90	116.10	114.01	115.20	292964	33757972.00
2010/12/31	114.70	116.11	114.21	116.00	360121	41461236.00
2011/01/04	117.20	119.70	116.12	117.01	535206	62955896.00
2011/01/05	116.78	119.38	115.15	119.10	317507	37332812.00
2011/01/06	118.98	119.10	114.80	114.80	380585	44266804.00
2011/01/07	113.50	114.60	111.11	112.00	436931	49179320.00
2011/01/10	111.78	113.50	111.12	111.78	251317	28234388.00
2011/01/11	110.20	111.76	109.02	111.10	206850	22864992.00
2011/01/12	112.91	115.65	111.50	114.68	260832	29746710.00
2011/01/13	114.11	115.38	112.80	113.70	137247	15586279.00
2011/01/14	113.11	113.80	110.06	110.28	259098	29003684.00
2011/01/17	108.51	111.70	104.61	105.00	339614	36445088.00
2011/01/18	104.38	105.95	103.28	104.50	147014	15361691.00
2011/01/19	104.50	106.01	104.50	105.73	152898	16127965.00
2011/01/20	106.92	106.92	99.05	99.20	387799	39730032.00
2011/01/21	98.99	101.20	97.38	99.48	221819	22022062.00
2011/01/24	99.48	99.88	93.01	93.07	309670	29701982.00
2011/01/25	93.07	93.07	89.00	90.55	306078	27891990.00
2011/01/26	89.00	92.09	86.33	90.52	1617290	143893920.00
2011/01/27	89.58	92.38	89.00	91.30	661066	59988432.00
2011/01/28	91.58	91.70	89.01	91.70	484003	43818616.00
2011/01/31	91.60	95.55	91.25	95.05	407372	38295916.00
2011/02/01	94.80	95.07	93.00	93.60	255422	24031788.00
2011/02/09	93.10	94.62	90.62	90.80	330032	30667322.00
2011/02/10	90.60	95.47	89.41	95.28	497685	46115692.00
2011/02/11	94.77	97.50	94.38	97.50	407442	39289352.00
2011/02/14	97.90	99.40	97.00	98.53	397284	39106160.00
2011/02/15	98.60	99.39	97.77	97.98	371235	36515600.00
2011/02/16	97.90	102.30	97.48	101.54	586828	58576380.00
2011/02/17	101.99	103.33	101.19	101.59	549333	56037200.00
2011/02/18	101.59	103.41	100.30	102.26	357107	36358808.00
2011/02/21	102.00	105.66	101.40	105.20	419229	43916964.00
2011/02/22	105.77	106.65	100.50	100.90	622838	64105992.00
2011/02/23	101.50	106.19	101.50	104.00	582258	60685492.00
2011/02/24	104.50	106.87	101.11	103.40	542983	56371792.00
2011/02/25	102.80	104.49	101.57	102.99	447031	46081932.00
2011/02/28	102.01	102.58	98.64	100.17	753604	75457064.00
2011/03/01	100.05	102.30	99.66	100.50	322350	32529928.00
2011/03/02	99.90	100.68	97.47	98.40	546008	53773680.00
2011/03/03	98.00	98.59	94.63	95.50	706809	68001976.00
2011/03/04	95.81	98.50	95.12	98.41	396504	38347092.00
2011/03/08	100.00	102.46	99.52	101.12	1031136	103975216.00
2011/03/09	100.55	101.80	99.21	100.90	485272	48595128.00
2011/03/10	100.91	103.88	100.50	101.75	566893	58021376.00
2011/03/11	101.75	103.87	99.90	102.52	813499	82935376.00
2011/03/14	102.40	102.40	100.03	101.00	497769	50230268.00
2011/03/15	101.01	101.01	96.88	97.82	578690	56938368.00
2011/03/16	97.82	100.00	97.82	98.93	317281	31446888.00
2011/03/17	98.20	98.20	95.46	95.52	547197	52846992.00
2011/03/18	96.99	97.30	95.00	95.51	262113	25080392.00
2011/03/21	95.00	95.72	92.00	95.29	447348	42072980.00
2011/03/22	95.00	95.28	93.30	93.92	182806	17188212.00
2011/03/23	94.01	96.01	93.62	96.01	221327	21099898.00
2011/03/24	95.90	97.00	95.32	95.40	168214	16175893.00
2011/03/25	95.66	95.66	94.80	95.33	185355	17628010.00
2011/03/28	95.13	95.35	94.20	95.01	379671	36064328.00
2011/03/29	95.10	95.21	92.50	95.00	409546	38692920.00
2011/03/30	94.20	95.34	92.38	92.39	231731	21529042.00
2011/04/01	92.50	93.84	92.40	92.85	118676	11015448.00
2011/04/06	92.06	92.84	89.91	90.21	230361	20888128.00
2011/04/07	90.20	90.70	88.94	90.54	234505	20979542.00
2011/04/08	90.99	93.43	90.09	93.02	167938	15505709.00
2011/04/11	93.17	93.84	92.22	92.98	230223	21400332.00
2011/04/12	92.92	93.06	92.01	92.30	111984	10368219.00
2011/04/13	92.15	94.27	92.10	93.85	222025	20804320.00
2011/04/14	93.96	93.96	90.01	91.40	268465	24730418.00
2011/04/15	45.05	45.15	43.50	43.89	613538	27107772.00
2011/04/18	43.29	44.08	42.51	43.10	369772	16034394.00
2011/04/19	42.82	42.82	41.55	41.95	493672	20714072.00
2011/04/20	41.90	42.63	41.70	42.48	308808	13074711.00
2011/04/21	42.00	44.50	42.00	43.99	867738	37998436.00
2011/04/22	44.18	44.29	43.00	43.50	352562	15365377.00
2011/04/25	43.10	43.24	39.15	41.50	331986	13891797.00
2011/04/26	41.29	41.80	39.00	39.31	677824	26935290.00
2011/04/27	39.32	39.78	38.50	39.19	541530	21112094.00
2011/04/28	39.20	40.25	38.95	39.98	640683	25392146.00
2011/04/29	39.98	40.49	39.51	40.04	294739	11802003.00
2011/05/03	40.19	40.20	39.73	40.14	199287	7964625.50
2011/05/04	40.08	40.16	39.28	39.53	352099	13952801.00
2011/05/05	39.55	40.82	39.30	40.50	295590	11942789.00
2011/05/06	40.01	40.47	39.61	40.09	155410	6237672.00
2011/05/09	40.10	41.00	40.10	40.89	347531	14114341.00
2011/05/10	40.91	40.91	40.01	40.30	275187	11089539.00
2011/05/11	40.30	40.30	39.50	39.54	279243	11099659.00
2011/05/12	39.54	39.54	38.30	38.30	280330	10867512.00
2011/05/13	38.21	38.50	37.00	37.60	363605	13633140.00
2011/05/16	37.67	37.90	37.20	37.31	172040	6468856.50
2011/05/17	37.50	37.58	37.11	37.54	220542	8242663.00
