300260 新莱应材 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2011/09/06	40.00	43.20	38.62	38.71	11761152	484362272.00
2011/09/07	37.00	39.90	36.21	38.50	7846379	297812096.00
2011/09/08	37.68	39.17	36.70	37.00	5932128	224364336.00
2011/09/09	38.20	40.70	38.20	40.70	6631195	266771232.00
2011/09/13	39.10	39.58	37.00	38.18	4552763	174178000.00
2011/09/14	39.00	40.47	38.29	40.38	5201280	205446544.00
2011/09/15	39.80	41.30	39.30	39.72	4926079	198381984.00
2011/09/16	39.79	39.79	36.70	37.97	4765175	180583648.00
2011/09/19	37.99	38.97	37.20	37.20	3578485	136280896.00
2011/09/20	35.15	35.96	33.48	33.80	4631386	158627808.00
2011/09/21	33.48	35.31	32.58	34.90	3581013	122119224.00
2011/09/22	34.15	34.38	31.75	31.80	3461070	114254192.00
2011/09/23	31.00	32.49	30.90	32.28	2332015	74524184.00
2011/09/26	31.78	32.47	30.91	31.13	1536339	48525748.00
2011/09/27	31.50	31.79	29.72	31.49	2283392	70595760.00
2011/09/28	31.68	32.49	30.22	30.83	1918018	60661160.00
2011/09/29	30.00	30.65	28.98	28.98	1532425	45582368.00
2011/09/30	29.02	29.38	27.82	28.73	1154724	33009780.00
2011/10/10	28.74	29.22	28.20	28.80	824106	23667070.00
2011/10/11	29.55	31.68	29.55	31.18	3671668	113908208.00
2011/10/12	30.40	32.45	30.00	32.18	3128063	98218632.00
2011/10/13	31.95	32.79	31.45	31.95	2688428	86200584.00
2011/10/14	31.99	33.50	31.70	33.30	3064741	100316568.00
2011/10/17	33.15	34.45	32.62	33.95	2960440	99582648.00
2011/10/18	33.13	33.65	31.00	31.15	3093539	100220720.00
2011/10/19	30.98	32.14	30.90	31.57	1601605	50491016.00
2011/10/20	30.80	30.80	28.86	29.58	2104367	62384000.00
2011/10/21	29.48	29.74	28.50	29.00	1357533	39414608.00
2011/10/24	29.00	29.87	27.57	29.72	1560166	44956056.00
2011/10/25	29.57	32.48	29.39	31.64	2823639	87921432.00
2011/10/26	31.20	32.15	31.11	31.54	2237502	70810688.00
2011/10/27	31.22	32.75	31.22	32.38	2321741	74473808.00
2011/10/28	32.84	32.84	31.71	32.55	2238837	72268184.00
2011/10/31	32.33	32.97	32.10	32.66	1796327	58313776.00
2011/11/01	32.21	32.36	31.22	32.16	2555854	81311464.00
2011/11/02	31.50	33.78	31.37	33.47	2671076	87337440.00
2011/11/03	33.25	34.65	32.50	32.50	3469913	116210584.00
2011/11/04	32.60	32.97	31.90	32.25	1849079	59765480.00
2011/11/08	32.10	32.20	30.50	30.55	1785432	56127348.00
2011/11/09	30.70	31.36	30.40	31.36	1300096	40058124.00
2011/11/10	30.88	32.60	30.78	31.90	2544499	80852984.00
2011/11/11	31.45	32.44	31.45	31.71	1317127	41942092.00
2011/11/14	32.00	34.88	31.98	34.88	4194950	143909744.00
2011/11/15	34.87	35.28	34.15	35.18	3364888	116984928.00
2011/11/16	35.19	35.21	33.60	33.91	2295285	79014480.00
2011/11/17	34.00	36.74	34.00	35.48	3634063	128526136.00
2011/11/18	34.95	35.28	34.00	35.19	2047403	71159720.00
2011/11/21	34.98	35.19	33.61	34.90	1550540	53233224.00
2011/11/22	34.88	36.66	34.53	36.12	2856884	101843768.00
2011/11/23	35.99	36.34	35.15	35.73	1746130	62597268.00
2011/11/24	35.26	35.90	34.28	35.37	1383001	48564420.00
2011/11/25	35.37	36.70	35.11	36.33	2590534	93368632.00
2011/11/28	36.00	36.38	34.80	35.31	1504410	53557984.00
2011/11/29	35.60	35.80	33.28	33.93	2428172	82909568.00
2011/11/30	33.80	33.97	30.91	32.00	1625864	52891176.00
2011/12/01	33.00	33.25	32.12	32.12	1518413	49931736.00
2011/12/02	31.80	32.12	30.50	31.33	830945	25911342.00
2011/12/05	31.00	31.02	30.00	30.09	700861	21324080.00
2011/12/06	29.32	30.60	29.32	30.59	982967	29629348.00
2011/12/07	30.50	30.88	30.00	30.48	494101	15062013.00
2011/12/08	30.01	31.66	29.40	30.76	770465	23470960.00
2011/12/09	30.05	30.94	30.05	30.48	602924	18306432.00
2011/12/12	30.48	31.45	30.21	30.85	763862	23669018.00
2011/12/13	30.60	30.79	29.60	29.69	708667	21254672.00
2011/12/14	29.90	29.90	28.20	28.41	794337	22984922.00
2011/12/15	28.00	28.92	27.90	28.28	520095	14825212.00
2011/12/16	28.38	29.19	27.91	29.00	799626	22742904.00
2011/12/19	28.91	29.36	27.78	29.14	748324	21372402.00
2011/12/20	28.99	29.68	28.49	28.49	712872	20777254.00
2011/12/21	28.75	28.98	27.03	27.90	934118	26271430.00
2011/12/22	27.60	27.80	26.60	27.12	643586	17410120.00
2011/12/23	27.00	27.60	26.93	27.05	339606	9254552.00
2011/12/26	27.10	27.53	26.69	26.69	359702	9779646.00
2011/12/27	26.20	26.47	24.58	24.63	957000	24040676.00
2011/12/28	24.10	24.45	23.37	24.25	518092	12426293.00
2011/12/29	23.86	24.59	23.86	24.44	239078	5815559.50
2011/12/30	24.70	25.42	24.45	25.38	493324	12337218.00
2012/01/04	25.30	25.96	23.80	23.90	379126	9346965.00
2012/01/05	23.51	23.61	22.40	22.42	1444018	32916374.00
2012/01/06	22.41	22.98	22.00	22.83	370381	8324197.50
2012/01/09	22.77	23.88	22.05	23.84	640357	14876178.00
2012/01/10	23.67	24.65	23.60	24.40	1308225	31754814.00
2012/01/11	24.35	24.93	24.13	24.80	1211853	29779968.00
2012/01/12	24.41	24.85	24.05	24.08	960120	23441146.00
2012/01/13	24.20	24.30	22.00	22.09	761140	17341574.00
2012/01/16	21.60	21.92	20.85	20.85	453134	9681598.00
2012/01/17	20.85	22.27	20.83	22.05	870715	18850218.00
2012/01/18	22.01	22.67	21.35	21.58	1008704	22264696.00
2012/01/19	21.49	22.49	20.25	22.36	1001711	21495368.00
2012/01/20	22.21	22.85	21.90	22.53	741638	16672570.00
2012/01/30	22.53	23.44	21.88	22.61	813233	18498446.00
2012/01/31	22.30	22.70	21.90	22.18	517093	11458249.00
2012/02/01	22.18	22.79	22.05	22.14	536913	12061348.00
2012/02/02	22.30	22.65	22.10	22.65	544592	12207109.00
2012/02/03	22.65	23.55	22.54	23.50	881393	20369266.00
2012/02/06	23.33	23.68	23.03	23.68	935408	21875678.00
2012/02/07	23.35	23.38	22.80	23.13	765332	17697086.00
2012/02/08	23.13	23.73	22.80	23.67	792011	18500544.00
2012/02/09	23.62	24.30	23.47	23.74	1030220	24618004.00
2012/02/10	23.61	24.09	23.45	23.66	753566	17877514.00
2012/02/13	23.41	24.48	23.12	24.17	1108263	26681886.00
2012/02/14	24.18	24.87	24.00	24.33	1264714	30877346.00
2012/02/15	24.10	24.69	24.02	24.58	1052455	25701554.00
2012/02/16	24.60	24.88	24.07	24.41	863727	21128164.00
2012/02/17	24.33	24.58	23.80	24.24	623451	15021236.00
2012/02/20	24.50	24.85	24.18	24.27	796510	19492938.00
2012/02/21	24.23	24.98	23.82	24.97	1135866	27858284.00
2012/02/22	24.94	25.75	24.85	25.67	1486483	37706156.00
2012/02/23	25.63	26.50	25.55	25.78	1586156	41185568.00
2012/02/24	26.00	26.43	25.81	26.28	1540001	40177496.00
2012/02/27	26.06	27.00	26.01	26.29	1773171	46933432.00
2012/02/28	26.14	26.50	25.55	26.50	1344609	34995656.00
2012/02/29	26.30	26.54	25.20	25.30	1036523	26787240.00
2012/03/01	25.01	25.67	25.01	25.36	605622	15323380.00
2012/03/02	25.49	26.25	25.36	26.09	1147167	29698068.00
2012/03/05	26.15	27.35	26.10	26.90	2162937	58097876.00
2012/03/06	26.70	26.89	25.85	26.25	1254305	32852526.00
2012/03/07	26.00	26.87	25.81	26.35	1326386	35227716.00
2012/03/08	26.14	26.66	26.14	26.45	1084656	28637378.00
2012/03/09	26.46	27.28	26.46	27.27	1768067	47692356.00
2012/03/12	27.27	27.45	26.78	27.18	1280725	34566928.00
2012/03/13	27.17	27.43	26.81	27.38	1286264	34912296.00
2012/03/14	27.50	28.09	25.03	25.95	2436485	66039400.00
2012/03/15	25.68	26.10	24.91	25.54	1769621	45060440.00
2012/03/16	25.65	26.55	25.62	26.55	1458873	38119936.00
2012/03/19	26.58	26.90	26.18	26.90	1025584	27341922.00
2012/03/20	26.90	27.20	25.58	25.66	1226839	32160198.00
2012/03/21	25.96	25.96	24.53	25.20	1325384	33455038.00
2012/03/22	24.80	25.39	24.50	25.15	1122470	28067074.00
2012/03/23	25.15	25.15	24.30	24.35	767218	18906662.00
