300288 朗玛信息 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2012/02/16	38.10	42.37	38.10	40.96	10191696	408126400.00
2012/02/17	40.70	42.42	38.51	39.29	4945690	199658240.00
2012/02/20	39.58	43.22	39.50	43.22	4597210	194649408.00
2012/02/21	43.38	46.80	42.51	45.10	3844492	169767888.00
2012/02/22	44.30	46.35	44.15	46.10	2493629	112703008.00
2012/02/23	45.57	46.85	43.50	44.76	2702815	121630400.00
2012/02/24	44.43	45.20	43.88	44.76	1883510	83726040.00
2012/02/27	45.05	47.00	43.61	43.70	3282034	148350800.00
2012/02/28	42.60	42.90	40.40	41.40	3191929	132448952.00
2012/02/29	41.00	41.67	39.60	40.20	1713386	69226792.00
2012/03/01	40.05	41.85	40.05	41.12	1843637	75891480.00
2012/03/02	41.20	41.96	40.82	41.60	1619256	67130160.00
2012/03/05	41.60	42.70	40.88	42.22	2302259	95876472.00
2012/03/06	41.83	41.96	40.32	40.76	1574613	64649156.00
2012/03/07	40.11	44.13	39.80	43.09	2689487	114299648.00
2012/03/08	42.51	43.99	42.51	43.23	1895389	81845448.00
2012/03/09	43.25	47.55	43.25	47.55	2557534	118223584.00
2012/03/12	49.30	51.99	48.51	51.20	2693552	134727008.00
2012/03/13	51.25	53.39	50.65	51.68	2378073	123174328.00
2012/03/14	51.73	56.50	49.70	50.47	3214061	169798688.00
2012/03/15	51.00	55.52	50.99	52.50	3123003	166383840.00
2012/03/16	51.00	52.98	49.68	51.00	2320739	118296328.00
2012/03/19	51.16	51.70	48.80	50.30	1549022	77505792.00
2012/03/20	49.85	53.20	49.66	51.30	2010230	103883752.00
2012/03/21	51.60	51.60	46.17	46.17	1820581	86902584.00
2012/03/22	44.30	45.49	43.42	44.43	1918399	84983880.00
2012/03/23	44.01	44.97	42.80	44.39	1276834	56101828.00
2012/03/26	44.01	45.65	43.51	45.15	1102470	49433704.00
2012/03/27	45.20	45.98	44.38	44.95	1106689	50063892.00
2012/03/28	44.58	44.58	40.71	41.06	1546744	64837068.00
2012/03/29	39.60	40.77	38.22	39.80	1320856	52000064.00
2012/03/30	39.67	39.70	36.50	37.00	1289581	49086976.00
2012/04/06	38.31	40.70	38.26	40.70	1727677	68458760.00
2012/04/09	41.45	42.49	40.05	40.31	1393976	57954820.00
2012/04/10	39.70	44.34	39.00	44.34	1944721	82021120.00
2012/04/11	44.61	47.00	44.61	45.90	1849740	84605688.00
2012/04/12	46.15	46.80	45.00	46.20	1307079	60102396.00
2012/04/13	45.62	46.39	44.60	44.70	1269841	57298156.00
2012/04/16	44.24	45.88	42.60	44.53	1135829	50729500.00
2012/04/17	44.43	48.45	44.05	46.36	1845005	85736056.00
2012/04/18	44.55	47.78	44.55	46.11	1501796	68581728.00
2012/04/19	46.29	49.95	46.17	48.79	1755030	85227208.00
2012/04/20	48.67	49.49	47.50	48.78	1096087	53168820.00
2012/04/23	48.02	48.50	43.90	43.93	1771775	80122544.00
2012/04/24	43.16	44.69	42.00	44.37	1100180	47919532.00
2012/04/25	43.99	44.49	42.30	43.15	834651	36295416.00
2012/04/26	43.28	44.40	42.53	42.80	647348	28033322.00
2012/04/27	42.36	45.38	42.15	44.18	923331	40973244.00
2012/05/02	44.44	45.74	42.58	44.70	1077086	47716328.00
2012/05/03	43.71	49.17	43.71	48.45	2704578	130532192.00
2012/05/04	47.51	49.37	47.38	49.20	1504701	73005296.00
2012/05/07	49.55	51.60	47.80	49.48	2148910	106446512.00
2012/05/08	48.68	49.30	47.50	47.57	1254415	60352624.00
2012/05/09	46.88	48.49	46.52	47.60	1003236	48035636.00
2012/05/10	47.00	48.16	45.28	46.46	1169140	54346828.00
2012/05/11	46.11	47.35	45.70	45.85	604568	28118158.00
2012/05/14	46.28	48.58	45.51	47.60	1310118	62252700.00
2012/05/15	47.00	48.83	46.72	47.96	1213893	58379104.00
2012/05/16	48.79	50.49	45.51	45.58	2533427	121281632.00
2012/05/17	44.08	46.30	44.03	45.70	1329473	59758196.00
2012/05/18	45.19	45.90	43.40	44.30	1142776	50957636.00
2012/05/21	43.95	45.05	43.80	44.25	844714	37597140.00
2012/05/22	44.26	45.69	44.26	44.88	753401	33877068.00
2012/05/23	44.88	45.21	42.02	42.82	1145482	49701848.00
2012/05/24	42.00	43.25	42.00	42.92	549212	23510162.00
2012/05/25	42.68	43.16	41.51	41.79	609185	25591116.00
2012/05/28	41.59	42.58	41.50	42.56	623805	26346026.00
2012/05/29	42.50	43.37	42.30	42.98	766560	32859838.00
2012/05/30	42.71	43.50	42.60	42.80	590592	25425120.00
2012/05/31	42.51	44.87	41.50	44.14	1476641	64024980.00
2012/06/01	43.81	44.19	43.10	43.30	701997	30644356.00
2012/06/04	42.30	42.94	41.70	41.76	632428	26721850.00
2012/06/05	41.71	42.39	40.72	40.85	764051	31773566.00
2012/06/06	40.84	41.44	40.30	40.58	439617	17950656.00
2012/06/07	40.80	41.95	40.58	40.80	810420	33369940.00
2012/06/08	40.99	41.75	39.24	41.00	887067	36395604.00
2012/06/11	40.92	41.58	40.32	41.47	716816	29516410.00
2012/06/12	41.53	42.77	41.01	42.10	785943	33074828.00
2012/06/13	42.09	42.45	41.22	42.30	790572	33074288.00
2012/06/14	42.20	43.26	41.76	42.58	1052713	44924812.00
2012/06/15	42.58	42.88	40.00	41.00	1351222	55909016.00
2012/06/18	41.21	43.98	41.21	43.20	1439343	61852860.00
2012/06/19	42.90	43.65	42.03	43.06	774375	33212636.00
2012/06/20	43.25	44.79	42.90	43.20	1062458	46479276.00
2012/06/21	42.88	43.30	41.40	41.70	840872	35208328.00
2012/06/25	41.50	41.85	39.88	39.95	722762	29368012.00
2012/06/26	39.50	39.80	38.50	39.52	667960	26100926.00
2012/06/27	39.10	40.95	39.10	40.55	892078	35906352.00
2012/06/28	40.30	40.50	39.40	39.50	465964	18612340.00
2012/06/29	39.30	39.94	38.18	39.88	588598	22982540.00
2012/07/02	40.13	40.79	39.68	40.19	578115	23243154.00
2012/07/03	40.19	41.69	39.90	41.67	871372	35792376.00
2012/07/04	41.65	42.22	40.80	41.17	536820	22184774.00
2012/07/05	40.83	40.85	39.05	39.55	668469	26503498.00
2012/07/06	39.89	40.37	38.62	40.08	809758	31755560.00
2012/07/09	44.09	44.09	44.00	44.09	3655699	161178864.00
2012/07/10	43.47	44.57	42.64	44.17	3209962	140715248.00
