300412 迦南科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/12/31	16.32	19.58	16.32	19.58	10950	212934.00
2015/01/05	21.54	21.54	21.54	21.54	3250	70005.00
2015/01/06	23.69	23.69	23.69	23.69	3400	80546.00
2015/01/07	26.06	26.06	26.06	26.06	3700	96422.00
2015/01/08	28.67	28.67	28.67	28.67	25700	736819.00
2015/01/09	31.54	31.54	31.54	31.54	69400	2188876.00
2015/01/12	34.69	34.69	34.69	34.69	1004968	34862340.00
2015/01/13	34.48	38.16	33.80	38.16	9291414	331878560.00
2015/01/14	36.88	37.89	34.80	34.99	6729438	244735136.00
2015/01/15	34.22	38.49	34.21	38.49	5744378	214306224.00
2015/01/16	39.88	42.34	39.52	42.34	3849525	157379472.00
2015/01/19	43.49	46.57	42.01	44.00	8702830	390950016.00
2015/01/20	43.11	47.51	42.50	45.50	7582885	341034368.00
2015/01/21	45.60	47.10	43.50	44.90	5855267	263204672.00
2015/01/22	43.05	44.74	43.01	43.81	3652734	160285888.00
2015/01/23	43.84	48.19	43.83	46.15	6545764	302613792.00
2015/01/26	45.88	46.10	44.31	45.19	3276570	147596976.00
2015/01/27	45.16	46.50	44.34	45.00	2989335	135106528.00
2015/01/28	44.50	46.29	43.91	45.20	3409415	154452624.00
2015/01/29	44.76	46.00	43.82	43.95	2709131	121535608.00
2015/01/30	43.68	44.10	40.69	40.69	2980204	125657408.00
2015/02/02	40.30	41.61	40.00	40.77	1359870	55879216.00
2015/02/03	40.52	42.59	40.52	42.00	1922365	80645512.00
2015/02/04	41.65	42.63	41.48	42.15	1735424	73104736.00
2015/02/05	42.10	42.79	41.52	41.52	1378086	58097128.00
2015/02/06	41.28	41.42	38.64	39.18	2031959	80192384.00
2015/02/09	38.91	39.40	38.61	38.83	1210313	46993396.00
2015/02/10	38.79	39.48	38.55	39.48	965225	37686124.00
2015/02/11	39.22	39.75	38.90	39.57	928086	36430560.00
2015/02/12	39.57	40.78	39.41	40.43	1231200	49502552.00
2015/02/13	40.58	41.99	40.58	41.70	1396765	57933088.00
2015/02/16	41.52	44.50	41.13	42.76	1434346	60042136.00
2015/02/17	42.70	43.20	41.89	42.44	1169016	49521020.00
2015/02/25	42.36	42.36	38.20	40.67	918631	37636976.00
2015/02/26	40.67	41.60	40.11	41.15	915492	37611688.00
2015/02/27	40.95	41.45	40.61	41.29	822719	33802108.00
2015/03/02	41.28	42.64	41.10	42.53	1324150	55780892.00
2015/03/03	42.01	42.10	41.23	41.29	1238949	51702392.00
2015/03/04	41.00	42.25	40.81	42.15	1272655	53201400.00
2015/03/05	41.94	42.58	41.10	42.51	1552427	65063928.00
2015/03/06	42.50	42.59	41.22	41.35	1047897	43625148.00
2015/03/09	40.85	40.94	40.00	40.58	1296867	52436324.00
2015/03/10	40.55	41.45	40.36	41.39	943511	38822888.00
2015/03/11	41.09	41.50	40.77	40.91	839335	34515660.00
2015/03/12	40.99	41.50	40.30	40.95	842679	34513456.00
2015/03/13	41.11	43.65	41.00	43.36	2196850	94086960.00
2015/03/16	43.64	46.28	43.64	45.36	2357354	106285488.00
2015/03/17	45.37	47.49	44.66	46.60	2287593	104910992.00
2015/03/18	46.58	48.20	46.02	47.43	2059598	97679264.00
2015/03/19	47.52	49.78	47.06	49.38	2309100	110804760.00
2015/03/20	49.38	54.32	49.38	53.00	2689547	141168784.00
2015/03/23	53.23	58.30	53.23	58.19	2311050	128809048.00
2015/03/25	64.01	64.01	64.01	64.01	438950	28097190.00
2015/03/26	69.98	69.98	65.29	66.16	4770699	323055040.00
2015/03/27	65.30	67.00	61.52	63.60	2934911	186393456.00
2015/03/30	62.51	65.24	59.70	60.67	2269294	140959568.00
2015/03/31	61.77	66.08	60.80	64.71	2340005	149740960.00
2015/04/01	63.57	68.68	63.20	67.66	2383151	159461680.00
2015/04/02	68.10	69.98	66.28	67.81	2070185	140515872.00
2015/04/03	67.60	74.59	66.92	74.59	2490172	181791200.00
2015/04/07	80.00	82.05	77.83	78.99	3219571	258014416.00
2015/04/08	79.80	86.89	77.11	86.89	2844052	235668816.00
2015/04/09	86.48	90.20	78.50	89.80	3087941	261377568.00
2015/04/10	86.01	98.78	86.00	98.00	2346827	218625728.00
