300426 唐德影视 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/02/17	27.40	32.88	27.40	32.88	9200	297838.00
2015/02/25	36.17	36.17	36.17	36.17	3100	112127.00
2015/02/26	39.79	39.79	39.79	39.79	3600	143244.00
2015/02/27	43.77	43.77	43.77	43.77	5400	236358.00
2015/03/02	48.15	48.15	48.15	48.15	4000	192600.00
2015/03/03	52.97	52.97	52.97	52.97	21250	1125612.50
2015/03/04	58.27	58.27	58.27	58.27	35949	2094748.25
2015/03/05	64.10	64.10	64.10	64.10	44350	2842835.00
2015/03/06	70.51	70.51	70.51	70.51	131950	9303794.00
2015/03/09	77.56	77.56	77.56	77.56	396121	30723144.00
2015/03/10	85.32	85.32	82.36	85.32	11184605	950578688.00
2015/03/11	85.00	93.77	83.03	87.98	10745196	939072960.00
2015/03/12	84.45	86.19	80.00	81.89	5872574	488410912.00
2015/03/13	83.00	86.13	82.24	84.04	3895798	328038592.00
2015/03/16	85.50	89.97	84.50	85.51	4590640	397037984.00
2015/03/17	84.94	86.70	83.18	84.97	3875058	327545504.00
2015/03/18	84.60	86.82	83.70	86.03	3326532	284514016.00
2015/03/19	86.00	92.99	85.51	90.19	4936940	438971264.00
2015/03/20	88.77	92.88	87.05	88.60	4028257	359619040.00
2015/03/23	88.50	91.15	87.80	90.78	3297343	294546848.00
2015/03/24	91.20	99.86	89.03	99.86	5830515	545088640.00
2015/03/25	101.99	108.50	99.40	102.11	5279219	546211200.00
2015/03/26	98.22	100.96	92.00	93.88	4018408	388835520.00
2015/03/27	92.80	95.99	92.50	94.95	1769975	167250336.00
2015/03/30	93.76	97.99	89.20	90.57	2507228	230921520.00
2015/03/31	90.30	92.44	89.50	91.15	1669086	151887632.00
2015/04/01	91.30	91.88	90.50	91.31	1499943	136730112.00
2015/04/02	91.79	93.31	91.08	92.97	1709336	157691952.00
2015/04/03	92.59	96.99	91.77	95.95	2593634	245544800.00
2015/04/07	95.80	98.88	94.70	97.86	2137864	207388880.00
2015/04/08	97.87	98.60	92.11	95.35	2737955	261061520.00
2015/04/09	95.00	104.78	94.53	103.93	3822931	380842816.00
2015/04/10	101.11	102.90	99.85	100.70	2464200	248983696.00
2015/04/13	100.32	104.38	97.00	101.28	2263150	228730432.00
2015/04/14	100.88	111.41	100.18	111.41	3094165	334812096.00
2015/04/15	111.99	112.90	100.27	100.27	3395186	356582080.00
2015/04/16	96.00	99.30	92.88	97.00	2456439	237178592.00
2015/04/17	97.00	98.97	95.43	96.02	1848764	179058352.00
2015/04/20	96.00	96.90	90.70	91.27	2899117	271092640.00
2015/04/21	91.06	95.50	91.06	95.21	2221762	207935440.00
2015/04/22	95.20	98.49	95.18	97.89	2324617	224628528.00
2015/04/23	97.89	98.68	95.88	97.76	2086117	202845056.00
2015/04/24	96.03	105.68	95.50	103.66	3337943	339612576.00
2015/04/27	104.01	112.00	102.70	103.50	3039516	323631680.00
2015/04/28	103.00	105.88	98.34	100.10	2252084	227380928.00
2015/04/29	98.68	107.00	97.80	104.81	2767542	286092608.00
2015/04/30	106.40	114.99	106.30	108.37	3868098	425686592.00
2015/05/04	107.23	116.50	102.02	115.50	3471921	386630560.00
2015/05/05	113.50	125.40	112.63	118.68	3453460	416408608.00
2015/05/06	119.00	126.66	115.00	116.50	3614962	439543840.00
2015/05/07	115.05	122.00	113.80	119.90	2239184	264598592.00
2015/05/08	124.00	131.89	120.70	131.89	3444130	439773088.00
2015/05/11	136.08	145.08	134.50	143.90	4081648	575387712.00
2015/05/12	143.00	154.89	139.91	149.80	4258013	616364160.00
2015/05/13	143.88	149.78	141.00	143.91	2837133	411974464.00
2015/05/14	142.51	150.49	142.50	143.00	2616950	382454944.00
2015/05/15	139.00	148.60	134.35	145.19	2759807	388382080.00
2015/05/18	145.50	159.71	144.71	159.71	3268733	507338560.00
2015/05/19	159.71	175.68	153.87	171.58	3338786	542677952.00
2015/05/20	169.70	185.02	166.66	175.52	2624697	466759168.00
2015/05/21	175.52	180.00	170.00	176.32	1792925	314970816.00
2015/05/22	180.00	181.00	166.52	170.09	2032469	349758752.00
2015/05/25	163.00	168.80	159.26	164.42	2037006	333813088.00
2015/05/26	164.00	178.98	163.08	176.28	2093614	364272960.00
2015/05/27	177.50	189.00	167.00	188.00	3275031	579277120.00
2015/05/28	185.61	201.96	173.50	173.50	3168670	606312640.00
2015/05/29	171.78	181.00	162.00	173.30	2572694	445531200.00
2015/06/01	178.98	179.00	170.50	175.00	1800122	314831648.00
2015/06/02	174.68	176.86	168.01	170.34	1784325	304930528.00
2015/06/03	169.90	175.65	166.38	170.85	1483983	252980032.00
2015/06/04	168.38	170.38	153.77	160.00	2350570	375010016.00
2015/06/05	163.00	165.95	158.08	160.33	1559675	252706048.00
2015/06/08	160.00	160.00	144.45	147.98	2242512	336477952.00
2015/06/09	146.96	153.55	146.02	151.58	1136718	171315376.00
2015/06/10	151.05	164.55	148.75	162.20	1892519	300057248.00
2015/06/11	161.86	163.98	159.51	161.79	1242347	201292208.00
2015/06/12	161.73	162.88	150.00	156.37	1623216	255466864.00
2015/06/15	153.99	153.99	140.73	140.73	1812280	264230848.00
2015/06/16	134.00	145.00	132.20	140.85	1660680	229295344.00
2015/06/17	140.05	146.00	139.74	144.72	1620903	232614864.00
2015/06/18	145.00	159.00	143.83	146.80	2582589	393452448.00
2015/06/19	140.00	156.98	138.05	150.00	2003401	304029856.00
2015/06/23	156.00	165.00	155.01	165.00	2565306	412935072.00
2015/06/24	173.00	175.80	156.20	168.80	3944387	664667968.00
2015/06/25	163.80	169.00	155.20	159.00	2091908	340698944.00
2015/06/26	155.01	155.13	143.10	143.10	2105916	309624768.00
2015/06/29	146.02	146.03	128.79	128.79	1899492	250624832.00
2015/06/30	120.28	136.52	115.91	133.60	2554702	321214240.00
2015/07/01	143.00	146.96	136.66	138.63	4006435	575339136.00
2015/07/02	134.90	142.97	124.77	124.77	2433409	321655072.00
2015/07/03	120.00	129.99	112.29	112.29	3062478	357502048.00
2015/07/06	123.52	123.52	101.06	101.06	3121349	343912320.00
2015/07/07	91.30	98.38	90.95	90.95	1292881	119209552.00
2015/07/09	83.00	100.05	83.00	100.05	3312177	309241152.00
2015/07/10	105.84	110.06	103.18	110.06	1720421	186786096.00
2015/07/13	117.00	121.07	113.00	121.07	2912566	344479008.00
2015/07/14	122.77	131.50	118.01	122.80	3843812	477245632.00
2015/07/15	117.00	120.00	110.52	110.52	1890262	215890272.00
2015/07/16	106.00	117.88	99.47	112.60	2508963	274788000.00
2015/07/17	112.90	123.86	112.90	123.75	2436724	291311392.00
2015/07/20	127.00	134.77	120.01	129.00	3061212	396388128.00
2015/07/21	127.00	135.87	125.00	132.93	2465218	323741984.00
2015/07/22	132.50	134.10	127.50	131.45	3065047	401887680.00
2015/07/23	131.38	144.58	130.50	141.69	2834397	392533824.00
2015/07/24	140.90	148.05	137.50	138.88	2986457	425144992.00
2015/07/27	134.00	148.55	126.00	127.01	3212391	452226944.00
2015/07/28	119.78	133.50	118.88	127.48	2578811	324003360.00
2015/07/29	130.08	133.27	114.90	132.54	2838241	354935072.00
2015/07/30	129.00	131.50	122.11	123.00	2172146	278045376.00
2015/07/31	119.84	125.60	115.12	118.20	1443936	174521200.00
2015/08/03	116.00	117.98	106.38	106.70	2247291	245460032.00
2015/08/04	108.80	116.50	105.01	116.37	1885782	208761536.00
2015/08/05	116.38	117.50	109.66	110.91	1792133	203597760.00
2015/08/06	106.00	110.50	104.75	106.87	1152057	123893384.00
2015/08/07	108.01	114.80	108.01	113.15	1539280	172646032.00
2015/08/10	115.41	124.47	114.02	124.47	2204795	265269616.00
2015/08/11	125.10	129.80	123.88	125.50	2094208	265438752.00
2015/08/12	124.01	126.49	120.32	120.48	1272073	157239216.00
2015/08/13	120.00	123.89	117.19	123.20	1203015	145726864.00
2015/08/14	124.60	125.78	121.09	122.30	1217249	150000048.00
2015/08/17	122.80	123.60	116.50	117.93	1248481	147870928.00
2015/08/18	117.02	119.92	106.14	106.16	1585048	178950432.00
2015/08/19	103.99	112.88	101.00	112.70	1570909	168940672.00
2015/08/20	110.16	112.78	107.20	108.02	965092	105893696.00
2015/08/21	106.20	107.93	101.63	102.51	1039767	108830056.00
