300439 美康生物 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/04/22	36.31	39.61	36.31	39.61	17940	708953.38
2015/04/23	43.57	43.57	43.57	43.57	4700	204779.00
2015/04/24	47.93	47.93	47.93	47.93	12000	575160.00
2015/04/27	52.72	52.72	52.72	52.72	9200	485024.00
2015/04/28	57.99	57.99	57.99	57.99	25000	1449750.00
2015/04/29	63.79	63.79	63.79	63.79	32600	2079554.00
2015/04/30	70.17	70.17	70.17	70.17	42200	2961174.00
2015/05/04	77.19	77.19	77.19	77.19	52950	4087210.50
2015/05/05	84.91	84.91	84.91	84.91	238660	20264620.00
2015/05/06	93.40	93.40	93.40	93.40	326409	30486600.00
2015/05/07	102.72	102.74	94.07	102.74	15863148	1576132480.00
2015/05/08	113.01	113.01	113.01	113.01	521686	58955736.00
2015/05/11	124.31	124.31	124.31	124.31	92888	11546907.00
2015/05/12	136.74	136.74	136.74	136.74	68780	9404977.00
2015/05/13	150.41	150.41	150.41	150.41	844409	127007560.00
2015/05/14	165.45	165.45	165.45	165.45	411773	68127840.00
2015/05/15	178.00	182.00	156.69	182.00	8306601	1469651840.00
2015/05/18	197.00	200.20	189.28	200.20	1470748	290461600.00
2015/05/19	220.22	220.22	190.66	202.09	9394253	1950201856.00
2015/05/20	201.00	222.18	201.00	214.98	6800348	1445442432.00
2015/05/21	207.00	208.88	193.48	194.00	5757604	1155624832.00
2015/05/22	197.00	213.40	194.33	213.40	6789091	1396532224.00
2015/05/25	192.06	208.40	192.06	192.30	6208945	1219040512.00
2015/05/26	191.41	202.00	191.21	195.48	5344615	1051450176.00
2015/05/27	199.00	215.03	196.05	215.03	7681840	1611217536.00
2015/05/28	218.00	236.53	193.55	194.20	9781135	2255532032.00
2015/05/29	178.00	203.87	174.78	185.98	8136520	1515703424.00
2015/06/01	185.37	192.00	170.50	178.84	4610395	825039616.00
2015/06/02	183.06	192.33	179.00	184.40	3767382	695339200.00
2015/06/03	180.98	186.07	176.00	181.80	3730574	673394688.00
2015/06/04	178.80	181.60	163.62	166.89	4374849	738208256.00
2015/06/05	169.90	174.90	156.68	161.76	3876748	638572864.00
2015/06/08	161.00	161.00	147.00	150.17	3768882	576377024.00
2015/06/09	152.00	160.60	151.00	157.70	2214962	345150400.00
2015/06/10	156.00	171.50	156.00	164.98	3375042	556491264.00
2015/06/11	161.00	168.00	159.63	164.00	2431480	398195712.00
2015/06/12	163.70	165.70	153.90	153.95	2588049	408756864.00
2015/06/15	151.00	151.02	138.70	138.70	3731458	535949568.00
