300477 合纵科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/10	12.73	15.28	12.73	15.28	6400	96892.00
2015/06/11	16.81	16.81	16.81	16.81	1500	25215.00
2015/06/12	18.49	18.49	18.49	18.49	1900	35131.00
2015/06/15	20.34	20.34	20.34	20.34	2200	44748.00
2015/06/16	22.37	22.37	22.37	22.37	1700	38029.00
2015/06/17	24.61	24.61	24.61	24.61	3900	95979.00
2015/06/18	27.07	27.07	27.07	27.07	5600	151592.00
2015/06/19	29.78	29.78	29.78	29.78	74825	2228288.50
2015/06/23	32.76	32.76	32.76	32.76	14900	488124.00
2015/06/24	36.04	36.04	36.04	36.04	5200	187408.00
2015/06/25	39.64	39.64	39.64	39.64	12800	507392.00
2015/06/26	43.60	43.60	42.16	43.60	4834185	210697760.00
2015/06/29	42.00	42.00	39.24	39.24	1499909	59916800.00
2015/06/30	35.32	42.60	35.32	39.57	11068743	405779648.00
2015/07/01	35.61	42.85	35.61	36.40	11455344	445280544.00
2015/07/02	34.06	35.36	32.76	32.76	5963620	200975456.00
2015/07/03	30.82	32.89	29.48	29.48	5269296	159253792.00
2015/07/06	32.43	32.43	26.54	28.43	6246635	189184336.00
2015/07/07	27.13	27.45	25.59	25.59	2566800	66895540.00
2015/07/08	23.03	24.78	23.03	23.03	6249815	145808560.00
2015/07/09	23.50	25.33	23.50	25.33	2225942	55007732.00
2015/07/10	27.86	27.86	27.86	27.86	329000	9165940.00
2015/07/13	30.65	30.65	30.65	30.65	721610	22117346.00
2015/07/14	33.00	33.72	32.10	33.72	4678545	156475712.00
2015/07/15	34.00	35.40	30.35	30.64	8671532	286794528.00
2015/07/16	28.50	33.50	27.81	32.41	5701448	178047600.00
2015/07/17	32.20	35.65	31.61	35.65	4623380	158655040.00
2015/07/20	36.70	37.48	34.30	36.30	6255924	224599696.00
2015/07/21	35.25	38.80	34.81	38.00	4797521	177034608.00
2015/07/22	37.21	39.00	36.18	37.76	4433625	166015936.00
2015/07/23	37.86	41.54	37.46	41.54	5915432	238253376.00
2015/07/24	42.00	44.98	40.50	41.10	8545123	367751040.00
2015/07/27	39.18	42.30	36.99	36.99	5237463	208110864.00
2015/07/28	33.91	37.79	33.29	34.90	5102863	178578416.00
2015/07/29	36.00	38.39	33.33	38.39	4622099	167013520.00
2015/07/30	38.40	41.95	37.00	37.80	6408541	252539360.00
2015/07/31	36.60	41.15	36.23	39.96	6310308	245791888.00
2015/08/03	39.60	43.96	38.42	43.96	8694043	360136224.00
2015/08/04	45.50	48.36	39.56	44.00	11580562	513366592.00
2015/08/05	42.03	48.40	40.13	48.40	10117210	467296768.00
2015/08/14	48.52	51.88	44.60	47.50	11190365	526475744.00
2015/08/17	45.88	46.60	42.75	42.75	5695977	248683088.00
2015/08/18	40.89	46.00	39.00	40.00	6092743	260496480.00
2015/08/19	39.18	42.68	36.61	41.38	5181190	205173184.00
2015/08/20	40.38	42.38	38.88	39.33	4016714	164219312.00
2015/08/21	37.00	41.00	37.00	37.05	3051991	117895584.00
2015/08/24	35.15	36.80	33.35	33.35	2249900	76143008.00
2015/08/25	30.02	33.80	30.02	30.02	4303881	134109928.00
2015/08/26	31.20	33.00	28.31	30.85	4820541	151782800.00
2015/08/27	31.60	32.88	29.34	31.95	3444242	107575776.00
2015/08/28	32.70	34.25	31.31	34.00	3739667	122375040.00
2015/08/31	33.52	33.88	31.09	31.70	3054233	99009032.00
2015/09/01	31.30	31.59	28.53	28.53	2350725	69132832.00
2015/09/02	26.26	29.55	26.15	27.30	2570288	70588456.00
2015/09/07	28.00	29.18	27.48	27.90	1990049	56583944.00
2015/09/08	27.77	30.69	27.53	30.69	3201302	95242168.00
2015/09/09	30.90	33.60	30.69	32.30	3248276	104568184.00
2015/09/10	31.20	35.47	31.12	34.69	4745451	159886000.00
2015/09/11	33.80	34.66	33.30	34.40	2046904	69694280.00
2015/09/14	34.90	34.90	30.96	30.96	1930334	62601812.00
2015/09/15	29.58	30.50	27.86	28.07	2194309	63027012.00
2015/09/16	28.50	30.88	28.29	30.87	3912328	115149336.00
2015/09/17	30.84	31.99	29.60	30.90	3869610	119663600.00
2015/09/18	30.99	31.95	30.51	31.55	1887371	58701508.00
2015/09/21	30.59	34.00	30.59	33.52	3213551	104885216.00
2015/09/22	33.88	34.88	33.07	33.70	3642179	124403656.00
2015/09/23	32.70	35.39	32.00	35.08	5946599	200410800.00
2015/09/24	35.17	36.54	34.60	35.26	3758629	133837152.00
2015/09/25	34.88	35.46	32.51	33.50	2414474	81737120.00
2015/09/28	33.30	35.92	33.00	35.55	2360249	81539872.00
2015/09/29	34.74	35.48	33.82	34.97	1705174	59022736.00
2015/09/30	34.80	35.20	34.01	34.76	1072790	37243168.00
2015/10/08	35.90	36.94	35.22	36.35	2663610	96889328.00
2015/10/09	36.10	36.76	35.88	36.70	1585186	57599452.00
2015/10/12	37.40	39.48	37.00	38.70	2521696	96486616.00
2015/10/13	38.49	38.67	38.01	38.50	1727857	66288320.00
2015/10/14	39.02	41.57	38.64	38.73	3631607	145095360.00
2015/10/15	38.10	40.29	38.03	40.00	2361705	92912592.00
2015/10/16	40.90	42.30	40.07	41.12	2834870	116396872.00
2015/10/19	40.71	41.48	38.86	39.70	1994523	79733376.00
2015/10/20	39.80	40.37	39.13	40.19	1798528	71635840.00
2015/10/21	40.12	40.12	36.17	36.20	3870055	146616512.00
2015/10/22	36.20	37.44	34.76	37.15	2563815	93273120.00
2015/10/23	37.79	38.40	37.15	38.32	1930281	73070168.00
2015/10/26	38.60	41.90	38.58	41.90	4219049	170774992.00
2015/10/27	40.75	42.00	39.50	41.00	3321009	136185024.00
2015/10/28	41.33	42.15	40.55	41.00	2919665	121160144.00
2015/10/29	41.76	42.57	40.58	41.95	3056613	127324984.00
2015/10/30	41.98	42.00	40.40	41.20	2700131	111534624.00
2015/11/02	40.40	44.19	39.72	41.50	4195765	177743952.00
2015/11/03	41.50	44.37	40.00	43.65	4768158	202266976.00
2015/11/04	43.83	46.00	43.01	45.52	5056683	225261376.00
2015/11/05	44.72	46.64	44.42	44.94	3890190	176307872.00
2015/11/06	45.20	48.45	45.20	47.98	4339978	204348368.00
2015/11/09	48.09	51.65	46.30	50.00	5791329	287792800.00
2015/11/10	49.91	54.88	48.88	54.08	5291435	272011328.00
2015/11/11	53.97	58.88	52.98	58.11	6049197	340460352.00
2015/11/12	57.00	61.00	55.50	60.18	6537602	383294016.00
2015/11/13	59.03	59.03	54.16	54.16	5506923	306661664.00
2015/11/16	50.20	54.70	50.11	53.18	3634824	191683472.00
2015/11/17	54.20	54.77	50.81	51.00	3079257	164144896.00
2015/11/18	52.15	52.35	47.52	48.20	3138692	154695456.00
2015/11/19	48.35	52.30	48.35	52.20	2893625	144871536.00
2015/11/20	52.19	53.28	50.11	51.97	2800488	145458832.00
2015/11/23	51.30	52.67	49.58	49.88	2342822	119963752.00
2015/11/24	49.60	54.87	49.60	54.87	4051790	213610752.00
2015/11/25	55.82	55.82	53.50	54.90	4002648	219029712.00
2015/11/26	55.49	57.97	54.22	56.36	4154462	233726336.00
2015/11/27	55.41	58.88	53.65	54.20	5180423	293877408.00
2015/11/30	55.00	59.30	52.55	58.27	4604822	257445648.00
2015/12/01	57.80	60.40	53.51	56.30	4997193	289259936.00
2015/12/02	55.01	55.83	50.67	52.58	3379431	177513456.00
2015/12/03	52.86	55.73	52.80	55.45	2598377	141742208.00
2015/12/04	55.05	58.06	54.84	57.00	3646571	205829344.00
2015/12/07	56.97	57.48	55.01	55.97	2128561	118968992.00
2015/12/08	55.90	59.50	55.31	57.93	4129975	236956704.00
2015/12/09	57.21	57.60	53.85	54.80	3250575	179419152.00
2015/12/10	54.96	55.20	52.75	52.95	2039529	109282408.00
2015/12/11	52.95	54.40	52.71	52.81	1170918	62457420.00
2015/12/14	52.70	54.10	50.92	54.00	1609644	84179576.00
2015/12/15	53.66	54.89	52.90	53.01	1364920	73603560.00
2015/12/16	53.50	55.20	53.50	54.80	2243310	122269072.00
2015/12/17	54.98	57.42	54.98	57.39	3072000	173414304.00
2015/12/18	57.10	57.40	54.85	55.34	1989796	111194344.00
2015/12/21	55.02	56.18	54.19	55.50	1503578	83029024.00
2015/12/22	55.86	57.28	55.33	56.79	1684316	95049504.00
2015/12/23	57.48	62.00	57.00	57.55	3763537	222701920.00
2015/12/24	56.00	61.58	55.55	60.70	4309508	255328480.00
2015/12/25	60.13	60.79	58.01	59.72	3231570	192339280.00
2015/12/28	59.25	59.84	55.00	55.17	3065451	175894352.00
2015/12/29	55.05	56.31	54.53	56.23	1726608	95899304.00
2015/12/30	56.20	56.55	54.87	55.81	1465305	81600912.00
2015/12/31	55.78	56.15	53.00	53.00	1575799	85614928.00
2016/01/04	52.21	53.28	47.70	47.72	1482770	73246824.00
2016/01/05	43.69	47.69	43.69	46.39	2374246	108361912.00
2016/01/06	46.69	48.99	45.88	48.60	1925721	91041520.00
2016/01/07	47.40	47.40	43.74	43.80	451800	20409352.00
2016/01/08	45.11	45.78	40.80	43.60	1584546	70317576.00
2016/01/11	42.62	43.97	39.24	39.24	1816254	74689968.00
2016/01/12	39.25	40.81	39.01	40.16	1320543	52844296.00
2016/01/13	40.51	40.86	37.50	37.70	1641794	64274480.00
2016/01/14	36.95	40.38	36.00	39.93	1598250	61477016.00
2016/01/15	39.75	40.67	37.35	38.24	1403056	54949868.00
2016/01/18	36.90	41.22	36.90	40.78	2051429	82116840.00
2016/01/19	40.77	44.10	40.13	43.99	2268686	96447184.00
2016/01/20	43.59	44.38	43.05	43.50	1468529	64078972.00
2016/01/21	43.10	45.88	43.10	43.56	2171822	96996472.00
2016/01/22	44.23	44.98	43.30	44.78	1178117	52223316.00
2016/01/25	45.15	46.20	44.30	45.27	1194502	54062928.00
2016/01/26	45.20	46.68	42.10	42.74	2522441	112720448.00
2016/01/27	42.90	46.87	42.51	46.86	2525335	111823288.00
2016/01/28	45.93	45.93	42.17	42.17	1762531	77750984.00
2016/01/29	41.02	45.02	38.33	43.47	2444109	102558480.00
2016/02/01	45.99	46.19	43.47	44.02	3868799	173637280.00
2016/02/02	43.30	45.75	43.30	45.09	2573296	116043000.00
2016/02/03	44.41	44.66	43.20	44.18	1604042	70286840.00
2016/02/04	44.41	45.68	44.39	45.20	2186460	98738208.00
2016/02/05	46.27	47.20	45.13	45.90	3170766	147086848.00
2016/02/15	43.50	45.83	43.27	45.51	1425156	63703200.00
2016/02/16	45.55	47.90	45.55	47.46	2056074	96976864.00
2016/02/17	47.11	49.48	46.93	48.90	3036594	144899616.00
2016/02/18	48.89	49.47	47.80	48.23	2606175	126991680.00
2016/02/19	48.25	49.43	47.96	48.99	2010301	98258408.00
2016/02/22	49.74	49.95	48.99	49.55	1717819	84892672.00
2016/02/23	49.60	51.17	48.68	49.23	2295267	114737416.00
2016/02/24	49.00	49.35	46.25	47.69	2186853	104007744.00
2016/02/25	47.77	47.98	42.92	42.92	2239019	99839008.00
2016/02/26	43.00	43.90	41.02	42.55	1415431	60637168.00
2016/02/29	42.00	42.00	38.30	38.50	1509645	59161216.00
2016/03/01	38.95	40.96	38.10	40.10	1309204	51619856.00
2016/03/02	40.00	42.49	39.50	42.10	1473549	60960512.00
2016/03/03	42.14	42.99	40.85	41.62	1333541	56106248.00
2016/03/04	41.02	41.90	38.80	39.56	1393153	56124440.00
2016/03/07	40.49	41.46	40.14	40.79	886464	36313412.00
2016/03/08	40.50	41.50	38.31	41.33	1207504	48154336.00
2016/03/09	40.70	41.50	40.06	40.71	738914	30169648.00
2016/03/10	40.72	41.43	40.00	40.30	697300	28414178.00
2016/03/11	40.36	41.09	39.10	40.68	682030	27555764.00
2016/03/14	41.80	43.95	41.00	43.24	1917795	82603032.00
2016/03/15	43.15	43.30	42.22	42.35	895893	38288496.00
2016/03/16	42.99	43.81	41.23	41.75	801999	33930532.00
2016/03/17	41.78	44.00	41.78	43.71	1730097	74944624.00
2016/03/18	43.71	45.98	43.57	45.60	1881045	84976920.00
2016/03/21	46.19	46.92	45.38	46.75	1927066	88723584.00
2016/03/22	46.42	47.68	46.01	47.05	1592892	74525840.00
2016/03/23	46.70	51.00	46.52	49.30	3250751	157649040.00
2016/03/24	48.49	54.19	48.02	51.98	4709469	240161824.00
2016/03/25	52.00	52.76	48.32	50.40	2790394	141649536.00
2016/03/28	49.85	51.76	48.68	48.90	1695545	84943424.00
2016/03/29	48.80	49.39	47.38	47.94	1618046	77908728.00
2016/03/30	48.66	51.51	48.60	51.39	2170174	109032744.00
2016/03/31	51.58	53.50	51.56	51.69	2603762	136428672.00
2016/04/01	51.69	53.78	51.11	53.29	2483794	130534808.00
2016/04/05	53.55	54.57	52.66	53.81	2635159	141621744.00
2016/04/06	53.99	57.16	53.00	57.00	3725237	204047488.00
2016/04/07	56.50	56.70	54.50	54.50	2736415	151710176.00
2016/04/08	53.19	53.99	51.48	52.56	2158351	113813992.00
2016/04/11	52.67	53.98	52.65	53.17	1967776	104915872.00
2016/04/12	53.00	53.00	49.89	50.39	2223392	113485264.00
2016/04/13	50.50	52.75	50.50	51.45	1595395	82584544.00
2016/04/14	51.67	53.11	51.67	53.04	1809361	94910368.00
2016/04/15	52.99	53.00	52.00	52.58	1560824	81811848.00
2016/04/18	53.84	56.00	53.32	54.10	3555905	194413696.00
2016/04/19	53.90	55.36	53.41	54.29	2278133	123639784.00
2016/04/20	54.50	58.00	51.30	55.24	4107345	224642944.00
2016/04/21	54.07	54.94	52.70	52.70	2439321	131406472.00
2016/04/22	51.77	52.28	50.88	51.75	1782110	91885032.00
2016/04/25	51.77	52.66	50.11	52.01	1403152	72301528.00
2016/04/26	51.30	51.86	49.55	51.43	1995034	100966560.00
2016/04/27	50.88	51.50	50.01	50.01	1184834	60137932.00
2016/04/28	50.12	50.53	48.52	50.30	1216957	60454864.00
2016/04/29	49.98	53.30	49.55	51.36	1424829	73196992.00
2016/05/03	51.01	53.50	50.80	53.24	1563145	81703464.00
2016/05/04	52.75	55.80	52.73	54.58	2071386	111931768.00
2016/05/05	54.21	57.58	54.03	57.41	3379455	190923584.00
2016/05/06	57.20	58.62	54.46	54.65	3774489	213062848.00
2016/05/09	54.02	58.85	54.00	55.74	3758149	211976720.00
2016/05/10	55.14	55.88	51.81	52.21	2643140	141754640.00
2016/05/11	52.40	54.66	52.19	52.81	2292256	122492136.00
2016/05/12	50.90	51.80	49.02	51.18	1795370	90226712.00
2016/05/13	50.99	51.97	49.50	49.50	1560309	78816800.00
2016/05/16	49.00	51.89	48.92	51.82	1673409	84703512.00
2016/05/17	51.50	55.20	50.52	53.86	2515655	131797128.00
2016/05/18	52.50	52.55	49.20	49.80	1863693	94260552.00
2016/05/19	49.85	51.88	49.85	50.47	1277842	65278232.00
2016/05/20	49.51	52.80	49.01	52.70	1900323	97649824.00
2016/05/23	52.99	55.50	52.99	54.36	3020696	164389616.00
2016/05/24	54.20	59.80	53.68	59.80	7126939	406677056.00
2016/05/25	61.05	64.88	60.84	60.98	9100697	565822016.00
2016/05/26	59.31	62.59	59.31	62.15	6955294	423967808.00
2016/05/27	62.26	64.53	61.01	61.20	5892350	367268800.00
2016/05/30	59.00	59.56	56.88	57.15	3968409	229946512.00
2016/05/31	57.50	62.80	57.00	61.12	5483615	327710912.00
2016/06/01	61.00	65.61	60.61	62.59	5881276	372610848.00
2016/06/02	62.70	68.85	62.40	68.85	5421163	361474976.00
2016/06/03	72.58	75.74	71.25	75.74	8281632	613526784.00
2016/06/06	75.99	75.99	71.51	73.45	8325750	611164352.00
2016/06/07	73.00	76.80	71.57	74.65	9646957	717065984.00
2016/06/08	72.96	72.99	67.30	69.20	7832098	546898880.00
2016/06/13	64.01	64.98	62.28	62.28	6474195	410831104.00
2016/06/14	59.20	61.49	59.00	60.60	6181332	371597856.00
2016/06/15	59.07	65.00	59.07	63.90	7186828	454530272.00
2016/06/16	65.59	66.69	62.70	62.80	7505043	485541312.00
2016/06/17	62.30	65.66	62.30	64.99	6052798	389638784.00
2016/06/20	65.88	66.93	64.05	65.40	5228036	340780288.00
2016/06/21	65.74	65.78	59.24	60.10	7431558	462823136.00
2016/06/22	60.59	62.70	58.23	62.66	5035981	305134112.00
2016/06/23	62.70	62.70	59.58	60.05	3909389	236975184.00
2016/06/24	23.90	24.49	22.01	23.07	11311536	267875152.00
2016/06/27	22.40	23.73	22.20	23.30	12358771	283537824.00
2016/06/28	23.30	23.69	22.85	23.47	10518190	244646080.00
2016/06/29	23.30	23.52	22.81	23.46	11610095	269651008.00
2016/06/30	23.60	25.81	23.51	25.81	25158579	620298496.00
2016/07/01	25.98	25.98	24.55	24.70	19262034	482972064.00
2016/07/04	24.50	24.50	23.00	24.40	12088227	291277632.00
2016/07/05	24.30	24.94	23.73	24.04	11932080	287835392.00
2016/07/06	23.97	23.99	23.45	23.92	8019362	190150720.00
2016/07/07	23.73	24.30	23.56	24.20	9867183	236365936.00
2016/07/08	24.21	24.53	23.86	24.12	8211347	199211312.00
2016/07/11	23.90	24.09	22.51	22.83	10086805	235118672.00
2016/07/12	22.68	22.75	21.21	22.39	9840255	217279856.00
2016/07/13	22.25	23.29	22.20	22.85	6404962	145981136.00
2016/07/14	23.00	23.00	22.50	22.64	4524950	102439080.00
2016/07/15	22.64	23.18	22.63	22.66	4929949	112896808.00
2016/07/18	22.67	22.83	22.02	22.76	4831581	108499552.00
2016/07/19	22.75	23.01	22.45	22.97	4558265	103821040.00
2016/07/20	23.01	23.88	22.90	23.61	8321372	195644864.00
2016/07/21	23.41	23.65	23.01	23.13	6254948	145408272.00
2016/07/22	23.26	23.26	22.38	22.38	4995662	113356176.00
2016/07/25	22.39	22.50	21.91	22.09	3715686	82512416.00
