300479 神思电子 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/06/12	14.54	15.87	14.54	15.87	1500	23140.00
2015/06/15	17.46	17.46	17.46	17.46	1600	27936.00
2015/06/16	19.21	19.21	19.21	19.21	1500	28815.00
2015/06/17	21.13	21.13	21.13	21.13	3500	73955.00
2015/06/18	23.24	23.24	23.24	23.24	2000	46480.00
2015/06/19	25.56	25.56	25.56	25.56	17300	442188.00
2015/06/23	28.12	28.12	28.12	28.12	2800	78736.00
2015/06/24	30.93	30.93	30.93	30.93	2100	64953.00
2015/06/25	34.02	34.02	34.02	34.02	3300	112266.00
2015/06/26	37.42	37.42	37.42	37.42	90000	3367800.00
2015/06/29	41.16	41.16	41.16	41.16	616610	25379668.00
2015/06/30	45.28	45.28	45.28	45.28	893204	40444276.00
2015/07/01	49.81	49.81	49.81	49.81	73398	3655954.50
2015/07/02	54.79	54.79	47.20	54.79	12050818	636709248.00
2015/07/03	49.31	58.00	49.31	49.35	8525037	434227904.00
2015/07/06	54.29	54.29	49.95	52.98	9890981	532053664.00
2015/07/07	47.70	50.99	47.68	47.68	1915700	91743640.00
2015/07/08	42.91	43.90	42.91	42.91	6251709	268708192.00
2015/07/09	42.20	47.20	42.20	47.20	3186996	147451856.00
2015/07/10	51.92	51.92	50.28	51.92	811850	42064972.00
2015/07/13	57.11	57.11	57.11	57.11	969283	55355752.00
2015/07/14	62.82	62.82	60.50	62.82	899778	56492596.00
2015/07/15	61.00	63.80	56.54	56.54	4748982	282278688.00
2015/07/16	50.90	61.10	50.89	56.39	3470878	193515040.00
2015/07/17	57.28	62.03	55.22	60.09	3090061	183603872.00
2015/07/20	60.00	66.10	58.50	66.10	4329560	269472704.00
2015/07/21	63.45	71.54	63.27	68.21	3901257	260486752.00
2015/07/22	67.50	73.50	65.50	72.35	3194450	221796688.00
2015/07/23	71.94	79.59	70.68	79.59	3455568	263297776.00
2015/07/24	80.50	86.00	76.10	78.30	4226177	347227360.00
2015/07/27	75.00	80.80	70.47	70.47	3078768	232747408.00
2015/07/28	65.01	72.80	63.42	65.44	3091328	205089104.00
2015/07/29	67.95	71.98	60.30	71.98	3000297	198996960.00
2015/07/30	69.50	77.70	69.01	69.35	3096954	225603888.00
2015/07/31	66.37	72.70	66.00	67.39	2529757	173518464.00
2015/08/03	65.80	68.18	60.65	61.00	2671898	170133424.00
2015/08/04	62.00	65.35	59.00	64.97	2444470	153553632.00
2015/08/05	64.00	68.65	63.00	67.02	2584519	170002960.00
2015/08/06	64.03	66.10	61.45	62.20	1739499	111326496.00
2015/08/07	63.01	67.50	62.20	66.20	1977920	129136632.00
2015/08/10	67.50	71.36	66.71	70.05	2090425	144907872.00
2015/08/11	69.90	72.98	69.22	69.89	2063861	146442944.00
2015/08/12	69.02	71.50	67.50	67.50	1659514	114415184.00
2015/08/13	66.80	68.96	65.30	68.05	1422576	95603040.00
2015/08/14	67.99	69.01	66.21	66.48	1230188	83366504.00
2015/08/17	65.43	66.40	62.15	62.78	1225658	77624048.00
2015/08/18	62.00	65.10	56.58	56.75	1673655	102695712.00
2015/08/19	55.00	57.79	51.56	57.00	1550600	85928960.00
2015/08/20	56.00	57.48	53.68	54.10	1064854	59259948.00
2015/08/21	52.20	53.32	49.01	49.60	1273400	65198728.00
2015/08/24	46.55	46.80	44.64	44.64	998900	44873736.00
2015/08/25	40.20	47.18	40.20	42.53	2046882	88713120.00
2015/08/26	44.27	46.74	42.53	43.60	2135228	95507616.00
2015/08/27	44.80	45.80	41.88	45.80	1537419	68229688.00
2015/08/28	46.60	48.43	44.20	47.94	2013658	92920664.00
2015/08/31	46.79	46.98	43.15	43.15	1407009	63771884.00
2015/09/01	41.99	41.99	38.84	38.84	1154091	45942512.00
2015/09/02	36.00	41.45	35.80	36.61	1350029	51379192.00
2015/09/07	37.42	39.80	37.42	38.39	989022	38288976.00
2015/09/08	38.10	42.11	37.77	42.10	1172361	47119660.00
2015/09/09	42.60	46.31	42.55	46.16	2094686	94093784.00
2015/09/10	45.00	46.05	44.30	44.30	977959	44018516.00
2015/09/11	44.30	46.40	44.25	45.47	1021592	46440592.00
2015/09/14	45.50	45.50	40.92	40.92	979460	42114356.00
2015/09/15	39.10	41.22	38.17	38.50	684980	26955478.00
2015/09/16	39.50	42.35	39.01	42.35	1146168	46541804.00
2015/09/17	42.88	46.59	42.00	44.30	2176076	97960992.00
2015/09/18	45.25	47.38	44.00	46.90	1804600	81805368.00
2015/09/21	46.00	49.45	45.61	49.28	1672410	79655888.00
2015/09/22	49.25	51.33	48.80	50.14	1903339	95032080.00
2015/09/23	47.96	50.80	47.95	49.30	1471753	72668592.00
2015/09/24	49.42	51.50	48.49	49.39	1161750	58055968.00
2015/09/25	49.29	49.83	45.10	45.92	1186190	56320384.00
2015/09/28	45.99	50.51	45.99	50.51	1310967	64030532.00
2015/09/29	49.40	51.75	49.30	50.69	1687435	85538024.00
2015/09/30	51.02	51.60	47.70	48.70	1486216	73259760.00
2015/10/08	50.60	52.33	49.20	51.50	1674341	85965120.00
2015/10/09	51.29	53.99	51.00	53.61	1511813	79307568.00
2015/10/12	53.60	57.79	53.58	55.60	1869021	104760144.00
2015/10/13	55.09	57.81	55.00	57.12	1341939	76120632.00
2015/10/14	56.75	60.18	55.60	58.72	1761198	102415032.00
2015/10/15	58.60	64.59	57.58	64.59	2338308	145873248.00
2015/10/16	64.00	64.50	61.50	62.70	3552667	222119328.00
2015/10/19	62.87	66.39	62.20	62.71	2297593	147081808.00
2015/10/20	62.90	66.00	61.70	64.82	2128792	136614016.00
2015/10/21	64.02	64.75	58.34	58.34	2579673	158615264.00
2015/10/22	59.00	61.58	58.58	60.85	1963562	118290912.00
