300488 恒锋工具 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/07/01	24.13	28.96	24.13	28.96	3100	88083.00
2015/07/02	31.86	31.86	31.86	31.86	6500	207090.00
2015/07/03	35.05	35.05	35.05	35.05	28334	993106.69
2015/07/06	38.56	38.56	38.56	38.56	50434	1944735.00
2015/07/07	42.42	42.42	38.88	42.42	7684789	319024352.00
2015/07/08	38.18	44.20	38.18	39.87	6189269	250352352.00
2015/07/09	37.68	43.86	37.68	43.86	3147067	133548360.00
2015/07/10	48.25	48.25	48.25	48.25	92630	4469397.50
2015/07/13	53.08	53.08	53.08	53.08	56568	3002629.50
2015/07/14	58.39	58.39	57.39	58.39	1238139	72277576.00
2015/07/15	61.99	64.23	55.00	58.19	7334722	449299168.00
2015/07/16	52.37	60.69	52.37	53.87	4333901	240864992.00
2015/07/17	53.86	59.20	52.00	58.23	3364176	187843712.00
2015/07/20	57.00	58.98	53.68	54.98	3347595	188964704.00
2015/07/21	53.50	60.45	52.76	60.08	3430935	197674576.00
2015/07/22	58.32	60.93	57.00	59.01	2899691	171096368.00
2015/07/23	59.39	64.91	59.01	64.91	2467013	154535216.00
2015/07/24	68.00	71.40	67.03	69.12	5805606	408846592.00
2015/07/27	65.00	72.38	62.21	62.21	4922890	327367520.00
2015/07/28	58.00	67.50	55.99	62.96	3698742	223033968.00
2015/07/29	63.58	69.26	58.77	69.26	4019087	260779520.00
2015/07/30	69.26	76.19	67.01	72.97	6163708	456485408.00
2015/07/31	70.68	77.77	68.58	71.80	5231033	382109920.00
2015/08/03	70.50	71.66	65.01	66.00	3583092	244255392.00
2015/08/04	67.11	72.00	60.62	67.88	3981676	264963200.00
2015/08/05	65.89	70.99	63.31	68.00	3817609	259301488.00
2015/08/06	65.00	66.99	61.83	62.30	2711159	174522720.00
2015/08/07	63.33	65.18	62.34	64.16	1936564	124068656.00
2015/08/10	64.25	69.04	64.25	67.50	2312813	155734384.00
2015/08/11	67.00	74.25	67.00	74.25	4252316	309733792.00
2015/08/12	74.25	76.00	69.11	71.41	3552063	258516208.00
2015/08/13	69.40	72.80	67.58	70.34	2210650	154470256.00
2015/08/14	70.41	72.46	68.50	68.79	1727917	121490000.00
2015/08/17	67.20	67.88	63.01	63.65	2164547	140610560.00
2015/08/18	63.33	66.50	58.01	58.22	1808515	113446264.00
2015/08/19	57.70	60.50	53.60	59.34	2106143	120510776.00
2015/08/20	57.00	58.55	55.55	55.75	1227815	70264704.00
2015/08/21	55.84	58.47	54.01	54.82	1678158	94743544.00
2015/08/24	52.03	53.60	49.34	49.34	1280022	64017252.00
2015/08/25	44.45	51.88	44.43	44.79	2274391	106661952.00
2015/08/26	46.88	49.27	44.60	49.27	3553217	170917088.00
2015/08/27	50.53	50.97	47.02	50.25	2979888	147128480.00
2015/08/28	50.00	52.99	48.70	52.49	2328303	117753056.00
2015/08/31	50.70	51.45	47.24	47.24	1490350	73282144.00
2015/09/01	46.00	46.00	42.52	42.53	1503236	66059400.00
2015/09/02	40.50	44.97	40.50	41.36	1688929	72400080.00
2015/09/07	42.52	44.88	42.00	43.12	1498155	65078356.00
2015/09/08	41.50	47.21	41.50	47.12	1976275	89690568.00
2015/09/09	47.26	49.69	47.26	48.77	2244120	109145960.00
2015/09/10	47.49	48.64	47.02	47.10	1291883	61661340.00
2015/09/11	47.00	48.37	47.00	48.08	1023000	48943192.00
2015/09/14	48.29	48.30	43.27	43.27	1259290	56903044.00
2015/09/15	40.60	42.80	39.46	39.86	1227157	50306264.00
2015/09/16	40.99	43.85	40.16	43.85	1727939	72839592.00
2015/09/17	43.36	46.58	42.69	43.18	1950604	86898568.00
2015/09/18	43.86	44.40	42.60	43.81	1047616	45525380.00
2015/09/21	43.40	48.08	42.83	47.79	1765691	81517960.00
2015/09/22	48.00	49.86	47.68	47.96	2009093	97551744.00
2015/09/23	46.88	50.99	46.69	49.91	2556087	127185560.00
2015/09/24	49.91	50.86	48.60	49.37	1827150	91000144.00
2015/09/25	49.16	50.68	45.63	46.86	1582395	76114320.00
2015/09/28	46.99	50.67	46.30	50.45	1533473	75193496.00
2015/09/29	49.00	49.77	48.48	49.67	1217151	59894828.00
2015/09/30	49.50	50.49	48.81	49.26	992041	49224984.00
2015/10/08	50.49	52.49	50.12	51.39	1537499	79076488.00
2015/10/09	51.00	51.85	50.60	51.47	1146563	58635048.00
2015/10/12	51.91	54.69	51.52	53.49	1950084	103883216.00
2015/10/13	52.80	53.77	52.51	53.25	1031930	54797588.00
2015/10/14	53.00	56.57	52.85	53.76	1862715	101480272.00
2015/10/15	53.58	58.00	53.21	57.01	1802026	100173960.00
2015/10/16	57.50	57.87	55.60	56.50	1536385	86885848.00
2015/10/19	57.10	57.99	55.75	56.79	1278652	72780376.00
2015/10/20	56.70	58.50	55.70	58.10	1524044	86997952.00
2015/10/21	57.79	58.00	52.30	52.31	1888037	104399088.00
2015/10/22	52.52	54.50	52.06	54.20	1254304	67146272.00
2015/10/23	54.51	56.56	54.02	56.06	1281666	71073264.00
2015/10/26	57.08	58.48	56.06	57.90	1510629	86789704.00
2015/10/27	57.40	58.47	55.00	58.12	1264040	71955368.00
2015/10/28	58.30	60.88	57.79	58.00	1517949	89535800.00
2015/10/29	58.30	60.08	57.18	59.20	1466804	85881824.00
2015/10/30	59.81	60.31	57.50	59.11	1645460	97143936.00
2015/11/02	57.60	65.02	57.01	63.17	2707711	170832736.00
2015/11/03	62.30	67.60	62.30	66.19	2683854	175422288.00
2015/11/04	66.08	69.21	65.54	68.82	2330185	156644096.00
2015/11/05	68.52	71.50	67.82	69.17	2041144	142376112.00
2015/11/06	68.68	75.90	68.68	75.50	1826450	131584672.00
2015/11/09	77.00	83.05	73.69	83.05	2645523	208183488.00
2015/11/10	81.70	90.65	80.19	88.00	2714404	229958464.00
2015/11/11	88.76	96.80	86.01	96.80	2844052	266759888.00
2015/11/12	96.99	103.88	95.17	99.01	3012294	298154592.00
2015/11/13	97.03	98.08	89.11	89.11	3465401	317452832.00
2015/11/16	85.81	91.58	85.81	90.30	1880075	166512896.00
2015/11/17	90.48	94.00	87.00	87.66	2052986	186185616.00
2015/11/18	86.44	87.90	82.20	83.05	1749005	147641744.00
2015/11/19	83.20	91.10	82.05	90.80	1980724	170221392.00
2015/11/20	90.00	97.98	88.88	93.20	2135179	197462832.00
2015/11/23	91.32	93.00	86.61	89.10	2014034	180966368.00
2015/11/24	89.10	97.39	88.56	94.95	4107186	380584032.00
2015/11/25	93.70	96.69	91.50	94.44	3006311	282640128.00
2015/11/26	92.60	98.30	92.60	93.72	2334183	222461344.00
2015/11/27	92.03	102.63	91.60	98.18	3573130	344027328.00
2015/11/30	97.74	108.00	96.22	108.00	3402958	350275072.00
2015/12/01	111.80	115.49	97.28	102.00	4351546	466143168.00
2015/12/02	97.38	103.83	92.00	99.04	2529767	245745040.00
2015/12/03	98.95	104.57	98.08	101.50	1835045	186172960.00
2015/12/04	100.10	106.20	99.00	102.28	2258841	232972944.00
2015/12/07	102.40	103.00	96.37	98.28	1814057	179783440.00
2015/12/08	98.50	101.76	95.61	98.57	1905874	189312192.00
2015/12/09	96.48	98.53	91.50	91.99	2058330	193400048.00
2015/12/10	91.99	92.82	89.27	89.81	1537723	139470496.00
2015/12/11	89.80	92.50	89.28	90.25	1224193	111699232.00
2015/12/14	88.11	92.50	87.00	91.97	1239733	111813472.00
2015/12/15	91.38	94.00	91.38	91.84	946781	87635744.00
2015/12/16	92.12	96.99	92.12	94.60	1413452	134643504.00
2015/12/17	95.00	101.00	95.00	100.90	1762077	172170144.00
2015/12/18	99.85	100.90	96.06	97.21	1345423	132075088.00
2015/12/21	96.66	97.80	95.00	96.99	869154	83621688.00
2015/12/22	97.01	99.60	96.50	97.45	847575	82814456.00
2015/12/23	98.36	102.43	96.80	98.23	1612934	159913264.00
2015/12/24	97.24	103.00	97.24	102.18	1629786	163234832.00
2015/12/25	102.90	102.90	97.00	98.16	1371732	136658592.00
2015/12/28	96.94	99.16	92.00	92.00	1710162	163048480.00
2015/12/29	92.15	94.34	91.85	93.85	735719	68630960.00
2015/12/30	93.58	95.10	93.06	94.02	533361	50243304.00
2015/12/31	94.00	94.96	88.00	88.80	1032570	93197456.00
2016/01/04	88.30	88.30	79.92	79.92	819743	68383376.00
2016/01/05	74.90	81.98	74.22	79.96	999829	78249272.00
2016/01/06	80.00	83.48	79.02	83.00	878606	71685472.00
2016/01/07	80.65	80.88	74.70	74.78	283500	22082066.00
2016/01/08	77.50	78.95	70.70	76.14	931773	70776672.00
2016/01/11	74.20	75.95	68.53	68.53	973657	69957704.00
2016/01/12	69.53	71.00	68.20	69.80	802798	56059788.00
2016/01/13	70.03	71.78	65.11	65.39	945311	64978916.00
2016/01/14	62.99	69.51	62.00	69.11	1052245	69987576.00
2016/01/15	68.60	69.80	65.02	65.89	887449	60289624.00
2016/01/18	64.58	72.48	64.00	72.48	1500562	105001512.00
2016/01/19	72.48	79.68	72.00	79.00	1803468	136101744.00
2016/01/20	78.00	80.59	76.10	76.70	1741994	136293824.00
2016/01/21	76.75	79.50	71.19	71.45	1386841	105716688.00
2016/01/22	72.30	77.00	71.60	75.64	1325221	97846352.00
2016/01/25	75.14	76.45	73.00	74.20	1282061	95673504.00
2016/01/26	72.99	73.69	66.78	66.80	1265512	87904320.00
2016/01/27	67.11	70.00	63.06	68.80	1110404	74184232.00
2016/01/28	67.30	68.32	63.30	63.30	963715	64021712.00
2016/01/29	62.15	67.20	62.15	66.19	838625	54940320.00
2016/02/01	65.11	67.45	64.81	66.10	611062	40432416.00
2016/02/02	65.20	69.30	65.20	68.68	806725	55135000.00
2016/02/03	67.48	69.28	66.88	68.70	626143	42399092.00
2016/02/04	69.18	72.28	68.87	71.08	803415	57079152.00
2016/02/05	71.18	71.52	69.01	69.28	594660	41891036.00
2016/02/15	66.05	69.30	65.70	68.78	548500	36931036.00
2016/02/16	69.40	72.49	69.01	71.96	761441	54300808.00
2016/02/17	71.75	73.28	70.80	72.94	907963	65578004.00
2016/02/18	73.80	76.45	72.35	73.80	1267385	94232680.00
2016/02/19	74.19	76.57	73.10	75.61	1025602	77530080.00
2016/02/22	76.66	78.00	75.40	76.26	780418	59512228.00
2016/02/23	76.47	76.85	73.19	74.88	815701	61323704.00
2016/02/24	74.10	75.60	70.00	72.65	966228	70087568.00
2016/02/25	72.11	72.69	65.39	65.70	1167567	79821512.00
2016/02/26	66.18	68.00	64.90	66.72	606501	40445584.00
2016/02/29	66.60	66.60	60.05	60.05	902659	54763408.00
2016/03/01	60.00	61.97	57.51	61.30	647997	39036560.00
