300489 光智科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/07/01	23.18	25.29	23.18	25.29	3000	74815.00
2015/07/02	27.82	27.82	27.82	27.82	4900	136318.00
2015/07/03	30.60	30.60	30.60	30.60	19300	590580.00
2015/07/06	33.66	33.66	33.66	33.66	31983	1076547.75
2015/07/07	37.03	37.03	37.03	37.03	350197	12967795.00
2015/07/08	34.28	40.73	33.52	40.73	7245041	268373856.00
2015/07/09	41.00	44.80	41.00	44.80	1156408	50883048.00
2015/07/10	49.28	49.28	49.28	49.28	7900	389312.00
2015/07/13	54.21	54.21	54.21	54.21	18557	1005975.00
2015/07/14	59.63	59.63	59.63	59.63	23500	1401305.00
2015/07/15	65.59	65.59	64.36	65.59	5794069	379791424.00
2015/07/16	59.03	71.77	59.03	62.66	6319907	406679072.00
2015/07/17	59.99	67.88	57.01	65.58	4944810	310642816.00
2015/07/20	63.50	66.49	60.21	62.33	3831449	243256912.00
2015/07/21	60.10	68.56	60.10	68.56	2170461	143144624.00
2015/07/22	72.00	75.42	69.82	70.66	5337657	391094720.00
2015/07/23	68.92	77.73	68.69	77.73	3489297	256944000.00
2015/07/24	82.50	85.50	78.60	83.31	5877854	495546368.00
2015/07/27	77.71	86.00	74.98	74.98	4294328	345950752.00
2015/07/28	67.50	79.00	67.48	70.52	4132944	291997024.00
2015/07/29	73.00	77.57	63.91	77.57	3913381	278776384.00
2015/07/30	75.50	84.80	74.01	75.51	4229261	335568064.00
2015/07/31	72.30	80.18	70.89	75.54	3618711	275377760.00
2015/08/03	73.50	75.20	68.13	70.78	2997509	215503920.00
2015/08/04	71.02	75.88	68.50	74.01	3178986	230657648.00
2015/08/05	71.69	78.48	71.22	76.20	3494317	263252720.00
2015/08/06	74.16	79.99	73.73	73.98	3024831	231991264.00
2015/08/07	73.60	77.00	72.00	76.21	2629729	196820960.00
2015/08/10	76.21	83.83	76.21	83.83	2013585	165137440.00
2015/08/11	85.58	92.21	85.58	92.21	1610937	144828512.00
2015/08/12	96.00	100.00	90.00	91.00	4929443	467828608.00
2015/08/13	88.18	90.00	82.09	88.00	3367247	291363424.00
2015/08/14	88.02	90.97	85.12	86.15	2372568	209491904.00
2015/08/17	83.85	83.85	77.54	77.65	2634067	210281664.00
2015/08/18	78.04	84.99	73.56	76.10	2409868	192351856.00
2015/08/19	73.18	78.00	69.16	76.80	2173549	161273168.00
2015/08/20	73.50	74.90	69.58	69.64	1625973	117643768.00
2015/08/21	67.62	67.67	62.68	62.68	1654799	108111288.00
2015/08/24	59.02	60.00	56.41	56.41	1288395	73796896.00
2015/08/25	51.28	62.05	51.28	56.90	3935849	228211104.00
2015/08/26	57.75	62.59	56.00	60.89	4096119	245557568.00
2015/08/27	60.01	62.80	55.50	59.80	3084597	182013808.00
2015/08/28	60.11	65.00	60.11	64.13	2540614	157110128.00
2015/08/31	62.00	62.80	57.72	57.72	1767051	105393448.00
2015/09/01	55.50	55.52	51.95	51.95	1662050	88169768.00
2015/09/02	48.61	54.40	46.78	46.78	1781843	89589984.00
2015/09/07	48.00	51.46	48.00	51.46	2242761	114507704.00
2015/09/08	50.44	56.61	50.44	56.61	3077572	167620128.00
2015/09/09	57.00	61.00	55.90	58.68	3053824	178470928.00
2015/09/10	56.57	62.00	55.75	59.12	2478338	147706848.00
2015/09/11	58.59	60.40	57.58	59.58	1721795	101554072.00
2015/09/14	59.08	59.45	53.62	53.62	1294220	72967864.00
2015/09/15	50.90	52.19	48.28	48.79	1470639	73483656.00
2015/09/16	49.94	53.67	49.76	53.67	1680492	87300264.00
2015/09/17	53.86	56.30	52.07	52.72	1999706	108286800.00
2015/09/18	52.78	53.97	52.00	53.60	1135992	60383228.00
2015/09/21	55.80	58.96	54.01	58.96	734849	42424084.00
2015/09/22	64.86	64.86	64.86	64.86	196269	12730007.00
2015/09/23	71.35	71.35	69.00	71.35	2995641	213482432.00
2015/09/24	72.51	75.63	68.65	69.71	4961174	355708128.00
2015/09/25	68.50	72.00	63.55	65.00	3264704	222068208.00
2015/09/28	65.56	71.50	64.88	71.50	3789903	264492640.00
2015/09/29	69.00	70.50	66.11	67.66	2673800	182945616.00
2015/09/30	68.12	74.43	68.12	70.27	2933569	209653344.00
2015/10/08	72.38	76.50	70.80	73.00	2847092	209432288.00
2015/10/09	71.50	73.69	71.40	72.63	1809960	130998992.00
2015/10/12	74.00	77.98	73.47	75.72	2250070	169952272.00
2015/10/13	75.50	75.58	73.10	74.94	2054751	153369600.00
2015/10/14	74.80	77.89	73.01	73.68	1984932	149680608.00
2015/10/15	72.21	75.62	72.21	75.27	2003544	148488992.00
2015/10/16	75.50	77.72	73.33	75.02	1777571	133770592.00
2015/10/19	75.30	82.20	75.30	78.97	2789724	220292768.00
2015/10/20	77.00	78.68	75.65	77.95	1955846	150348304.00
2015/10/21	77.95	78.00	70.16	70.16	2714640	199871296.00
2015/10/22	69.80	71.81	67.70	71.81	2089023	146725184.00
2015/10/23	72.02	73.88	70.50	73.00	1758173	126497504.00
2015/10/26	73.01	73.48	71.00	71.85	1196216	86191272.00
2015/10/27	71.00	72.00	67.89	71.90	1447968	101368432.00
2015/10/28	71.89	73.38	70.58	70.97	1227020	88532656.00
2015/10/29	70.84	71.95	69.69	71.40	1150798	81666288.00
2015/10/30	71.55	75.58	69.81	73.60	1914355	140231520.00
2015/11/02	73.00	80.96	72.31	80.96	2463657	195627296.00
2015/11/03	85.12	89.06	85.10	89.06	4803309	423300640.00
2015/11/04	89.19	93.00	86.66	91.11	4990651	446705344.00
2015/11/05	89.10	94.55	88.00	90.40	3641520	329536288.00
2015/11/06	89.48	97.69	89.45	95.35	3342005	312555840.00
2015/11/09	94.50	101.89	91.78	96.60	3324041	321182976.00
2015/11/10	94.05	97.99	92.02	94.58	2564758	243199632.00
2015/11/11	94.59	104.04	92.50	104.04	1925896	192359072.00
2015/11/12	111.30	114.44	111.30	114.44	2464809	280951232.00
2015/11/13	118.00	119.98	103.00	103.00	4670869	505885216.00
2015/11/16	100.03	112.88	100.03	107.01	3133849	333828064.00
2015/11/17	106.70	112.01	101.00	102.21	3055059	324205888.00
2015/11/18	102.34	103.47	93.10	95.40	2111339	206160528.00
2015/11/19	95.80	102.78	95.80	100.95	2175937	213905184.00
2015/11/20	100.50	103.60	97.03	99.70	2062970	205717952.00
2015/11/23	98.22	101.90	95.05	95.37	1900663	185929584.00
2015/11/24	96.00	104.91	95.66	104.91	2009181	205960112.00
2015/11/25	111.05	111.97	105.00	106.29	3360817	363486656.00
2015/11/26	105.50	114.88	104.01	108.33	2858157	314359968.00
2015/11/27	106.00	119.16	105.02	114.49	4126656	479746432.00
2015/11/30	117.00	125.94	115.13	125.94	2977311	360126848.00
2015/12/01	129.00	132.80	113.35	114.18	4239030	509846624.00
2015/12/02	112.18	116.53	104.00	113.69	2526741	279588000.00
2015/12/03	113.20	119.97	111.00	116.05	1934126	223954208.00
2015/12/04	116.16	121.60	112.06	113.80	2207578	258527872.00
2015/12/07	111.00	114.83	110.02	112.47	1356947	151862992.00
2015/12/08	112.90	119.80	110.01	115.99	2085697	242288016.00
2015/12/09	113.00	113.66	106.00	110.22	1829851	201735696.00
2015/12/10	107.00	110.22	105.95	106.40	1268488	136049728.00
2015/12/11	105.68	108.97	104.00	104.97	1008150	107519816.00
2015/12/14	102.00	107.90	99.82	107.47	1129649	116670024.00
2015/12/15	107.00	108.78	105.20	106.19	889048	94974760.00
2015/12/16	106.99	116.02	106.66	110.00	1635266	182669552.00
2015/12/17	112.20	115.80	111.28	114.79	1652812	187583280.00
2015/12/18	112.90	114.98	110.16	111.09	1073528	120324728.00
2015/12/21	110.00	111.97	108.70	111.30	757834	83752320.00
2015/12/22	111.52	115.89	111.30	114.00	1106668	125911680.00
2015/12/23	115.00	122.22	112.80	114.50	2014464	235736928.00
2015/12/24	115.00	119.98	111.58	118.58	1942495	225984032.00
2015/12/25	115.50	117.50	112.00	114.00	1398873	160669824.00
2015/12/28	113.48	113.48	102.60	102.60	1926426	207753984.00
2015/12/29	103.20	104.49	100.07	103.40	948535	97142368.00
2015/12/30	103.81	103.81	101.19	102.60	743039	76198136.00
2015/12/31	103.88	103.88	97.60	98.95	912359	91871160.00
2016/01/04	98.96	99.97	89.06	89.06	920097	84793304.00
2016/01/05	82.25	90.98	82.25	89.20	1480284	129797688.00
2016/01/06	90.05	93.50	87.50	92.67	1196420	108601688.00
2016/01/07	89.10	89.89	83.40	83.40	334200	28815788.00
2016/01/08	86.40	86.66	76.25	83.00	1039840	87101184.00
2016/01/11	80.89	82.92	74.70	74.76	1148271	89915592.00
2016/01/12	74.70	78.96	74.21	77.87	1084566	83542216.00
2016/01/13	76.99	79.50	72.34	73.38	1009700	77747616.00
2016/01/14	71.00	78.68	69.51	78.45	1222298	91372032.00
2016/01/15	77.00	79.50	73.80	74.43	903498	69227608.00
2016/01/18	72.00	81.73	72.00	79.79	1281674	100468816.00
2016/01/19	78.20	82.60	77.50	82.12	1220803	97556792.00
2016/01/20	80.98	81.97	78.60	80.50	1138542	91599760.00
2016/01/21	78.50	81.70	76.00	76.00	968617	76803704.00
2016/01/22	77.98	79.99	75.90	79.55	828333	64611936.00
2016/01/25	80.53	80.99	78.42	79.12	652899	52169212.00
2016/01/26	78.03	78.35	71.21	71.21	824211	60992752.00
2016/01/27	71.21	72.40	64.50	69.86	1052240	71862368.00
2016/01/28	68.87	68.87	64.01	64.70	740333	49328152.00
2016/01/29	64.00	68.50	63.05	67.62	832143	55283756.00
2016/02/01	66.13	67.79	63.31	65.10	680865	45031004.00
2016/02/02	65.95	69.48	65.48	69.08	927003	63404356.00
2016/02/03	67.52	69.98	67.52	69.78	564495	38597412.00
2016/02/04	69.68	74.25	69.68	72.90	810281	58754604.00
2016/02/05	72.83	73.80	70.00	70.00	583401	42007412.00
2016/02/15	67.00	71.20	66.01	70.59	687012	47046288.00
2016/02/16	71.00	75.66	70.77	74.70	1005003	74102744.00
2016/02/17	74.70	76.46	73.64	76.08	1140161	85479320.00
2016/02/18	77.22	78.00	74.18	75.68	1380215	104627104.00
2016/02/19	75.71	76.53	74.90	76.00	806197	61086100.00
2016/02/22	77.56	77.60	75.56	76.88	1009130	77279376.00
2016/02/23	76.60	77.00	74.09	75.01	992042	74746344.00
2016/02/24	74.27	75.50	70.62	72.85	1078618	78328344.00
2016/02/25	73.00	73.00	65.57	65.57	1205289	83018120.00
2016/02/26	65.80	67.03	64.18	65.82	765550	50533216.00
2016/02/29	66.02	66.02	59.24	59.24	701587	42287896.00
2016/03/01	59.00	61.90	57.02	61.10	732199	43627840.00
2016/03/02	60.87	64.50	59.63	64.12	898164	55623708.00
2016/03/03	64.15	66.95	63.50	64.10	873470	57094092.00
2016/03/04	64.12	64.55	58.79	59.51	811360	49724768.00
2016/03/07	62.01	63.30	60.80	61.30	586400	36424512.00
2016/03/08	61.26	62.35	56.80	62.16	778464	46536228.00
2016/03/09	60.50	62.28	59.11	60.58	545200	33129604.00
2016/03/10	60.77	61.49	59.47	59.94	426810	25830538.00
2016/03/11	59.98	62.45	59.00	62.08	690937	42213840.00
2016/03/14	63.70	67.30	63.00	65.80	1028820	67455240.00
2016/03/15	65.70	65.70	63.11	63.89	852641	54945112.00
2016/03/16	65.03	65.84	60.70	61.88	701596	44322240.00
2016/03/17	62.07	65.88	62.07	65.33	960954	61791184.00
2016/03/18	65.50	70.83	65.35	70.10	1427351	97348040.00
2016/03/21	70.10	72.86	69.18	71.38	1299446	91934400.00
2016/03/22	70.47	75.60	69.68	72.43	1289268	94327072.00
2016/03/23	72.05	74.44	72.00	73.45	980567	71623272.00
2016/03/24	73.80	77.50	72.20	73.69	1510589	113379432.00
2016/03/25	73.24	73.78	70.18	71.68	1014877	72793400.00
2016/03/28	72.45	74.08	70.25	70.65	962334	69630568.00
2016/03/29	70.01	70.65	67.60	68.50	770143	52997216.00
2016/03/30	69.35	72.00	68.88	71.95	839491	59179220.00
2016/03/31	73.50	79.15	73.50	79.15	984621	76471952.00
2016/04/01	81.48	84.50	79.00	79.20	3052385	248490544.00
2016/04/05	79.81	81.27	77.00	80.50	1991538	157263904.00
2016/04/06	79.21	82.18	78.80	81.88	1622932	130411328.00
2016/04/07	81.95	81.95	78.78	78.89	1447109	115709552.00
2016/04/08	77.99	78.47	76.51	77.81	892047	69201760.00
2016/04/11	78.25	80.88	77.80	80.69	1163770	92587696.00
2016/04/12	80.64	80.64	76.89	77.82	983057	77145544.00
2016/04/13	78.20	81.50	78.10	80.00	1378757	110661488.00
2016/04/14	80.49	83.00	80.05	82.63	1430988	116038272.00
2016/04/15	82.70	83.50	80.50	81.78	1234874	100959120.00
2016/04/18	80.15	81.47	78.00	80.85	921213	73325768.00
2016/04/19	82.00	82.00	79.78	81.65	920833	74866912.00
2016/04/20	82.17	85.18	77.49	80.80	2152655	176829312.00
2016/04/21	79.51	80.70	73.13	73.66	1335901	103733512.00
2016/04/22	73.99	74.48	68.23	72.13	1414881	101796528.00
2016/04/25	71.20	71.99	69.50	71.33	649729	45910148.00
2016/04/26	70.26	72.93	70.19	72.57	675723	48430004.00
2016/04/27	72.50	72.99	71.58	71.86	529508	38311128.00
2016/04/28	71.86	71.99	69.17	71.69	579856	40927076.00
2016/04/29	71.16	72.88	70.00	71.37	437404	31463432.00
2016/05/03	71.81	74.69	70.70	74.30	761460	55751884.00
2016/05/04	74.00	75.68	73.81	74.96	796924	59759376.00
2016/05/05	74.26	77.20	74.26	77.20	896597	67998872.00
2016/05/06	77.69	77.99	73.12	73.13	1216976	91812440.00
2016/05/09	72.22	72.30	70.12	71.09	657948	46839548.00
2016/05/10	70.91	71.71	70.73	71.12	304215	21670910.00
2016/05/11	71.89	71.96	69.48	69.48	390650	27546388.00
2016/05/12	68.68	68.89	64.10	67.30	504173	33621812.00
2016/05/13	67.30	68.58	66.80	67.32	412339	27997988.00
2016/05/16	67.50	70.30	66.02	70.20	550163	37901364.00
2016/05/17	71.00	73.10	70.00	71.91	639647	46031868.00
2016/05/18	70.70	71.87	67.10	68.50	529641	36645732.00
2016/05/19	68.88	70.96	68.00	69.86	508999	35600024.00
2016/05/20	69.80	71.20	68.10	71.20	496047	34717340.00
2016/05/23	71.80	76.80	71.63	75.90	1285620	95409016.00
2016/05/24	74.66	75.27	73.00	73.70	979428	72438240.00
2016/05/25	74.40	75.67	73.58	74.47	860684	64188268.00
2016/05/26	74.40	75.50	71.47	75.48	908127	67186088.00
2016/05/27	75.00	78.50	74.90	77.19	1485182	114742144.00
2016/05/30	75.10	76.80	74.53	75.00	903840	68191848.00
2016/05/31	75.47	79.18	75.00	78.32	1443717	112290768.00
2016/06/01	78.11	82.13	77.35	80.22	1618259	130034520.00
2016/06/02	80.22	83.88	79.90	83.70	1855554	151642096.00
2016/06/03	83.20	85.20	81.58	84.80	2040535	170208656.00
2016/06/06	85.87	91.87	85.53	87.98	2138452	189458064.00
2016/06/07	87.99	94.98	86.02	94.00	2044468	183388096.00
