300491 通合科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/12/31	13.84	15.09	13.84	15.09	3500	52190.00
2016/01/04	16.60	16.60	16.60	16.60	1900	31540.00
2016/01/05	18.26	18.26	18.26	18.26	1800	32868.00
2016/01/06	20.09	20.09	20.09	20.09	2900	58261.00
2016/01/07	22.10	22.10	22.10	22.10	3700	81770.00
2016/01/08	24.31	24.31	24.31	24.31	6700	162877.00
2016/01/11	26.74	26.74	26.74	26.74	9000	240660.00
2016/01/12	29.41	29.41	29.41	29.41	10000	294100.00
2016/01/13	32.35	32.35	32.35	32.35	8100	262035.00
2016/01/14	35.59	35.59	35.59	35.59	47158	1678353.25
2016/01/15	39.15	39.15	39.15	39.15	36040	1410966.00
2016/01/18	43.07	43.07	43.07	43.07	97625	4204709.00
2016/01/19	47.38	47.38	47.38	47.38	80948	3835316.25
2016/01/20	52.12	52.12	52.12	52.12	83490	4351499.00
2016/01/21	57.33	57.33	57.33	57.33	4834441	277158496.00
2016/01/22	55.61	59.96	51.60	51.71	11694098	630536960.00
2016/01/25	56.00	56.88	56.00	56.88	6502354	368812256.00
2016/01/26	59.01	60.50	51.19	53.05	10370746	580839744.00
2016/01/27	51.78	51.99	47.75	48.10	8649875	420531008.00
2016/01/28	46.50	49.25	43.29	44.10	5925332	273620320.00
2016/01/29	44.44	48.51	44.00	48.51	4848190	229169360.00
2016/02/01	47.00	49.89	44.86	46.60	6553352	311081248.00
2016/02/02	46.09	49.35	45.90	47.70	6216386	297968256.00
2016/02/03	45.51	49.20	44.50	48.93	6129450	283840320.00
2016/02/04	48.49	53.33	48.13	51.79	6632228	340405152.00
2016/02/05	52.12	52.50	47.80	48.00	5848632	290754464.00
2016/02/15	45.80	52.80	45.68	52.80	7559375	380532352.00
2016/02/16	52.50	58.08	52.00	58.08	9128712	499206272.00
2016/02/17	58.50	63.20	57.01	60.79	8232474	488612288.00
2016/02/18	59.80	66.87	59.40	64.00	8272148	519579904.00
2016/02/19	62.36	67.36	61.01	63.08	8056448	513787936.00
2016/02/22	63.60	65.81	62.10	63.29	5941703	379358112.00
2016/02/23	63.90	67.05	62.62	67.05	6794510	441943168.00
2016/02/24	67.10	67.48	60.35	60.35	8131062	504326528.00
2016/02/25	59.00	61.68	55.10	55.80	6416478	372233632.00
2016/02/26	57.50	60.80	56.04	59.28	6078612	354969312.00
2016/02/29	57.50	57.50	53.35	53.35	4074414	219168480.00
2016/03/01	51.49	55.78	48.50	53.99	4825493	252448496.00
2016/03/02	53.80	58.98	53.22	58.18	4498703	255946432.00
2016/03/03	57.00	59.27	56.60	56.73	4235625	244820832.00
2016/03/04	55.48	55.71	51.06	51.06	4060322	213381616.00
2016/03/07	52.00	54.58	50.80	51.12	3608936	190165792.00
2016/03/08	49.21	51.50	46.01	50.72	5136858	246620256.00
2016/03/09	48.19	50.90	47.48	48.16	3364379	165624400.00
2016/03/10	48.40	49.65	47.48	47.50	2618739	126698088.00
2016/03/11	46.90	50.28	46.06	49.25	3839115	188354688.00
2016/03/14	50.21	54.16	49.99	52.46	4706202	245850944.00
2016/03/15	51.64	55.06	51.10	51.70	4247977	224610560.00
2016/03/16	52.98	56.55	52.98	54.70	5606740	307965824.00
2016/03/17	55.50	60.17	55.00	60.17	5711381	331504480.00
2016/03/18	61.00	66.19	60.26	64.29	6778587	431525504.00
2016/03/21	66.08	70.44	62.88	69.30	6115378	401141824.00
2016/03/22	66.32	69.35	65.30	66.35	5233974	351314944.00
2016/03/23	65.89	69.50	64.51	68.36	5315968	356851712.00
2016/03/24	66.50	67.30	63.50	63.51	5457931	357907712.00
2016/03/25	63.60	66.69	62.18	66.01	4752463	305792960.00
2016/03/28	66.21	67.97	62.31	63.21	4495836	293326752.00
2016/03/29	62.00	63.30	59.90	61.99	3631879	223448576.00
2016/03/30	63.40	68.19	62.02	68.19	5126013	335956704.00
2016/03/31	70.44	75.01	69.74	73.23	6701177	487610560.00
2016/04/01	72.00	78.78	70.73	73.15	6915988	511979744.00
2016/04/05	74.44	80.47	74.00	80.47	4475624	347724288.00
2016/04/06	84.00	85.80	77.93	82.20	6555660	538174848.00
2016/04/07	82.00	89.87	77.66	84.57	6138943	505314688.00
2016/04/08	82.10	93.03	82.10	93.03	5114605	458512064.00
2016/04/11	98.00	99.88	92.00	97.80	6297096	599263232.00
2016/04/12	95.40	95.88	88.02	88.02	4475781	411139424.00
2016/04/13	85.54	94.85	85.54	90.80	5996769	535000000.00
2016/04/14	89.84	93.60	87.25	90.73	4936705	447988256.00
2016/04/15	89.00	93.20	87.20	88.20	4429044	397028064.00
2016/04/18	87.06	93.19	83.00	93.15	5288811	472150400.00
2016/04/19	93.80	95.80	90.60	93.21	5404470	503086624.00
2016/04/20	94.00	94.09	83.89	85.15	6296994	554174848.00
2016/04/21	83.55	86.42	78.02	78.45	4362711	359729600.00
2016/04/22	78.00	83.00	77.80	82.40	4245337	341046720.00
2016/04/25	80.70	88.00	78.26	85.60	4716988	394150240.00
2016/04/26	84.20	88.00	84.01	86.82	3858972	333212064.00
2016/04/27	87.82	92.30	85.40	87.29	4214461	373851552.00
2016/04/28	87.38	90.28	84.52	89.23	3607819	314068192.00
2016/04/29	88.38	92.55	88.00	88.79	3574221	323715552.00
2016/05/03	88.50	95.20	86.00	93.68	4107835	372640416.00
2016/05/04	91.00	96.90	90.41	91.11	4076406	379928576.00
2016/05/05	91.24	92.50	89.80	91.60	3542021	322343200.00
2016/05/06	92.00	94.58	87.90	87.90	4932876	450889600.00
2016/05/09	85.00	85.80	79.28	80.03	4320631	353258240.00
2016/05/10	80.03	81.77	78.35	79.02	2954949	236514864.00
2016/05/11	80.30	80.70	74.81	75.06	3052905	235544768.00
2016/05/12	72.77	77.99	71.51	77.08	3118567	236178464.00
2016/05/13	76.15	79.80	76.01	77.20	2680947	208534512.00
2016/05/16	76.00	80.40	74.91	80.00	2817297	219721264.00
2016/05/17	80.00	82.66	78.20	79.07	3726114	299510304.00
2016/05/18	76.00	77.50	71.16	71.32	3740263	276332352.00
2016/05/19	71.90	75.75	71.90	72.20	2936919	216549920.00
2016/05/20	70.90	78.95	70.17	78.37	3944560	295531808.00
2016/05/23	79.70	83.60	78.00	82.65	4512707	367960416.00
2016/05/24	81.51	81.89	79.00	80.80	3298781	266230256.00
2016/05/25	82.40	84.55	79.84	80.85	2851389	234230336.00
2016/05/26	79.50	83.50	76.60	83.22	3509942	279843072.00
