300498 温氏股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2015/11/02	71.98	75.00	55.31	55.31	18159365	1181059712.00
2015/11/03	58.84	60.84	55.66	60.84	36170423	2142831744.00
2015/11/04	58.46	61.56	55.71	59.40	31741477	1841589760.00
2015/11/05	59.59	61.60	57.65	58.34	20614754	1228109184.00
2015/11/06	56.95	57.99	55.69	56.10	26993077	1519092864.00
2015/11/09	54.40	55.30	51.61	53.50	26401994	1403500544.00
2015/11/10	52.45	55.44	52.01	54.58	19293465	1046395136.00
2015/11/11	54.49	54.49	52.65	53.19	16978768	901541248.00
2015/11/12	53.18	58.37	53.00	57.28	28548134	1600005888.00
2015/11/13	55.40	57.18	53.60	54.09	17933747	988697920.00
2015/11/16	52.22	53.60	52.00	53.51	10196846	540534592.00
2015/11/17	53.65	56.68	53.65	53.99	14687168	805175680.00
2015/11/18	54.00	54.00	52.02	52.28	9628059	509946528.00
2015/11/19	52.29	54.62	52.28	53.63	10230724	548431232.00
2015/11/20	53.90	53.90	52.50	53.04	10813266	573675008.00
2015/11/23	53.05	53.99	52.62	52.79	9616099	511090400.00
2015/11/24	52.57	56.50	52.40	55.70	22594350	1240461312.00
2015/11/25	55.01	56.20	54.11	55.48	15661200	866831360.00
2015/11/26	55.60	55.78	54.00	54.03	10063336	549173376.00
2015/11/27	54.08	54.08	49.70	50.41	12565306	653520384.00
2015/11/30	50.44	51.15	46.48	48.84	14733006	719830592.00
2015/12/01	48.85	48.99	47.30	48.00	10431095	499571168.00
2015/12/02	48.00	48.00	45.00	47.63	13263094	618985088.00
2015/12/03	47.35	49.95	47.21	49.77	11789214	574515904.00
2015/12/04	49.23	51.26	49.00	49.82	10788009	543023040.00
2015/12/07	49.82	50.50	48.80	49.13	7114414	351234048.00
2015/12/08	48.98	48.98	46.79	47.33	9071446	429644160.00
2015/12/09	46.60	47.21	46.02	46.55	6735610	313571936.00
2015/12/10	47.00	48.66	47.00	47.58	8465381	405467200.00
2015/12/11	47.05	47.06	46.05	46.78	5492661	254888400.00
2015/12/14	46.00	47.29	45.70	47.12	5164559	240102832.00
2015/12/15	47.05	47.86	46.65	46.97	5300421	250210192.00
2015/12/16	47.20	48.86	47.01	47.81	7656913	367388896.00
2015/12/17	48.20	48.57	47.80	48.39	9937121	478340128.00
2015/12/18	48.40	48.40	47.50	47.64	6128658	293215616.00
2015/12/21	47.45	48.59	47.28	48.26	6893030	332260480.00
2015/12/22	48.40	49.21	48.11	48.98	8515341	415610752.00
2015/12/23	49.10	49.30	47.80	47.82	7657272	371185600.00
2015/12/24	47.75	47.75	46.27	47.01	5488292	256806640.00
2015/12/25	46.99	47.29	46.50	47.25	5589034	261323536.00
2015/12/28	47.47	47.58	45.60	45.80	7913554	369445856.00
2015/12/29	45.90	46.29	45.12	46.28	5845919	266533936.00
2015/12/30	46.45	46.45	45.69	46.04	3968807	182557488.00
2015/12/31	46.05	46.17	45.60	45.74	3431655	157411584.00
2016/01/04	45.74	47.00	43.51	43.98	7097473	326077440.00
2016/01/05	42.80	45.36	42.50	45.01	8615792	382234400.00
2016/01/06	45.01	49.51	45.01	48.87	18451985	883427136.00
2016/01/07	47.59	47.61	43.98	44.08	4307678	197150704.00
2016/01/08	46.20	48.49	43.12	48.49	19090613	899930880.00
2016/01/11	48.14	51.87	47.20	49.26	26486337	1333449344.00
2016/01/12	49.26	50.59	45.80	48.05	16384433	793178624.00
2016/01/13	47.40	48.80	44.00	45.75	12992816	606845312.00
2016/01/14	44.04	47.50	44.00	47.50	12774426	584227136.00
2016/01/15	47.60	47.87	44.00	44.43	12980606	591609664.00
2016/01/18	42.70	44.25	42.59	43.32	6425979	277538720.00
2016/02/03	43.40	43.41	39.20	41.36	9198795	379423456.00
2016/02/04	41.40	42.10	40.98	42.06	8031747	332472320.00
2016/02/05	42.00	42.29	41.41	41.52	6079032	253913984.00
2016/02/15	39.51	40.55	39.45	40.12	6532876	261559696.00
2016/02/16	40.36	41.98	40.36	41.74	7193649	299070080.00
2016/02/17	42.90	45.70	42.90	44.24	9896914	440355968.00
2016/02/18	44.21	44.74	43.58	43.82	7269334	320771648.00
2016/02/19	43.84	44.50	43.83	44.15	4968342	219569808.00
2016/02/22	45.05	45.38	44.03	44.34	6534325	291466816.00
2016/02/23	44.89	44.90	43.16	43.45	5673541	248762320.00
2016/02/24	43.45	47.22	43.40	46.73	17546282	799930304.00
2016/02/25	45.80	47.80	43.10	43.90	14848770	683499008.00
2016/02/26	44.40	46.25	44.09	45.67	11776708	534105760.00
2016/02/29	45.60	48.00	43.45	47.71	17516500	811038784.00
2016/03/01	48.20	51.21	47.11	49.35	17432091	863140032.00
2016/03/02	48.75	50.10	47.50	49.85	14556198	711886080.00
2016/03/03	49.11	50.93	48.05	48.17	12020125	594079232.00
2016/03/04	47.60	51.20	47.60	49.82	15373202	769506688.00
2016/03/07	50.50	51.82	49.81	51.10	10360121	527037824.00
2016/03/08	50.27	50.59	47.50	49.33	9016359	441456800.00
2016/03/09	47.97	49.01	46.01	46.93	6726069	319426496.00
2016/03/10	47.19	49.28	47.00	47.87	6782270	327767328.00
2016/03/11	47.45	49.20	47.03	48.25	4594520	223096848.00
2016/03/14	48.50	50.50	48.50	49.77	6860180	340837504.00
2016/03/15	49.80	50.76	48.49	48.50	5383296	265720160.00
2016/03/16	48.50	48.99	46.51	47.11	5752697	273123296.00
2016/03/17	47.12	48.82	46.70	48.49	6337811	305350816.00
2016/03/18	48.60	49.98	48.60	49.55	8572952	423127296.00
2016/03/21	50.02	51.52	49.58	50.33	10946950	554320192.00
2016/03/22	50.00	54.17	49.28	51.96	13311259	697715072.00
2016/03/23	51.55	53.96	51.52	52.90	11570559	614394560.00
2016/03/24	52.70	54.54	51.55	52.00	10936183	582716224.00
2016/03/25	51.22	51.91	50.40	51.27	8529085	435566176.00
