300550 和仁科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/10/18	16.54	18.04	16.54	18.04	6600	118314.00
2016/10/19	19.84	19.84	19.84	19.84	1200	23808.00
2016/10/20	21.82	21.82	21.82	21.82	1300	28366.00
2016/10/21	24.00	24.00	24.00	24.00	600	14400.00
2016/10/24	26.40	26.40	26.40	26.40	1800	47520.00
2016/10/25	29.04	29.04	29.04	29.04	3200	92928.00
2016/10/26	31.94	31.94	31.94	31.94	4600	146924.00
2016/10/27	35.13	35.13	35.13	35.13	4000	140520.00
2016/10/28	38.64	38.64	38.64	38.64	6000	231840.00
2016/10/31	42.50	42.50	42.50	42.50	12100	514250.00
2016/11/01	46.75	46.75	46.75	46.75	15500	724625.00
2016/11/02	51.43	51.43	51.43	51.43	14700	756021.00
2016/11/03	56.57	56.57	56.57	56.57	7900	446903.00
2016/11/04	62.23	62.23	62.23	62.23	17200	1070356.00
2016/11/07	68.45	68.45	68.45	68.45	71646	4904168.50
2016/11/08	75.30	75.30	75.30	75.30	71354	5372956.00
2016/11/09	82.83	82.83	82.83	82.83	55033	4558383.50
2016/11/10	91.11	91.11	91.11	91.11	31400	2860854.00
2016/11/11	100.22	100.22	100.22	100.22	109712	10995337.00
2016/11/14	110.24	110.24	105.00	106.80	12371703	1329680640.00
2016/11/15	106.00	106.47	99.70	100.19	6335466	643247936.00
2016/11/16	99.42	100.89	96.52	96.76	4341501	426281984.00
2016/11/17	95.50	97.50	94.00	95.54	3378550	323375936.00
2016/11/18	95.89	96.58	95.10	95.50	2073633	198537904.00
2016/11/21	95.01	95.02	91.62	93.25	3143468	292516832.00
2016/11/22	93.93	99.50	93.88	97.04	4457495	432171136.00
2016/11/23	97.99	97.99	95.51	95.63	2351108	226837424.00
2016/11/24	95.49	96.22	93.00	93.27	1923824	182010016.00
2016/11/25	92.93	93.98	90.11	93.78	2175782	200520144.00
2016/11/28	93.05	93.80	90.87	90.90	1565116	143839104.00
2016/11/29	90.90	91.65	88.89	89.15	1738961	156540240.00
2016/11/30	88.82	91.13	88.66	90.98	1536909	138612368.00
2016/12/01	90.11	91.95	89.98	91.18	1238674	112575016.00
2016/12/02	91.27	91.48	86.80	86.80	1674451	148512464.00
2016/12/05	85.00	87.44	85.00	86.16	788060	68066016.00
2016/12/06	86.29	87.90	86.29	86.84	797520	69560720.00
2016/12/07	87.10	87.50	85.20	87.19	812052	70057152.00
2016/12/08	87.20	89.37	87.15	87.75	1116215	98614232.00
2016/12/09	87.21	88.41	85.29	85.30	1108382	95849840.00
2016/12/12	84.80	84.80	76.77	76.77	2128907	169955216.00
2016/12/13	75.30	77.10	74.16	75.17	1447415	109343208.00
2016/12/14	74.90	75.30	73.51	73.62	1035181	76996056.00
2016/12/15	73.02	75.60	72.30	74.20	1035981	77253592.00
2016/12/16	74.20	74.79	73.30	74.12	1040734	76982176.00
2016/12/19	74.70	74.70	73.20	73.30	703994	52026488.00
2016/12/20	73.20	73.98	72.60	73.10	778903	57020012.00
2016/12/21	73.37	74.50	72.66	74.17	1021701	75169528.00
2016/12/22	73.80	74.13	73.17	73.50	741771	54611052.00
2016/12/23	73.50	73.50	69.70	69.70	1123936	80407672.00
2016/12/26	69.39	70.44	68.00	70.40	816292	56432932.00
2016/12/27	70.40	70.88	69.85	70.07	533865	37541924.00
2016/12/28	70.00	70.46	69.50	69.74	526683	36874804.00
2016/12/29	69.89	70.32	69.21	69.36	508338	35446900.00
2016/12/30	69.36	69.55	68.51	68.77	592500	40892824.00
2017/01/03	69.20	70.48	69.07	70.19	747000	52206856.00
2017/01/04	70.67	71.50	70.02	71.15	924998	65421192.00
2017/01/05	71.00	71.17	69.65	69.67	759598	53461880.00
2017/01/06	69.29	69.46	66.36	66.36	1240501	84259440.00
2017/01/09	65.50	66.00	64.80	65.34	753400	49209740.00
2017/01/10	65.72	66.88	65.32	65.66	716823	47395048.00
2017/01/11	65.43	65.50	64.00	64.28	731867	47349324.00
2017/01/12	64.33	65.40	63.11	63.88	764500	49334308.00
2017/01/13	63.58	64.10	60.00	61.40	1083085	67462640.00
2017/01/16	60.03	60.10	55.26	55.88	1670487	96414184.00
2017/01/17	55.59	59.87	54.02	58.24	1331117	75759400.00
2017/01/18	57.50	57.78	55.31	55.89	715000	40600160.00
2017/01/19	55.85	57.99	54.01	57.00	1020307	57595076.00
2017/01/20	56.48	60.50	56.41	59.03	1220031	71981064.00
2017/01/23	58.58	60.18	58.58	59.66	761895	45468996.00
2017/01/24	58.88	58.88	57.03	57.45	918086	53160076.00
2017/01/25	57.40	58.69	56.92	58.40	661036	38456284.00
2017/01/26	58.50	59.40	58.00	58.70	619236	36298624.00
2017/02/03	59.58	59.68	57.90	58.01	507225	29726604.00
2017/02/06	58.30	59.75	58.30	59.67	902261	53400276.00
2017/02/07	59.47	59.62	58.21	58.50	673797	39595464.00
2017/02/08	58.60	60.10	58.10	59.90	867626	51480480.00
2017/02/09	59.96	61.70	59.96	60.56	1276160	77691488.00
2017/02/10	60.20	61.17	59.10	59.27	916004	54917976.00
2017/02/13	58.90	62.00	58.05	61.98	1489315	90872360.00
2017/02/14	61.98	62.49	60.80	61.41	838278	51325508.00
2017/02/15	61.21	62.80	61.00	61.68	1312740	81364032.00
2017/02/16	61.19	63.07	60.73	63.06	1604371	99831584.00
2017/02/17	63.06	64.40	60.27	60.27	2342258	145942064.00
2017/02/20	59.98	61.68	58.46	59.23	1774008	106006800.00
2017/02/21	59.90	60.78	59.51	60.26	1226200	73977176.00
2017/02/22	60.45	60.50	58.82	59.24	893800	53168096.00
2017/02/23	59.08	60.33	59.08	60.00	711700	42512192.00
2017/02/24	60.19	61.60	59.80	61.22	1033014	62876236.00
2017/02/27	61.23	62.82	61.23	61.80	1416914	87889144.00
2017/02/28	61.67	62.55	61.01	62.50	1020710	63177876.00
2017/03/01	62.69	66.72	62.51	63.50	2688421	173596656.00
2017/03/02	64.27	64.27	61.90	62.33	1424425	89355032.00
2017/03/03	62.12	62.63	61.24	62.30	921565	56997960.00
2017/03/06	62.20	63.49	61.83	63.26	993416	62439076.00
2017/03/07	63.33	64.45	62.98	64.45	1294299	82405680.00
2017/03/08	65.00	65.38	63.06	63.30	1135203	72722208.00
2017/03/09	62.80	63.45	62.16	62.90	728630	45609568.00
2017/03/10	63.00	64.58	62.75	63.78	1305425	83239736.00
2017/03/13	63.30	65.60	62.26	65.52	1728925	111209360.00
2017/03/14	65.02	66.09	64.70	65.20	1543520	100797272.00
2017/03/15	65.15	67.23	64.90	66.87	2268950	150223440.00
2017/03/16	67.02	68.51	66.66	68.22	2291620	154741040.00
2017/03/17	67.70	68.34	65.00	65.07	2092899	139844560.00
2017/03/20	65.01	66.21	64.55	66.21	1169600	76697520.00
2017/03/21	65.83	66.84	65.40	66.81	1200686	79288088.00
2017/03/22	66.18	68.60	65.03	67.52	2095882	139653616.00
2017/03/23	67.52	69.36	66.50	69.31	3107793	212342016.00
2017/03/24	68.87	69.99	68.35	69.05	1888092	130688656.00
2017/03/27	69.05	69.50	68.08	68.28	1260480	86723824.00
2017/03/28	68.14	68.35	66.01	66.78	1650431	110247824.00
2017/03/29	67.05	67.05	63.56	63.56	1532875	99659376.00
2017/03/30	62.80	63.43	58.70	58.86	1472533	89082112.00
2017/03/31	59.10	59.80	57.88	59.17	673985	39671028.00
2017/04/05	59.10	60.98	58.50	60.98	660498	39749376.00
2017/04/06	60.99	62.63	60.52	62.60	714830	44214460.00
2017/04/07	62.26	63.22	60.60	60.60	566800	34884400.00
2017/04/10	59.80	60.73	55.00	55.10	1067781	61079912.00
2017/04/11	54.60	56.97	54.60	56.76	625282	34942776.00
2017/04/12	56.16	56.30	55.03	55.07	526695	29328466.00
2017/04/13	55.00	56.48	55.00	55.49	340020	18949292.00
2017/04/14	55.42	55.49	54.46	54.78	374871	20612872.00
2017/04/17	51.11	52.69	50.75	50.79	825138	42476624.00
2017/04/18	50.89	51.69	50.13	50.44	374400	19063572.00
2017/04/19	50.35	51.18	49.69	51.01	521004	26403514.00
2017/04/20	51.03	51.44	48.00	48.68	826640	40849640.00
2017/04/21	48.99	49.50	48.00	48.00	442660	21582164.00
2017/04/24	47.97	47.97	45.18	46.08	495279	22865306.00
2017/04/25	46.58	47.47	46.23	46.26	464266	21712426.00
2017/04/26	46.01	48.00	45.88	47.11	656340	30785344.00
2017/04/27	46.61	48.95	45.20	48.60	787103	37287804.00
2017/04/28	48.50	48.92	47.85	48.26	366665	17761462.00
2017/05/02	48.26	49.22	48.01	48.42	445066	21671828.00
2017/05/03	48.42	49.49	48.28	49.41	443240	21673868.00
2017/05/04	49.39	50.23	48.40	48.80	894424	44116316.00
2017/05/05	48.80	49.30	48.12	48.16	329299	15985883.00
