300602 飞荣达 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/26	17.78	21.34	17.78	21.34	9200	191522.00
2017/02/03	23.47	23.47	23.47	23.47	3019	70855.93
2017/02/06	25.82	25.82	25.82	25.82	4400	113608.00
2017/02/07	28.40	28.40	28.40	28.40	4461	126692.40
2017/02/08	31.24	31.24	31.24	31.24	6415	200404.59
2017/02/09	34.36	34.36	34.36	34.36	7254	249247.44
2017/02/10	37.80	37.80	37.80	37.80	15200	574560.00
2017/02/13	41.58	41.58	41.58	41.58	26222	1090310.75
2017/02/14	45.74	45.74	45.74	45.74	29700	1358478.00
2017/02/15	50.31	50.31	50.31	50.31	39061	1965158.88
2017/02/16	55.34	55.34	55.34	55.34	178057	9853674.00
2017/02/17	60.87	60.87	57.50	58.57	14902819	887017280.00
2017/02/20	56.00	56.00	52.71	52.71	9276712	496388416.00
2017/02/21	52.64	54.77	51.64	53.18	7083900	377645696.00
2017/02/22	52.72	53.89	51.30	53.87	6257716	330662560.00
2017/02/23	55.01	59.26	55.01	59.26	10407313	602469696.00
2017/02/24	59.26	59.98	57.54	58.71	7711223	451982208.00
2017/02/27	58.03	60.58	58.03	58.83	6293524	373437376.00
2017/02/28	58.32	61.61	56.80	60.90	7099826	418720384.00
2017/03/01	60.19	61.49	58.68	58.80	5745613	345539584.00
2017/03/02	59.11	60.84	58.53	58.99	5270310	314504256.00
2017/03/03	58.01	59.20	57.74	58.72	3588376	209865984.00
2017/03/06	59.10	62.79	59.03	61.90	6575181	400227488.00
2017/03/07	61.61	62.35	60.52	62.10	5244990	322328224.00
2017/03/08	61.80	62.99	60.78	62.25	4630512	286565600.00
2017/03/09	62.14	62.16	60.30	61.39	3621487	221404800.00
2017/03/10	61.08	61.50	60.18	60.36	2758044	167803792.00
2017/03/13	59.80	61.39	58.70	61.24	3360798	201821552.00
2017/03/14	61.00	62.98	60.78	61.52	3923928	242916000.00
2017/03/15	61.21	63.80	60.50	62.79	5000842	312053280.00
2017/03/16	63.00	65.75	62.62	65.13	5374262	346171872.00
2017/03/17	65.00	66.28	62.00	62.46	5013598	321848544.00
2017/03/20	62.80	67.55	62.50	67.31	5585535	365311968.00
2017/03/21	67.01	68.31	65.96	67.69	4703400	315568736.00
2017/03/22	66.66	68.97	66.48	68.04	4430609	300429152.00
2017/03/23	68.00	69.79	66.00	68.58	5361894	365491776.00
2017/03/24	68.01	71.70	68.01	70.66	4667192	328359136.00
2017/03/27	71.00	75.38	69.88	73.18	5435543	393524256.00
2017/03/28	73.00	74.30	70.50	70.90	4566595	329122752.00
2017/03/29	70.25	70.50	65.50	65.80	5502857	373433408.00
2017/03/30	65.00	66.96	64.60	65.53	3578282	235933936.00
2017/03/31	66.00	66.82	59.00	60.20	6633994	411949856.00
2017/04/05	59.40	61.46	57.12	61.01	3506440	209165024.00
2017/04/06	55.99	58.53	55.05	57.23	6910188	392719200.00
2017/04/07	56.55	57.20	53.91	54.19	4884128	271321632.00
2017/04/10	53.59	54.16	52.04	53.30	4015083	212210944.00
2017/04/11	53.00	53.99	51.88	53.98	3251575	172540240.00
2017/04/12	53.50	53.94	51.92	52.00	1988877	105183720.00
2017/04/13	51.80	52.39	51.03	51.06	2016552	104357816.00
2017/04/14	50.75	50.97	49.51	49.90	1863398	93536184.00
2017/04/17	48.19	48.25	45.30	46.14	2862856	133154864.00
2017/04/18	46.23	46.78	45.51	45.66	1111573	51294712.00
2017/04/19	45.59	47.08	45.46	46.93	1545684	71563024.00
2017/04/20	46.99	47.01	44.77	45.46	1639726	75340136.00
2017/04/21	45.60	46.30	45.11	45.47	873970	39973860.00
2017/04/24	45.41	45.95	44.53	45.33	1097813	49535036.00
2017/04/25	45.50	46.51	45.50	45.70	1096430	50356388.00
2017/04/26	45.70	46.65	45.52	46.11	1107084	51194464.00
2017/04/27	46.00	47.46	44.22	47.39	2632363	121248272.00
2017/04/28	47.02	47.33	46.61	46.95	1421699	66752048.00
2017/05/02	46.79	47.07	45.55	45.80	1425951	65775964.00
2017/05/03	45.71	46.19	45.21	46.18	1321711	60453132.00
2017/05/04	46.00	46.09	45.01	45.09	1117325	50869676.00
2017/05/05	44.92	49.60	44.89	49.60	4395937	211438704.00
2017/05/08	49.82	50.28	48.11	48.55	4369257	215604384.00
2017/05/09	48.70	49.33	47.62	48.85	2746409	133540584.00
2017/05/10	48.95	49.38	44.92	45.70	3303417	158333008.00
2017/05/11	44.64	47.00	44.17	46.92	3268072	147922448.00
2017/05/12	46.33	47.40	45.68	46.80	2067865	95986272.00
2017/05/15	46.66	49.35	46.40	47.44	2169737	103964592.00
2017/05/16	47.44	49.00	47.09	48.90	2712239	130566592.00
2017/05/17	50.20	53.79	50.04	51.04	4923207	256561472.00
2017/05/18	50.00	51.89	49.50	51.60	2988662	152032672.00
2017/05/19	51.31	53.53	50.96	50.96	3167234	165548160.00
2017/05/22	49.62	49.99	46.04	46.31	3064773	148270544.00
2017/05/23	45.61	46.74	43.55	43.75	2179114	98112896.00
2017/05/24	43.53	46.37	43.31	46.15	2297969	104562776.00
