300625 三雄极光 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/17	23.16	27.79	23.16	27.79	18811	522063.69
2017/03/20	30.57	30.57	30.57	30.57	6000	183420.00
2017/03/21	33.63	33.63	33.63	33.63	5900	198417.00
2017/03/22	36.99	36.99	36.99	36.99	5900	218241.00
2017/03/23	40.69	40.69	40.69	40.69	12800	520832.00
2017/03/24	44.76	44.76	44.76	44.76	18132	811588.31
2017/03/27	49.24	49.24	49.24	49.24	65200	3210448.00
2017/03/28	54.16	54.16	54.16	54.16	108234	5861953.50
2017/03/29	59.58	59.58	59.58	59.58	265890	15841726.00
2017/03/30	60.00	65.00	54.51	61.30	34943473	2042777088.00
2017/03/31	57.99	61.80	55.17	55.17	20122732	1163958528.00
2017/04/05	51.99	53.58	50.50	52.02	13855235	722699712.00
2017/04/06	52.02	55.00	52.00	53.80	13353922	718960768.00
2017/04/07	53.00	53.55	50.47	50.60	12106363	626916480.00
2017/04/10	49.51	49.98	45.80	46.01	11965871	567655104.00
2017/04/11	45.89	47.49	45.51	47.30	8120204	377851840.00
2017/04/12	46.90	47.66	46.01	46.10	6171292	288377728.00
2017/04/13	45.86	46.93	45.20	45.45	5507153	253586544.00
2017/04/14	44.88	45.24	44.00	44.00	5514002	245290928.00
2017/04/17	41.04	41.98	39.67	39.90	7330067	299404480.00
2017/04/18	40.49	40.65	39.60	39.94	3766232	151091952.00
2017/04/19	39.96	41.40	39.94	41.38	5503129	224985856.00
2017/04/20	41.30	41.78	39.80	40.27	4874689	198444704.00
2017/04/21	40.75	40.85	39.70	39.77	2899126	116411576.00
2017/04/24	39.75	39.80	37.50	37.82	4103130	156150576.00
2017/04/25	38.00	38.79	37.55	37.83	3685118	140782784.00
2017/04/26	37.86	38.78	37.86	38.43	3980695	152944256.00
2017/04/27	38.41	40.58	37.50	40.10	7109429	278182400.00
2017/04/28	39.75	40.50	39.46	39.90	4157788	166134512.00
2017/05/02	39.95	40.58	39.70	40.06	3317613	133186816.00
2017/05/03	40.13	40.57	38.90	39.78	4117474	163674976.00
2017/05/04	39.60	39.60	38.28	38.50	3739120	145253408.00
2017/05/05	38.68	39.55	38.38	38.70	4903592	191647200.00
2017/05/08	38.30	38.39	37.00	37.11	3321076	125717832.00
2017/05/09	36.55	37.84	36.55	37.44	2915431	108290560.00
2017/05/10	37.43	37.99	35.80	35.87	3844670	142538896.00
2017/05/11	35.90	36.19	33.90	35.73	4769848	167217696.00
2017/05/12	35.66	35.75	34.81	35.27	3187474	112589344.00
2017/05/15	35.40	35.66	35.06	35.08	2053895	72503928.00
2017/05/16	35.39	36.45	35.09	36.45	3970305	142202336.00
2017/05/17	36.55	37.20	36.22	36.39	4212767	154680368.00
2017/05/18	35.97	36.38	35.81	35.90	2338744	84324704.00
2017/05/19	36.09	36.36	35.28	35.38	2062994	73977560.00
2017/05/22	35.45	35.51	32.94	33.05	4051403	138237248.00
2017/05/23	33.11	33.30	30.78	31.05	4360253	139057200.00
2017/05/24	30.89	31.63	30.03	31.40	3204198	99438536.00
2017/05/25	31.43	31.60	30.24	31.31	3461019	107261608.00
2017/05/26	31.40	32.37	31.28	31.75	3545769	112764592.00
2017/05/31	33.01	33.33	31.67	31.69	3809725	124146360.00
2017/06/01	31.57	31.57	29.80	29.96	2915980	89622440.00
2017/06/02	29.96	30.96	29.70	30.78	2724324	82814408.00
2017/06/05	31.26	31.44	31.00	31.08	2578146	80474112.00
2017/06/06	30.84	31.10	30.68	31.07	1883955	58184540.00
2017/06/07	31.09	32.33	31.00	32.30	4160059	132637632.00
2017/06/08	32.33	32.49	31.78	31.90	3211480	103005760.00
2017/06/09	31.90	32.19	31.75	32.10	2066352	66065888.00
2017/06/12	31.75	31.75	30.55	30.62	2907200	90643344.00
2017/06/13	30.69	32.65	30.62	32.30	5373859	171877104.00
2017/06/14	32.44	32.44	31.90	32.08	3277604	105225208.00
2017/06/15	32.00	33.38	32.00	32.70	5970425	196073920.00
2017/06/16	32.79	32.96	32.33	32.60	2801234	91330256.00
2017/06/19	32.63	32.89	32.32	32.80	2211045	72256360.00
2017/06/20	32.94	32.95	32.40	32.40	2515546	82174480.00
2017/06/21	32.41	32.55	31.77	32.08	2282048	73249488.00
2017/06/22	31.99	32.16	31.00	31.08	2586129	81832624.00
2017/06/23	31.01	31.50	30.60	31.22	2249171	69778672.00
2017/06/26	31.22	31.53	30.83	31.47	1679934	52479968.00
2017/06/27	31.48	32.28	31.36	32.07	3034992	96603816.00
2017/06/28	31.89	31.89	31.32	31.45	2174528	68506768.00
2017/06/29	31.61	33.20	31.61	33.01	7706691	252791040.00
2017/06/30	32.67	33.05	32.34	32.80	4228926	138187280.00
2017/07/03	32.77	33.18	32.63	32.94	3010647	99142904.00
2017/07/04	32.94	32.99	32.20	32.48	2874930	93485336.00
2017/07/05	32.39	33.20	32.39	32.89	3200283	105178368.00
2017/07/06	33.04	33.04	32.34	33.04	3399991	111578576.00
2017/07/07	33.05	34.16	32.91	33.45	7175705	241036080.00
2017/07/10	33.10	33.15	32.16	32.26	4295149	139956608.00
2017/07/11	32.26	32.66	31.76	31.76	2801420	90335528.00
2017/07/12	31.66	31.92	31.02	31.89	2666986	83847672.00
2017/07/13	31.80	31.80	31.16	31.26	1955037	61319592.00
