300653 正海生物 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/05/16	15.47	16.88	15.47	16.88	3500	58375.00
2017/05/17	18.57	18.57	18.57	18.57	1500	27855.00
2017/05/18	20.43	20.43	20.43	20.43	1516	30971.88
2017/05/19	22.47	22.47	22.47	22.47	1100	24717.00
2017/05/22	24.72	24.72	24.72	24.72	5400	133488.00
2017/05/23	27.19	27.19	27.19	27.19	12538	340908.22
2017/05/24	29.91	29.91	29.91	29.91	21500	643065.00
2017/05/25	32.90	32.90	32.90	32.90	25200	829080.00
2017/05/26	36.19	36.19	36.19	36.19	73500	2659965.00
2017/05/31	39.81	39.81	39.81	39.81	105700	4207917.00
2017/06/01	43.79	43.79	43.79	43.79	2217872	97120616.00
2017/06/02	42.80	44.49	39.90	41.80	11112478	467731264.00
2017/06/05	44.39	45.98	41.88	42.20	8925025	398851744.00
2017/06/06	42.87	44.53	40.89	43.09	10247318	438933856.00
2017/06/07	41.80	47.40	41.46	47.40	10134405	450240928.00
2017/06/08	46.20	46.50	42.66	42.83	11920271	524434624.00
2017/06/09	41.70	43.19	41.39	42.18	5663234	238558960.00
2017/06/12	41.00	41.99	37.96	38.03	5890929	235148768.00
2017/06/13	37.40	39.05	37.40	38.38	3880742	148998608.00
2017/06/14	38.25	38.46	36.42	36.70	4647743	172598576.00
2017/06/15	36.56	37.98	36.55	37.63	3616531	135907024.00
2017/06/16	37.68	39.10	36.81	38.11	4036710	153421408.00
2017/06/19	37.80	38.37	37.65	38.12	2367196	89872360.00
2017/06/20	38.77	38.97	37.71	37.89	2926285	112186424.00
2017/06/21	37.45	37.65	36.50	37.07	2437992	90305752.00
2017/06/22	37.00	37.28	36.30	36.31	2419647	89010528.00
2017/06/23	36.18	36.45	34.28	35.20	3107979	109990176.00
2017/06/26	35.00	35.70	34.58	35.58	1418000	49814584.00
2017/06/27	35.44	36.50	35.30	35.56	1403417	50303876.00
2017/06/28	35.44	35.44	34.21	34.32	1729670	60074284.00
2017/06/29	34.38	35.65	34.36	34.96	1404000	49372344.00
2017/06/30	35.10	36.09	34.40	35.50	2002900	71010304.00
2017/07/03	35.50	36.50	35.49	36.00	2086849	75261288.00
2017/07/04	35.71	36.20	35.60	36.10	1445047	51813828.00
2017/07/05	36.10	37.45	35.90	37.24	3247825	120149296.00
2017/07/06	36.90	37.48	36.52	37.39	2478644	91815856.00
2017/07/07	37.45	38.40	37.31	37.64	2676667	101401048.00
2017/07/10	36.65	36.94	35.38	35.55	2488558	89794008.00
2017/07/11	35.54	35.98	35.06	35.09	993231	35325124.00
2017/07/12	34.99	35.80	34.70	35.79	929800	32725894.00
2017/07/13	35.58	35.79	34.88	35.03	892665	31415138.00
2017/07/14	35.05	35.43	34.44	34.80	855105	29881200.00
2017/07/17	33.90	33.90	31.32	31.32	2253940	72053936.00
2017/07/18	30.52	31.19	29.99	30.90	1286881	39364156.00
2017/07/19	30.01	30.70	29.83	30.36	1315531	39834044.00
2017/07/20	30.35	30.98	30.30	30.34	1064000	32590316.00
2017/07/21	30.01	30.49	29.90	29.98	930256	27977386.00
2017/07/24	29.68	30.80	29.16	30.59	947307	28499794.00
2017/07/25	30.54	30.82	30.10	30.42	627649	19142892.00
2017/07/26	30.41	30.85	30.01	30.20	534583	16256173.00
2017/07/27	30.36	31.83	30.05	31.69	1543291	48224960.00
2017/07/28	31.50	31.69	31.00	31.08	942682	29501310.00
2017/07/31	31.02	31.60	31.02	31.30	597098	18715096.00
2017/08/01	31.06	31.72	30.88	31.46	909271	28488002.00
2017/08/02	30.99	31.12	30.31	30.35	1052972	32382444.00
2017/08/03	30.33	31.18	30.17	30.78	755071	23218692.00
2017/08/04	30.64	30.97	30.30	30.32	557974	17016980.00
2017/08/07	30.55	31.25	30.55	30.87	709196	21933040.00
2017/08/08	30.75	31.30	30.60	31.00	585047	18053438.00
2017/08/09	30.90	31.73	30.71	31.66	1032373	32387988.00
2017/08/10	31.60	31.65	30.63	31.02	961790	29954938.00
2017/08/11	30.83	31.02	30.60	30.62	513867	15823580.00
2017/08/14	30.72	31.32	30.60	31.22	511969	15938027.00
2017/08/15	31.32	32.13	31.25	31.64	1013300	32134328.00
2017/08/16	31.92	34.75	31.85	33.88	3146361	106298336.00
2017/08/17	33.39	33.83	32.96	33.53	1865380	62226688.00
2017/08/18	33.22	33.22	32.67	32.83	1118077	36825948.00
2017/08/21	33.02	33.62	32.90	33.48	1071088	35696736.00
2017/08/22	33.55	33.99	33.01	33.16	1031180	34516208.00
2017/08/23	33.10	33.49	32.40	33.31	959626	31649080.00
2017/08/24	33.35	34.38	33.22	33.54	1677864	56613072.00
2017/08/25	33.10	34.37	33.10	34.29	1907865	64774864.00
2017/08/28	34.57	36.00	34.57	35.38	2432458	86133544.00
2017/08/29	35.04	36.38	34.92	35.28	2414086	86089280.00
2017/08/30	35.05	35.99	34.50	35.21	1755763	62037164.00
2017/08/31	35.00	38.37	35.00	37.44	3631730	133958064.00
2017/09/01	37.30	37.74	36.50	37.11	2321829	85908368.00
2017/09/04	36.92	38.50	36.83	37.05	2083756	78303720.00
2017/09/05	37.02	37.45	36.68	37.00	1266200	46878680.00
2017/09/06	36.99	36.99	36.00	36.61	1246700	45491720.00
2017/09/07	36.61	37.03	36.02	36.48	1115012	40915992.00
2017/09/08	36.31	40.13	36.31	38.85	4660608	181046784.00
2017/09/11	38.83	38.97	37.78	38.45	2753926	105205688.00
2017/09/12	38.54	38.54	37.66	37.78	1586958	60391336.00
2017/09/13	37.67	38.38	37.67	38.24	984137	37500248.00
2017/09/14	38.24	39.96	37.82	38.93	2063942	80658064.00
2017/09/15	38.56	38.69	36.62	36.80	1766817	66444956.00
2017/09/18	37.00	37.45	36.90	37.03	719386	26715818.00
2017/09/19	36.96	37.51	36.76	37.22	647012	24054092.00
2017/09/20	37.30	37.69	36.83	37.66	869632	32439600.00
2017/09/21	37.40	38.39	37.40	37.55	1138368	43123092.00
2017/09/22	37.33	38.52	36.70	38.51	1675776	63352552.00
2017/09/25	38.18	39.63	38.04	39.01	1841765	72169464.00
2017/09/26	39.00	39.00	37.07	37.77	1436547	54452364.00
2017/09/27	37.90	38.19	37.58	38.15	761905	28879240.00
2017/09/28	38.04	38.71	37.97	38.10	892191	34162252.00
2017/09/29	38.28	38.45	37.12	37.49	995500	37637184.00
2017/10/09	37.98	38.13	37.00	37.56	587865	22087548.00
2017/10/10	37.61	41.32	37.50	41.32	4376125	176324560.00
2017/10/11	42.70	43.10	40.01	40.60	4854925	203212800.00
2017/10/12	40.25	42.35	40.18	41.00	2559605	105262144.00
2017/10/13	41.60	43.98	41.00	43.30	4432652	189511824.00
2017/10/16	42.00	42.65	40.13	41.06	2541210	104665104.00
2017/10/17	40.76	41.11	40.13	40.92	1030967	41995440.00
2017/10/18	40.90	42.41	39.68	39.74	1868896	77051144.00
2017/10/19	39.41	40.28	39.15	39.28	1243700	49367748.00
2017/10/20	39.21	39.88	38.71	39.88	1160868	45657432.00
2017/10/23	39.95	41.20	39.22	41.20	1260467	51152856.00
2017/10/24	41.10	41.18	39.50	40.40	1022800	41180640.00
2017/10/25	40.30	40.96	39.95	40.96	1665932	67581336.00
2017/10/26	40.92	42.23	40.51	41.95	1837595	76164984.00
2017/10/27	41.74	41.95	40.92	41.34	1281122	53036884.00
2017/10/30	41.15	41.88	39.51	40.16	1293301	52742476.00
2017/10/31	40.06	41.28	39.70	41.28	1530599	61879056.00
2017/11/01	41.10	42.50	41.10	41.88	1861799	77976168.00
2017/11/02	41.90	43.28	41.48	42.20	2350752	99714216.00
2017/11/03	41.80	41.80	40.50	41.40	1700384	69959608.00
2017/11/06	41.74	43.23	41.18	43.23	2108614	89525288.00
2017/11/07	43.41	43.92	42.56	43.55	2129137	91838368.00
2017/11/08	43.69	45.65	43.32	44.35	2628155	117389496.00
2017/11/09	43.81	44.65	43.46	44.18	1600742	70344272.00
2017/11/10	44.24	45.91	43.93	45.07	1706300	76781912.00
2017/11/13	45.01	45.49	44.00	45.15	1621400	72683928.00
2017/11/14	44.87	46.08	44.61	44.90	1784870	80980928.00
2017/11/15	44.49	44.59	42.31	42.70	2020270	87474528.00
2017/11/16	42.89	43.23	41.42	42.00	1261168	53462448.00
2017/11/17	42.00	42.37	37.80	37.80	2463373	97167736.00
2017/11/20	37.85	38.28	36.57	38.04	1454299	54819308.00
2017/11/21	38.00	38.07	35.98	37.31	1587399	58687776.00
2017/11/22	37.02	38.06	36.57	37.19	1420799	53012040.00
2017/11/23	36.83	37.21	35.80	35.80	883000	32350476.00
2017/11/24	35.34	36.45	35.00	35.76	540100	19364744.00
2017/11/27	35.75	35.75	33.61	34.00	747099	26058092.00
2017/11/28	34.19	34.88	34.06	34.72	562800	19430860.00
2017/11/29	34.50	34.72	33.00	34.13	870900	29495672.00
2017/11/30	34.04	34.58	33.91	34.23	453600	15518883.00
2017/12/01	34.33	35.25	34.03	35.05	680600	23705744.00
2017/12/04	34.68	34.71	32.50	32.68	1143900	38191184.00
2017/12/05	32.57	32.99	30.81	31.40	735957	23630410.00
2017/12/06	31.46	32.44	31.25	32.32	559437	17807652.00
2017/12/07	32.28	33.12	31.92	32.70	530157	17283756.00
2017/12/08	32.51	33.69	32.51	33.60	790599	26423938.00
2017/12/11	33.59	33.90	33.20	33.87	579400	19511018.00
2017/12/12	33.90	33.90	32.86	33.33	522138	17405350.00
2017/12/13	33.15	34.59	33.15	34.45	676800	23028838.00
2017/12/14	34.45	35.43	34.05	35.03	817501	28397820.00
2017/12/15	34.65	35.37	34.30	35.05	611200	21370240.00
2017/12/18	35.04	35.30	33.86	34.63	767700	26523288.00
2017/12/19	34.66	35.45	34.60	34.88	630311	22051978.00
2017/12/20	34.95	35.00	34.50	34.61	422200	14664801.00
2017/12/21	34.31	35.14	33.37	34.80	702583	24173354.00
2017/12/22	34.60	35.36	34.60	34.95	324300	11346114.00
2017/12/25	34.80	34.93	33.75	34.18	583437	19918036.00
2017/12/26	34.14	35.63	34.14	35.39	998928	35141008.00
2017/12/27	35.55	35.55	34.80	34.94	528799	18602718.00
