300660 江苏雷利 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/06/02	60.23	72.27	60.23	72.27	25184	1812133.13
2017/06/05	79.50	79.50	79.50	79.50	5831	463564.50
2017/06/06	87.45	87.45	87.45	87.45	9073	793433.88
2017/06/07	96.20	96.20	96.20	96.20	214566	20641250.00
2017/06/08	105.82	105.82	101.81	105.82	2691406	284375584.00
2017/06/09	103.93	103.93	95.70	96.83	10791038	1070362368.00
2017/06/12	92.89	92.99	87.15	87.28	7759839	698335680.00
2017/06/13	86.01	89.60	86.01	88.08	4940179	433784384.00
2017/06/14	87.43	87.43	84.44	84.58	4710128	402171328.00
2017/06/15	84.68	86.84	84.68	85.30	3626380	311109184.00
2017/06/16	85.00	85.42	83.21	83.68	3081296	258980224.00
2017/06/19	83.70	84.69	82.59	84.02	2144556	179259536.00
2017/06/20	84.67	84.82	83.03	83.34	2408259	202481968.00
2017/06/21	83.00	83.30	81.41	82.00	2707478	222469072.00
2017/06/22	81.99	82.80	81.25	81.25	2205921	180862432.00
2017/06/23	81.02	81.44	78.06	79.86	2852906	227383392.00
2017/06/26	79.84	80.19	78.50	79.96	1690440	134368768.00
2017/06/27	79.96	82.38	79.80	80.55	2736677	222506304.00
2017/06/28	80.10	80.10	78.19	78.19	2103346	165978704.00
2017/06/29	78.40	79.13	78.20	78.58	1328165	104543736.00
2017/06/30	78.70	80.59	78.30	79.26	1679591	133510152.00
2017/07/03	79.23	80.26	79.01	79.98	1232520	98295544.00
2017/07/04	80.30	80.61	79.21	79.41	1347218	107530888.00
2017/07/05	79.49	80.85	79.27	80.46	1889570	151802896.00
2017/07/06	80.50	81.26	79.69	80.30	1804406	145198752.00
2017/07/07	80.23	82.89	80.23	82.21	3059773	250585568.00
2017/07/10	81.30	81.33	79.04	79.12	2725956	218605200.00
2017/07/11	79.20	79.55	78.00	78.00	1519090	119327744.00
2017/07/12	78.26	78.37	76.07	77.99	1675200	129270976.00
2017/07/13	77.80	77.97	76.80	76.98	944916	72921216.00
2017/07/14	76.55	77.75	76.55	77.09	922138	71159576.00
2017/07/17	76.80	76.80	69.38	69.38	2790316	200399344.00
2017/07/18	69.20	70.49	68.79	69.95	1335604	93036648.00
2017/07/19	69.90	70.42	68.99	70.23	1102674	76924120.00
2017/07/20	70.15	71.38	69.75	69.79	1253930	88401408.00
2017/07/21	69.38	69.87	69.06	69.20	842620	58429324.00
2017/07/24	69.09	70.77	68.70	70.52	1079146	75487488.00
2017/07/25	70.21	70.53	69.51	69.82	673735	47138556.00
2017/07/26	69.85	70.39	69.53	69.68	691495	48338328.00
2017/07/27	69.63	72.70	69.36	71.82	1741142	124121840.00
2017/07/28	71.76	71.86	70.50	70.55	1150711	81844120.00
