300750 宁德时代 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/06/11	30.17	36.20	30.17	36.20	78829	2845471.75
2018/06/12	39.82	39.82	39.82	39.82	26579	1058375.75
2018/06/13	43.80	43.80	43.80	43.80	45030	1972314.00
2018/06/14	48.18	48.18	48.18	48.18	74267	3578184.00
2018/06/15	53.00	53.00	53.00	53.00	256510	13595030.00
2018/06/19	58.30	58.30	58.30	58.30	1117428	65146052.00
2018/06/20	64.13	64.13	64.13	64.13	1310382	84034800.00
2018/06/21	70.54	70.54	70.54	70.54	1231660	86881296.00
2018/06/22	72.00	72.71	63.49	66.55	128170599	8599729152.00
2018/06/25	68.20	71.60	67.22	69.19	69981999	4868406784.00
2018/06/26	67.89	75.55	67.10	74.18	62553547	4537098752.00
2018/06/27	74.21	74.93	71.77	74.09	44138862	3241043456.00
2018/06/28	73.30	75.39	67.44	68.21	53080981	3770134272.00
2018/06/29	68.68	74.30	67.77	71.96	45698575	3231958784.00
2018/07/02	70.79	71.48	69.11	70.00	32470182	2278646016.00
2018/07/03	70.20	71.19	65.85	69.29	33910064	2337187072.00
2018/07/04	68.15	68.15	65.50	65.92	26282197	1749919488.00
2018/07/05	65.00	71.88	64.88	68.81	34337783	2343510016.00
2018/07/06	68.81	74.50	68.70	70.88	49213427	3511358720.00
2018/07/09	70.80	71.57	69.11	71.55	31068979	2183986432.00
2018/07/10	75.00	75.89	71.66	72.40	36484401	2666043136.00
2018/07/11	70.00	78.94	69.58	77.06	49120805	3695050752.00
2018/07/12	76.03	84.77	75.60	84.77	43085212	3430182912.00
2018/07/13	82.00	88.47	81.03	82.70	48202055	4049051392.00
2018/07/16	82.70	84.75	80.10	83.90	29515196	2439741952.00
2018/07/17	83.11	84.17	79.66	82.28	28615349	2336837120.00
2018/07/18	82.28	84.37	80.11	82.28	27113839	2233771776.00
2018/07/19	82.00	85.15	80.67	82.89	25074483	2089886976.00
2018/07/20	82.50	91.18	82.01	90.93	42695635	3750334720.00
2018/07/23	89.00	90.54	87.55	88.62	25014352	2223986176.00
2018/07/24	88.50	92.96	87.50	91.77	26501025	2395962624.00
2018/07/25	91.00	95.08	82.59	82.59	45719348	4027958784.00
2018/07/26	80.50	82.60	76.60	78.20	39286999	3115796736.00
2018/07/27	78.00	78.64	75.67	76.05	22809584	1748397056.00
2018/07/30	76.50	77.34	75.00	76.85	18041846	1377263232.00
2018/07/31	76.78	76.79	70.51	72.22	28128307	2055880192.00
2018/08/01	72.00	73.63	71.02	71.42	17933649	1298707840.00
2018/08/02	70.40	73.29	70.05	72.56	19853529	1429095168.00
2018/08/03	71.76	73.14	68.66	69.60	17288867	1223071488.00
2018/08/06	69.00	71.08	67.60	69.65	15706945	1096989824.00
2018/08/07	70.48	74.46	70.00	73.79	19964947	1445537152.00
2018/08/08	73.50	73.58	71.11	71.52	14770817	1067594688.00
2018/08/09	71.40	75.66	70.30	74.06	18474864	1364797440.00
2018/08/10	73.60	74.49	73.02	74.44	11673860	862092544.00
2018/08/13	73.00	74.19	72.03	74.01	10949557	800760000.00
