300872 天阳科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/08/24	46.69	98.00	46.69	76.53	33794256	2101966720.00
2020/08/25	66.15	90.77	66.10	82.10	33538004	2546166272.00
2020/08/26	78.50	82.00	69.98	70.99	21628370	1626316800.00
2020/08/27	73.01	74.00	58.97	60.00	19895993	1287080832.00
2020/08/28	58.00	58.85	52.01	52.15	16459902	902705472.00
2020/08/31	53.80	56.88	53.24	55.09	16092485	892634752.00
2020/09/01	52.50	53.94	50.75	51.49	13461054	702255936.00
2020/09/02	51.55	52.19	49.44	50.51	10038932	508534816.00
2020/09/03	50.85	51.27	47.91	48.00	9868690	487396544.00
2020/09/04	46.80	49.75	46.08	48.53	8843925	422591552.00
2020/09/07	47.99	49.52	47.11	48.17	8665136	417809600.00
2020/09/08	48.40	49.78	47.50	49.62	8507259	416971360.00
2020/09/09	48.62	49.39	46.21	46.22	8289024	395639648.00
2020/09/10	46.86	47.25	40.10	40.10	10113236	438195360.00
2020/09/11	39.00	43.97	38.99	42.71	8849205	368337888.00
2020/09/14	42.73	45.54	42.73	45.01	8966577	395090720.00
2020/09/15	44.78	49.30	44.00	46.41	12640332	593355840.00
2020/09/16	45.49	55.50	44.30	52.53	20872997	1049298752.00
2020/09/17	51.06	57.01	49.61	50.35	23506406	1249324032.00
2020/09/18	49.00	54.00	48.18	52.35	15630749	804468224.00
2020/09/21	53.53	54.58	50.52	51.24	10366628	535523680.00
2020/09/22	49.20	50.43	48.38	48.50	8570108	422786304.00
2020/09/23	48.90	52.25	48.70	51.90	10792819	551057792.00
2020/09/24	50.99	54.77	50.63	51.92	14752199	778453440.00
2020/09/25	51.44	54.28	50.03	50.50	10105012	526175520.00
2020/09/28	50.70	50.75	46.05	46.20	8735658	419851168.00
2020/09/29	46.91	47.40	45.42	45.80	5740836	266422992.00
2020/09/30	46.10	46.49	44.28	44.45	5455698	247403888.00
2020/10/09	45.46	47.88	45.10	47.10	6074074	282879328.00
2020/10/12	48.50	56.52	48.50	56.52	15222444	804557440.00
2020/10/13	57.01	58.47	53.58	54.97	18290757	1023761536.00
2020/10/14	53.85	57.99	53.60	57.21	17799122	994309504.00
2020/10/15	56.00	61.08	54.51	57.73	18621170	1078331264.00
2020/10/16	55.80	59.61	55.00	55.51	13128358	748270592.00
2020/10/19	55.10	56.88	53.70	54.80	9012543	497485920.00
2020/10/20	54.68	59.58	54.13	58.72	13840095	793416256.00
2020/10/21	58.73	61.17	57.58	59.90	15163038	900031232.00
2020/10/22	59.92	67.00	57.61	57.61	20013251	1247470848.00
2020/10/23	56.40	59.90	54.50	56.37	15962787	912499136.00
2020/10/26	57.22	57.42	54.82	56.10	9440553	530617632.00
2020/10/27	55.50	56.96	54.36	56.61	9168831	513331904.00
