300881 盛德鑫泰 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/09/01	56.10	94.96	56.03	78.00	18345956	1336020480.00
2020/09/02	67.00	72.50	52.60	53.25	13309641	798786048.00
2020/09/03	48.18	56.50	43.33	48.10	10694369	544434496.00
2020/09/04	44.60	46.80	42.94	43.12	9741188	432762016.00
2020/09/07	43.68	50.33	41.71	43.62	11549833	519153792.00
2020/09/08	41.28	41.50	38.44	38.45	8578749	339562560.00
2020/09/09	37.38	37.68	34.25	34.25	6902682	248310672.00
2020/09/10	35.20	35.96	31.28	31.70	6035619	201981952.00
2020/09/11	30.99	34.40	30.30	33.00	6607704	213840192.00
2020/09/14	32.58	34.85	32.20	34.80	6852799	231863424.00
2020/09/15	34.40	38.10	33.60	36.01	8459408	303971840.00
2020/09/16	36.07	43.21	34.50	43.21	10294931	403957696.00
2020/09/17	47.07	51.85	44.00	51.85	17397470	857771712.00
2020/09/18	51.00	54.22	45.70	46.08	14167583	699609280.00
2020/09/21	43.39	48.26	42.51	47.20	11506570	512131488.00
2020/09/22	44.00	45.50	41.01	41.90	7980515	348220288.00
2020/09/23	41.89	44.18	41.89	42.99	6279023	271624800.00
2020/09/24	42.01	46.99	41.34	43.73	8795937	386088864.00
2020/09/25	43.08	46.43	38.21	39.72	7540109	325293408.00
2020/09/28	38.52	39.69	36.05	36.20	5907961	221744400.00
2020/09/29	36.96	37.20	35.92	36.20	3699760	135024832.00
2020/09/30	36.51	37.80	35.81	36.21	3884206	142536624.00
2020/10/09	37.07	39.48	36.61	39.10	5268186	200988976.00
2020/10/12	39.23	44.50	39.23	43.15	6947804	287487840.00
2020/10/13	42.78	42.85	41.01	42.03	6183826	259603776.00
2020/10/14	41.81	46.00	41.75	44.44	8492335	373336000.00
2020/10/15	43.60	44.45	41.08	42.80	6308054	269533696.00
2020/10/16	42.51	43.43	40.92	41.95	4590664	193562928.00
2020/10/19	41.90	42.57	40.08	40.60	3513387	144518880.00
2020/10/20	40.06	45.29	40.01	43.88	7216559	311140000.00
2020/10/21	44.99	51.50	43.70	49.99	12271657	574699456.00
2020/10/22	47.00	51.60	46.78	47.87	10953720	536495936.00
2020/10/23	48.41	50.50	46.10	49.00	8891691	433887424.00
2020/10/26	48.20	54.09	48.20	54.03	10772787	551422848.00
2020/10/27	52.70	53.68	49.10	50.15	7633831	390575360.00
2020/10/28	49.69	51.13	47.51	51.09	6438408	319409696.00
2020/10/29	49.30	50.00	46.18	46.31	5545993	268276272.00
2020/10/30	45.88	47.68	44.13	44.44	4964851	226893072.00
2020/11/02	44.24	46.80	44.24	46.50	4072727	186672832.00
2020/11/03	46.51	47.30	45.70	46.18	3532447	164060016.00
2020/11/04	46.72	48.00	45.15	46.04	3400937	157710448.00
2020/11/05	46.60	49.94	46.60	49.60	7617109	369299392.00
2020/11/06	49.00	49.84	46.35	47.21	4786612	228424000.00
2020/11/09	47.61	49.15	45.08	47.23	4446617	209766448.00
2020/11/10	47.56	47.60	43.74	44.03	4976718	224377376.00
2020/11/11	43.54	45.80	43.04	44.18	3885276	173687008.00
2020/11/12	43.50	43.93	40.18	40.36	4255601	176322624.00
2020/11/13	40.02	41.49	39.50	40.40	2245960	90814720.00
2020/11/16	40.71	44.20	40.18	43.95	4664880	199330048.00
2020/11/17	43.67	44.50	41.84	42.73	3919355	169612528.00
2020/11/18	42.70	43.80	42.10	42.86	2749155	117763392.00
2020/11/19	42.36	42.40	41.12	41.41	2540550	106080072.00
2020/11/20	41.41	42.31	40.62	41.32	2160106	89499520.00
2020/11/23	41.91	44.09	41.79	42.78	3785022	162759232.00
2020/11/24	41.90	43.38	40.91	41.40	3480907	145533920.00
2020/11/25	41.07	41.50	38.86	38.87	3722530	147934864.00
2020/11/26	38.87	39.37	38.50	39.22	1869675	72931552.00
2020/11/27	38.91	42.27	38.90	40.40	4866720	199566912.00
2020/11/30	40.02	40.58	39.10	39.16	2657389	105050192.00
2020/12/01	39.10	39.94	38.66	39.75	1906730	75389344.00
2020/12/02	39.83	40.79	39.80	40.11	2203400	88647568.00
2020/12/03	39.34	40.45	39.34	39.66	1927600	76878576.00
2020/12/04	40.18	40.44	38.86	38.95	1518375	59756808.00
2020/12/07	38.95	39.91	38.80	38.89	1096200	42993972.00
2020/12/08	38.85	39.65	37.77	39.59	2006717	77615976.00
2020/12/09	39.21	39.95	38.64	38.88	1741312	68393296.00
2020/12/10	38.88	46.66	38.70	46.46	12695356	565607680.00
2020/12/11	44.19	45.49	42.38	43.32	8995830	393964384.00
2020/12/14	43.00	43.19	40.72	41.80	6226296	259003264.00
2020/12/15	41.28	41.79	40.25	41.70	4740067	194434528.00
2020/12/16	41.31	41.47	38.36	38.50	5299932	208869008.00
2020/12/17	37.45	39.35	36.00	38.84	5119407	191744848.00
2020/12/18	38.25	40.01	37.60	37.60	3709098	143410912.00
2020/12/21	37.61	38.50	37.36	37.66	3329637	125993008.00
2020/12/22	36.99	37.36	34.95	34.95	4250441	153452944.00
2020/12/23	34.61	35.46	33.97	34.32	2623134	90452008.00
2020/12/24	34.01	35.50	33.84	34.11	2594598	89513008.00
2020/12/25	33.86	35.98	33.31	34.77	3238030	113495648.00
2020/12/28	34.50	34.97	33.42	34.21	2660032	90373456.00
2020/12/29	33.71	34.65	33.60	33.99	2008332	68464320.00
2020/12/30	33.60	35.15	33.51	33.98	2073692	71138064.00
2020/12/31	33.75	34.68	33.53	34.61	2111137	72546376.00
2021/01/04	34.60	36.03	34.52	35.60	2610272	92734040.00
2021/01/05	35.45	36.43	35.01	35.10	2565058	91445640.00
2021/01/06	34.96	35.10	32.89	33.01	3166368	106702568.00
2021/01/07	32.90	35.50	31.76	33.57	4533268	153965696.00
2021/01/08	32.34	33.19	30.00	30.90	3647899	113811288.00
2021/01/11	30.88	31.34	28.16	28.53	3529375	103938408.00
2021/01/12	28.31	29.88	28.29	28.72	2435853	70680920.00
2021/01/13	28.76	29.19	27.02	27.12	2727882	75672352.00
2021/01/14	26.78	28.60	26.60	28.16	3075361	85777344.00
2021/01/15	28.18	32.15	28.15	30.99	4475141	136269424.00
2021/01/18	31.00	32.14	30.37	30.92	3125490	97126568.00
2021/01/19	31.70	32.32	30.33	31.20	3003654	94665424.00
2021/01/20	31.08	34.90	31.08	32.20	4197924	137913776.00
2021/01/21	31.49	32.00	30.73	30.89	3059955	95106040.00
2021/01/22	31.07	31.37	29.82	29.88	1969018	59547876.00
2021/01/25	29.36	29.96	28.61	28.80	1875100	54363560.00
2021/01/26	28.90	30.97	28.76	29.22	2563589	76884840.00
2021/01/27	28.93	30.65	28.81	30.28	2647165	79169408.00
2021/01/28	29.69	31.17	29.00	29.19	1912677	57245228.00
2021/01/29	29.20	30.46	29.20	30.02	2185700	65481760.00
2021/02/01	30.26	31.28	29.49	31.08	2914654	89491256.00
2021/02/02	30.75	31.30	29.01	29.22	3142586	94185208.00
2021/02/03	29.08	29.27	27.72	27.95	2042524	57636860.00
2021/02/04	28.04	29.05	27.15	28.72	2380548	67176192.00
