300971 博亚精工 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/04/15	50.00	53.28	45.02	45.26	13903734	696295744.00
2021/04/16	41.66	46.00	41.22	45.31	9244589	405515872.00
2021/04/19	44.00	45.36	42.00	44.40	7312587	319684128.00
2021/04/20	44.65	45.25	40.66	40.91	8091486	347493920.00
2021/04/21	39.45	40.20	37.00	37.16	7098246	272234368.00
2021/04/22	37.10	37.58	36.11	36.59	4448224	163848000.00
2021/04/23	36.95	37.77	36.76	36.87	4186391	155762992.00
2021/04/26	36.18	37.28	35.86	36.80	3149157	114886992.00
2021/04/27	36.60	36.69	34.63	35.06	3587896	127211936.00
2021/04/28	35.35	37.09	35.30	36.50	3825057	139198528.00
2021/04/29	36.27	37.71	36.13	36.98	3825252	141469088.00
2021/04/30	36.59	37.40	35.03	35.14	3206833	115886432.00
2021/05/06	35.12	37.24	34.80	37.24	3594364	131212216.00
2021/05/07	37.60	38.52	36.61	37.46	3779079	141317920.00
2021/05/10	37.59	37.60	36.11	36.24	2769890	101853056.00
2021/05/11	35.86	38.18	35.72	38.18	3612050	134861984.00
2021/05/12	38.80	40.98	37.90	37.97	5384396	212051040.00
2021/05/13	37.14	37.95	36.40	37.00	3298258	122292560.00
2021/05/14	37.20	37.60	36.72	36.99	2408627	89413952.00
2021/05/17	37.00	37.17	35.40	35.90	3077863	110532728.00
2021/05/18	35.63	36.97	35.63	36.20	2221770	80946648.00
2021/05/19	36.04	36.54	35.61	35.66	2055076	73867400.00
2021/05/20	35.66	38.12	35.50	37.81	4201386	155938080.00
2021/05/21	37.30	37.74	36.21	36.47	3037761	111713976.00
2021/05/24	36.37	38.68	36.02	38.59	4084576	154349280.00
2021/05/25	38.99	39.20	37.55	38.12	3058851	116150280.00
2021/05/26	37.97	38.62	37.32	38.24	2937366	111610576.00
2021/05/27	38.20	38.20	37.56	37.75	2230716	84301648.00
2021/05/28	37.78	38.14	36.66	36.75	2502080	93613688.00
2021/05/31	36.76	38.36	36.67	38.29	3035334	114326480.00
2021/06/01	37.92	38.46	37.61	37.98	2513033	95507944.00
2021/06/02	38.24	38.69	37.82	38.36	2626670	100349368.00
2021/06/03	38.67	38.76	37.61	37.65	2368883	89994832.00
2021/06/04	37.38	38.50	37.23	37.51	1797479	68024864.00
2021/06/07	37.52	38.30	37.23	37.55	1683540	63534320.00
2021/06/08	37.53	39.38	37.30	39.01	3985544	153523808.00
2021/06/09	38.82	39.30	38.08	38.19	2977370	114513048.00
2021/06/10	38.29	38.66	37.65	37.97	2481772	94658920.00
2021/06/11	37.52	38.35	37.31	38.13	2546270	96194552.00
2021/06/15	38.14	38.16	35.97	36.19	2875096	104919440.00
2021/06/16	35.90	36.00	34.71	34.86	2348354	82527256.00
2021/06/17	34.32	35.06	34.32	34.59	1187466	41154252.00
2021/06/18	34.65	35.45	34.65	35.30	1327851	46697952.00
2021/06/21	34.89	35.97	34.89	35.92	1477324	52638384.00
2021/06/22	36.51	38.50	36.51	36.60	3258320	121868560.00
2021/06/23	36.53	38.20	36.53	37.01	2681609	100175760.00
2021/06/24	36.60	37.54	36.03	36.15	2016713	73889832.00
2021/06/25	36.00	36.27	35.60	35.70	1372023	49161916.00
2021/06/28	36.39	36.39	35.69	36.13	1040137	37485524.00
2021/06/29	36.23	36.23	35.01	35.23	1469993	52075136.00
2021/06/30	35.23	35.54	35.08	35.26	974779	34435572.00
2021/07/01	35.51	35.51	34.46	34.50	1181784	41370472.00
2021/07/02	34.79	34.89	33.88	34.01	1052297	36094976.00
2021/07/05	34.01	34.30	33.92	34.29	817409	27876136.00
2021/07/06	34.80	35.24	34.19	34.98	1421999	49350548.00
2021/07/07	34.68	35.23	34.61	35.08	1031287	36136496.00
2021/07/08	35.12	35.74	34.81	35.21	1588462	56069332.00
2021/07/09	35.21	35.82	35.01	35.60	1473674	52304168.00
2021/07/12	36.00	36.00	35.17	35.35	1453920	51429316.00
2021/07/13	35.59	35.59	34.72	34.83	1241864	43471892.00
2021/07/14	34.76	35.11	34.60	35.06	858917	29921566.00
2021/07/15	35.05	35.09	34.07	34.34	1052900	36199952.00
2021/07/16	34.35	34.85	34.10	34.30	880654	30380454.00
2021/07/19	34.08	34.53	33.68	33.86	1021083	34686412.00
2021/07/20	33.83	33.83	32.91	33.09	1200091	39788872.00
2021/07/21	33.30	33.86	32.95	33.57	1170060	39139768.00
2021/07/22	33.57	34.17	33.08	34.14	1530320	51403672.00
2021/07/23	34.50	35.86	34.26	35.06	3214865	113314424.00
2021/07/26	34.60	35.34	33.65	33.94	1906982	65335688.00
2021/07/27	34.34	35.23	33.82	34.20	1650805	56926744.00
2021/07/28	33.79	34.00	32.04	32.07	1659669	54013988.00
2021/07/29	32.07	32.78	32.07	32.35	1243822	40378744.00
2021/07/30	32.00	32.80	31.90	32.51	1103595	35841996.00
2021/08/02	32.51	34.18	32.05	34.14	1910313	63785604.00
2021/08/03	34.40	35.28	33.67	33.76	2128746	73346392.00
2021/08/04	33.73	34.85	33.73	34.67	1834095	63254120.00
2021/08/05	34.74	35.96	34.41	35.64	2973082	105110400.00
2021/08/06	36.00	36.30	34.72	35.20	2381306	83933888.00
2021/08/09	35.41	36.35	35.16	35.48	2285880	81992312.00
2021/08/10	35.39	37.37	35.28	36.55	3480584	126821808.00
2021/08/11	36.46	37.57	36.21	37.40	3252082	120336464.00
2021/08/12	37.00	37.02	35.71	36.33	2603130	94141992.00
2021/08/13	36.20	42.01	36.00	38.40	5447354	212664224.00
2021/08/16	38.50	40.50	37.51	39.93	5042842	197382512.00
2021/08/17	39.23	39.56	37.58	37.80	3934134	150845856.00
2021/08/18	37.33	38.60	37.06	38.39	2843137	107495528.00
2021/08/19	37.70	39.40	36.76	38.38	3375084	128241008.00
2021/08/20	39.25	42.58	38.50	40.14	5381935	217303632.00
2021/08/23	41.46	47.67	41.00	45.23	7968836	350348480.00
2021/08/24	44.66	47.37	43.25	43.97	7299270	324611008.00
2021/08/25	43.14	43.69	41.61	42.08	4628064	195371824.00
2021/08/26	42.27	46.37	41.04	44.50	6397843	280910816.00
2021/08/27	44.00	52.86	42.62	48.02	8298838	396435232.00
2021/08/30	48.02	54.76	46.22	51.95	7699222	380619616.00
2021/08/31	51.82	53.33	48.10	48.20	6557650	332868576.00
2021/09/01	48.78	49.23	45.51	46.36	4684744	220094960.00
2021/09/02	46.05	49.57	45.56	48.65	4327973	208592256.00
2021/09/03	47.60	50.88	44.60	46.03	4189503	199232960.00
2021/09/06	46.01	46.19	43.35	45.15	3338556	148535824.00
2021/09/07	44.52	45.72	44.37	45.10	2316541	104328232.00
2021/09/08	44.72	44.97	42.98	42.98	3114727	136133024.00
2021/09/09	42.83	43.80	41.70	42.50	2369624	100772056.00
2021/09/10	42.74	42.96	41.30	41.93	1854494	77603096.00
2021/09/13	42.00	42.65	41.16	41.62	1712468	71653152.00
2021/09/14	41.76	44.65	41.40	43.97	3886253	167451824.00
2021/09/15	43.00	44.38	42.21	43.16	2680394	115357256.00
2021/09/16	42.95	45.36	42.36	43.55	3022003	132522328.00
2021/09/17	43.50	43.50	39.65	39.75	3110767	128349720.00
2021/09/22	38.69	40.31	38.59	39.34	1363878	53803976.00
2021/09/23	39.92	39.95	39.17	39.59	1104152	43615772.00
2021/09/24	39.30	39.54	37.92	38.07	1435300	55383640.00
2021/09/27	37.91	38.56	36.15	36.38	1209636	44772536.00
2021/09/28	36.59	38.10	36.11	37.05	1174480	43801732.00
