301071 力量钻石 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/09/24	185.58	288.00	185.58	250.00	12793492	2887111680.00
2021/09/27	228.10	246.00	208.80	220.00	6020591	1382515328.00
2021/09/28	225.00	240.50	215.03	215.03	3569254	815860224.00
2021/09/29	210.13	222.88	203.00	208.65	3115680	659532992.00
2021/09/30	212.00	212.00	186.88	202.88	4891626	972052416.00
2021/10/08	202.00	220.03	200.82	203.15	2635711	554050048.00
2021/10/11	199.99	243.78	195.53	239.99	5114653	1142941312.00
2021/10/12	232.13	246.02	228.11	236.00	3280614	773842304.00
2021/10/13	236.00	258.50	225.00	250.00	3042962	722200000.00
2021/10/14	247.00	279.00	246.50	277.97	3914904	1028351040.00
2021/10/15	280.00	305.88	271.20	276.00	4420093	1271582464.00
2021/10/18	268.00	313.00	265.08	313.00	3998756	1136251520.00
2021/10/19	302.02	303.90	286.16	296.00	3221462	949253760.00
2021/10/20	298.00	315.41	295.85	301.49	3135109	959285632.00
2021/10/21	300.00	325.02	289.35	318.91	2701110	837830592.00
2021/10/22	312.98	319.99	290.90	301.50	2621877	791475840.00
2021/10/25	294.99	314.87	294.99	314.16	2367329	718885952.00
2021/10/26	290.00	303.05	274.02	277.85	3842962	1097670016.00
2021/10/27	278.01	284.98	271.00	275.33	2323434	642199680.00
2021/10/28	275.50	281.01	264.01	267.09	1909134	524178592.00
2021/10/29	268.01	290.00	265.03	288.30	2738102	767836800.00
2021/11/01	282.00	299.80	268.03	286.85	2210349	630781312.00
2021/11/02	289.99	309.50	286.85	296.00	2240500	672162112.00
2021/11/03	294.73	298.00	278.00	282.02	1692684	481945728.00
2021/11/04	285.01	303.00	281.10	302.00	1755896	513935328.00
2021/11/05	298.07	328.00	297.00	314.20	2191955	690428544.00
2021/11/08	309.00	333.30	309.00	327.22	1986195	645821824.00
2021/11/09	327.21	333.98	315.18	320.85	1822382	590818432.00
2021/11/10	320.85	324.40	300.00	323.00	2117313	659427648.00
2021/11/11	319.00	345.22	312.17	339.00	2104006	694596736.00
2021/11/12	335.00	343.03	321.00	333.50	1556408	516737664.00
2021/11/15	330.13	332.98	313.18	314.46	1459816	470007936.00
2021/11/16	313.01	323.99	306.03	312.10	1346213	423492384.00
2021/11/17	311.99	316.99	305.18	316.48	1078835	337402592.00
2021/11/18	316.01	322.98	306.20	310.20	1202553	378824576.00
2021/11/19	307.00	314.50	303.33	306.80	1086094	335261248.00
2021/11/22	305.33	331.00	305.28	327.01	1463892	471770400.00
2021/11/23	325.99	366.64	323.07	353.00	1850848	643341568.00
2021/11/24	351.80	356.00	334.22	340.00	1218100	418752064.00
2021/11/25	345.00	350.49	333.13	334.53	817475	277299520.00
2021/11/26	334.54	343.33	329.33	337.40	965699	324523808.00
