301085 亚康股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/10/18	42.77	42.77	35.44	35.45	9987476	375893536.00
2021/10/19	33.11	36.10	32.71	35.65	7734204	264267200.00
2021/10/20	36.00	36.80	33.33	33.41	6918833	240611664.00
2021/10/21	31.89	33.00	31.52	31.86	5204721	166612864.00
2021/10/22	31.99	34.13	31.80	32.82	6637795	220025488.00
2021/10/25	31.77	31.78	30.44	30.66	5384907	166094336.00
2021/10/26	30.32	31.71	30.31	31.11	4034201	124959896.00
2021/10/27	30.63	31.45	29.45	31.03	4948624	150837216.00
2021/10/28	30.51	31.02	29.12	29.20	3469364	104211744.00
2021/10/29	29.07	29.95	29.07	29.20	2379402	70023616.00
2021/11/01	29.28	29.90	28.64	29.86	3004254	88139160.00
2021/11/02	29.72	30.20	28.74	28.80	2885184	85126192.00
2021/11/03	28.89	29.98	28.89	29.70	2341571	69190088.00
2021/11/04	29.69	30.25	29.55	29.92	2397886	71498480.00
2021/11/05	29.96	31.30	29.95	30.84	4173473	128386376.00
2021/11/08	31.61	31.76	30.17	31.04	3463332	106940712.00
2021/11/09	30.92	32.76	30.66	32.15	4574528	146024080.00
2021/11/10	32.00	32.76	31.31	32.66	4291830	137272384.00
2021/11/11	32.00	33.54	31.68	32.55	4594306	150944912.00
2021/11/12	32.38	36.83	32.38	36.00	8146256	284796832.00
2021/11/15	37.82	43.01	36.90	38.30	9182431	361370432.00
2021/11/16	38.33	38.89	35.66	35.70	6311690	232508288.00
2021/11/17	35.02	37.49	35.02	36.68	4382034	160243120.00
2021/11/18	36.16	38.09	35.84	35.86	4104406	150314464.00
2021/11/19	35.87	36.58	35.08	35.40	3146817	112300600.00
2021/11/22	35.70	36.28	35.11	35.85	2551775	91195632.00
2021/11/23	36.02	36.35	35.10	35.40	2555800	90546576.00
2021/11/24	35.60	36.51	35.18	36.44	3033500	109145032.00
2021/11/25	36.62	36.69	34.85	34.90	3319998	117563872.00
2021/11/26	34.61	35.33	34.20	34.30	2173700	75230224.00
2021/11/29	34.31	34.78	34.02	34.60	1653975	56931944.00
2021/11/30	35.53	38.75	35.08	37.42	7108147	262100752.00
2021/12/01	36.88	38.70	36.60	37.32	5641355	211722672.00
2021/12/02	36.57	37.49	35.13	35.13	3476541	125112680.00
2021/12/03	35.04	35.38	33.68	33.72	2496500	85629528.00
2021/12/06	33.80	33.90	32.11	32.36	1973675	64417584.00
2021/12/07	32.50	32.78	31.74	32.08	1397184	44878908.00
2021/12/08	32.20	32.68	31.83	32.40	1431699	46311020.00
2021/12/09	32.60	33.25	32.49	32.55	1454933	47677352.00
2021/12/10	32.20	32.93	32.12	32.64	1200600	39112480.00
2021/12/13	32.66	33.37	32.50	33.18	1688069	55661964.00
2021/12/14	33.10	34.42	32.86	34.42	2423417	82018720.00
2021/12/15	34.18	34.88	33.88	34.18	2163531	74455272.00
2021/12/16	34.10	36.18	34.01	36.16	3636776	128300552.00
2021/12/17	36.93	41.02	36.23	37.15	7043644	266890096.00
2021/12/20	35.56	36.21	34.51	34.77	4305903	151749744.00
2021/12/21	35.00	37.00	34.68	36.36	3764692	135941888.00
2021/12/22	35.97	37.97	35.88	37.16	4066058	149902144.00
2021/12/23	36.55	37.10	35.62	35.65	3313149	120280408.00
2021/12/24	36.20	36.50	33.50	33.61	2523378	87534312.00
2021/12/27	33.17	33.58	32.68	33.20	1385647	45894576.00
2021/12/28	32.96	33.69	32.96	33.35	1313238	43825332.00
2021/12/29	33.19	33.72	32.71	33.51	1177938	39169580.00
2021/12/30	33.45	34.42	33.41	33.69	1397699	47234180.00
2021/12/31	33.60	34.29	33.21	33.34	1362100	45875780.00
2022/01/04	33.40	34.13	33.25	33.87	1461527	49266028.00
2022/01/05	33.86	33.98	31.99	32.33	2050300	66860120.00
2022/01/06	32.01	32.82	32.01	32.65	881000	28641736.00
2022/01/07	32.66	32.95	31.91	32.00	1226500	39792188.00
2022/01/10	32.12	32.39	31.12	32.37	1059719	33816580.00
2022/01/11	32.60	32.99	32.24	32.43	1084200	35337516.00
2022/01/12	32.46	33.02	32.39	32.92	1060900	34796992.00
2022/01/13	33.25	34.50	33.04	34.35	2798795	94712392.00
2022/01/14	33.90	34.47	33.50	33.72	1815700	61703356.00
2022/01/17	33.87	36.84	33.72	36.08	4072606	145259392.00
2022/01/18	37.45	38.67	35.15	35.44	6492056	240255536.00
2022/01/19	34.19	41.60	34.06	40.05	9084387	341995520.00
2022/01/20	39.00	39.25	36.00	36.16	6845313	253423264.00
2022/01/21	36.00	37.55	35.54	35.94	4084314	149007072.00
2022/01/24	35.44	38.38	35.44	36.74	4159092	153581216.00
2022/01/25	36.69	38.54	34.82	36.93	4775400	174419024.00
2022/01/26	36.96	39.10	35.90	38.45	5702106	215149856.00
2022/01/27	37.70	37.70	32.60	32.63	4886287	167885712.00
2022/01/28	32.63	36.18	32.63	35.25	4309384	149515248.00
2022/02/07	36.03	36.50	34.50	35.54	2723947	96198312.00
2022/02/08	35.33	37.87	34.03	37.50	4713704	172711600.00
2022/02/09	37.52	37.94	36.62	37.51	3828526	143278432.00
2022/02/10	37.32	39.40	36.98	38.60	5313968	203822848.00
2022/02/11	38.10	38.26	36.16	37.38	4269894	158068240.00
2022/02/14	36.85	37.29	35.90	37.07	2997745	109931664.00
2022/02/15	38.05	38.88	36.20	36.23	2949743	109846376.00
2022/02/16	36.33	37.62	35.68	37.26	3661253	134226240.00
