301156 美农生物 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/06/17	38.00	39.00	34.52	34.53	11303948	416493056.00
2022/06/20	32.48	37.70	32.10	37.60	11463183	405099296.00
2022/06/21	38.08	41.66	36.09	36.18	12117259	473345024.00
2022/06/22	34.37	35.58	32.90	33.11	10061295	341561856.00
2022/06/23	32.34	33.45	31.66	32.58	7586435	245907984.00
2022/06/24	32.10	32.77	31.76	31.77	5675994	182045376.00
2022/06/27	31.30	32.57	31.30	32.39	5371148	172621040.00
2022/06/28	32.02	32.20	31.40	31.79	4749308	150596336.00
2022/06/29	31.50	31.82	30.26	30.29	4442811	136968592.00
2022/06/30	30.10	30.57	30.06	30.46	2949743	89445056.00
2022/07/01	31.32	32.25	31.21	31.28	6061458	191928656.00
2022/07/04	30.28	32.99	30.28	32.87	7136947	227225568.00
2022/07/05	31.91	32.00	30.61	30.97	5341038	166815440.00
2022/07/06	30.47	30.93	29.80	29.95	3286912	99483224.00
2022/07/07	29.88	30.27	29.54	29.68	2361942	70442008.00
2022/07/08	29.41	29.88	29.41	29.58	1862313	55184712.00
2022/07/11	29.60	30.48	29.39	29.75	1843787	55010336.00
2022/07/12	29.31	29.88	29.29	29.49	1466424	43243352.00
2022/07/13	29.40	29.55	28.94	29.11	1746365	50910048.00
2022/07/14	29.05	30.02	28.80	29.75	2503174	73829920.00
2022/07/15	29.55	30.08	29.51	29.52	2227510	66421968.00
2022/07/18	29.90	30.10	29.58	30.02	1940913	58047656.00
2022/07/19	30.00	30.20	29.59	29.92	1808004	53959036.00
2022/07/20	29.90	30.29	29.80	30.03	1926305	57824888.00
2022/07/21	29.90	30.10	29.60	29.61	1740700	51957292.00
2022/07/22	29.60	29.94	28.90	29.16	1470842	43247832.00
2022/07/25	29.01	29.30	28.88	29.30	1158002	33699608.00
2022/07/26	29.75	29.77	29.10	29.31	1064600	31272968.00
2022/07/27	29.11	29.49	29.11	29.47	1155100	33844148.00
2022/07/28	29.44	29.78	29.25	29.33	1360451	40154644.00
2022/07/29	29.33	29.62	29.08	29.11	1437347	42159604.00
2022/08/01	28.98	29.09	28.55	29.09	1300827	37537336.00
2022/08/02	28.80	28.87	26.93	27.12	1937292	53467180.00
2022/08/03	27.18	27.59	26.90	27.00	1147857	31322872.00
2022/08/04	27.18	27.50	26.98	27.50	994651	27132896.00
2022/08/05	27.37	27.67	27.30	27.57	1018400	27999854.00
