301176 逸豪新材 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/09/28	23.60	23.60	21.65	22.00	16680867	374748800.00
2022/09/29	21.45	21.52	19.81	19.81	12841142	263475040.00
2022/09/30	19.39	20.00	18.73	18.77	7794350	150007312.00
2022/10/10	18.77	19.16	17.98	18.20	5831339	107702288.00
2022/10/11	18.21	18.88	18.20	18.54	4685108	86702528.00
2022/10/12	18.30	18.88	18.02	18.88	4795486	88372152.00
2022/10/13	18.80	19.30	18.68	18.76	5119434	96972200.00
2022/10/14	18.96	19.52	18.95	19.07	4671295	89551368.00
2022/10/17	18.92	19.59	18.88	19.40	4384326	84617168.00
2022/10/18	19.40	19.72	19.14	19.18	3667455	70984688.00
2022/10/19	19.10	19.30	18.64	18.64	3302336	62298280.00
2022/10/20	18.64	19.44	18.41	18.98	4453245	84821872.00
2022/10/21	18.95	19.07	18.64	18.74	2451287	46172020.00
2022/10/24	18.80	19.19	18.42	18.54	2706265	50923600.00
2022/10/25	18.55	18.68	18.00	18.15	2420066	44175584.00
2022/10/26	18.28	18.68	18.28	18.49	2224305	41085144.00
2022/10/27	18.49	18.77	18.42	18.42	2320847	43106208.00
2022/10/28	18.14	18.40	17.31	17.31	3858816	68516112.00
2022/10/31	17.38	17.75	17.22	17.62	1681278	29550904.00
2022/11/01	17.62	17.88	17.51	17.87	1862820	33058940.00
2022/11/02	17.91	18.24	17.86	18.20	2196100	39819680.00
2022/11/03	18.20	18.42	18.02	18.29	2056234	37463668.00
2022/11/04	18.20	18.56	18.20	18.45	2266072	41761144.00
2022/11/07	18.46	18.73	18.40	18.61	2676749	49860676.00
2022/11/08	18.68	18.73	18.41	18.65	1955606	36285056.00
2022/11/09	18.91	18.99	18.58	18.60	2252299	42293220.00
2022/11/10	18.50	18.65	18.29	18.33	2139554	39464044.00
2022/11/11	18.63	18.87	18.43	18.46	2048830	38156424.00
2022/11/14	18.46	18.64	18.33	18.42	1474759	27254940.00
2022/11/15	18.54	18.97	18.45	18.94	2952729	55539952.00
