301233 盛帮股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/07/06	59.79	59.79	57.08	57.13	7803461	453175712.00
2022/07/07	55.00	55.00	48.90	49.10	5847649	295470624.00
2022/07/08	47.15	49.72	46.91	47.15	3921294	187810816.00
2022/07/11	46.05	47.50	45.50	46.21	2684920	124058656.00
2022/07/12	46.20	48.73	46.01	47.71	3445378	162213888.00
2022/07/13	46.87	47.38	44.83	44.93	3578663	163207584.00
2022/07/14	45.00	47.30	44.80	46.84	3589539	165715088.00
2022/07/15	48.23	49.50	46.70	46.73	4308799	208006432.00
2022/07/18	45.60	46.30	44.50	46.25	2987072	135823840.00
2022/07/19	45.70	46.48	45.12	45.86	2344060	107578560.00
2022/07/20	45.98	47.48	45.69	47.21	3073796	143317440.00
2022/07/21	46.77	47.56	46.20	46.43	2394253	111749512.00
2022/07/22	46.33	47.50	46.19	47.01	2330047	109112232.00
2022/07/25	47.00	47.45	45.69	46.30	1901400	88110368.00
2022/07/26	46.56	46.75	45.24	46.12	1413866	65025516.00
2022/07/27	46.00	47.35	45.59	46.85	2068226	96654920.00
2022/07/28	46.92	47.87	46.83	46.83	2111258	99729896.00
2022/07/29	46.76	48.39	46.25	47.36	2481040	117691632.00
2022/08/01	47.98	49.89	47.60	49.00	2965726	145172128.00
2022/08/02	48.22	48.80	45.03	45.59	2839895	131841912.00
2022/08/03	45.70	47.56	45.00	45.10	2579590	119726808.00
2022/08/04	45.48	48.69	45.48	48.69	3119448	146805056.00
2022/08/05	47.50	48.21	46.94	47.42	2397591	113704168.00
2022/08/08	47.40	48.79	46.51	48.49	2153571	102987288.00
2022/08/09	48.50	49.38	47.86	47.87	1684610	81270840.00
2022/08/10	47.70	49.79	47.50	49.45	2707080	132661040.00
2022/08/11	49.46	49.56	48.40	48.85	2244726	109447040.00
2022/08/12	48.59	48.66	47.30	47.39	1975645	94611296.00
2022/08/15	47.00	47.79	46.72	46.78	1441813	67749160.00
2022/08/16	46.92	48.51	46.92	47.77	2037837	97620360.00
2022/08/17	47.50	47.93	46.40	46.49	2067401	96946432.00
2022/08/18	46.65	47.80	46.40	46.74	1584518	74565112.00
2022/08/19	46.52	47.08	45.16	45.38	1897147	87100808.00
2022/08/22	45.58	45.99	45.28	45.63	1219399	55502780.00
2022/08/23	45.60	45.99	44.92	45.17	1100127	49968044.00
2022/08/24	45.25	45.30	43.00	43.30	1486538	65225884.00
2022/08/25	43.45	43.48	42.30	42.66	978924	41879492.00
2022/08/26	42.50	43.98	41.88	43.37	1418886	60999644.00
2022/08/29	42.75	43.25	42.12	43.04	623239	26686956.00
2022/08/30	43.10	43.34	42.57	43.08	611485	26279990.00
2022/08/31	43.00	43.01	41.50	41.79	761989	31990236.00
2022/09/01	41.78	42.20	41.17	41.34	431611	17973204.00
2022/09/02	41.46	41.80	41.05	41.56	539679	22338010.00
2022/09/05	41.57	41.95	41.11	41.32	441436	18298712.00
2022/09/06	41.32	42.10	41.16	41.85	483007	20111880.00
2022/09/07	41.79	42.05	41.58	41.93	411929	17257062.00
2022/09/08	42.01	43.26	41.20	42.14	1034581	43968780.00
2022/09/09	41.78	42.15	41.37	41.52	686018	28501958.00
2022/09/13	41.53	42.66	41.53	42.43	615984	25947318.00
2022/09/14	41.79	42.82	41.51	42.75	722603	30538948.00
2022/09/15	44.38	45.63	41.76	42.17	1240124	53632376.00
2022/09/16	41.00	41.90	40.11	40.21	943295	38775888.00
2022/09/19	40.07	40.21	38.70	38.83	699666	27526430.00
2022/09/20	40.50	46.60	40.50	42.78	4265117	187567584.00
2022/09/21	42.22	42.64	40.41	41.51	2931405	120545024.00
2022/09/22	40.70	41.50	40.57	40.57	1590538	65127304.00
2022/09/23	40.61	44.19	40.60	42.57	3325990	141793216.00
2022/09/26	41.82	42.48	40.78	41.30	1894609	78256936.00
2022/09/27	41.23	41.47	39.39	40.64	1726910	69616768.00
2022/09/28	40.01	40.50	38.86	38.87	1294484	51082496.00
2022/09/29	39.31	40.58	38.82	39.07	1236502	48858712.00
2022/09/30	39.05	39.49	37.40	37.48	1135635	43208420.00
2022/10/10	39.35	39.50	37.50	37.74	981810	37511764.00
2022/10/11	37.60	38.50	36.79	38.45	1002529	37779684.00
2022/10/12	38.43	38.96	37.17	38.93	1057013	40211388.00
2022/10/13	38.60	39.10	38.21	38.66	894473	34667360.00
2022/10/14	38.67	39.45	38.67	39.26	963676	37721332.00
2022/10/17	38.97	40.48	38.80	40.02	1149024	45722924.00
2022/10/18	39.90	40.40	39.22	39.78	967496	38307480.00
2022/10/19	39.58	39.59	38.80	38.80	692667	27114112.00
2022/10/20	38.51	39.05	38.01	38.73	772807	29855456.00
2022/10/21	38.79	38.90	37.89	38.19	575600	22060296.00
2022/10/24	38.28	38.95	37.59	38.37	924315	35529788.00
2022/10/25	38.30	38.30	36.91	37.65	905065	33847920.00
2022/10/26	37.68	38.66	37.68	38.27	746258	28569978.00
2022/10/27	39.02	39.28	37.70	37.70	837936	32325558.00
2022/10/28	37.58	37.62	36.57	36.62	799100	29546900.00
2022/10/31	36.62	37.37	36.41	37.17	462636	17151652.00
2022/11/01	37.19	38.40	37.19	38.18	721600	27375390.00
2022/11/02	38.13	38.91	38.13	38.43	835418	32182964.00
2022/11/03	38.42	39.00	38.08	38.89	775700	30017644.00
2022/11/04	38.75	39.60	38.74	39.22	976639	38363040.00
2022/11/07	39.22	39.67	39.02	39.50	739350	29113212.00
2022/11/08	39.59	39.70	39.08	39.44	562170	22126630.00
2022/11/09	39.69	40.65	39.35	39.35	592763	23531082.00
2022/11/10	39.02	39.70	38.66	38.84	657601	25683576.00
2022/11/11	39.48	39.77	38.75	38.89	753518	29497198.00
2022/11/14	39.15	39.24	38.58	38.78	452069	17584716.00
2022/11/15	38.69	39.55	38.69	39.55	665986	26171282.00
2022/11/16	39.31	39.82	39.31	39.37	601487	23800226.00
2022/11/17	39.58	39.58	38.91	39.39	437023	17117580.00
2022/11/18	39.30	39.60	38.80	38.81	590991	23181736.00
2022/11/21	38.94	38.97	38.32	38.94	592661	22891748.00
2022/11/22	39.00	39.39	38.33	38.46	597930	23262908.00
2022/11/23	38.59	38.59	37.39	37.98	608778	23048452.00
2022/11/24	38.29	38.96	38.06	38.13	539227	20712254.00
2022/11/25	38.30	38.36	37.61	37.62	379134	14333670.00
2022/11/28	37.62	37.62	37.02	37.44	350942	13085174.00
2022/11/29	37.34	38.23	37.34	38.00	385002	14560733.00
2022/11/30	38.02	38.56	37.81	38.10	471778	18017586.00
2022/12/01	38.39	38.62	38.04	38.17	463968	17777770.00
2022/12/02	38.28	38.65	38.11	38.55	478218	18392270.00
2022/12/05	38.59	39.18	38.54	38.95	539109	20946532.00
2022/12/06	38.88	39.00	38.60	38.67	383200	14852997.00
2022/12/07	38.61	38.83	38.00	38.40	427002	16427438.00
2022/12/08	38.70	38.70	38.20	38.25	287672	11035292.00
2022/12/09	38.44	38.44	37.91	37.93	384836	14654796.00
2022/12/12	37.90	37.90	37.41	37.72	252518	9508694.00
2022/12/13	37.65	37.80	37.30	37.66	417716	15694607.00
2022/12/14	37.65	37.80	37.49	37.54	225654	8486388.00
2022/12/15	37.54	37.93	37.54	37.86	211971	8007315.00
2022/12/16	37.87	37.87	36.89	36.94	451209	16787548.00
2022/12/19	36.90	37.07	35.99	36.11	317733	11536829.00
2022/12/20	36.40	36.56	36.04	36.46	237867	8642138.00
2022/12/21	36.46	36.46	35.38	35.59	338268	12115869.00
2022/12/22	35.80	35.92	34.50	34.50	388674	13625553.00
2022/12/23	34.50	34.60	33.99	34.41	234986	8076807.00
2022/12/26	34.60	35.08	34.50	35.02	178054	6216340.50
2022/12/27	35.16	35.45	34.85	35.10	177700	6223965.00
2022/12/28	34.84	34.85	34.29	34.33	215858	7445029.50
2022/12/29	34.30	34.68	34.23	34.32	208771	7186990.50
2022/12/30	34.56	34.79	34.35	34.51	178271	6158212.00
2023/01/03	34.23	35.26	34.23	35.18	311162	10842215.00
2023/01/04	35.42	35.44	35.00	35.15	233422	8232858.50
2023/01/05	35.28	35.44	35.02	35.25	186729	6579399.00
2023/01/06	35.12	35.60	34.60	35.59	717157	25217942.00
2023/01/09	35.54	36.06	35.17	35.79	563404	20095154.00
2023/01/10	35.70	35.84	35.35	35.51	368547	13099114.00
2023/01/11	35.73	35.73	34.91	34.97	402647	14193766.00
2023/01/12	35.15	38.09	35.15	36.60	1890321	70114392.00
2023/01/13	36.40	36.87	35.53	36.00	1142902	41116224.00
2023/01/16	35.82	36.49	35.81	36.33	579730	21002150.00
2023/01/17	36.47	39.74	36.21	38.36	2512646	95827960.00
2023/01/18	38.11	41.50	38.11	40.70	3887099	156698784.00
2023/01/19	40.71	41.91	39.62	40.79	2995637	122099728.00
2023/01/20	40.67	42.50	40.50	42.01	2483416	103455952.00
2023/01/30	44.02	50.41	42.95	50.41	6982218	329029696.00
2023/01/31	48.00	53.10	45.89	52.90	6324286	311692704.00
2023/02/01	50.68	59.50	50.66	54.23	7353551	405984032.00
2023/02/02	52.00	53.53	48.50	49.30	6566179	333883776.00
2023/02/03	48.30	52.95	48.30	50.08	5757341	290592192.00
2023/02/06	48.60	48.72	46.20	47.05	4982935	235056448.00
2023/02/07	46.64	47.54	45.80	47.53	3916113	182375360.00
2023/02/08	47.10	51.20	46.80	49.74	5420476	267290064.00
2023/02/09	47.31	48.76	47.25	48.24	4257639	203630912.00
2023/02/10	46.76	47.38	44.80	45.15	3947021	180553040.00
数据来源:通达信
