301266 宇邦新材 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/06/08	45.00	50.26	44.03	45.52	17051164	784884032.00
2022/06/09	46.60	48.66	44.19	44.50	13085679	603918784.00
2022/06/10	42.00	44.20	40.30	43.69	10970671	465020128.00
2022/06/13	42.99	46.50	42.00	44.15	10129000	453414272.00
2022/06/14	42.33	45.58	41.00	41.40	9875623	424318784.00
2022/06/15	41.76	42.55	38.31	38.33	10077514	406186816.00
2022/06/16	38.32	39.88	38.30	39.40	6697772	261628912.00
2022/06/17	38.06	43.58	37.92	41.85	8784590	357962304.00
2022/06/20	42.16	46.37	42.03	43.42	9056811	402530368.00
2022/06/21	43.90	52.10	43.07	49.53	12292122	591313984.00
2022/06/22	46.20	47.72	44.66	45.81	9208622	428739328.00
2022/06/23	46.00	53.11	46.00	50.60	9036395	439148352.00
2022/06/24	52.98	60.66	50.80	53.88	10056654	564745472.00
2022/06/27	58.00	62.18	55.66	61.90	9850712	572735936.00
2022/06/28	57.70	61.55	54.33	59.00	8860042	509472544.00
2022/06/29	57.10	57.39	52.65	52.65	6175168	336603008.00
2022/06/30	51.60	55.29	51.59	55.03	4959759	268754016.00
2022/07/01	54.03	57.92	53.85	54.11	4176564	233184688.00
2022/07/04	52.85	54.55	51.91	53.80	3754601	199531296.00
2022/07/05	53.82	54.01	49.13	49.66	3433533	173704656.00
2022/07/06	49.79	52.20	49.60	50.60	2858195	145096016.00
2022/07/07	50.50	53.30	47.23	52.72	4258057	215083536.00
2022/07/08	52.72	53.17	50.53	51.10	2448905	126259944.00
2022/07/11	52.00	53.50	50.09	52.55	3437380	179198608.00
2022/07/12	52.40	59.20	50.60	54.80	6099376	339651328.00
2022/07/13	53.95	57.57	53.00	56.99	5220742	292250912.00
2022/07/14	56.31	66.25	55.42	63.06	5761313	348917856.00
2022/07/15	63.51	65.85	61.20	62.22	4858605	305970368.00
2022/07/18	60.12	65.80	60.03	62.16	4349336	274345440.00
2022/07/19	61.00	72.00	61.00	69.81	5270377	350763776.00
2022/07/20	67.90	73.66	65.12	67.99	3913677	267162048.00
2022/07/21	67.99	70.69	66.12	67.37	2515088	170881296.00
2022/07/22	67.12	70.59	66.53	68.06	2254581	154395984.00
2022/07/25	67.16	70.00	64.00	66.58	3125193	207597248.00
2022/07/26	66.56	71.58	66.56	71.07	3090214	215603872.00
2022/07/27	71.00	73.50	69.36	72.08	2517755	180509360.00
2022/07/28	71.90	73.88	70.00	73.74	2283844	164232288.00
2022/07/29	75.48	75.88	71.50	72.00	1868441	136997328.00
2022/08/01	71.23	72.67	68.88	69.28	2413707	169202112.00
2022/08/02	67.25	69.28	64.90	65.40	3113560	207950512.00
2022/08/03	66.88	69.90	65.70	65.80	2237406	151717520.00
2022/08/04	65.24	69.50	65.24	67.37	1545694	104629808.00
2022/08/05	68.00	70.33	65.16	66.00	2213153	148979840.00
